Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject2_file_457	0	[0.5874220132827759, 0.46642711758613586, 0.36913466453552246]	[0.6340276002883911, 0.3751499652862549, 0.3279544711112976]	[0.5805556178092957, 0.5537962913513184, 0.30400457978248596]	[0.29988765716552734, 0.8073741793632507, 0.45873841643333435]	[0.8387283682823181, 0.39675334095954895, 0.11470409482717514]	[0.7876770496368408, 0.29881611466407776, 0.24023108184337616]	[0.7838220596313477, 0.3521273136138916, 0.2034459263086319]	[0.6698775291442871, 0.44165465235710144, 0.19676797091960907]	[0.779625415802002, 0.2990334630012512, 0.13218112289905548]	[0.8962904214859009, 0.5321905612945557, 0.027375759556889534]	
subject2_file_679	0	[0.5663748383522034, 0.4363878667354584, 0.40949681401252747]	[0.7673318386077881, 0.3728107810020447, 0.22946029901504517]	[0.283504456281662, 0.7698582410812378, 0.5100219249725342]	[0.28153133392333984, 0.826067328453064, 0.4843684732913971]	[0.8922471404075623, 0.28196707367897034, 0.12655137479305267]	[0.8141927719116211, 0.2604738473892212, 0.30570653080940247]	[0.8620357513427734, 0.22550438344478607, 0.2562078535556793]	[0.2041621059179306, 0.8018084168434143, 0.5202748775482178]	[0.930250883102417, 0.2084641307592392, 0.14389505982398987]	[0.9617608785629272, 0.37262216210365295, 0.04115329310297966]	
subject2_file_95	0	[0.5856866240501404, 0.5413300395011902, 0.27870169281959534]	[0.6679864525794983, 0.49928539991378784, 0.24956095218658447]	[0.2185644805431366, 0.441132128238678, 0.692546010017395]	[0.09379109740257263, 0.8653887510299683, 0.664587140083313]	[0.8088986873626709, 0.7617765665054321, 0.06089329719543457]	[0.4201248586177826, 0.9742843508720398, 0.05429955944418907]	[0.7776658535003662, 0.9110332131385803, 0.0579516626894474]	[0.7011321783065796, 0.17141395807266235, 0.40212225914001465]	[0.8481109142303467, 0.22675961256027222, 0.2080574333667755]	[0.8697443604469299, 0.6050659418106079, 0.04185013100504875]	
subject2_file_899	0	[0.7621890902519226, 0.6765157580375671, 0.10262050479650497]	[0.8975176215171814, 0.6567090153694153, 0.04231388494372368]	[0.7305827140808105, 0.8233791589736938, 0.12085890769958496]	[0.1891445368528366, 0.9812016487121582, 0.1334148496389389]	[0.9288593530654907, 0.7239806056022644, 0.026812275871634483]	[0.5673906207084656, 0.9685839414596558, 0.03024982288479805]	[0.881446123123169, 0.9389796853065491, 0.01426535565406084]	[0.5312802195549011, 0.915892481803894, 0.06055014953017235]	[0.7361144423484802, 0.9015154838562012, 0.05162934958934784]	[0.7644504308700562, 0.9507508873939514, 0.013938110321760178]	
subject2_file_368	0	[0.7640165686607361, 0.6791606545448303, 0.10214988142251968]	[0.9038180112838745, 0.650936484336853, 0.04205639287829399]	[0.8654026389122009, 0.722944438457489, 0.06216764822602272]	[0.6088052988052368, 0.9319165945053101, 0.048966437578201294]	[0.9517839550971985, 0.6920851469039917, 0.015640102326869965]	[0.8261322379112244, 0.9197301864624023, 0.011859814636409283]	[0.9462152719497681, 0.8246368169784546, 0.005679847672581673]	[0.9081430435180664, 0.8916454911231995, 0.009645866230130196]	[0.8199048638343811, 0.8703084588050842, 0.024565676227211952]	[0.9228891134262085, 0.8395233750343323, 0.01151871494948864]	
subject2_file_425	0	[0.40663576126098633, 0.49878987669944763, 0.5672541856765747]	[0.4942267835140228, 0.5397351384162903, 0.45985445380210876]	[0.33486682176589966, 0.8258926868438721, 0.4206811189651489]	[0.6632641553878784, 0.7149930000305176, 0.24298745393753052]	[0.7371721267700195, 0.8697928786277771, 0.0825219377875328]	[0.5638160109519958, 0.9055794477462769, 0.2016739696264267]	[0.8523076772689819, 0.6379120945930481, 0.1556999534368515]	[0.31883326172828674, 0.9122223854064941, 0.35918164253234863]	[0.4085288941860199, 0.8619254231452942, 0.30748677253723145]	[0.694797933101654, 0.8677181601524353, 0.14247994124889374]	
subject2_file_646	0	[0.4836454689502716, 0.20525504648685455, 0.6333928108215332]	[0.4915686845779419, 0.14051559567451477, 0.779523491859436]	[0.5844705104827881, 0.1541862040758133, 0.6214709877967834]	[0.6697099208831787, 0.07155074179172516, 0.7450123429298401]	[0.8653015494346619, 0.1675611138343811, 0.23769930005073547]	[0.8276538848876953, 0.11925569921731949, 0.4564279019832611]	[0.8343629240989685, 0.06872829794883728, 0.6019470691680908]	[0.8648319840431213, 0.06831058114767075, 0.5748713612556458]	[0.5067437291145325, 0.09536706656217575, 0.8776549696922302]	[0.3658598065376282, 0.07736163586378098, 0.940142035484314]	
subject2_file_52	0	[0.42122769355773926, 0.39672473073005676, 0.6299641728401184]	[0.5397512912750244, 0.257564902305603, 0.5900305509567261]	[0.3252251446247101, 0.34578004479408264, 0.7408319711685181]	[0.7751724123954773, 0.31587809324264526, 0.3578181266784668]	[0.6118772029876709, 0.42602595686912537, 0.4148316979408264]	[0.8054947257041931, 0.4386414885520935, 0.32075396180152893]	[0.5509666800498962, 0.3708319067955017, 0.7227201461791992]	[0.6540024876594543, 0.1250113993883133, 0.7081653475761414]	[0.5249460935592651, 0.11834511905908585, 0.8248178362846375]	[0.3939674198627472, 0.1206345334649086, 0.8997207880020142]	
subject2_file_123	0	[0.36323145031929016, 0.3390846848487854, 0.7123345732688904]	[0.6510533094406128, 0.34486281871795654, 0.41726380586624146]	[0.5663325190544128, 0.23600399494171143, 0.5745884776115417]	[0.9054678082466125, 0.1800776571035385, 0.2698942720890045]	[0.9539535641670227, 0.30855053663253784, 0.08930801600217819]	[0.8872002363204956, 0.18279293179512024, 0.24414703249931335]	[0.740297257900238, 0.10625524073839188, 0.6669478416442871]	[0.6465957760810852, 0.09953337907791138, 0.8015696406364441]	[0.8076625466346741, 0.11024673283100128, 0.605185329914093]	[0.6356824636459351, 0.1426536589860916, 0.779191792011261]	
subject2_file_821	0	[0.7038285732269287, 0.7210158109664917, 0.12522616982460022]	[0.8681853413581848, 0.669486939907074, 0.06012462079524994]	[0.8261147737503052, 0.698790967464447, 0.08686728775501251]	[0.8616003394126892, 0.7089056372642517, 0.06334061920642853]	[0.9620329737663269, 0.6044762134552002, 0.024671217426657677]	[0.9238690137863159, 0.7330926060676575, 0.04114815965294838]	[0.9593818187713623, 0.6959152221679688, 0.028907535597682]	[0.8752164244651794, 0.3852714002132416, 0.23943088948726654]	[0.7212872505187988, 0.8204375505447388, 0.16370873153209686]	[0.8589966297149658, 0.8888142108917236, 0.05265291780233383]	
