Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject2_file_457	0	[0.33647796511650085, 0.5720639228820801, 0.3751521110534668]	[0.39364227652549744, 0.6212528944015503, 0.2504071593284607]	[0.3964981436729431, 0.8489231467247009, 0.0385667122900486]	[0.18287667632102966, 0.7472100257873535, 0.2966586649417877]	[0.3275311291217804, 0.29443854093551636, 0.8945218920707703]	[0.29881277680397034, 0.2714058458805084, 0.9412495493888855]	[0.19605253636837006, 0.07174023985862732, 0.9933609962463379]	[0.15095455944538116, 0.02368777245283127, 0.998875081539154]	[0.20682978630065918, 0.010249240323901176, 0.9992679953575134]	[0.1699647605419159, 0.010832398198544979, 0.9990334510803223]	
subject2_file_679	0	[0.292292058467865, 0.4187995195388794, 0.5255778431892395]	[0.3561587333679199, 0.38051795959472656, 0.40257012844085693]	[0.3451548218727112, 0.3026837408542633, 0.47228506207466125]	[0.35557985305786133, 0.5040497183799744, 0.20104369521141052]	[0.45186880230903625, 0.10562093555927277, 0.619859516620636]	[0.5977209210395813, 0.055173005908727646, 0.6509442329406738]	[0.6749873161315918, 0.03226713463664055, 0.6980046033859253]	[0.526836633682251, 0.05506997928023338, 0.7318470478057861]	[0.5073860287666321, 0.04444807767868042, 0.7908653020858765]	[0.5030049085617065, 0.03677782043814659, 0.8298717737197876]	
subject2_file_95	0	[0.5238893032073975, 0.38562560081481934, 0.7813195586204529]	[0.9377399682998657, 0.4256887137889862, 0.5412753820419312]	[0.982131838798523, 0.473651260137558, 0.21537654101848602]	[0.9405209422111511, 0.5700741410255432, 0.1773885041475296]	[0.953213632106781, 0.2952766716480255, 0.8221546411514282]	[0.9694310426712036, 0.2512117624282837, 0.8826878666877747]	[0.9850018620491028, 0.0767916738986969, 0.9824108481407166]	[0.9875560402870178, 0.01565939374268055, 0.998138427734375]	[0.9667379856109619, 0.10713482648134232, 0.9642547965049744]	[0.9660693407058716, 0.1648951917886734, 0.885652482509613]	
subject2_file_899	0	[0.5058103799819946, 0.7259321212768555, 0.2214953899383545]	[0.35056889057159424, 0.6104270219802856, 0.8046407103538513]	[0.2088126242160797, 0.859825611114502, 0.4153154492378235]	[0.09208059310913086, 0.8603909611701965, 0.5867326855659485]	[0.03960971534252167, 0.9415327906608582, 0.5552658438682556]	[0.030343543738126755, 0.9597225189208984, 0.5279081463813782]	[0.022220298647880554, 0.971690833568573, 0.512919545173645]	[0.01799919456243515, 0.9793248772621155, 0.47998788952827454]	[0.01470388937741518, 0.9839207530021667, 0.4799767732620239]	[0.01289066020399332, 0.9870865345001221, 0.459179162979126]	
subject2_file_368	0	[0.667059600353241, 0.556300938129425, 0.39615559577941895]	[0.4536950886249542, 0.6156080365180969, 0.6628997325897217]	[0.07370917499065399, 0.8546940088272095, 0.6920974850654602]	[0.02246480993926525, 0.9532374739646912, 0.27389082312583923]	[0.019803505390882492, 0.9574578404426575, 0.37764912843704224]	[0.00914614088833332, 0.9768848419189453, 0.3587164878845215]	[0.005669840611517429, 0.9847009181976318, 0.3153257668018341]	[0.005432054400444031, 0.986958920955658, 0.31715133786201477]	[0.004614881239831448, 0.9896061420440674, 0.2666303515434265]	[0.004301309119910002, 0.9908912777900696, 0.25720342993736267]	
subject2_file_425	0	[0.4750016927719116, 0.31804487109184265, 0.7968762516975403]	[0.7226740717887878, 0.30138033628463745, 0.7078330516815186]	[0.10993468016386032, 0.634046733379364, 0.5235936045646667]	[0.040031515061855316, 0.7283639907836914, 0.8353955745697021]	[0.12788410484790802, 0.1724044531583786, 0.9863201975822449]	[0.10297919064760208, 0.15218141674995422, 0.9927736520767212]	[0.2728651762008667, 0.12626780569553375, 0.991399884223938]	[0.8221240043640137, 0.0539931058883667, 0.9927446842193604]	[0.6290905475616455, 0.22989583015441895, 0.9307417869567871]	[0.6428470611572266, 0.2836720049381256, 0.8865514993667603]	
subject2_file_646	0	[0.3414919078350067, 0.4844185411930084, 0.44096723198890686]	[0.4405881464481354, 0.47788670659065247, 0.28654685616493225]	[0.4345402419567108, 0.4455029368400574, 0.28525203466415405]	[0.11206894367933273, 0.4421674311161041, 0.7011387348175049]	[0.16252876818180084, 0.32163071632385254, 0.6638631820678711]	[0.17848093807697296, 0.3044785261154175, 0.6384780406951904]	[0.19552887976169586, 0.38285112380981445, 0.5048385858535767]	[0.16604770720005035, 0.3106338381767273, 0.6745057106018066]	[0.12702615559101105, 0.5492103695869446, 0.5062992572784424]	[0.1100347563624382, 0.6370493769645691, 0.4635583758354187]	
subject2_file_52	0	[0.5065282583236694, 0.5070416927337646, 0.35299208760261536]	[0.7514562010765076, 0.5640116930007935, 0.05737512558698654]	[0.7732991576194763, 0.5569744110107422, 0.04139344021677971]	[0.7900236248970032, 0.5869781970977783, 0.023746615275740623]	[0.8790253400802612, 0.32399502396583557, 0.08695825934410095]	[0.9305064678192139, 0.22691258788108826, 0.0779920220375061]	[0.9261722564697266, 0.24559345841407776, 0.05247389152646065]	[0.8944414854049683, 0.27453041076660156, 0.1293974369764328]	[0.9974053502082825, 0.021682973951101303, 0.03933418542146683]	[0.9986943602561951, 0.012859075330197811, 0.03181592375040054]	
subject2_file_123	0	[0.661434531211853, 0.2574271261692047, 0.6026452779769897]	[0.49797961115837097, 0.20612433552742004, 0.7482733130455017]	[0.540769100189209, 0.21211647987365723, 0.5837073922157288]	[0.9053032994270325, 0.032244596630334854, 0.5240655541419983]	[0.7206023931503296, 0.06441596895456314, 0.5638443827629089]	[0.9477208256721497, 0.014236865565180779, 0.49791139364242554]	[0.9768574237823486, 0.0069206394255161285, 0.44847020506858826]	[0.9888730645179749, 0.005766000133007765, 0.28051915764808655]	[0.9907516241073608, 0.0042745075188577175, 0.2873741686344147]	[0.9921929240226746, 0.003250374225899577, 0.29670819640159607]	
subject2_file_821	0	[0.5515242218971252, 0.7639021277427673, 0.16629721224308014]	[0.6397814154624939, 0.8635953664779663, 0.08871017396450043]	[0.02142558991909027, 0.9526876211166382, 0.34903356432914734]	[0.896435558795929, 0.914173424243927, 0.03482842445373535]	[0.9828375577926636, 0.7561385631561279, 0.04835626482963562]	[0.5936750173568726, 0.9627152681350708, 0.05030837655067444]	[0.9627407789230347, 0.9000017046928406, 0.02983665280044079]	[0.01153811439871788, 0.975395143032074, 0.28803184628486633]	[0.015331435948610306, 0.9683501124382019, 0.29667311906814575]	[0.016765348613262177, 0.9708573818206787, 0.25446802377700806]	
