Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject3_file_867	0	[0.8031112551689148, 0.1974494606256485, 0.37441012263298035]	[0.9429538249969482, 0.07918865978717804, 0.2895921766757965]	[0.9787387251853943, 0.02226839028298855, 0.31475138664245605]	[0.9915326237678528, 0.01648348942399025, 0.24417424201965332]	[0.9963698387145996, 0.008518150076270103, 0.20209087431430817]	[0.9989660978317261, 0.0023458157666027546, 0.1809283196926117]	[0.9991989731788635, 0.004116801545023918, 0.13505049049854279]	[0.9993732571601868, 0.00265987915918231, 0.12160908430814743]	[0.9996273517608643, 0.0028219816740602255, 0.07937732338905334]	[0.9997698664665222, 0.0022315122187137604, 0.06775262206792831]	
subject3_file_537	0	[0.26726698875427246, 0.39336326718330383, 0.5952730178833008]	[0.19068372249603271, 0.5577926635742188, 0.4919709265232086]	[0.14445242285728455, 0.61993807554245, 0.4996671974658966]	[0.1435840129852295, 0.6407397389411926, 0.4743581712245941]	[0.13239440321922302, 0.6927765011787415, 0.49493420124053955]	[0.10032673180103302, 0.7823788523674011, 0.44968411326408386]	[0.08672596514225006, 0.7766801714897156, 0.49229687452316284]	[0.11403562128543854, 0.7707647085189819, 0.43036192655563354]	[0.08706701546907425, 0.8093551397323608, 0.40411117672920227]	[0.07216943055391312, 0.8440532684326172, 0.3690345287322998]	
subject3_file_753	0	[0.3520153760910034, 0.36816972494125366, 0.5946410298347473]	[0.2928774952888489, 0.31665244698524475, 0.7124894261360168]	[0.2861515283584595, 0.2808998227119446, 0.7871275544166565]	[0.2707286775112152, 0.34803953766822815, 0.7606512904167175]	[0.21803995966911316, 0.4223160743713379, 0.7713907957077026]	[0.18016743659973145, 0.449039101600647, 0.8143250942230225]	[0.16545355319976807, 0.40119650959968567, 0.8675088882446289]	[0.1593812257051468, 0.41663026809692383, 0.8532573580741882]	[0.16814783215522766, 0.27084553241729736, 0.9068018198013306]	[0.14357316493988037, 0.23413804173469543, 0.9308165311813354]	
subject3_file_335	0	[0.4552740454673767, 0.436178058385849, 0.46271201968193054]	[0.49551329016685486, 0.40752774477005005, 0.3948090672492981]	[0.28719398379325867, 0.7687984108924866, 0.21098384261131287]	[0.6447568535804749, 0.25103622674942017, 0.4697645306587219]	[0.7367494106292725, 0.2394265979528427, 0.3916568160057068]	[0.5885456204414368, 0.36292505264282227, 0.3842613399028778]	[0.20568668842315674, 0.6812066435813904, 0.3706085681915283]	[0.41298818588256836, 0.42130622267723083, 0.4587855339050293]	[0.48295512795448303, 0.23773613572120667, 0.6069063544273376]	[0.4146304726600647, 0.2516018748283386, 0.6279747486114502]	
subject3_file_718	0	[0.6200810670852661, 0.6377084255218506, 0.38307932019233704]	[0.511145830154419, 0.6610081195831299, 0.6218222975730896]	[0.416619211435318, 0.7213119864463806, 0.6082519888877869]	[0.5023565888404846, 0.6912322044372559, 0.5369435548782349]	[0.5628085732460022, 0.7402456402778625, 0.445007860660553]	[0.40933993458747864, 0.5842562913894653, 0.7879421710968018]	[0.3621620833873749, 0.46026208996772766, 0.8911479115486145]	[0.6430857181549072, 0.3224301338195801, 0.7873595356941223]	[0.6490394473075867, 0.22319254279136658, 0.8493576645851135]	[0.5103864669799805, 0.36991915106773376, 0.8382020592689514]	
subject3_file_855	0	[0.43930885195732117, 0.6974226236343384, 0.33169519901275635]	[0.3618753254413605, 0.7771862745285034, 0.3182220458984375]	[0.2223801463842392, 0.9281847476959229, 0.1558663249015808]	[0.2594098746776581, 0.8991609811782837, 0.21202529966831207]	[0.26269444823265076, 0.9215958714485168, 0.15935850143432617]	[0.06818102300167084, 0.981097936630249, 0.11051703244447708]	[0.021959951147437096, 0.9927759170532227, 0.08893769979476929]	[0.15284551680088043, 0.9415088891983032, 0.16843995451927185]	[0.08079876750707626, 0.9620828032493591, 0.17054913938045502]	[0.05583138391375542, 0.9786444902420044, 0.11534623801708221]	
subject3_file_850	0	[0.7614609003067017, 0.295224130153656, 0.3195469081401825]	[0.8690218329429626, 0.1842608004808426, 0.3244437277317047]	[0.8942562341690063, 0.06974975764751434, 0.47423648834228516]	[0.9088804125785828, 0.08523884415626526, 0.4316658079624176]	[0.8811337947845459, 0.29078051447868347, 0.21199308335781097]	[0.9235487580299377, 0.04801248386502266, 0.4926466643810272]	[0.9548441767692566, 0.012942000292241573, 0.624386191368103]	[0.8107125163078308, 0.1769968569278717, 0.5146389007568359]	[0.8420606255531311, 0.08312192559242249, 0.5839881896972656]	[0.8448505401611328, 0.06294823437929153, 0.6417635083198547]	
subject3_file_901	0	[0.5195674896240234, 0.7947363257408142, 0.25089797377586365]	[0.6121717691421509, 0.7908875942230225, 0.35227277874946594]	[0.5361652374267578, 0.9253262281417847, 0.10331006348133087]	[0.49321797490119934, 0.9510635733604431, 0.06907621771097183]	[0.7799970507621765, 0.7945972681045532, 0.1971774399280548]	[0.5156782865524292, 0.9413480162620544, 0.07155341655015945]	[0.29792678356170654, 0.9835619330406189, 0.02827621065080166]	[0.4407592713832855, 0.9644901752471924, 0.03124471753835678]	[0.63310307264328, 0.9121285080909729, 0.049897994846105576]	[0.5096399188041687, 0.9203532934188843, 0.05367841571569443]	
subject3_file_14	0	[0.5928013324737549, 0.516656756401062, 0.38990703225135803]	[0.6374860405921936, 0.5876725912094116, 0.3209567070007324]	[0.7981515526771545, 0.5248171091079712, 0.1135685071349144]	[0.6994860768318176, 0.30443158745765686, 0.5233039259910583]	[0.6109054684638977, 0.5693609118461609, 0.37899893522262573]	[0.6854506134986877, 0.5183983445167542, 0.3330055773258209]	[0.7428296804428101, 0.10717657208442688, 0.7818406224250793]	[0.7038717269897461, 0.48518499732017517, 0.3106362521648407]	[0.5854771733283997, 0.515550434589386, 0.36810874938964844]	[0.6489589214324951, 0.5474718809127808, 0.30655768513679504]	
subject3_file_85	0	[0.41111573576927185, 0.5107184052467346, 0.46243494749069214]	[0.4118122160434723, 0.5309845209121704, 0.3858952224254608]	[0.47351232171058655, 0.4965423345565796, 0.33134397864341736]	[0.48418310284614563, 0.5169610381126404, 0.2863558530807495]	[0.4972224533557892, 0.5467707514762878, 0.2568160891532898]	[0.5751762390136719, 0.44761529564857483, 0.2935440242290497]	[0.7148664593696594, 0.3054324686527252, 0.31017905473709106]	[0.6039417386054993, 0.42649218440055847, 0.3087354898452759]	[0.7467935085296631, 0.24203193187713623, 0.352634996175766]	[0.6574159860610962, 0.3779617249965668, 0.30812421441078186]	
