Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject1_file_622	[3]	[0.3783710300922394, 0.3761955201625824, 0.1031915694475174, 0.45279377698898315, 0.4351932406425476, 0.13883569836616516, 0.1137024536728859, 0.09830091148614883, 0.09710408747196198, 0.22359146177768707]	[0.37185239791870117, 0.3760659694671631, 0.05946224555373192, 0.4497452974319458, 0.43431633710861206, 0.08297854661941528, 0.10544045269489288, 0.07663322985172272, 0.07160847634077072, 0.25494086742401123]	[0.37170347571372986, 0.37583088874816895, 0.05773155763745308, 0.4500260651111603, 0.43419790267944336, 0.08142850548028946, 0.10562896728515625, 0.0767911970615387, 0.07168597728013992, 0.2544574737548828]	[0.371536523103714, 0.37515494227409363, 0.05760549381375313, 0.4508897066116333, 0.43373119831085205, 0.0810127928853035, 0.10537081211805344, 0.07655257731676102, 0.0713098794221878, 0.25331544876098633]	[0.3710671663284302, 0.37245991826057434, 0.0579046905040741, 0.45554786920547485, 0.431735098361969, 0.08001118898391724, 0.10496503859758377, 0.07571408152580261, 0.07060869038105011, 0.25008273124694824]	[0.40791741013526917, 0.4401870667934418, 0.07255328446626663, 0.3371860682964325, 0.4987281858921051, 0.08346511423587799, 0.10375075787305832, 0.07820139080286026, 0.08453566581010818, 0.2941802442073822]	[0.4489456117153168, 0.4846630394458771, 0.06957924365997314, 0.2988013029098511, 0.5332646369934082, 0.09534639865159988, 0.08238992840051651, 0.09365767985582352, 0.08433122932910919, 0.30931544303894043]	[0.4619547128677368, 0.48995283246040344, 0.06552012264728546, 0.2821640968322754, 0.5437629818916321, 0.09141981601715088, 0.07505369931459427, 0.09750518202781677, 0.08694340288639069, 0.31577152013778687]	[0.43343743681907654, 0.4480637311935425, 0.061524443328380585, 0.3390311598777771, 0.5083519816398621, 0.08413878083229065, 0.08062013983726501, 0.08723998069763184, 0.07736171782016754, 0.2866155505180359]	[0.45893287658691406, 0.44696637988090515, 0.05086647719144821, 0.36304619908332825, 0.5055188536643982, 0.07345958054065704, 0.076998770236969, 0.07592379301786423, 0.062126778066158295, 0.24234935641288757]	
subject1_file_869	[3]	[0.37873175740242004, 0.3785250186920166, 0.10606028139591217, 0.45248302817344666, 0.43553468585014343, 0.14142467081546783, 0.11633603274822235, 0.10022296756505966, 0.09953109174966812, 0.22662942111492157]	[0.3720702528953552, 0.3777604103088379, 0.061109744012355804, 0.4492332637310028, 0.4347260296344757, 0.08469687402248383, 0.1075877994298935, 0.07803263515233994, 0.07341761142015457, 0.25720471143722534]	[0.3719286024570465, 0.3783389925956726, 0.0601004958152771, 0.4489898383617401, 0.4349069595336914, 0.08389423787593842, 0.10876132547855377, 0.07878490537405014, 0.07432664930820465, 0.2577889561653137]	[0.37152132391929626, 0.38001811504364014, 0.062056418508291245, 0.44772300124168396, 0.4352675974369049, 0.08549395948648453, 0.11113772541284561, 0.08007097244262695, 0.0761907622218132, 0.2597275674343109]	[0.3705194592475891, 0.3862577974796295, 0.06949109584093094, 0.4386672377586365, 0.4378143548965454, 0.09071231633424759, 0.11871587485074997, 0.0836937353014946, 0.08269338309764862, 0.2676698565483093]	[0.4087306559085846, 0.4434811770915985, 0.10529716312885284, 0.35447564721107483, 0.49273034930229187, 0.12067122757434845, 0.13883233070373535, 0.1079505905508995, 0.11727600544691086, 0.3205379247665405]	[0.3503250777721405, 0.3353816270828247, 0.08011346310377121, 0.5020280480384827, 0.3896620273590088, 0.10722678899765015, 0.13929376006126404, 0.0984397828578949, 0.08477335423231125, 0.2515813112258911]	[0.23517952859401703, 0.20941631495952606, 0.06473167985677719, 0.7249775528907776, 0.24699415266513824, 0.08244486898183823, 0.18682973086833954, 0.06749680638313293, 0.05919848382472992, 0.17384205758571625]	[0.18712970614433289, 0.17214833199977875, 0.0649651512503624, 0.7733227610588074, 0.1788903921842575, 0.07912568002939224, 0.20684102177619934, 0.06070323288440704, 0.056356269866228104, 0.1801779866218567]	[0.14804412424564362, 0.13140903413295746, 0.0620327927172184, 0.8039137721061707, 0.1463896930217743, 0.07787543535232544, 0.2265162318944931, 0.058209892362356186, 0.055447570979595184, 0.18695352971553802]	
subject1_file_807	[0, 3, 6]	[0.378450483083725, 0.3763751983642578, 0.1035381630063057, 0.4527692496776581, 0.43522965908050537, 0.13919484615325928, 0.11406871676445007, 0.0985550507903099, 0.0974356159567833, 0.22401827573776245]	[0.37191706895828247, 0.37610703706741333, 0.05956832692027092, 0.44973239302635193, 0.4343409836292267, 0.08311431109905243, 0.10559334605932236, 0.07673995196819305, 0.07173313945531845, 0.2551122307777405]	[0.37193331122398376, 0.3755853772163391, 0.05763117969036102, 0.4501330852508545, 0.4342215359210968, 0.0813988745212555, 0.10547660291194916, 0.07677832245826721, 0.07158484309911728, 0.25434666872024536]	[0.37204334139823914, 0.3744254410266876, 0.05715658888220787, 0.4514681100845337, 0.4336892366409302, 0.08069376647472382, 0.10472758114337921, 0.07633190602064133, 0.07081973552703857, 0.25262850522994995]	[0.37163046002388, 0.37061622738838196, 0.0567890964448452, 0.4580460786819458, 0.43119707703590393, 0.07914663106203079, 0.1035764291882515, 0.07507884502410889, 0.06943807005882263, 0.24816687405109406]	[0.273501455783844, 0.20156310498714447, 0.03292815387248993, 0.7520803809165955, 0.2600063383579254, 0.057960394769907, 0.0962199792265892, 0.05730399489402771, 0.04025768116116524, 0.13403889536857605]	[0.1961784064769745, 0.1281813532114029, 0.02804097719490528, 0.807275116443634, 0.2067727893590927, 0.04544421285390854, 0.14205250144004822, 0.038901571184396744, 0.02738700993359089, 0.10603494942188263]	[0.17784461379051208, 0.12490169703960419, 0.029785452410578728, 0.831427812576294, 0.19837884604930878, 0.04313896596431732, 0.15518271923065186, 0.02975274808704853, 0.022035235539078712, 0.09637384861707687]	[0.39251625537872314, 0.38012343645095825, 0.049675095826387405, 0.41231727600097656, 0.46467310190200806, 0.07068406045436859, 0.08026158064603806, 0.06974221020936966, 0.05911524221301079, 0.25127318501472473]	[0.15022742748260498, 0.1234440803527832, 0.030938928946852684, 0.7657079696655273, 0.17760570347309113, 0.04173104092478752, 0.14848816394805908, 0.030498258769512177, 0.02856345660984516, 0.16155247390270233]	
subject1_file_463	[0, 9]	[0.3785242736339569, 0.37687456607818604, 0.10410767793655396, 0.4527169466018677, 0.435311883687973, 0.13970249891281128, 0.11455409973859787, 0.0989345908164978, 0.09789938479661942, 0.22460822761058807]	[0.37196335196495056, 0.3765160143375397, 0.059941962361335754, 0.44961369037628174, 0.43444737792015076, 0.08350057899951935, 0.10606842488050461, 0.07705794274806976, 0.07214286923408508, 0.2556287944316864]	[0.37194889783859253, 0.376273512840271, 0.058238156139850616, 0.4498533606529236, 0.43440887331962585, 0.08201850205659866, 0.10627873986959457, 0.07728078961372375, 0.07226402312517166, 0.25521332025527954]	[0.37187713384628296, 0.37586846947669983, 0.05836642161011696, 0.450486958026886, 0.4341016411781311, 0.08188103139400482, 0.10633404552936554, 0.0772610679268837, 0.07216309756040573, 0.25444427132606506]	[0.3708978295326233, 0.3751692771911621, 0.06000557169318199, 0.4519215226173401, 0.4330328404903412, 0.08198919147253036, 0.10761026293039322, 0.07718974351882935, 0.07287099957466125, 0.25353655219078064]	[0.4132113754749298, 0.4511391818523407, 0.07789488881826401, 0.3227415084838867, 0.5096337199211121, 0.0885377824306488, 0.10780076682567596, 0.08196098357439041, 0.09051735699176788, 0.305387943983078]	[0.45393362641334534, 0.49390655755996704, 0.07250985503196716, 0.28867560625076294, 0.5410696864128113, 0.09896200150251389, 0.0832315981388092, 0.0968821719288826, 0.08876689523458481, 0.3184240758419037]	[0.4733973741531372, 0.5061783194541931, 0.0675821453332901, 0.2638349235057831, 0.5601704120635986, 0.09474503248929977, 0.07340416312217712, 0.10160183161497116, 0.09197338670492172, 0.3285214900970459]	[0.47403478622436523, 0.4871976971626282, 0.0610293410718441, 0.2913151979446411, 0.5646606087684631, 0.08650562167167664, 0.07115650177001953, 0.09225814044475555, 0.08141310513019562, 0.30403825640678406]	[0.546837568283081, 0.5379384160041809, 0.05791439488530159, 0.27854421734809875, 0.601161777973175, 0.08556424081325531, 0.0686267837882042, 0.09278010576963425, 0.07490164041519165, 0.2676224708557129]	
subject1_file_830	[4, 9]	[0.37854132056236267, 0.37697482109069824, 0.10423082113265991, 0.4526996612548828, 0.4353203773498535, 0.13981392979621887, 0.11467627435922623, 0.0990169495344162, 0.09800270199775696, 0.22473390400409698]	[0.3719698488712311, 0.37656542658805847, 0.05999245122075081, 0.4495965242385864, 0.4344557821750641, 0.083553746342659, 0.10613832622766495, 0.07709997147321701, 0.07219713181257248, 0.25569477677345276]	[0.37195277214050293, 0.37632182240486145, 0.058288127183914185, 0.44982844591140747, 0.4344196021556854, 0.082071952521801, 0.10634912550449371, 0.07732228189706802, 0.07231844961643219, 0.255281537771225]	[0.3718627691268921, 0.37594524025917053, 0.058439768850803375, 0.45042189955711365, 0.43411943316459656, 0.08195522427558899, 0.10643620043992996, 0.07731565833091736, 0.07224193215370178, 0.25455114245414734]	[0.37070751190185547, 0.37568899989128113, 0.06036593019962311, 0.4511297941207886, 0.43321219086647034, 0.08228117227554321, 0.10807384550571442, 0.07738658785820007, 0.07324477285146713, 0.25414445996284485]	[0.41404449939727783, 0.4530222713947296, 0.0790051817893982, 0.3203340768814087, 0.5112971663475037, 0.08957669138908386, 0.10868313908576965, 0.08274508267641068, 0.09168803691864014, 0.3074456453323364]	[0.45233091711997986, 0.49155130982398987, 0.07263662666082382, 0.2910042107105255, 0.5388079881668091, 0.09906260669231415, 0.08392797410488129, 0.09693516045808792, 0.08885227143764496, 0.31762754917144775]	[0.46905484795570374, 0.5002315640449524, 0.06745334714651108, 0.27070870995521545, 0.5544856786727905, 0.09445163607597351, 0.07450055330991745, 0.1007937341928482, 0.09103618562221527, 0.32495635747909546]	[0.4692279100418091, 0.4817994236946106, 0.06094031035900116, 0.29777422547340393, 0.5586592555046082, 0.08629538863897324, 0.07210581004619598, 0.09163542836904526, 0.08088325709104538, 0.3019532859325409]	[0.543006420135498, 0.5336053967475891, 0.057716790586709976, 0.28281378746032715, 0.5968824625015259, 0.08528334647417068, 0.06927934288978577, 0.09237528592348099, 0.07466019690036774, 0.2665407359600067]	
subject1_file_272	[4, 9]	[0.37866657972335815, 0.3777017593383789, 0.10519060492515564, 0.45264533162117004, 0.4354603588581085, 0.14070869982242584, 0.11551730334758759, 0.09967374056577682, 0.09882678091526031, 0.2258039116859436]	[0.3720698952674866, 0.37718668580055237, 0.06061650067567825, 0.4494346082210541, 0.43463101983070374, 0.08421690762042999, 0.10693344473838806, 0.07764357328414917, 0.07289065420627594, 0.25658661127090454]	[0.37212133407592773, 0.377259224653244, 0.059202101081609726, 0.44948986172676086, 0.4347323775291443, 0.08305127173662186, 0.10753028839826584, 0.07812490314245224, 0.07334913313388824, 0.25660499930381775]	[0.3720659613609314, 0.37773561477661133, 0.06011312082409859, 0.449383944272995, 0.4347720146179199, 0.08370015025138855, 0.10856673866510391, 0.07871266454458237, 0.0740954801440239, 0.2569955289363861]	[0.3709317147731781, 0.38035619258880615, 0.06431005150079727, 0.4458138346672058, 0.4353734254837036, 0.08605703711509705, 0.11272935569286346, 0.0802694708108902, 0.07739091664552689, 0.26015704870224]	[0.4194926619529724, 0.46438753604888916, 0.08656221628189087, 0.3079807460308075, 0.5216869711875916, 0.09700144082307816, 0.1146397516131401, 0.0884530320763588, 0.09997429698705673, 0.32000038027763367]	[0.45705646276474, 0.4993322491645813, 0.07755667716264725, 0.28402891755104065, 0.5446401238441467, 0.1049623116850853, 0.0868426039814949, 0.1020931750535965, 0.09488334506750107, 0.3267756998538971]	[0.47351691126823425, 0.5071094036102295, 0.07117326557636261, 0.26449787616729736, 0.5602285265922546, 0.09936382621526718, 0.07624504715204239, 0.1055576354265213, 0.09646335244178772, 0.33345040678977966]	[0.4821067750453949, 0.5015263557434082, 0.06717272102832794, 0.27986007928848267, 0.5752595663070679, 0.09448932111263275, 0.07415740191936493, 0.09986165165901184, 0.09001375734806061, 0.315926730632782]	[0.5803733468055725, 0.5763090252876282, 0.06686042994260788, 0.24365876615047455, 0.6431025862693787, 0.10036507248878479, 0.06865829229354858, 0.10791358351707458, 0.08805329352617264, 0.28967881202697754]	
subject1_file_382	[9]	[0.37855640053749084, 0.3771940767765045, 0.10444477945566177, 0.45263800024986267, 0.4353429675102234, 0.13998685777187347, 0.11488023400306702, 0.09915421903133392, 0.09818000346422195, 0.2249409556388855]	[0.37196865677833557, 0.3767394721508026, 0.06013437733054161, 0.4495239555835724, 0.43448635935783386, 0.08369148522615433, 0.10632888227701187, 0.0772143229842186, 0.0723523199558258, 0.2558799386024475]	[0.37188148498535156, 0.37664878368377686, 0.05854387208819389, 0.44965842366218567, 0.4344732165336609, 0.08230842649936676, 0.10670860856771469, 0.07750969380140305, 0.07260308414697647, 0.2556322515010834]	[0.37167882919311523, 0.37655603885650635, 0.05891941487789154, 0.44992250204086304, 0.43425774574279785, 0.08239097893238068, 0.10709809511899948, 0.07764731347560883, 0.0727749764919281, 0.2552680969238281]	[0.3705396354198456, 0.3770042955875397, 0.06135818362236023, 0.4492819607257843, 0.43381133675575256, 0.08315972238779068, 0.10930018126964569, 0.07803510129451752, 0.07430534809827805, 0.2557584047317505]	[0.41557031869888306, 0.45619654655456543, 0.0807802677154541, 0.31624019145965576, 0.5145832300186157, 0.09129219502210617, 0.10998283326625824, 0.08399602770805359, 0.0936519131064415, 0.3109602630138397]	[0.4525083899497986, 0.49178269505500793, 0.07409654557704926, 0.2906804382801056, 0.5386458039283752, 0.10075594484806061, 0.08528706431388855, 0.0983974039554596, 0.09052415937185287, 0.31953731179237366]	[0.4648771584033966, 0.4950448274612427, 0.06883134692907333, 0.27699390053749084, 0.5484012961387634, 0.09591015428304672, 0.0768146961927414, 0.10165701061487198, 0.09201222658157349, 0.3238813877105713]	[0.4655846357345581, 0.4805701673030853, 0.06300981342792511, 0.30018821358680725, 0.553503155708313, 0.08851154148578644, 0.0745287835597992, 0.0933750569820404, 0.08325577527284622, 0.30369386076927185]	[0.34849169850349426, 0.4141390323638916, 0.1057729572057724, 0.28149017691612244, 0.5014375448226929, 0.1458628624677658, 0.11665431410074234, 0.11494676768779755, 0.13177423179149628, 0.3740618824958801]	
subject1_file_588	[3]	[0.3784765899181366, 0.37565839290618896, 0.10296892374753952, 0.45296117663383484, 0.43519818782806396, 0.1388043463230133, 0.11354583501815796, 0.0982285588979721, 0.09700603038072586, 0.22353030741214752]	[0.37195339798927307, 0.37556663155555725, 0.059172600507736206, 0.44994908571243286, 0.43425512313842773, 0.08274779468774796, 0.10506565123796463, 0.07643444091081619, 0.07130732387304306, 0.2546122372150421]	[0.37224939465522766, 0.3744681477546692, 0.056805726140737534, 0.4506928026676178, 0.43405789136886597, 0.08065476268529892, 0.1043027937412262, 0.07619497179985046, 0.07066579163074493, 0.25320103764533997]	[0.3729996383190155, 0.3721185624599457, 0.05547803267836571, 0.45337817072868347, 0.43324846029281616, 0.07920803129673004, 0.10232815891504288, 0.07522302865982056, 0.06893020868301392, 0.25000327825546265]	[0.3739907145500183, 0.36335277557373047, 0.05246435105800629, 0.46938130259513855, 0.428392231464386, 0.07561305165290833, 0.09768319875001907, 0.07254188507795334, 0.06463340669870377, 0.24019376933574677]	[0.27035024762153625, 0.19732676446437836, 0.031782884150743484, 0.7592311501502991, 0.25509321689605713, 0.056481294333934784, 0.0947403758764267, 0.05607525631785393, 0.038857586681842804, 0.13063453137874603]	[0.1949506551027298, 0.1271032989025116, 0.027409899979829788, 0.8087364435195923, 0.2057165652513504, 0.04456670582294464, 0.14086267352104187, 0.038192689418792725, 0.026790112257003784, 0.10452314466238022]	[0.18704497814178467, 0.13277198374271393, 0.030267909169197083, 0.8167107701301575, 0.21091623604297638, 0.04407338425517082, 0.15015888214111328, 0.030646556988358498, 0.022689957171678543, 0.09974777698516846]	[0.10862329602241516, 0.07444237917661667, 0.02247006818652153, 0.8910900950431824, 0.10875096917152405, 0.03130701556801796, 0.1634257584810257, 0.020116664469242096, 0.015505673363804817, 0.0964522585272789]	[0.10312837362289429, 0.07472982257604599, 0.022805629298090935, 0.8719636797904968, 0.10812157392501831, 0.030466387048363686, 0.16737443208694458, 0.021524203941226006, 0.01854051649570465, 0.12186691910028458]	
subject1_file_140	[3]	[0.3787948191165924, 0.3789239823818207, 0.10663869231939316, 0.45247891545295715, 0.4355809986591339, 0.14197570085525513, 0.11684955656528473, 0.10061664134263992, 0.10001982003450394, 0.22727638483047485]	[0.37212419509887695, 0.37808647751808167, 0.06146575137972832, 0.44917234778404236, 0.4348030388355255, 0.08508196473121643, 0.10804078727960587, 0.07834094017744064, 0.07380522787570953, 0.25770726799964905]	[0.3720585107803345, 0.3788258731365204, 0.0606255978345871, 0.4488629698753357, 0.43505704402923584, 0.08447370678186417, 0.10942093282938004, 0.07925199717283249, 0.07490165531635284, 0.258527934551239]	[0.3717382848262787, 0.38104796409606934, 0.06312741339206696, 0.44727572798728943, 0.43559908866882324, 0.08663327991962433, 0.11242701858282089, 0.08097037672996521, 0.0773245096206665, 0.2611885964870453]	[0.37100228667259216, 0.3889329135417938, 0.07229503244161606, 0.43640297651290894, 0.4389342665672302, 0.09347888827323914, 0.12174325436353683, 0.08579578250646591, 0.0854944959282875, 0.2713763117790222]	[0.4239308834075928, 0.4754025936126709, 0.10910999029874802, 0.30526044964790344, 0.525860071182251, 0.12036678940057755, 0.1353483945131302, 0.1070992723107338, 0.12249235808849335, 0.3413887917995453]	[0.40977728366851807, 0.4272034466266632, 0.08923400938510895, 0.3753853738307953, 0.4723893105983734, 0.11720594763755798, 0.11962384730577469, 0.11073950678110123, 0.10174897313117981, 0.30100247263908386]	[0.2741738259792328, 0.25956884026527405, 0.07961054146289825, 0.6482194662094116, 0.2939896881580353, 0.10025176405906677, 0.1836148500442505, 0.08530605584383011, 0.07790966331958771, 0.20905275642871857]	[0.22890082001686096, 0.22622326016426086, 0.08716747164726257, 0.6995295882225037, 0.23213090002536774, 0.10593730956315994, 0.21141518652439117, 0.08358601480722427, 0.08240900933742523, 0.21842695772647858]	[0.18706203997135162, 0.18664179742336273, 0.11428683251142502, 0.7108755111694336, 0.21489271521568298, 0.14459854364395142, 0.2701115608215332, 0.10461509972810745, 0.11355387419462204, 0.25829339027404785]	
subject1_file_213	[0, 3, 6]	[0.37860485911369324, 0.3769567906856537, 0.10437340289354324, 0.4527509808540344, 0.4353503882884979, 0.14001107215881348, 0.11481081694364548, 0.09914359450340271, 0.0981544479727745, 0.22496098279953003]	[0.37202903628349304, 0.37652093172073364, 0.06002383306622505, 0.4496370255947113, 0.43447333574295044, 0.08361755311489105, 0.10617633163928986, 0.0771486759185791, 0.07223991304636002, 0.255776047706604]	[0.3721993565559387, 0.37597957253456116, 0.058105021715164185, 0.45001688599586487, 0.4344324469566345, 0.08196581900119781, 0.10606571286916733, 0.07725130766630173, 0.0721256211400032, 0.2550666332244873]	[0.3724859952926636, 0.37500351667404175, 0.057819612324237823, 0.4512396454811096, 0.434043288230896, 0.08149143308401108, 0.10553086549043655, 0.07699641585350037, 0.071562759578228, 0.25361770391464233]	[0.3717091977596283, 0.37280741333961487, 0.05852534994482994, 0.45538049936294556, 0.4322656989097595, 0.08086454123258591, 0.1057349443435669, 0.07639415562152863, 0.07131147384643555, 0.2510151267051697]	[0.4126990735530853, 0.4502689242362976, 0.07738795876502991, 0.32368767261505127, 0.5088710784912109, 0.08808883279561996, 0.10747876763343811, 0.08159040659666061, 0.09002953767776489, 0.3046046495437622]	[0.45478808879852295, 0.4964258372783661, 0.07147961854934692, 0.2860490381717682, 0.5437361598014832, 0.09786386042833328, 0.08174940198659897, 0.09592313319444656, 0.08809738606214523, 0.31899234652519226]	[0.4772605895996094, 0.5117904543876648, 0.06613928824663162, 0.2576722502708435, 0.5668516159057617, 0.09329848736524582, 0.07108818739652634, 0.10072541981935501, 0.09122472256422043, 0.33003345131874084]	[0.46898704767227173, 0.4792008399963379, 0.05888690426945686, 0.3013213872909546, 0.559866189956665, 0.0840720534324646, 0.07047820836305618, 0.08957614749670029, 0.07835280150175095, 0.298881858587265]	[0.5799912810325623, 0.5641655921936035, 0.057368602603673935, 0.2615175247192383, 0.6323884725570679, 0.0868365541100502, 0.06494590640068054, 0.09692934155464172, 0.07592891156673431, 0.2684389054775238]	
