in0,in1,in2,in3,in4,in5,in6,in7,in8,in9,in‚ ,in‚¢,in‚¤,inA,inB,inC,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,inƒA,inƒC,inƒE,inD,inE,inF,Time,Number,Date
3.35,4.25,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.72,3.36,3.47,3.34,4.52,4.99,4.99,4.99,4.45,3.76,3.98,4.28,4.99,4.99,4.99,2.5,4.52,3.42,2.72,3.05,0.01,1,2019/11/21
3.35,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.72,3.37,3.47,3.33,4.52,4.99,4.99,4.99,4.44,3.77,3.98,4.29,4.99,4.99,4.99,2.5,4.52,3.42,2.72,3.05,0.05,,
3.35,4.25,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.72,3.37,3.46,3.33,4.52,4.99,4.99,4.99,4.45,3.77,3.99,4.29,4.99,4.99,4.99,2.5,4.53,3.42,2.72,3.04,0.09,,
3.35,4.25,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.72,3.36,3.47,3.33,4.52,4.99,4.99,4.99,4.46,3.77,3.99,4.29,4.99,4.99,4.99,2.5,4.52,3.42,2.72,3.04,0.12,,
3.35,4.25,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.71,3.37,3.46,3.33,4.51,4.99,4.99,4.99,4.46,3.78,3.98,4.29,4.99,4.99,4.99,2.51,4.52,3.42,2.73,3.04,0.16,,
3.35,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.71,3.36,3.46,3.33,4.52,4.99,4.99,4.99,4.47,3.79,4,4.3,4.99,4.99,4.99,2.51,4.5,3.43,2.73,3.05,0.2,,
3.35,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.71,3.36,3.46,3.33,4.51,4.99,4.99,4.99,4.46,3.79,4,4.29,4.99,4.99,4.99,2.52,4.5,3.43,2.73,3.05,0.23,,
3.35,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.71,3.36,3.46,3.33,4.52,4.99,4.99,4.99,4.45,3.79,4,4.29,4.99,4.99,4.99,2.52,4.49,3.43,2.72,3.05,0.27,,
3.36,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.71,3.36,3.45,3.33,4.52,4.99,4.99,4.99,4.46,3.78,4,4.29,4.99,4.99,4.99,2.53,4.49,3.44,2.72,3.04,0.31,,
3.35,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.71,3.36,3.45,3.32,4.52,4.99,4.99,4.99,4.46,3.78,4.01,4.27,4.99,4.99,4.99,2.53,4.49,3.43,2.72,3.04,0.34,,
