in0,in1,in2,in3,in4,in5,in6,in7,in8,in9,inA,inB,inC,in‚ ,in‚¢,in‚¤,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,inD,inE,inF,inƒA,inƒC,inƒE,Time,Tester
0,0,0,0,0,0.23,0,0,1.24,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,4.66,3.35,2.18,0.07,1.15,0,0.15,0.2,fujii
0,0,0,0,0,0,0,0,0.31,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,3.3,2.97,2.19,0.07,1.36,0,1.04,0.38,fujii
0,0,0,0,0,0,0,0,0.27,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,1.02,1.25,1.08,0.03,0.64,0,2.44,0.56,fujii
0,0,0,0,0,0,0,0,1.31,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.2,0.42,0.36,0,0,0,2.26,0.74,fujii
0,0,0.24,0.01,0,0.6,0.01,0,2.08,2.59,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,1.69,1.7,1.29,0.84,0,0.06,0,0.79,0.92,fujii
0,0,0.08,0,0,0.63,0,0,1.47,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,3.72,3.05,2.04,0.07,0.89,0,0,1.1,fujii
0,0,0.15,0.01,0,0.7,0,0,1.76,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,3.16,2.71,1.8,0.04,0.61,0,0.04,1.28,fujii
0,0,0.22,0,0,0.43,0,0,1.98,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,2.48,2.17,1.48,0.03,0.34,0,0.31,1.47,fujii
0,0,0.26,0.01,0,0.37,0,0,2.08,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,1.87,1.71,1.15,0.01,0.11,0,0.63,1.65,fujii
0,0,0.26,0.01,0,0.21,0,0,2.02,2.27,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,1.26,1.25,1.24,0.86,0.01,0,0,1.03,1.84,fujii
0,0,0.1,0,0,0.17,0,0,1.83,2,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.72,0.71,0.83,0.63,0,0,0,1.44,2.02,fujii
0,0,0.15,0,0,0.07,0,0,1.52,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.31,0.56,0.49,0,0,0,1.93,2.2,fujii
0,0,0.1,0,0,0,0,0,1.17,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.21,0.45,0.43,0,0.04,0,2.27,2.39,fujii
0,0,0.03,0,0,0,0,0,0.82,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.2,0.54,0.57,0.01,0.17,0,2.44,2.57,fujii
0,0,0,0,0,0,0,0,0.5,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.52,0.74,0.73,0.02,0.37,0,2.58,2.76,fujii
0,0,0,0,0,0,0,0,0.22,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.92,1.06,0.98,0.03,0.61,0,2.36,2.94,fujii
0,0,0,0,0,0,0,0,0.1,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,1.47,1.57,1.33,0.05,0.88,0,2.05,3.13,fujii
0,0,0,0,0,0,0,0,0.08,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,2,2.07,1.69,0.05,1.13,0,1.56,3.31,fujii
0,0,0,0,0,0,0,0,0.15,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,2.66,2.59,2.05,0.1,1.3,0,1.06,3.49,fujii
0,0,0,0,0,0,0,0,0.32,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69,3.26,3.12,2.38,0.07,1.4,0,0.54,3.68,fujii
