Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject2_file_457	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_679	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_95	0	1	2	2	2	2	2	2	2	2	2	
subject2_file_899	0	1	1	1	1	1	1	1	1	1	1	
subject2_file_368	0	1	1	1	1	1	1	1	1	1	1	
subject2_file_425	0	2	0	0	0	2	2	2	2	2	0	
subject2_file_646	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_52	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_123	0	0	2	2	2	2	0	0	0	0	0	
subject2_file_821	0	1	1	1	1	1	1	1	1	1	1	
subject2_file_641	0	0	0	0	0	1	0	0	0	0	0	
subject2_file_101	0	1	1	1	1	1	1	1	1	1	1	
subject2_file_880	0	0	0	2	2	2	2	2	2	2	2	
subject2_file_743	0	2	1	1	1	1	1	1	1	1	1	
subject2_file_485	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_92	0	1	2	2	2	2	2	2	2	2	2	
subject2_file_25	0	1	1	1	1	1	1	1	1	1	1	
subject2_file_180	0	1	1	1	1	1	1	1	1	1	1	
subject2_file_586	0	1	2	2	2	2	2	2	2	2	2	
subject2_file_453	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_308	0	2	2	1	1	2	2	2	2	2	2	
subject2_file_263	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_847	0	1	1	1	1	0	0	0	0	0	0	
subject2_file_723	0	1	1	1	1	2	2	2	2	2	2	
subject2_file_565	0	1	1	0	1	1	1	0	1	1	1	
subject2_file_37	0	2	2	2	0	2	2	2	2	2	2	
subject2_file_325	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_792	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_872	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_831	0	1	1	1	1	0	0	0	0	0	0	
subject2_file_1	0	1	1	1	1	2	1	1	1	1	1	
subject2_file_257	0	2	0	2	2	2	2	2	2	2	2	
subject2_file_540	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_635	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_803	0	1	2	2	2	2	2	2	2	2	2	
subject2_file_172	0	1	1	1	1	1	1	1	1	1	1	
subject2_file_581	0	1	2	1	1	2	2	2	2	2	2	
subject2_file_674	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_138	1	0	0	0	0	0	0	0	0	0	0	
subject2_file_770	1	0	1	1	1	1	1	1	1	1	1	
subject2_file_4	1	0	1	1	1	1	1	1	1	1	1	
subject2_file_464	1	0	0	0	0	0	0	0	0	0	0	
subject2_file_409	1	1	1	0	1	1	1	1	1	1	1	
subject2_file_218	1	0	0	0	0	0	0	0	0	0	0	
subject2_file_749	1	0	0	0	0	0	0	0	0	0	0	
subject2_file_452	1	2	2	2	2	2	2	2	2	2	2	
subject2_file_517	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_709	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_650	1	0	2	2	2	2	2	2	2	2	2	
subject2_file_96	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_500	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_832	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_980	1	2	1	2	2	2	2	2	2	2	2	
subject2_file_923	1	2	2	2	2	2	2	2	2	2	2	
subject2_file_314	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_731	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_592	1	1	1	1	1	2	2	2	2	2	2	
subject2_file_129	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_549	1	2	2	2	2	1	2	2	2	2	2	
subject2_file_17	1	1	1	1	1	2	2	2	2	2	2	
subject2_file_49	1	2	2	2	2	2	2	2	2	2	2	
subject2_file_402	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_526	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_942	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_724	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_74	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_248	1	2	2	2	2	2	2	2	2	2	2	
subject2_file_344	1	2	2	2	2	2	2	2	2	2	2	
subject2_file_588	1	2	2	2	2	2	2	2	2	2	2	
subject2_file_295	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_658	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_358	1	1	0	0	0	1	0	0	0	0	0	
subject2_file_746	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_541	1	1	1	1	1	2	2	2	2	2	2	
subject2_file_202	1	2	2	2	2	0	0	0	0	0	0	
subject2_file_171	1	2	2	2	2	2	2	2	2	2	2	
subject2_file_840	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_436	1	1	2	2	2	2	2	2	2	2	2	
subject2_file_85	1	0	0	0	0	0	0	0	0	0	0	
subject2_file_681	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_495	1	1	2	2	2	2	2	2	2	2	2	
subject2_file_341	1	2	2	2	2	2	2	2	2	2	2	
subject2_file_522	2	1	2	2	1	2	2	2	2	2	2	
subject2_file_324	2	1	1	1	1	1	2	2	2	2	2	
subject2_file_157	2	2	2	2	2	2	2	2	2	2	2	
subject2_file_775	2	1	1	1	1	2	2	2	2	2	2	
subject2_file_336	2	1	1	1	1	1	1	1	1	1	1	
subject2_file_838	2	0	0	0	2	2	2	2	2	2	2	
subject2_file_911	2	0	0	0	0	0	0	0	0	0	0	
subject2_file_175	2	2	2	2	2	2	2	2	2	2	2	
subject2_file_114	2	1	1	2	2	2	1	1	1	1	1	
subject2_file_926	2	1	1	1	1	0	0	0	0	0	0	
subject2_file_473	2	2	2	2	2	2	2	2	2	2	2	
subject2_file_917	2	2	2	2	2	2	2	2	2	2	2	
subject2_file_763	2	1	1	1	1	2	2	2	2	2	2	
subject2_file_624	2	2	2	2	2	2	2	2	2	2	2	
subject2_file_952	2	0	0	0	0	0	0	0	0	0	0	
subject2_file_328	2	2	1	2	2	1	2	2	2	2	2	
subject2_file_204	2	1	1	1	1	1	1	1	1	1	1	
subject2_file_89	2	1	1	2	1	2	2	2	2	2	2	
subject2_file_616	2	2	2	2	2	2	2	2	2	2	2	
subject2_file_642	2	0	0	0	0	0	0	0	0	0	0	
subject2_file_721	2	0	1	1	1	1	1	1	1	1	1	
subject2_file_199	2	0	1	0	1	0	0	0	0	0	1	
subject2_file_378	2	0	0	0	0	0	0	0	0	0	0	
Total Train loss	-----	0.3596382737159729	0.09357567876577377	0.0327446274459362	0.01844428852200508	0.023408424109220505	0.014110579155385494	0.01161219272762537	0.010379104875028133	0.009649371728301048	0.009161125868558884	
Train Accuracy	-----	0.9180327868852459	0.994535519125683	0.994535519125683	0.994535519125683	0.994535519125683	0.994535519125683	0.994535519125683	0.994535519125683	0.994535519125683	0.994535519125683	
Training time	-----	0:00:16.166401	0:00:15.757522	0:00:11.835324	0:00:15.510971	0:00:15.966546	0:00:15.848605	0:00:15.930206	0:00:15.938980	0:00:15.780614	0:00:15.665011	
Total Test loss	-----	1.506780743598938	2.2545409202575684	2.9672696590423584	3.3156919479370117	3.1648285388946533	3.49153733253479	3.678927183151245	3.8447091579437256	3.9356741905212402	4.024511814117432	
Test Accuracy	-----	0.3333333333333333	0.34285714285714286	0.34285714285714286	0.34285714285714286	0.3523809523809524	0.3619047619047619	0.37142857142857144	0.3619047619047619	0.3619047619047619	0.37142857142857144	
Testing time	-----	0:00:40.157460	0:00:39.903667	0:00:30.349512	0:00:39.479691	0:00:40.140286	0:00:40.212655	0:00:40.474999	0:00:40.091941	0:00:40.509857	0:00:40.021126	
threshold sigmoid train	-----	---	---	---	---	---	---	---	---	---	---	
threshold sigmoid test	-----	---	---	---	---	---	---	---	---	---	---	
