Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject4_file_156	[3]	[0.4135279953479767, 0.4298284351825714, 0.09649424254894257, 0.3686862587928772, 0.47512105107307434, 0.08977934718132019, 0.10805245488882065, 0.0695948600769043, 0.09395144879817963, 0.2719837427139282]	[0.36624565720558167, 0.3272109627723694, 0.07812317460775375, 0.4816533625125885, 0.38077929615974426, 0.051003240048885345, 0.12137923389673233, 0.05596795678138733, 0.04929574206471443, 0.25653761625289917]	[0.3024124503135681, 0.286713570356369, 0.06360721588134766, 0.5683205127716064, 0.3165774345397949, 0.0738949179649353, 0.12960954010486603, 0.07539869099855423, 0.09129079431295395, 0.24320000410079956]	[0.26427075266838074, 0.23115934431552887, 0.04911079257726669, 0.6456491351127625, 0.23113177716732025, 0.05605902522802353, 0.13424266874790192, 0.05983070656657219, 0.07243970036506653, 0.17946965992450714]	[0.34774133563041687, 0.38127583265304565, 0.04348544776439667, 0.635158896446228, 0.14716103672981262, 0.06007705256342888, 0.20988638699054718, 0.07765495032072067, 0.08497753739356995, 0.08455212414264679]	[0.33144673705101013, 0.34644779562950134, 0.030198736116290092, 0.7102010846138, 0.14026959240436554, 0.03244422748684883, 0.16882449388504028, 0.05155009776353836, 0.07092427462339401, 0.05538754165172577]	[0.32863688468933105, 0.35197341442108154, 0.022336050868034363, 0.8221773505210876, 0.073402039706707, 0.024374788627028465, 0.21128924190998077, 0.05082708224654198, 0.07096109539270401, 0.03137534111738205]	[0.3605998456478119, 0.38257506489753723, 0.014599459245800972, 0.8729745745658875, 0.041367046535015106, 0.01704694703221321, 0.3017818033695221, 0.052549928426742554, 0.07832298427820206, 0.016956044360995293]	[0.2878885269165039, 0.42373931407928467, 0.006191760301589966, 0.8939934372901917, 0.030939089134335518, 0.01170770451426506, 0.3335593342781067, 0.05759138986468315, 0.06466639786958694, 0.015600284561514854]	[0.8329616189002991, 0.423382043838501, 0.061614613980054855, 0.37902048230171204, 0.5800793170928955, 0.05374133586883545, 0.15717151761054993, 0.12119029462337494, 0.10740568488836288, 0.15256375074386597]	
subject4_file_414	[3]	[0.4101204574108124, 0.44595688581466675, 0.09916813671588898, 0.35519540309906006, 0.47945863008499146, 0.09874992817640305, 0.1218528002500534, 0.07565337419509888, 0.09815533459186554, 0.2742907702922821]	[0.45807138085365295, 0.5029815435409546, 0.10011491924524307, 0.28806379437446594, 0.5045164227485657, 0.08179577440023422, 0.09505356848239899, 0.05218159407377243, 0.05917222797870636, 0.2654131352901459]	[0.4666607677936554, 0.5219022035598755, 0.0967056080698967, 0.2548711895942688, 0.5145869851112366, 0.07251148670911789, 0.09594134986400604, 0.05531785264611244, 0.05564150586724281, 0.27844294905662537]	[0.5138388872146606, 0.5485614538192749, 0.09301944077014923, 0.21427759528160095, 0.5459132790565491, 0.07194893807172775, 0.07435254007577896, 0.05083052068948746, 0.04509996250271797, 0.2645055055618286]	[0.5142014026641846, 0.5533414483070374, 0.10190849751234055, 0.17709892988204956, 0.6141358613967896, 0.07239338755607605, 0.05708753690123558, 0.046033985912799835, 0.045825693756341934, 0.2546493709087372]	[0.5182868242263794, 0.5565407872200012, 0.07102076709270477, 0.2230907380580902, 0.501017153263092, 0.0585496760904789, 0.052341584116220474, 0.03894520923495293, 0.03440003842115402, 0.17663563787937164]	[0.3889475464820862, 0.5080000162124634, 0.0367172434926033, 0.2582547664642334, 0.4440038800239563, 0.04438694193959236, 0.0355830118060112, 0.029360951855778694, 0.021665921434760094, 0.18542695045471191]	[0.366481751203537, 0.6017705202102661, 0.022882599383592606, 0.25293833017349243, 0.4111819267272949, 0.03516843542456627, 0.03145498409867287, 0.025088416412472725, 0.017579155042767525, 0.13784794509410858]	[0.37791693210601807, 0.7343722581863403, 0.01609153114259243, 0.26403969526290894, 0.38684025406837463, 0.028171289712190628, 0.03372825309634209, 0.021535297855734825, 0.013678754679858685, 0.09694251418113708]	[0.846130907535553, 0.524037778377533, 0.21677881479263306, 0.08823391795158386, 0.8934611082077026, 0.12272986769676208, 0.028086325153708458, 0.058511171489953995, 0.036987099796533585, 0.3975226879119873]	
subject4_file_650	[3]	[0.4161887764930725, 0.4428979754447937, 0.10161801427602768, 0.3607299029827118, 0.47745731472969055, 0.0984426811337471, 0.11512506008148193, 0.07274015247821808, 0.09614221751689911, 0.27530553936958313]	[0.3074379861354828, 0.298707515001297, 0.06319879740476608, 0.4654429256916046, 0.33754822611808777, 0.05087165907025337, 0.12963244318962097, 0.05945060774683952, 0.05489204823970795, 0.24296802282333374]	[0.46343719959259033, 0.5119444727897644, 0.09661313146352768, 0.25770989060401917, 0.5090659260749817, 0.07226990908384323, 0.09344923496246338, 0.05397338420152664, 0.05527382716536522, 0.2787402272224426]	[0.509959876537323, 0.541839063167572, 0.09423930943012238, 0.21470101177692413, 0.5449506640434265, 0.07269984483718872, 0.07345163077116013, 0.050371430814266205, 0.04542636126279831, 0.2699626684188843]	[0.49441972374916077, 0.522794783115387, 0.09725631028413773, 0.1848093569278717, 0.606208324432373, 0.07170264422893524, 0.05542604625225067, 0.044451650232076645, 0.04416738823056221, 0.2629290819168091]	[0.3131139874458313, 0.39565470814704895, 0.01765112578868866, 0.7032623291015625, 0.10214123874902725, 0.034962382167577744, 0.2048986703157425, 0.061566226184368134, 0.05618014931678772, 0.06861881911754608]	[0.4293074905872345, 0.5244534015655518, 0.04643510654568672, 0.21099144220352173, 0.5973660945892334, 0.05641921982169151, 0.036347828805446625, 0.03970251977443695, 0.02406216599047184, 0.29339608550071716]	[0.4292580485343933, 0.5662158727645874, 0.03500449284911156, 0.18013323843479156, 0.6667431592941284, 0.053436849266290665, 0.02935914322733879, 0.04132813215255737, 0.02125374972820282, 0.31908687949180603]	[0.4003394842147827, 0.6859094500541687, 0.021362775936722755, 0.20789982378482819, 0.5519331097602844, 0.03983251005411148, 0.030451245605945587, 0.03126104921102524, 0.016360681504011154, 0.19567270576953888]	[0.8287001252174377, 0.5479322075843811, 0.05721772462129593, 0.3423353135585785, 0.5740754008293152, 0.05475636199116707, 0.18759554624557495, 0.14168839156627655, 0.11753424257040024, 0.13508571684360504]	
subject4_file_166	[3]	[0.3113056719303131, 0.28261905908584595, 0.07120846956968307, 0.48924633860588074, 0.38751503825187683, 0.0655546486377716, 0.13915683329105377, 0.08254563808441162, 0.08802609145641327, 0.29784679412841797]	[0.5080122947692871, 0.5084845423698425, 0.1184615045785904, 0.31405583024024963, 0.5303327441215515, 0.08287768065929413, 0.08490701019763947, 0.0473468117415905, 0.05344328656792641, 0.2756335437297821]	[0.4716353416442871, 0.497625470161438, 0.09492376446723938, 0.27563410997390747, 0.5020153522491455, 0.07104665040969849, 0.09324384480714798, 0.05205937474966049, 0.052860185503959656, 0.27516970038414]	[0.5362969636917114, 0.5439155101776123, 0.09869548678398132, 0.22611002624034882, 0.5486401915550232, 0.07427112758159637, 0.07672302424907684, 0.05035680532455444, 0.04499063268303871, 0.2747891843318939]	[0.5716808438301086, 0.5752882361412048, 0.12219841033220291, 0.17606963217258453, 0.6208398938179016, 0.07969948649406433, 0.06111682578921318, 0.04657646641135216, 0.0497361496090889, 0.2519493103027344]	[0.6451022624969482, 0.6259663105010986, 0.10274943709373474, 0.20528653264045715, 0.5494644641876221, 0.06892849504947662, 0.05877545103430748, 0.04179760068655014, 0.03910062834620476, 0.16578538715839386]	[0.7233391404151917, 0.6745612025260925, 0.115960031747818, 0.1785232275724411, 0.6262869834899902, 0.07591793686151505, 0.05193221941590309, 0.04363073408603668, 0.036909669637680054, 0.17495231330394745]	[0.8008894920349121, 0.6994482278823853, 0.11549334973096848, 0.1704256534576416, 0.714187502861023, 0.07585988193750381, 0.049841057509183884, 0.04804469645023346, 0.034058038145303726, 0.1655355989933014]	[0.8541325330734253, 0.7712571620941162, 0.11858470737934113, 0.16808485984802246, 0.7578596472740173, 0.08659109473228455, 0.058157943189144135, 0.05818885192275047, 0.034390829503536224, 0.1646125316619873]	[0.8881897926330566, 0.5206894874572754, 0.22711874544620514, 0.11567698419094086, 0.8917437791824341, 0.11512739956378937, 0.029187431558966637, 0.050736475735902786, 0.028822315856814384, 0.3348911702632904]	
subject4_file_173	[3]	[0.19092801213264465, 0.17563742399215698, 0.04763730242848396, 0.5744082927703857, 0.2877868115901947, 0.08220519870519638, 0.14888152480125427, 0.08833848685026169, 0.10039643198251724, 0.26471182703971863]	[0.14664976298809052, 0.14159762859344482, 0.0396801121532917, 0.7420164346694946, 0.23273636400699615, 0.07150249183177948, 0.15128713846206665, 0.09442856162786484, 0.08019323647022247, 0.2694524824619293]	[0.22331298887729645, 0.18804234266281128, 0.06374607980251312, 0.7628828287124634, 0.29008719325065613, 0.1004285216331482, 0.13322646915912628, 0.08686630427837372, 0.08921099454164505, 0.25824475288391113]	[0.18438006937503815, 0.16187307238578796, 0.03706226870417595, 0.8096393942832947, 0.19928930699825287, 0.0629836693406105, 0.14894214272499084, 0.06755141913890839, 0.06258974224328995, 0.15461216866970062]	[0.244368314743042, 0.3178611695766449, 0.042157694697380066, 0.7494970560073853, 0.2157188057899475, 0.052749887108802795, 0.1704932302236557, 0.07325280457735062, 0.0815415233373642, 0.08123186975717545]	[0.2591979503631592, 0.3130403757095337, 0.02834067866206169, 0.8606513142585754, 0.12014476954936981, 0.0350632481276989, 0.2035316675901413, 0.0701204240322113, 0.06694424152374268, 0.04717180132865906]	[0.288571834564209, 0.274434894323349, 0.02504805475473404, 0.9082709550857544, 0.06979053467512131, 0.0271832887083292, 0.26046034693717957, 0.07224778085947037, 0.07121507823467255, 0.03451438620686531]	[0.3320122957229614, 0.19945719838142395, 0.021181361749768257, 0.9143784046173096, 0.07555707544088364, 0.020958390086889267, 0.2828022539615631, 0.07314370572566986, 0.07009472697973251, 0.030522191897034645]	[0.34929004311561584, 0.11738205701112747, 0.019901476800441742, 0.9177154898643494, 0.08858539909124374, 0.017294973134994507, 0.24898909032344818, 0.08355951309204102, 0.06985826045274734, 0.03567115589976311]	[0.5034348368644714, 0.09604190289974213, 0.023515159264206886, 0.9069476127624512, 0.16417959332466125, 0.017697378993034363, 0.25887060165405273, 0.11909770965576172, 0.0712437629699707, 0.05229003354907036]	
subject4_file_174	[3]	[0.40458035469055176, 0.43144431710243225, 0.09713280946016312, 0.3650633692741394, 0.47213783860206604, 0.09780272841453552, 0.11534170061349869, 0.07257737219333649, 0.09601785242557526, 0.2724573016166687]	[0.44868358969688416, 0.4816955626010895, 0.09865409880876541, 0.3055020570755005, 0.4928700029850006, 0.08166951686143875, 0.09052525460720062, 0.05039505660533905, 0.05778346210718155, 0.26612114906311035]	[0.46480658650398254, 0.5154260993003845, 0.09584467113018036, 0.2622985243797302, 0.5139886140823364, 0.07258172333240509, 0.0931314006447792, 0.05385763943195343, 0.05402601510286331, 0.28016796708106995]	[0.5049578547477722, 0.5343228578567505, 0.08869513124227524, 0.22042304277420044, 0.539618968963623, 0.07107681781053543, 0.07177276164293289, 0.04823927581310272, 0.04326838254928589, 0.2587432861328125]	[0.44448015093803406, 0.4448317289352417, 0.07181264460086823, 0.2268924117088318, 0.5692479014396667, 0.06236245110630989, 0.05076558142900467, 0.03805539757013321, 0.03447507694363594, 0.25018545985221863]	[0.4034600257873535, 0.44619524478912354, 0.04441560432314873, 0.29341110587120056, 0.41999319195747375, 0.047798607498407364, 0.04565328359603882, 0.031192060559988022, 0.025260325521230698, 0.17201866209506989]	[0.35633307695388794, 0.48690658807754517, 0.034419745206832886, 0.25941964983940125, 0.43943479657173157, 0.04369175806641579, 0.03371549770236015, 0.028199274092912674, 0.020894162356853485, 0.19396448135375977]	[0.3371257483959198, 0.5826298594474792, 0.021611647680401802, 0.25449228286743164, 0.41753196716308594, 0.03506561368703842, 0.030043993145227432, 0.024567818269133568, 0.016776764765381813, 0.14844822883605957]	[0.3381084203720093, 0.7093124985694885, 0.014877326786518097, 0.26837313175201416, 0.3948453664779663, 0.02777782268822193, 0.03130485862493515, 0.02071339450776577, 0.012640389613807201, 0.10574973374605179]	[0.7302558422088623, 0.38831064105033875, 0.03587827831506729, 0.5381718277931213, 0.5086105465888977, 0.042037975043058395, 0.16092747449874878, 0.1438014805316925, 0.09257148951292038, 0.09992234408855438]	
subject4_file_165	[3]	[0.41146066784858704, 0.4190831482410431, 0.09713605046272278, 0.38187190890312195, 0.46772539615631104, 0.09691499173641205, 0.10827149450778961, 0.07083616405725479, 0.09618353843688965, 0.27239373326301575]	[0.5074703693389893, 0.515345573425293, 0.12048181146383286, 0.3291704058647156, 0.5414291620254517, 0.08691102266311646, 0.08765532076358795, 0.04956973344087601, 0.05327530577778816, 0.28375735878944397]	[0.46914830803871155, 0.48506009578704834, 0.09239979833364487, 0.2921791076660156, 0.501646876335144, 0.07224757224321365, 0.0934479758143425, 0.05214948207139969, 0.05104716122150421, 0.2753455638885498]	[0.536950409412384, 0.5247244834899902, 0.08725002408027649, 0.24743880331516266, 0.535900354385376, 0.06976298987865448, 0.07565445452928543, 0.048245761543512344, 0.04004640504717827, 0.254567950963974]	[0.6099220514297485, 0.6097348928451538, 0.1303403526544571, 0.1731284111738205, 0.6530348658561707, 0.0830799788236618, 0.0638442188501358, 0.050775106996297836, 0.04991623014211655, 0.2612953782081604]	[0.6792045831680298, 0.643165111541748, 0.11993531882762909, 0.1900399625301361, 0.600601851940155, 0.07724755257368088, 0.060660798102617264, 0.04713999480009079, 0.041670847684144974, 0.19407330453395844]	[0.7502375841140747, 0.6603912711143494, 0.14341774582862854, 0.1637805551290512, 0.6833571791648865, 0.09181244671344757, 0.05280427634716034, 0.05122947692871094, 0.04110412299633026, 0.2289401739835739]	[0.8161028623580933, 0.6113620400428772, 0.16883745789527893, 0.1453876942396164, 0.8096061944961548, 0.10266261547803879, 0.044672995805740356, 0.059627462178468704, 0.03825437277555466, 0.2898249328136444]	[0.8219521641731262, 0.4550536274909973, 0.22379040718078613, 0.11851750314235687, 0.8764086961746216, 0.1249784380197525, 0.028815876692533493, 0.059249039739370346, 0.037179239094257355, 0.41368308663368225]	[0.8725928664207458, 0.40191322565078735, 0.29960036277770996, 0.10434678196907043, 0.9101840257644653, 0.15121276676654816, 0.025180527940392494, 0.057529669255018234, 0.03398538753390312, 0.47581785917282104]	
subject4_file_154	[3]	[0.3120400905609131, 0.2707599103450775, 0.07018418610095978, 0.5173426866531372, 0.38318079710006714, 0.0677361935377121, 0.13779044151306152, 0.08678889274597168, 0.09398238360881805, 0.2990945875644684]	[0.31924739480018616, 0.265791118144989, 0.07969165593385696, 0.6104001402854919, 0.35704243183135986, 0.06636790186166763, 0.12643258273601532, 0.07002896070480347, 0.06235690414905548, 0.2769622802734375]	[0.2671937048435211, 0.22258105874061584, 0.07201196253299713, 0.6608855128288269, 0.29298391938209534, 0.08702307939529419, 0.1258232742547989, 0.07769118994474411, 0.09622267633676529, 0.2625024914741516]	[0.22673384845256805, 0.18022875487804413, 0.05249985679984093, 0.7105737924575806, 0.21352078020572662, 0.06474599987268448, 0.1378128081560135, 0.06267525255680084, 0.07768343389034271, 0.19815318286418915]	[0.22967033088207245, 0.20063893496990204, 0.031896550208330154, 0.7978426218032837, 0.11630935221910477, 0.06086328253149986, 0.20223216712474823, 0.0791555866599083, 0.06905809789896011, 0.12073483318090439]	[0.3962450325489044, 0.37515491247177124, 0.0430559441447258, 0.592570960521698, 0.21489395201206207, 0.04223830997943878, 0.17239750921726227, 0.06059040129184723, 0.08613434433937073, 0.08461089432239532]	[0.5240302681922913, 0.4439659118652344, 0.04399188980460167, 0.5487279891967773, 0.28142982721328735, 0.04653771221637726, 0.18327154219150543, 0.07109872251749039, 0.09012984484434128, 0.09621996432542801]	[0.5289028286933899, 0.5010111331939697, 0.024383701384067535, 0.6539537906646729, 0.15071052312850952, 0.02735097147524357, 0.21059125661849976, 0.05437322333455086, 0.08057769387960434, 0.030764637514948845]	[0.6426315903663635, 0.6337403655052185, 0.0240482147783041, 0.6244139671325684, 0.14920330047607422, 0.023615460842847824, 0.2460622936487198, 0.05833955481648445, 0.08530323207378387, 0.022901713848114014]	[0.7790059447288513, 0.24815770983695984, 0.11139680445194244, 0.3319568634033203, 0.6585489511489868, 0.09012503176927567, 0.13027110695838928, 0.15695688128471375, 0.15450213849544525, 0.33181968331336975]	
subject4_file_171	[3]	[0.4568712115287781, 0.47163471579551697, 0.11703763902187347, 0.3643786907196045, 0.4845242500305176, 0.1109071671962738, 0.11686631292104721, 0.07290206104516983, 0.09375693649053574, 0.2847065329551697]	[0.46954041719436646, 0.5229291319847107, 0.10713571310043335, 0.2807306945323944, 0.5218581557273865, 0.08463365584611893, 0.09901633113622665, 0.054939690977334976, 0.06087451055645943, 0.27238109707832336]	[0.4642266035079956, 0.5219298005104065, 0.10140474140644073, 0.2512303292751312, 0.5182854533195496, 0.07527973502874374, 0.09898687899112701, 0.05809440463781357, 0.0586576834321022, 0.28923124074935913]	[0.512662947177887, 0.551321804523468, 0.10422133654356003, 0.2047945261001587, 0.5629481077194214, 0.07841647416353226, 0.07779273390769958, 0.05573907867074013, 0.05011164769530296, 0.2989566922187805]	[0.5094593167304993, 0.542854905128479, 0.12336599081754684, 0.15593329071998596, 0.6645171642303467, 0.08660769462585449, 0.060440544039011, 0.055194318294525146, 0.05445798486471176, 0.34358352422714233]	[0.5303119421005249, 0.5661096572875977, 0.10303211957216263, 0.16180530190467834, 0.6281079053878784, 0.08029210567474365, 0.05502116680145264, 0.05460881069302559, 0.046149842441082, 0.3017861247062683]	[0.4206125736236572, 0.5108636021614075, 0.05806341394782066, 0.17839618027210236, 0.6322779059410095, 0.06720345467329025, 0.03715324029326439, 0.04716823250055313, 0.030117284506559372, 0.3601732850074768]	[0.31819355487823486, 0.5588093400001526, 0.027211293578147888, 0.2112608253955841, 0.4476654529571533, 0.03990766778588295, 0.02910362184047699, 0.028541242703795433, 0.02107137069106102, 0.18819282948970795]	[0.2913224697113037, 0.622563362121582, 0.01993604004383087, 0.20911866426467896, 0.43083009123802185, 0.03048279695212841, 0.024724310263991356, 0.021800169721245766, 0.015800021588802338, 0.15178902447223663]	[0.715231716632843, 0.31802716851234436, 0.38960134983062744, 0.04563944786787033, 0.9215667843818665, 0.2780781388282776, 0.026148933917284012, 0.11440090090036392, 0.10417983680963516, 0.7826833128929138]	
subject4_file_17	[3]	[0.4156382083892822, 0.43840575218200684, 0.1014881506562233, 0.3609178960323334, 0.47232872247695923, 0.09647093713283539, 0.11244595795869827, 0.07067234814167023, 0.09475471079349518, 0.2753097712993622]	[0.28622403740882874, 0.2836734354496002, 0.058768920600414276, 0.46947628259658813, 0.3220767676830292, 0.04889805614948273, 0.1298898160457611, 0.05962289869785309, 0.05552881211042404, 0.2397836297750473]	[0.4598696827888489, 0.5133076310157776, 0.09719771146774292, 0.2512880265712738, 0.5015599131584167, 0.07035498321056366, 0.09266073256731033, 0.053046613931655884, 0.0561557337641716, 0.27093562483787537]	[0.5062606930732727, 0.5423882007598877, 0.09289570897817612, 0.21359127759933472, 0.5297465324401855, 0.06903690099716187, 0.07272912561893463, 0.04899757727980614, 0.04501202702522278, 0.25420433282852173]	[0.4920271337032318, 0.5235514640808105, 0.08982545137405396, 0.19376035034656525, 0.5752931833267212, 0.06413142383098602, 0.05417691543698311, 0.04143787920475006, 0.04121430218219757, 0.22929249703884125]	[0.32133087515830994, 0.4047240912914276, 0.0177032258361578, 0.7142303586006165, 0.09836845099925995, 0.0342818908393383, 0.21094845235347748, 0.062116775661706924, 0.056518543511629105, 0.06159237027168274]	[0.19070221483707428, 0.3074411451816559, 0.008630365133285522, 0.7593734860420227, 0.11104707419872284, 0.020480748265981674, 0.14889757335186005, 0.04500527307391167, 0.04348425939679146, 0.05289246141910553]	[0.364220529794693, 0.6217133402824402, 0.021492158994078636, 0.2526257634162903, 0.4068163335323334, 0.03547480329871178, 0.03356532007455826, 0.026909295469522476, 0.01855066977441311, 0.1370467096567154]	[0.36216092109680176, 0.7365763187408447, 0.015320618636906147, 0.25506162643432617, 0.379543274641037, 0.02801438607275486, 0.03389143571257591, 0.02256753481924534, 0.014606978744268417, 0.09966842085123062]	[0.768718421459198, 0.5704520344734192, 0.046834591776132584, 0.5533795952796936, 0.4579399526119232, 0.05572232976555824, 0.2842365503311157, 0.22905761003494263, 0.13904939591884613, 0.08376045525074005]	
