Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject1_file_622	0	[0.24212978780269623, 0.8641464114189148, 0.645792543888092]	[0.22997501492500305, 0.5697041153907776, 0.8887067437171936]	[0.21804441511631012, 0.5701053142547607, 0.8635205030441284]	[0.15102525055408478, 0.5642234683036804, 0.907118558883667]	[0.09486174583435059, 0.6155997514724731, 0.9447178244590759]	[0.1611705869436264, 0.4996892809867859, 0.8814179301261902]	[0.11072973906993866, 0.4677273631095886, 0.9092506170272827]	[0.10278795659542084, 0.4546368420124054, 0.9215806126594543]	[0.06701643019914627, 0.5463207960128784, 0.9330881237983704]	[0.05205536633729935, 0.8688488602638245, 0.7495591044425964]	
subject1_file_869	0	[0.2639598250389099, 0.5163117051124573, 0.5380296111106873]	[0.30742529034614563, 0.7381165027618408, 0.5108821392059326]	[0.3152932822704315, 0.7871297001838684, 0.5457788705825806]	[0.2246042639017105, 0.8257597088813782, 0.6084846258163452]	[0.07912556082010269, 0.9520877599716187, 0.4904516637325287]	[0.24063120782375336, 0.8196132779121399, 0.43822920322418213]	[0.1587103009223938, 0.864284336566925, 0.45881789922714233]	[0.036130089312791824, 0.9804876446723938, 0.2234002947807312]	[0.025620704516768456, 0.985406756401062, 0.22368323802947998]	[0.03829583525657654, 0.9760690927505493, 0.2376689910888672]	
subject1_file_807	0	[0.3725036680698395, 0.7375889420509338, 0.2641961872577667]	[0.435366690158844, 0.7650288343429565, 0.27809271216392517]	[0.3246021568775177, 0.881926953792572, 0.35787707567214966]	[0.2879740595817566, 0.8927736282348633, 0.34955212473869324]	[0.2754344642162323, 0.9006547331809998, 0.34821951389312744]	[0.3184446394443512, 0.8480667471885681, 0.24707554280757904]	[0.2744690775871277, 0.8731797337532043, 0.21836967766284943]	[0.2748100459575653, 0.8731440305709839, 0.217446967959404]	[0.22719325125217438, 0.900524377822876, 0.21855685114860535]	[0.15354907512664795, 0.9338231682777405, 0.23917047679424286]	
subject1_file_463	0	[0.2589585781097412, 0.6429606080055237, 0.6134321689605713]	[0.2585550546646118, 0.7187764048576355, 0.7161991596221924]	[0.26224851608276367, 0.6776187419891357, 0.7203397154808044]	[0.18657059967517853, 0.9049680829048157, 0.5119982957839966]	[0.18348835408687592, 0.6001929044723511, 0.8742208480834961]	[0.34347003698349, 0.422160267829895, 0.7664035558700562]	[0.28448593616485596, 0.44118404388427734, 0.788050651550293]	[0.29047098755836487, 0.3893895745277405, 0.8351999521255493]	[0.34117013216018677, 0.291175901889801, 0.8810602426528931]	[0.32189732789993286, 0.2894413471221924, 0.8876686096191406]	
subject1_file_830	0	[0.3379707336425781, 0.8422648906707764, 0.20228296518325806]	[0.28350284695625305, 0.8954458236694336, 0.1619749516248703]	[0.40642035007476807, 0.7563861012458801, 0.31156107783317566]	[0.2635577619075775, 0.8458561897277832, 0.31258177757263184]	[0.17029552161693573, 0.9033451080322266, 0.3244446814060211]	[0.16325008869171143, 0.9255746603012085, 0.26489150524139404]	[0.11700452864170074, 0.9423882961273193, 0.27035656571388245]	[0.06069284677505493, 0.9734058380126953, 0.21427100896835327]	[0.04044308513402939, 0.9819528460502625, 0.21678106486797333]	[0.03403127193450928, 0.9831445217132568, 0.23977091908454895]	
subject1_file_272	0	[0.3384263813495636, 0.7675322890281677, 0.4269704818725586]	[0.6057867407798767, 0.23009514808654785, 0.7509245276451111]	[0.38780519366264343, 0.7242955565452576, 0.4637048542499542]	[0.31611475348472595, 0.5891782641410828, 0.779789388179779]	[0.2807409167289734, 0.5631662607192993, 0.8675898313522339]	[0.4159626364707947, 0.49386417865753174, 0.7585875988006592]	[0.29570499062538147, 0.5300338864326477, 0.8199887871742249]	[0.2924276292324066, 0.4617084860801697, 0.8738977313041687]	[0.35320353507995605, 0.311526894569397, 0.9188511371612549]	[0.35491734743118286, 0.07596895098686218, 0.9788515567779541]	
subject1_file_382	0	[0.643875777721405, 0.28709086775779724, 0.4648406207561493]	[0.6994226574897766, 0.13448746502399445, 0.6417116522789001]	[0.4541580379009247, 0.5364775061607361, 0.6114474534988403]	[0.4016943871974945, 0.48925215005874634, 0.7628764510154724]	[0.4263613224029541, 0.344349205493927, 0.8780490159988403]	[0.7852669358253479, 0.16192710399627686, 0.6925885677337646]	[0.7178851962089539, 0.1508166342973709, 0.8091102838516235]	[0.6641317009925842, 0.128755122423172, 0.8967036604881287]	[0.6367149949073792, 0.1049015149474144, 0.9361056089401245]	[0.7170624136924744, 0.08184205740690231, 0.909696102142334]	
subject1_file_588	0	[0.30923765897750854, 0.48289763927459717, 0.8699525594711304]	[0.2565634846687317, 0.40983814001083374, 0.9398477077484131]	[0.2127320021390915, 0.4893850088119507, 0.8768108487129211]	[0.14623889327049255, 0.4371410012245178, 0.9336520433425903]	[0.10956685990095139, 0.42397540807724, 0.9581745266914368]	[0.12603117525577545, 0.3921228051185608, 0.9045478701591492]	[0.06396744400262833, 0.48228806257247925, 0.9287592172622681]	[0.04243380203843117, 0.5139272212982178, 0.9486911296844482]	[0.02665509656071663, 0.579127311706543, 0.9640311598777771]	[0.02799822948873043, 0.5439514517784119, 0.9711941480636597]	
subject1_file_140	0	[0.21757405996322632, 0.8289211988449097, 0.3236587345600128]	[0.1631627380847931, 0.9192864298820496, 0.3572978079319]	[0.2610744833946228, 0.8410274386405945, 0.5015315413475037]	[0.15848901867866516, 0.8811818361282349, 0.5707211494445801]	[0.07334142178297043, 0.9476472735404968, 0.5243579149246216]	[0.09744405001401901, 0.9447540044784546, 0.25510597229003906]	[0.11604581028223038, 0.893326461315155, 0.4530949890613556]	[0.057322822511196136, 0.9576804041862488, 0.33699020743370056]	[0.03356798738241196, 0.977275013923645, 0.29908692836761475]	[0.029322687536478043, 0.9792777895927429, 0.30444929003715515]	
subject1_file_213	0	[0.35201141238212585, 0.7493008375167847, 0.20000620186328888]	[0.24834008514881134, 0.9085869193077087, 0.3852311074733734]	[0.26753050088882446, 0.9170024394989014, 0.2446315586566925]	[0.19531089067459106, 0.9480594992637634, 0.1967688947916031]	[0.16465377807617188, 0.9597218632698059, 0.1782061904668808]	[0.20415078103542328, 0.9350350499153137, 0.08944947272539139]	[0.1906174272298813, 0.9336795210838318, 0.08156472444534302]	[0.16629256308078766, 0.9417421817779541, 0.07781388610601425]	[0.14149150252342224, 0.9522112607955933, 0.08347964286804199]	[0.1260037124156952, 0.9588753581047058, 0.08415158838033676]	
