Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject3_file_867	0	[0.49173858761787415, 0.5689781904220581, 0.4933515191078186]	[0.4868638217449188, 0.6801438331604004, 0.40315428376197815]	[0.532338559627533, 0.675744354724884, 0.3654683530330658]	[0.5573838949203491, 0.6826633810997009, 0.34067898988723755]	[0.5246502161026001, 0.7448848485946655, 0.30369362235069275]	[0.5055068135261536, 0.7822315096855164, 0.2692791819572449]	[0.520953357219696, 0.8001278638839722, 0.22539667785167694]	[0.5567731261253357, 0.8140759468078613, 0.19054213166236877]	[0.5613571405410767, 0.8249696493148804, 0.1749955117702484]	[0.5743614435195923, 0.8393005728721619, 0.15117058157920837]	
subject3_file_537	0	[0.487912654876709, 0.5394177436828613, 0.5224563479423523]	[0.47563353180885315, 0.5764933824539185, 0.5062965154647827]	[0.49027079343795776, 0.5759643912315369, 0.4891556203365326]	[0.49770885705947876, 0.5972902774810791, 0.46703270077705383]	[0.47807276248931885, 0.6404485106468201, 0.44620275497436523]	[0.462081640958786, 0.6724782586097717, 0.42487800121307373]	[0.4757685959339142, 0.6926277279853821, 0.38133469223976135]	[0.4925476014614105, 0.7036618590354919, 0.35814201831817627]	[0.49705013632774353, 0.7165732979774475, 0.3408941626548767]	[0.5031628608703613, 0.7302878499031067, 0.31896957755088806]	
subject3_file_753	0	[0.4878789484500885, 0.5393961071968079, 0.5224962830543518]	[0.47544625401496887, 0.5764995217323303, 0.506439745426178]	[0.49011871218681335, 0.5760362148284912, 0.489227294921875]	[0.49756336212158203, 0.597368061542511, 0.46710205078125]	[0.477874219417572, 0.6406079530715942, 0.44625815749168396]	[0.4618138372898102, 0.6726863980293274, 0.42494797706604004]	[0.47547686100006104, 0.6928687691688538, 0.381378710269928]	[0.4921819865703583, 0.703919529914856, 0.35824471712112427]	[0.4966946244239807, 0.7168189287185669, 0.3409939110279083]	[0.5028089880943298, 0.7305383086204529, 0.31905195116996765]	
subject3_file_335	0	[0.4878321886062622, 0.5390929579734802, 0.5226004719734192]	[0.47575098276138306, 0.575572669506073, 0.5067429542541504]	[0.4906695783138275, 0.5745848417282104, 0.4896697998046875]	[0.49831536412239075, 0.5957057476043701, 0.46747204661369324]	[0.4792806804180145, 0.6381574869155884, 0.44669124484062195]	[0.4636630117893219, 0.6696097254753113, 0.42567428946495056]	[0.4774637222290039, 0.6893984079360962, 0.38257476687431335]	[0.49444398283958435, 0.7005383372306824, 0.3589950203895569]	[0.4989703595638275, 0.7132613062858582, 0.3420281410217285]	[0.5051066875457764, 0.7268359661102295, 0.32033008337020874]	
subject3_file_718	0	[0.4878321886062622, 0.5390929579734802, 0.5226004719734192]	[0.47575098276138306, 0.575572669506073, 0.5067429542541504]	[0.4906695783138275, 0.5745847821235657, 0.4896697998046875]	[0.49831536412239075, 0.5957057476043701, 0.46747204661369324]	[0.47928062081336975, 0.6381574869155884, 0.44669124484062195]	[0.4636630117893219, 0.6696097254753113, 0.42567428946495056]	[0.4774637222290039, 0.6893984079360962, 0.38257476687431335]	[0.49444398283958435, 0.7005383372306824, 0.3589950203895569]	[0.4989703595638275, 0.7132613062858582, 0.34202808141708374]	[0.5051067471504211, 0.7268359661102295, 0.32033005356788635]	
subject3_file_855	0	[0.4878321886062622, 0.5390929579734802, 0.5226004719734192]	[0.4757509231567383, 0.575572669506073, 0.5067429542541504]	[0.4906695783138275, 0.5745847821235657, 0.4896697998046875]	[0.49831536412239075, 0.5957057476043701, 0.46747204661369324]	[0.47928062081336975, 0.6381574869155884, 0.44669124484062195]	[0.4636630117893219, 0.6696097254753113, 0.42567428946495056]	[0.4774637222290039, 0.6893984079360962, 0.38257476687431335]	[0.49444398283958435, 0.7005383372306824, 0.3589950203895569]	[0.4989703595638275, 0.7132613062858582, 0.34202808141708374]	[0.5051067471504211, 0.7268359661102295, 0.32033005356788635]	
subject3_file_850	0	[0.49479347467422485, 0.5524955987930298, 0.5068686008453369]	[0.48552748560905457, 0.6125770807266235, 0.4679655432701111]	[0.5144464373588562, 0.6124853491783142, 0.4385961890220642]	[0.5353136658668518, 0.6325147747993469, 0.4072430729866028]	[0.5190179347991943, 0.6855586171150208, 0.37043869495391846]	[0.5035157799720764, 0.7236608862876892, 0.3376532793045044]	[0.524486243724823, 0.7457355856895447, 0.28426000475883484]	[0.5621616244316101, 0.7597543001174927, 0.24327877163887024]	[0.5693294405937195, 0.7700832486152649, 0.22685976326465607]	[0.5814278721809387, 0.7828060984611511, 0.2033831924200058]	
subject3_file_901	0	[0.495319128036499, 0.5746005773544312, 0.48594433069229126]	[0.4919978678226471, 0.6922339797019958, 0.38727864623069763]	[0.5453698039054871, 0.6872915029525757, 0.34452325105667114]	[0.5799395442008972, 0.6934420466423035, 0.3139185905456543]	[0.5555013418197632, 0.7570610642433167, 0.268558531999588]	[0.5430251955986023, 0.7952989339828491, 0.22808890044689178]	[0.5634957551956177, 0.8130918145179749, 0.1836760938167572]	[0.6169891357421875, 0.8286512494087219, 0.14125223457813263]	[0.6163640022277832, 0.8370246887207031, 0.13224266469478607]	[0.6350224018096924, 0.8497342467308044, 0.11055149137973785]	
subject3_file_14	0	[0.4875105619430542, 0.5389107465744019, 0.523380696773529]	[0.4744023382663727, 0.5764726400375366, 0.507685124874115]	[0.48830124735832214, 0.5759597420692444, 0.4913145899772644]	[0.49552905559539795, 0.5990656018257141, 0.4685230553150177]	[0.4729226231575012, 0.6438286304473877, 0.44942647218704224]	[0.45484691858291626, 0.6766397953033447, 0.4294585883617401]	[0.46822330355644226, 0.6976274251937866, 0.384849488735199]	[0.48389554023742676, 0.7104530930519104, 0.3613465130329132]	[0.48796579241752625, 0.7240029573440552, 0.34403088688850403]	[0.49391767382621765, 0.7386060357093811, 0.3211246728897095]	
subject3_file_85	0	[0.48831987380981445, 0.5396166443824768, 0.5221905708312988]	[0.47553279995918274, 0.5769116282463074, 0.5062634348869324]	[0.49001041054725647, 0.5769478678703308, 0.4888235926628113]	[0.4974460005760193, 0.5986677408218384, 0.46645790338516235]	[0.47715163230895996, 0.6428251266479492, 0.4453873634338379]	[0.46044662594795227, 0.6754410862922668, 0.42409151792526245]	[0.473863810300827, 0.6959145665168762, 0.3802885115146637]	[0.49037885665893555, 0.707185685634613, 0.3572755753993988]	[0.4947131872177124, 0.7201640605926514, 0.34009072184562683]	[0.500587522983551, 0.7340855002403259, 0.31810450553894043]	
subject3_file_36	0	[0.5063225030899048, 0.6019055843353271, 0.4551312029361725]	[0.5059664845466614, 0.7449323534965515, 0.32545384764671326]	[0.6279997229576111, 0.7485873699188232, 0.23241977393627167]	[0.7178091406822205, 0.7430568337440491, 0.17864537239074707]	[0.7474374175071716, 0.8122344613075256, 0.10769571363925934]	[0.757398247718811, 0.85208660364151, 0.07152685523033142]	[0.7960324883460999, 0.865619421005249, 0.045405313372612]	[0.8528433442115784, 0.8701940774917603, 0.02873849868774414]	[0.8713113069534302, 0.8746169805526733, 0.02257831208407879]	[0.9002647995948792, 0.87444669008255, 0.015780968591570854]	
subject3_file_415	0	[0.48784351348876953, 0.5388143062591553, 0.5231034755706787]	[0.4757815897464752, 0.5750737190246582, 0.5075796246528625]	[0.4907401502132416, 0.5742590427398682, 0.4904016852378845]	[0.49892228841781616, 0.5953760147094727, 0.4677553176879883]	[0.4796013832092285, 0.6375607252120972, 0.44761455059051514]	[0.46368730068206787, 0.6688179969787598, 0.4271739423274994]	[0.4773748219013214, 0.6886213421821594, 0.38412830233573914]	[0.49368396401405334, 0.7000439763069153, 0.3608776926994324]	[0.4980961084365845, 0.7130854725837708, 0.3436724543571472]	[0.504327654838562, 0.7268858551979065, 0.321610689163208]	
subject3_file_554	0	[0.4952353835105896, 0.5733699202537537, 0.4869661331176758]	[0.4910683333873749, 0.6888936758041382, 0.3910553455352783]	[0.5414109826087952, 0.6857943534851074, 0.34866008162498474]	[0.572596549987793, 0.6934152841567993, 0.3195440471172333]	[0.543616533279419, 0.7589012980461121, 0.2760155200958252]	[0.5267985463142395, 0.797878623008728, 0.23759502172470093]	[0.5459608435630798, 0.816130518913269, 0.19233472645282745]	[0.5950698256492615, 0.831170916557312, 0.15187573432922363]	[0.5969674587249756, 0.8403240442276001, 0.14054779708385468]	[0.6144617795944214, 0.853523313999176, 0.11804704368114471]	
subject3_file_389	0	[0.48822683095932007, 0.5392675399780273, 0.5224988460540771]	[0.47593167424201965, 0.5757590532302856, 0.5068790316581726]	[0.4908166229724884, 0.5754038691520691, 0.48938584327697754]	[0.49871769547462463, 0.5965617299079895, 0.4669148921966553]	[0.479442834854126, 0.6394010782241821, 0.44606390595436096]	[0.46338486671447754, 0.6712223291397095, 0.42508700489997864]	[0.47691431641578674, 0.6912619471549988, 0.3818798363208771]	[0.49338385462760925, 0.7024165391921997, 0.35882076621055603]	[0.49776992201805115, 0.715343177318573, 0.341675728559494]	[0.50383460521698, 0.7290921807289124, 0.31978586316108704]	
subject3_file_931	0	[0.48822683095932007, 0.5392675399780273, 0.5224988460540771]	[0.47593167424201965, 0.5757590532302856, 0.5068790316581726]	[0.4908166229724884, 0.5754038691520691, 0.48938584327697754]	[0.49871769547462463, 0.5965617299079895, 0.4669148921966553]	[0.479442834854126, 0.6394010782241821, 0.44606390595436096]	[0.46338486671447754, 0.6712223291397095, 0.42508694529533386]	[0.4769143760204315, 0.6912619471549988, 0.3818797767162323]	[0.49338385462760925, 0.7024165391921997, 0.35882076621055603]	[0.49776992201805115, 0.715343177318573, 0.341675728559494]	[0.50383460521698, 0.7290921807289124, 0.31978586316108704]	
subject3_file_893	0	[0.4938482940196991, 0.5702790021896362, 0.4910336136817932]	[0.4897099435329437, 0.6824342012405396, 0.39877307415008545]	[0.5361554622650146, 0.6792619228363037, 0.35913175344467163]	[0.562236487865448, 0.687738299369812, 0.33243948221206665]	[0.5292289853096008, 0.7516709566116333, 0.29372507333755493]	[0.5109771490097046, 0.7897198796272278, 0.2574070394039154]	[0.5281076431274414, 0.8076310753822327, 0.2126493752002716]	[0.5742112994194031, 0.82255619764328, 0.17174679040908813]	[0.5741685032844543, 0.8326944708824158, 0.1602049469947815]	[0.5934151411056519, 0.8461939096450806, 0.1347339004278183]	
subject3_file_61	0	[0.4947030246257782, 0.5579610466957092, 0.5017479062080383]	[0.4926062822341919, 0.6353983879089355, 0.4412909746170044]	[0.5280953645706177, 0.6334152221679688, 0.40859949588775635]	[0.5507843494415283, 0.6496047973632812, 0.3781076967716217]	[0.5322982668876648, 0.7038196325302124, 0.3398320972919464]	[0.5195894837379456, 0.7413168549537659, 0.3034849762916565]	[0.5379778742790222, 0.7620421051979065, 0.2548442780971527]	[0.579282283782959, 0.7769092917442322, 0.21232663094997406]	[0.5808702111244202, 0.7871037125587463, 0.20004096627235413]	[0.5941035747528076, 0.7999682426452637, 0.1767246127128601]	
subject3_file_315	0	[0.4945234954357147, 0.5762555003166199, 0.4849923551082611]	[0.48751193284988403, 0.6995019912719727, 0.3839607238769531]	[0.5406162142753601, 0.6957444548606873, 0.3405618667602539]	[0.5718832612037659, 0.7017273902893066, 0.31313344836235046]	[0.5387119650840759, 0.7702475190162659, 0.2692028284072876]	[0.5200047492980957, 0.8093152046203613, 0.23083680868148804]	[0.5382744669914246, 0.8270137310028076, 0.1863977015018463]	[0.5836630463600159, 0.8418196439743042, 0.14899981021881104]	[0.5882197618484497, 0.8502147197723389, 0.13666673004627228]	[0.6036003232002258, 0.8633410930633545, 0.11524183303117752]	
subject3_file_34	0	[0.4878476560115814, 0.5377700328826904, 0.5237981677055359]	[0.476745069026947, 0.5717586874961853, 0.5094509124755859]	[0.4926016330718994, 0.5698474645614624, 0.4922666549682617]	[0.5020143389701843, 0.5898618102073669, 0.4691111445426941]	[0.48504865169525146, 0.629220187664032, 0.4492579996585846]	[0.47045066952705383, 0.658413290977478, 0.42994606494903564]	[0.4842987358570099, 0.6769545078277588, 0.38865044713020325]	[0.5007796883583069, 0.6883522868156433, 0.3648451566696167]	[0.505118191242218, 0.7010343074798584, 0.34828463196754456]	[0.5114525556564331, 0.7144305109977722, 0.3268187642097473]	
subject3_file_991	0	[0.5024130344390869, 0.5835140943527222, 0.47316330671310425]	[0.5034226179122925, 0.7094959616661072, 0.3617089092731476]	[0.5744888782501221, 0.7059333324432373, 0.3058585226535797]	[0.6244964003562927, 0.7105612754821777, 0.2671261429786682]	[0.6121772527694702, 0.7793164253234863, 0.2103085219860077]	[0.6052468419075012, 0.8191019892692566, 0.16731421649456024]	[0.6314943432807922, 0.8366532921791077, 0.12607045471668243]	[0.6926754117012024, 0.8517589569091797, 0.08942922204732895]	[0.6936361193656921, 0.8574008941650391, 0.08322523534297943]	[0.7136257886886597, 0.8673975467681885, 0.06802424788475037]	
