Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject3_file_867	[3]	[0.2119397670030594, 0.2451418787240982, 0.027543650940060616, 0.717309832572937, 0.17149998247623444, 0.01680358499288559, 0.10597755759954453, 0.019282221794128418, 0.023123912513256073, 0.08729103207588196]	[0.24803678691387177, 0.05921630933880806, 0.002241675276309252, 0.6050043702125549, 0.17251983284950256, 0.0014659279258921742, 0.15247300267219543, 0.004184498451650143, 0.0039246054366230965, 0.03748578205704689]	[0.048388976603746414, 0.007510851137340069, 0.00045772609882988036, 0.5001860857009888, 0.16155847907066345, 0.00020240657613612711, 0.10016322135925293, 8.005333802429959e-05, 0.00027607366791926324, 0.060783009976148605]	[0.016927001997828484, 0.010631825774908066, 5.862205580342561e-05, 0.8018035292625427, 0.05904907360672951, 2.05858323170105e-05, 0.16905759274959564, 5.1630639063660055e-05, 0.00012945332855451852, 0.009593346156179905]	[0.014234946109354496, 0.0018437278922647238, 3.857977844745619e-06, 0.9966245889663696, 0.00023343123029917479, 6.281051696532813e-07, 0.8202288746833801, 6.542975461343303e-05, 0.00011558357800822705, 0.0005181098240427673]	[0.014020979404449463, 0.0017324258806183934, 2.5737724627106218e-06, 0.9983692765235901, 1.3769775250693783e-05, 8.484835944955194e-08, 0.9231948256492615, 1.3719179150939453e-05, 1.4984911103965715e-05, 3.7763213185826316e-05]	[0.0022526863031089306, 0.0007402325281873345, 6.09692619946145e-07, 0.9996064305305481, 5.198402277528658e-07, 7.66874119761951e-09, 0.9200049638748169, 1.390644911225536e-06, 1.3289966318552615e-06, 1.2676739061134867e-05]	[0.0004250810598023236, 0.000413851928897202, 1.0231718050590644e-07, 0.9999780654907227, 1.1590505977210341e-07, 9.71346003630913e-10, 0.890681803226471, 2.0752577256644145e-07, 1.7547837671827438e-07, 1.218759621224308e-06]	[0.0008215162088163197, 0.08472564071416855, 1.0093519904330606e-06, 0.9998170733451843, 2.762480107776355e-05, 1.1780854514142902e-08, 0.6600494384765625, 8.62897948650243e-08, 3.7117029449973415e-08, 2.1554750162522396e-07]	[0.00032029306748881936, 0.008137734606862068, 1.9356096458977845e-07, 0.999679684638977, 0.00033037501270882785, 1.5425385413436743e-08, 0.1274460256099701, 3.32160521310243e-09, 4.1791975435856443e-10, 3.320725227240473e-06]	
subject3_file_537	[3, 6]	[0.12557773292064667, 0.23393088579177856, 0.016708722338080406, 0.9376763105392456, 0.08168294280767441, 0.013982533477246761, 0.1454966813325882, 0.011380976065993309, 0.019732940942049026, 0.028886212036013603]	[0.161612406373024, 0.16960419714450836, 0.0005990649224258959, 0.9626796841621399, 0.01704094000160694, 0.0005456509534269571, 0.5515025854110718, 0.003083947114646435, 0.0023419533390551805, 0.001259737415239215]	[0.03203980252146721, 0.07946480810642242, 8.931551565183327e-05, 0.9697147011756897, 0.007559183984994888, 3.578317046049051e-05, 0.5534539222717285, 4.964882100466639e-05, 0.00012628875265363604, 0.00045668514212593436]	[0.012712446972727776, 0.09312813729047775, 2.068262801913079e-05, 0.9806050062179565, 0.00476800138130784, 5.707233412977075e-06, 0.5656217932701111, 4.254802115610801e-05, 0.0001646754244575277, 0.00029484127298928797]	[0.01841423660516739, 0.009409455582499504, 4.944249667460099e-06, 0.9978795051574707, 0.0001489422720624134, 1.0377794978921884e-06, 0.8483328819274902, 0.00010331203520763665, 0.00036774747422896326, 0.00023635746038053185]	[0.010591885074973106, 0.002353113144636154, 3.049261067644693e-06, 0.9991139769554138, 1.0236807611363474e-05, 1.9881288437773037e-07, 0.9153193235397339, 2.7345784474164248e-05, 6.486255733761936e-05, 5.293733556754887e-05]	[0.0010074457386508584, 0.00037515524309128523, 7.119603537830699e-07, 0.9997031092643738, 3.0816445928394387e-07, 3.0764525149606925e-08, 0.910552442073822, 4.285309842089191e-06, 1.83654574357206e-05, 9.434900857741013e-05]	[0.0003082692564930767, 0.0001858539617387578, 1.8034624815754796e-07, 0.999976396560669, 5.6281827198745304e-08, 6.575807010023027e-09, 0.8904737234115601, 8.851104666973697e-07, 5.612367658613948e-06, 2.5487954189884476e-05]	[0.00013641928671859205, 0.0009212334989570081, 1.8686611724660906e-07, 0.999984860420227, 8.720024879949051e-07, 1.2272578508998322e-08, 0.8111913204193115, 5.555349957830913e-07, 3.1036397558636963e-06, 1.0097843187395483e-05]	[4.573523983708583e-05, 0.00027002542628906667, 8.934904371926677e-09, 0.9999992847442627, 1.811500283110945e-07, 8.926706596135148e-10, 0.8556511402130127, 3.628328926197355e-08, 1.241800475781929e-07, 1.0833209671545774e-05]	
subject3_file_753	[0, 6]	[0.2286139875650406, 0.3185347318649292, 0.05273628979921341, 0.6587871313095093, 0.19617432355880737, 0.046302080154418945, 0.15928980708122253, 0.03579207509756088, 0.047547321766614914, 0.13750778138637543]	[0.1745913326740265, 0.32697418332099915, 0.003631099360063672, 0.6361807584762573, 0.04212607070803642, 0.00366583070717752, 0.31323716044425964, 0.012494746595621109, 0.01147208921611309, 0.014844167977571487]	[0.03292129933834076, 0.24321454763412476, 0.0010535416658967733, 0.37192094326019287, 0.02323821187019348, 0.00038784032221883535, 0.1317703276872635, 0.0006144689978100359, 0.001626636483706534, 0.013868095353245735]	[0.019445888698101044, 0.08380332589149475, 8.941300620790571e-05, 0.6187853217124939, 0.012275958433747292, 2.6114474167115986e-05, 0.23515832424163818, 0.00017947747255675495, 0.0008732411661185324, 0.008627383969724178]	[0.06302258372306824, 0.07127216458320618, 5.795658944407478e-05, 0.7621666789054871, 0.0021574804559350014, 8.16406372905476e-06, 0.32597580552101135, 0.0005250988760963082, 0.0016893550055101514, 0.005897343624383211]	[0.04077892377972603, 0.07597142457962036, 6.536595901707187e-05, 0.6412514448165894, 0.00030545052140951157, 1.6648850760248024e-06, 0.2451990246772766, 0.000209141566301696, 0.0004049425187986344, 0.0019746969919651747]	[0.00665645906701684, 0.02975313365459442, 2.6969351893058047e-05, 0.6867451071739197, 2.4196295271394774e-05, 2.0664239741563506e-07, 0.2171599417924881, 2.6280262318323366e-05, 3.0484779927064665e-05, 0.0010887359967455268]	[0.0013730053324252367, 0.09665621072053909, 1.5160143448156305e-05, 0.7428673505783081, 1.8552827896201052e-05, 6.726616419427955e-08, 0.05773527920246124, 8.381997758988291e-06, 7.711229045526125e-06, 0.00017292519623879343]	[0.0001400876499246806, 0.007645240984857082, 3.2362986530642956e-06, 0.9665976166725159, 3.307051883894019e-05, 2.7286601422815693e-08, 0.39450591802597046, 6.28831003268715e-07, 4.7408346404154145e-07, 4.989539593225345e-05]	[4.781040843226947e-05, 0.0066023352555930614, 8.125469435071864e-07, 0.9480859041213989, 4.378703306429088e-05, 8.42593550487436e-09, 0.23278844356536865, 5.69923201965139e-08, 2.3654704861542086e-08, 0.00011536193051142618]	
subject3_file_335	[0, 4, 9]	[0.3898591101169586, 0.23660416901111603, 0.05331150442361832, 0.25648877024650574, 0.42444732785224915, 0.026605144143104553, 0.05918097496032715, 0.03409174829721451, 0.030249815434217453, 0.3079432249069214]	[0.5471970438957214, 0.5189616084098816, 0.01674877107143402, 0.04772735387086868, 0.6381610631942749, 0.012212555855512619, 0.03418884426355362, 0.03133680298924446, 0.03828372061252594, 0.2963046431541443]	[0.22023087739944458, 0.4243415296077728, 0.012790181674063206, 0.016640005633234978, 0.7294172048568726, 0.0030114527326077223, 0.009660677053034306, 0.0026428704150021076, 0.005429059267044067, 0.33218371868133545]	[0.30001071095466614, 0.5884469747543335, 0.00514131598174572, 0.025322200730443, 0.8301824331283569, 0.0008451374596916139, 0.005733428988605738, 0.0019490178674459457, 0.0034199447836726904, 0.17875541746616364]	[0.9004651308059692, 0.9367923140525818, 0.013393127359449863, 0.019771287217736244, 0.9313061833381653, 0.0016174467746168375, 0.004795283079147339, 0.00968172587454319, 0.0056698922999203205, 0.0791136622428894]	[0.9629528522491455, 0.9977198243141174, 0.02521343156695366, 0.022993434220552444, 0.20396822690963745, 0.000341933686286211, 0.0168240237981081, 0.003270610934123397, 0.005405348725616932, 0.0029276683926582336]	[0.914789617061615, 0.9984042048454285, 0.03289848938584328, 0.003849441884085536, 0.07540710270404816, 0.00012620569032151252, 0.0017399778589606285, 0.0008066987502388656, 0.001007259008474648, 0.004010628443211317]	[0.9072154760360718, 0.9998433589935303, 0.04980769380927086, 0.00125055480748415, 0.08377588540315628, 8.645898924442008e-05, 0.0002530796336941421, 0.00028607354033738375, 0.0002702211495488882, 0.0008369946153834462]	[0.6328538656234741, 0.9998680353164673, 0.131320521235466, 0.0023395391181111336, 0.4497489333152771, 0.00019470485858619213, 0.000681528530549258, 0.00012494230759330094, 3.405676397960633e-05, 0.00010406337969470769]	[0.7663660645484924, 0.9998281002044678, 0.17155398428440094, 0.00011492734483908862, 0.9934906959533691, 0.0009470807272009552, 6.522783951368183e-05, 2.714429319894407e-05, 1.6089768450910924e-06, 0.003949811216443777]	
subject3_file_718	[4]	[0.23656606674194336, 0.1799502670764923, 0.01560999546200037, 0.7381148338317871, 0.21395185589790344, 0.007298392243683338, 0.05533543601632118, 0.009856821037828922, 0.013402396813035011, 0.07521148025989532]	[0.39433422684669495, 0.11402927339076996, 0.0019353125244379044, 0.6229639053344727, 0.24480152130126953, 0.0011713365092873573, 0.16553768515586853, 0.004661846905946732, 0.005000820849090815, 0.024911697953939438]	[0.1429874300956726, 0.04300312697887421, 0.0006069679511711001, 0.504334032535553, 0.281827837228775, 0.000212975442991592, 0.11813266575336456, 0.00011670347157632932, 0.000357810320565477, 0.02419157512485981]	[0.08515944331884384, 0.039545949548482895, 0.00040635070763528347, 0.6011692881584167, 0.44557514786720276, 9.774336649570614e-05, 0.06140635535120964, 0.00017446595302317291, 0.0003427960036788136, 0.02036854811012745]	[0.16491413116455078, 0.002586127258837223, 9.928480722010136e-05, 0.9013603925704956, 0.150162935256958, 3.73600960301701e-05, 0.07691434025764465, 0.0004984784172847867, 0.00025691016344353557, 0.034954898059368134]	[0.05339497700333595, 0.00018238695338368416, 2.7556601708056405e-05, 0.8164348602294922, 0.13361257314682007, 1.1552688192750793e-05, 0.01591583527624607, 4.222872303216718e-05, 7.135854957596166e-06, 0.03340265527367592]	[0.011051643639802933, 1.2762097867380362e-05, 5.628898179566022e-06, 0.8572036623954773, 0.05137436091899872, 2.874833626265172e-06, 0.0033039385452866554, 2.434028374409536e-06, 5.121436856825312e-07, 0.0955389216542244]	[0.0024294666945934296, 4.220184564474039e-06, 6.478838372458995e-07, 0.9781658053398132, 0.06408444792032242, 5.511087124432379e-07, 0.0005428836448118091, 2.1715210607453628e-07, 3.809469362181517e-08, 0.022338101640343666]	[4.4746562011255264e-09, 1.2548644789944774e-08, 1.129597318461073e-10, 0.987647294998169, 0.00958302617073059, 2.258653708508973e-09, 8.77669208421139e-06, 5.813177050839613e-09, 1.9717845134437084e-09, 0.18733681738376617]	[0.0006069109076634049, 0.00013057827891316265, 5.347268583477671e-08, 0.9998241066932678, 0.003948897588998079, 4.56332216458577e-08, 0.0027642655186355114, 7.34175245042934e-08, 1.5086921933971098e-08, 0.0020393691956996918]	
subject3_file_855	[4, 9]	[0.5093637704849243, 0.3444214463233948, 0.06916952133178711, 0.12260394543409348, 0.6015044450759888, 0.04394112527370453, 0.05714217200875282, 0.04928179830312729, 0.04687175899744034, 0.5145379900932312]	[0.22939349710941315, 0.06743855029344559, 0.12050356715917587, 0.004555229563266039, 0.6829513907432556, 0.12754352390766144, 0.015560469590127468, 0.04986896738409996, 0.05599122494459152, 0.9601089358329773]	[0.02617602050304413, 0.007610988337546587, 0.0451597236096859, 0.0007786003407090902, 0.8303892612457275, 0.033862628042697906, 0.001710750162601471, 0.0025093811564147472, 0.010988092981278896, 0.995003879070282]	[0.005183547269552946, 0.00031204649712890387, 0.017072351649403572, 0.000272419914836064, 0.9464402198791504, 0.02491646446287632, 0.00020072761981282383, 0.0030374324414879084, 0.013468225486576557, 0.9998414516448975]	[0.015766926109790802, 0.0007741108420304954, 0.020214293152093887, 0.0001260296266991645, 0.9951128363609314, 0.08332859724760056, 7.865720544941723e-05, 0.019235625863075256, 0.02165328711271286, 0.9999698400497437]	[0.0027620436158031225, 0.0019874281715601683, 0.01915111392736435, 1.1540499144757632e-05, 0.9966093301773071, 0.10725963860750198, 8.686925866641104e-06, 0.011932667344808578, 0.017364198341965675, 0.9999854564666748]	[0.00027066876646131277, 0.00043298257514834404, 0.008560260757803917, 1.978547970793443e-06, 0.9974609613418579, 0.05798497796058655, 3.6874610032100463e-07, 0.0030148259829729795, 0.011140157468616962, 0.999996542930603]	[0.0003863752936013043, 0.0010054537560790777, 0.01841338723897934, 1.6090825738501735e-07, 0.9991305470466614, 0.14418703317642212, 3.1317494375571187e-08, 0.0005137005937285721, 0.004612800199538469, 0.9999979734420776]	[1.33442072183243e-05, 4.8522647375648376e-06, 0.00018358124361839145, 3.821356585831381e-06, 0.8699634671211243, 0.002106388797983527, 2.6287435161975736e-07, 0.00013731091166846454, 0.002630051225423813, 0.9999986886978149]	[1.3586781051344587e-06, 5.6067705145324e-07, 6.822316936450079e-05, 6.375213956744119e-07, 0.9814237952232361, 0.0017096658702939749, 1.9661149153193946e-08, 8.28778138384223e-06, 8.417236676905304e-05, 1.0]	
subject3_file_850	[3]	[0.23420146107673645, 0.3884422779083252, 0.030583996325731277, 0.7705603241920471, 0.23719868063926697, 0.0446167029440403, 0.12396528571844101, 0.02384536899626255, 0.045545175671577454, 0.1292743682861328]	[0.12652483582496643, 0.3742339313030243, 0.002086171880364418, 0.8656085133552551, 0.042884018272161484, 0.0021557433065027, 0.06638845056295395, 0.012894749641418457, 0.006526542361825705, 0.006310309283435345]	[0.013415695168077946, 0.1307332068681717, 0.00048497988609597087, 0.866268515586853, 0.017414240166544914, 0.0001509807480033487, 0.013286140747368336, 0.0005097921821288764, 0.0005077834357507527, 0.003767566289752722]	[0.001594936242327094, 0.1156064048409462, 3.06925066979602e-05, 0.8977789878845215, 0.006082818377763033, 5.120243258716073e-06, 0.003097256412729621, 2.889644201786723e-05, 9.288577712140977e-05, 0.0016094521852210164]	[0.022442424669861794, 0.10298865288496017, 1.4729230315424502e-05, 0.9080358743667603, 0.003142238361760974, 2.844057235051878e-06, 0.008842965587973595, 0.00019860283646266907, 0.0003520750906318426, 0.0012265980476513505]	[0.004517040681093931, 0.11586695164442062, 1.0419184945931192e-05, 0.663666844367981, 0.0008094499935396016, 7.351742965511221e-07, 0.0005089835613034666, 2.9078282750560902e-05, 5.207492722547613e-05, 0.0008198204450309277]	[9.972812404157594e-05, 0.0004066787369083613, 1.2375821256682684e-07, 0.8167599439620972, 2.341673280170653e-06, 6.925937601209853e-09, 0.0005065454170107841, 9.093752169064828e-07, 2.742275455602794e-06, 0.0018483627354726195]	[4.006660674349405e-06, 1.6552136003156193e-05, 3.461243069935449e-09, 0.973003089427948, 1.7989722778111172e-07, 2.660383857655546e-10, 0.00033526538754813373, 5.035140304698871e-08, 1.5799055574916565e-07, 0.0004209921753499657]	[5.500512543221703e-07, 0.00021673036098945886, 8.035851983834164e-09, 0.9968569278717041, 1.916465043905191e-05, 1.623019607599474e-09, 0.0004652556381188333, 2.0485540375148048e-08, 1.4264760928028863e-08, 1.4270839528762735e-05]	[9.996794688049704e-06, 7.30055253370665e-05, 2.567791668184327e-08, 0.37292706966400146, 0.1343163251876831, 2.1723454324273916e-07, 1.7650671679803054e-07, 9.862397565285619e-10, 1.6631214461160226e-10, 0.012541737407445908]	
subject3_file_901	[3, 6]	[0.2183525264263153, 0.18019533157348633, 0.16177575290203094, 0.5038436055183411, 0.18607325851917267, 0.09702475368976593, 0.20030935108661652, 0.10220076888799667, 0.05391082912683487, 0.19508326053619385]	[0.10753017663955688, 0.06344010680913925, 0.04773939400911331, 0.11372614651918411, 0.06620579212903976, 0.05901046097278595, 0.45936617255210876, 0.04087606444954872, 0.037751756608486176, 0.4273471236228943]	[0.009447519667446613, 0.008178784511983395, 0.011458766646683216, 0.019421560689806938, 0.07644041627645493, 0.009740224108099937, 0.3099426031112671, 0.0015792540507391095, 0.008667483925819397, 0.8414691686630249]	[0.004889730829745531, 0.0011995552340522408, 0.001887819031253457, 0.0664011761546135, 0.17098388075828552, 0.0023782437201589346, 0.5867665410041809, 0.001017659087665379, 0.005861991550773382, 0.9262363910675049]	[0.006642672698944807, 0.0011078823590651155, 0.0012989889364689589, 0.0336037315428257, 0.03284703567624092, 0.0014107836177572608, 0.43441206216812134, 0.006858231499791145, 0.0334150604903698, 0.9841452240943909]	[0.001936484593898058, 0.00012027150660287589, 0.0014150402275845408, 0.08317981660366058, 0.010449069552123547, 0.0006331057520583272, 0.8842864036560059, 0.001389769371598959, 0.0015417271060869098, 0.9603334665298462]	[0.0003765578439924866, 0.00021177547750994563, 0.0024544845800846815, 0.003324242541566491, 0.0011613324750214815, 0.0002686894731596112, 0.4989575445652008, 0.0006335478974506259, 0.0018085644114762545, 0.9949591159820557]	[0.00029583327705040574, 0.0002651926188264042, 0.00519715528935194, 0.0012487825006246567, 0.00029719615122303367, 0.00026164643350057304, 0.5086567997932434, 0.0001379633176838979, 0.0005896627553738654, 0.9973732233047485]	[3.662546441773884e-05, 0.00011373303277650848, 0.0014288605889305472, 0.014810781925916672, 0.00729528721421957, 0.00015967713261488825, 0.7724440693855286, 1.2952971701452043e-05, 1.890444036689587e-05, 0.9612609148025513]	[2.4086552912194747e-06, 2.363354269618867e-06, 0.0001302553282584995, 0.046662140637636185, 0.005904087796807289, 1.338155834673671e-05, 0.8614179491996765, 5.945226462245046e-07, 4.278618916941923e-07, 0.981255054473877]	
subject3_file_14	[0, 6]	[0.248263880610466, 0.3520573377609253, 0.04320087283849716, 0.6707510352134705, 0.20304548740386963, 0.04217800125479698, 0.15904013812541962, 0.03213924169540405, 0.04774608090519905, 0.13167591392993927]	[0.19062817096710205, 0.2714916467666626, 0.0018387491581961513, 0.7210143804550171, 0.032227687537670135, 0.0015733668114989996, 0.3663623034954071, 0.005630056839436293, 0.005266209598630667, 0.006959793623536825]	[0.030135685577988625, 0.051008813083171844, 0.0002601445303298533, 0.7996198534965515, 0.01094411313533783, 0.00011070740583818406, 0.4510009288787842, 0.0001177532467409037, 0.0004005158261861652, 0.0042640212923288345]	[0.02362787164747715, 0.06118661165237427, 4.89812227897346e-05, 0.651237428188324, 0.010272368788719177, 1.6449694157927297e-05, 0.3800526261329651, 0.0001211585258715786, 0.000665251980535686, 0.006245952099561691]	[0.2533124089241028, 0.26628410816192627, 0.0001229509653057903, 0.6617836356163025, 0.004192059859633446, 1.4419020772038493e-05, 0.2940579950809479, 0.0003891753440257162, 0.001059517846442759, 0.0033635864965617657]	[0.21661922335624695, 0.3223726749420166, 0.00021459636627696455, 0.571919858455658, 0.0006072511896491051, 3.9619949347979855e-06, 0.26487109065055847, 8.943517605075613e-05, 0.00013524375390261412, 0.0007777598802931607]	[0.06998953223228455, 0.369418203830719, 0.0001640505506657064, 0.42623651027679443, 6.490890518762171e-05, 7.924438136797107e-07, 0.13125239312648773, 1.4022327377460897e-05, 1.529579640191514e-05, 0.0005378033965826035]	[0.0292226430028677, 0.7072652578353882, 0.00011244577035540715, 0.5450267195701599, 3.553974238457158e-05, 2.8421865749805875e-07, 0.03924238681793213, 2.8939982712472556e-06, 2.4544101506762672e-06, 8.302790229208767e-05]	[0.002209857339039445, 0.16791360080242157, 2.144625614164397e-05, 0.8504107594490051, 0.00012648965639527887, 9.164623548940654e-08, 0.3205505609512329, 3.210156762634142e-07, 1.0773364067517832e-07, 1.891525971586816e-05]	[0.0011996597750112414, 0.09055307507514954, 4.391939000925049e-06, 0.7660794258117676, 0.00011787311086663976, 3.0597920641639575e-08, 0.35624226927757263, 3.50611522037525e-08, 8.19165713039638e-09, 0.00012197472096886486]	
subject3_file_85	[0, 4, 9]	[0.3046746253967285, 0.17532069981098175, 0.04327220097184181, 0.43850648403167725, 0.32864946126937866, 0.01801370456814766, 0.05575511232018471, 0.024037040770053864, 0.01993960328400135, 0.18877971172332764]	[0.28391072154045105, 0.030956335365772247, 0.05104418471455574, 0.026908284053206444, 0.5274165868759155, 0.0419820211827755, 0.08173144608736038, 0.020664582028985023, 0.026972463354468346, 0.8224918842315674]	[0.04963034391403198, 0.00782354362308979, 0.023917581886053085, 0.005127841141074896, 0.565592885017395, 0.015250325202941895, 0.08927943557500839, 0.0011712885461747646, 0.008701964281499386, 0.9683579802513123]	[0.10302723199129105, 0.008250631392002106, 0.044967908412218094, 0.0024242557119578123, 0.9943920969963074, 0.054055649787187576, 0.01407692302018404, 0.0022196348290890455, 0.003994330298155546, 0.9960671067237854]	[0.1540328711271286, 0.08670365065336227, 0.005874601658433676, 0.22229033708572388, 0.28390073776245117, 0.003420682856813073, 0.4989985525608063, 0.0068848528899252415, 0.02083122916519642, 0.6848037242889404]	[0.0849086344242096, 0.07640256732702255, 0.0036921531427651644, 0.5261424779891968, 0.04155075177550316, 0.0007331350352615118, 0.7241852283477783, 0.002137131057679653, 0.005104545503854752, 0.20599274337291718]	[0.03633643686771393, 0.14617586135864258, 0.002596551552414894, 0.9053823351860046, 0.006989854387938976, 0.00017128548643086106, 0.713580310344696, 0.0005184430629014969, 0.0013438885798677802, 0.03299160674214363]	[0.014739391393959522, 0.09908311814069748, 0.0013077696785330772, 0.9897977113723755, 0.002862452296540141, 5.85390989726875e-05, 0.6355432868003845, 0.0001586224534548819, 0.0004945914843119681, 0.010951315052807331]	[0.007208859547972679, 0.275420606136322, 0.0005978792905807495, 0.9950199127197266, 0.0013199778040871024, 1.7994087102124467e-05, 0.8396311402320862, 8.633063407614827e-05, 0.0003358727553859353, 0.0028764833696186543]	[0.00010527807171456516, 9.592150308890268e-05, 4.282430018065497e-05, 0.11951474845409393, 0.9899880290031433, 0.00020494338241405785, 4.270761928637512e-05, 4.617050564093006e-08, 1.2090862533398195e-08, 0.9252820611000061]	
