Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject4_file_414	0	0	1	1	1	1	1	1	1	1	1	
subject4_file_173	0	2	2	2	0	0	0	0	0	0	0	
subject4_file_154	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_176	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_398	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_335	0	0	0	2	0	0	0	0	0	0	0	
subject4_file_100	0	0	0	0	0	0	0	0	0	0	0	
subject4_file_115	0	0	0	0	0	0	0	0	0	0	0	
subject4_file_121	0	0	0	1	1	1	1	1	1	1	1	
subject4_file_12	0	1	1	1	2	2	2	2	2	2	2	
subject4_file_363	0	0	0	2	0	0	0	0	0	0	0	
subject4_file_118	0	1	1	1	1	1	1	1	1	2	2	
subject4_file_125	0	1	2	2	2	2	2	2	2	2	2	
subject4_file_360	0	0	2	2	1	2	2	2	2	2	2	
subject4_file_646	0	0	1	1	1	1	1	1	1	1	1	
subject4_file_392	0	0	2	1	1	1	1	1	1	1	1	
subject4_file_651	0	0	2	1	1	1	1	1	1	1	1	
subject4_file_652	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_7	0	1	1	0	1	1	1	1	1	1	1	
subject4_file_456	0	0	0	0	0	0	0	0	0	0	0	
subject4_file_458	0	0	1	1	0	0	0	0	0	0	0	
subject4_file_225	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_219	0	0	0	0	1	0	0	0	0	0	0	
subject4_file_180	0	2	2	2	0	0	0	0	0	0	0	
subject4_file_23	0	0	2	2	2	2	2	2	2	2	2	
subject4_file_544	0	1	1	1	1	1	1	1	1	2	2	
subject4_file_226	0	0	0	0	0	0	0	0	0	0	0	
subject4_file_779	0	0	1	1	1	1	1	1	1	1	1	
subject4_file_727	0	0	2	2	2	2	2	0	0	0	0	
subject4_file_704	0	1	1	1	0	0	0	0	0	1	1	
subject4_file_822	0	0	0	0	0	0	0	0	0	0	0	
subject4_file_1	0	0	0	0	0	0	0	0	0	0	0	
subject4_file_962	0	0	0	0	1	0	0	0	0	0	0	
subject4_file_835	0	0	2	1	2	0	0	0	0	0	0	
subject4_file_834	0	1	0	0	0	0	0	0	0	0	0	
subject4_file_838	0	1	0	0	0	0	0	0	0	0	0	
subject4_file_985	0	0	2	2	2	2	2	2	2	2	2	
subject4_file_980	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_975	0	0	0	0	0	0	0	0	0	0	0	
subject4_file_402	0	1	1	1	2	2	2	2	2	2	2	
subject4_file_439	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_675	0	0	1	1	0	0	0	1	1	1	1	
subject4_file_457	0	1	1	1	2	2	2	2	2	2	2	
subject4_file_164	0	0	0	0	0	0	0	0	0	0	0	
subject4_file_451	0	1	2	2	1	1	1	1	1	1	1	
subject4_file_826	0	1	0	0	1	1	1	1	1	1	1	
subject4_file_842	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_571	0	1	2	2	2	2	2	2	2	2	2	
subject4_file_6	0	0	1	1	1	1	1	1	1	1	1	
subject4_file_969	0	0	0	0	1	0	0	0	0	0	0	
subject4_file_843	0	1	1	0	1	1	1	1	1	1	1	
subject4_file_538	0	0	1	1	0	0	0	1	1	1	1	
subject4_file_26	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_539	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_623	0	2	2	2	2	2	2	2	2	2	2	
subject4_file_613	0	0	0	0	0	0	0	0	0	0	0	
subject4_file_592	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_871	0	0	1	1	1	1	1	1	2	2	1	
subject4_file_58	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_634	0	1	1	1	2	2	2	2	2	2	2	
subject4_file_860	0	0	1	1	1	1	1	1	2	2	1	
subject4_file_852	0	0	2	1	2	0	0	0	0	0	0	
subject4_file_821	0	0	0	0	1	0	0	0	0	0	0	
subject4_file_936	0	2	2	2	2	2	2	2	2	2	2	
subject4_file_313	0	0	0	1	1	0	1	1	1	1	1	
subject4_file_624	0	0	1	1	1	1	1	1	1	1	1	
subject4_file_978	0	0	2	2	2	2	2	0	0	0	0	
subject4_file_256	0	2	2	2	2	2	2	2	2	2	2	
subject4_file_777	0	0	0	0	1	0	0	0	0	0	0	
subject4_file_282	0	0	0	0	0	0	0	0	0	0	0	
subject4_file_630	0	1	0	0	1	1	1	1	1	1	1	
subject4_file_632	0	0	2	2	1	1	1	1	1	1	1	
subject4_file_505	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_237	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_302	0	0	1	1	0	0	0	0	0	0	0	
subject4_file_274	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_529	0	2	2	2	2	2	2	2	2	2	2	
Total Train loss	-----	0.7802836894989014	0.3625507950782776	0.24778097867965698	0.42653703689575195	0.28478488326072693	0.23268473148345947	0.19478072226047516	0.1559918075799942	0.12160574644804001	0.09098833799362183	
Train Accuracy	-----	0.6900584795321637	0.8771929824561403	0.9298245614035088	0.8421052631578947	0.9122807017543859	0.9239766081871345	0.935672514619883	0.9532163742690059	0.9824561403508771	0.9824561403508771	
Training time	-----	0:01:29.301288	0:01:29.941149	0:01:29.231877	0:01:29.607770	0:01:29.094177	0:01:26.954541	0:00:45.276240	0:00:45.272677	0:00:45.286999	0:00:45.316292	
Total Test loss	-----	0.9980995059013367	1.5180436372756958	1.9704604148864746	1.8121373653411865	1.8739584684371948	2.049860954284668	2.319032669067383	2.5079233646392822	2.679291248321533	2.866719961166382	
Test Accuracy	-----	0.5194805194805194	0.2987012987012987	0.2727272727272727	0.2727272727272727	0.37662337662337664	0.36363636363636365	0.36363636363636365	0.36363636363636365	0.35064935064935066	0.35064935064935066	
Testing time	-----	0:03:52.495620	0:03:51.158461	0:03:52.268083	0:03:51.631057	0:03:51.540433	0:03:43.471011	0:02:00.485665	0:02:00.202383	0:02:00.584744	0:01:59.547478	
threshold sigmoid train	-----	---	---	---	---	---	---	---	---	---	---	
threshold sigmoid test	-----	---	---	---	---	---	---	---	---	---	---	
