Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject3_file_867	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_537	0	2	1	1	1	1	1	1	1	1	1	
subject3_file_753	0	2	2	2	2	2	2	2	2	2	2	
subject3_file_335	0	2	0	1	0	0	0	1	2	2	2	
subject3_file_718	0	1	1	1	1	1	2	2	2	2	2	
subject3_file_855	0	1	1	1	1	1	1	1	1	1	1	
subject3_file_850	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_901	0	1	1	1	1	1	1	1	1	1	1	
subject3_file_14	0	0	0	0	0	0	0	2	0	0	0	
subject3_file_85	0	1	1	1	1	1	0	0	0	0	0	
subject3_file_36	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_415	0	1	1	1	1	1	0	2	1	1	0	
subject3_file_97	0	0	0	0	0	0	2	2	2	2	2	
subject3_file_554	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_389	0	0	0	1	1	1	1	1	0	0	0	
subject3_file_931	0	2	2	2	2	2	2	2	2	2	2	
subject3_file_893	0	1	2	2	2	1	2	2	2	2	2	
subject3_file_61	0	0	0	1	0	1	1	1	2	1	1	
subject3_file_315	0	2	1	1	1	1	1	1	1	1	1	
subject3_file_34	0	1	2	2	2	2	2	2	2	2	2	
subject3_file_991	0	2	1	1	1	1	2	2	1	2	2	
subject3_file_246	0	0	0	2	2	2	2	2	2	2	2	
subject3_file_146	0	0	0	1	0	0	0	1	0	0	0	
subject3_file_104	0	1	2	1	1	1	1	0	1	1	1	
subject3_file_264	0	2	2	2	2	2	2	2	2	2	2	
subject3_file_808	0	0	0	0	0	0	0	0	0	0	2	
subject3_file_827	0	1	0	0	0	0	0	1	0	0	0	
subject3_file_973	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_935	0	2	2	2	2	2	2	2	2	2	2	
subject3_file_609	0	1	2	2	1	1	1	0	1	1	1	
subject3_file_216	0	1	1	1	1	1	1	1	1	1	0	
subject3_file_829	0	2	2	1	2	2	2	2	1	1	1	
subject3_file_352	0	1	1	1	1	0	1	1	1	0	1	
subject3_file_562	0	1	1	1	1	1	1	1	1	1	1	
subject3_file_231	0	2	2	0	0	0	0	0	0	0	0	
subject3_file_525	0	1	1	1	0	0	1	1	2	0	0	
subject3_file_382	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_526	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_949	1	0	0	0	0	0	0	1	0	0	0	
subject3_file_580	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_99	1	2	2	2	2	2	2	2	2	2	2	
subject3_file_610	1	0	0	0	0	0	2	2	0	0	0	
subject3_file_547	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_362	1	1	0	0	1	0	0	1	0	0	1	
subject3_file_56	1	0	0	0	0	0	0	1	0	0	0	
subject3_file_111	1	1	0	0	0	0	0	1	0	0	0	
subject3_file_345	1	2	2	2	2	2	2	2	2	2	2	
subject3_file_74	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_507	1	2	2	2	2	2	2	2	2	2	2	
subject3_file_775	1	1	2	2	0	1	1	0	0	0	0	
subject3_file_817	1	2	1	1	1	1	1	1	1	1	1	
subject3_file_462	1	0	1	1	0	0	2	1	1	1	2	
subject3_file_684	1	0	0	0	2	2	2	2	2	2	2	
subject3_file_807	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_540	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_823	1	0	0	2	0	0	2	2	2	2	2	
subject3_file_435	1	0	2	2	2	2	2	2	2	2	2	
subject3_file_5	1	2	1	1	1	1	1	1	1	1	1	
subject3_file_418	1	1	1	1	1	1	1	1	0	0	0	
subject3_file_439	1	2	1	1	1	1	1	0	1	1	1	
subject3_file_261	1	0	0	0	0	0	0	2	0	0	0	
subject3_file_727	1	1	1	1	1	1	1	1	0	1	1	
subject3_file_559	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_411	1	1	2	2	2	2	2	1	1	1	1	
subject3_file_9	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_640	1	0	0	0	0	1	0	0	0	0	0	
subject3_file_43	1	0	0	0	0	0	0	2	2	1	1	
subject3_file_491	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_818	1	0	0	0	0	0	0	1	0	0	0	
subject3_file_328	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_251	1	0	0	2	2	2	2	2	2	2	2	
subject3_file_531	1	0	0	0	0	0	0	2	0	2	0	
subject3_file_607	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_67	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_197	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_11	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_88	1	2	2	2	2	2	2	2	2	2	2	
subject3_file_260	1	1	0	0	0	0	0	0	0	0	0	
subject3_file_318	2	0	2	2	0	0	2	2	2	2	2	
subject3_file_388	2	0	0	0	0	0	0	0	0	0	0	
subject3_file_355	2	1	1	1	0	0	0	1	0	0	2	
subject3_file_391	2	0	0	0	0	0	0	0	0	0	0	
subject3_file_849	2	0	0	0	0	0	0	0	0	0	0	
subject3_file_884	2	0	0	0	0	0	0	1	0	0	1	
subject3_file_364	2	0	0	0	2	0	0	0	0	0	2	
subject3_file_62	2	1	0	0	2	2	1	2	2	2	0	
subject3_file_749	2	2	2	2	2	2	2	2	2	2	2	
subject3_file_695	2	1	1	1	2	0	0	1	1	1	1	
subject3_file_10	2	0	0	0	0	0	0	0	0	0	0	
subject3_file_999	2	0	0	0	0	0	0	1	0	0	0	
subject3_file_511	2	0	1	1	0	0	1	1	1	1	1	
subject3_file_377	2	0	0	0	0	0	0	0	0	0	0	
subject3_file_135	2	1	1	0	0	0	0	0	1	0	1	
subject3_file_974	2	0	0	0	0	0	0	0	0	0	0	
subject3_file_853	2	2	2	2	2	2	2	2	2	2	2	
subject3_file_571	2	1	1	1	1	1	1	1	1	1	1	
subject3_file_951	2	1	0	0	0	0	0	1	1	0	0	
subject3_file_207	2	1	0	1	1	1	1	0	1	2	2	
subject3_file_557	2	0	0	2	0	0	0	0	0	0	0	
subject3_file_977	2	2	2	2	2	2	2	2	2	2	2	
subject3_file_402	2	0	0	0	0	0	0	0	0	0	0	
subject3_file_854	2	1	1	1	1	0	1	1	1	1	1	
subject3_file_520	2	0	1	1	0	0	2	2	0	0	0	
Total Train loss	-----	0.8395201563835144	0.6648557186126709	0.45580199360847473	0.4869789183139801	0.49413245916366577	0.3642735183238983	1.3980509042739868	0.3817216157913208	0.2707957923412323	0.0949939638376236	
Train Accuracy	-----	0.6141304347826086	0.7282608695652174	0.8097826086956522	0.8097826086956522	0.7880434782608695	0.8804347826086957	0.6847826086956522	0.8532608695652174	0.9021739130434783	0.9782608695652174	
Training time	-----	0:00:15.044136	0:00:14.762033	0:00:14.939407	0:00:15.003573	0:00:14.901529	0:00:14.868733	0:00:15.084780	0:00:15.061895	0:00:14.824823	0:00:14.871933	
Total Test loss	-----	1.4473803043365479	1.789537787437439	2.2987284660339355	2.328261137008667	2.3704018592834473	2.9234347343444824	3.3802449703216553	2.9621031284332275	3.2690677642822266	3.49015736579895	
Test Accuracy	-----	0.2815533980582524	0.30097087378640774	0.27184466019417475	0.32038834951456313	0.3106796116504854	0.30097087378640774	0.3300970873786408	0.2815533980582524	0.3300970873786408	0.33980582524271846	
Testing time	-----	0:00:39.047259	0:00:38.702045	0:00:38.780027	0:00:38.859820	0:00:39.264777	0:00:39.163847	0:00:39.056774	0:00:39.210015	0:00:38.900591	0:00:38.921910	
threshold sigmoid train	-----	---	---	---	---	---	---	---	---	---	---	
threshold sigmoid test	-----	---	---	---	---	---	---	---	---	---	---	
