Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject1_file_463	0	0	0	0	0	0	0	0	0	0	0	
subject1_file_830	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_272	0	0	0	0	0	0	0	0	0	0	0	
subject1_file_382	0	1	0	0	0	0	0	0	0	0	0	
subject1_file_588	0	2	1	1	1	1	1	1	1	1	1	
subject1_file_140	0	0	2	1	2	2	2	0	0	0	0	
subject1_file_213	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_685	0	0	0	0	0	0	0	0	0	0	0	
subject1_file_389	0	0	1	1	0	0	0	0	0	0	0	
subject1_file_247	0	0	0	0	0	0	0	0	0	0	0	
subject1_file_499	0	0	0	0	1	1	1	1	1	1	1	
subject1_file_980	0	1	0	0	0	0	0	0	0	0	0	
subject1_file_310	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_793	0	0	1	1	1	1	1	1	1	1	1	
subject1_file_618	0	0	0	0	0	0	0	0	0	0	0	
subject1_file_780	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_313	0	0	0	0	2	2	1	1	1	1	1	
subject1_file_958	0	1	0	0	0	0	0	0	0	0	0	
subject1_file_98	0	1	0	0	0	0	0	0	0	0	0	
subject1_file_424	0	0	0	0	0	0	0	0	0	0	0	
subject1_file_784	0	1	1	1	0	0	1	1	1	1	1	
subject1_file_684	0	1	1	1	0	0	0	0	0	0	0	
subject1_file_968	0	1	1	0	0	0	0	0	0	0	0	
subject1_file_786	0	1	1	0	0	0	0	0	0	0	0	
subject1_file_853	0	1	1	0	0	0	0	0	0	0	0	
subject1_file_11	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_814	0	0	1	0	0	0	0	0	0	0	0	
subject1_file_204	1	0	1	1	1	2	2	0	0	0	0	
subject1_file_768	1	1	0	0	0	0	0	0	0	0	0	
subject1_file_254	1	1	1	1	1	0	0	0	0	0	0	
subject1_file_536	1	1	1	1	1	1	1	1	1	1	1	
subject1_file_96	1	0	1	1	1	1	1	1	1	1	1	
subject1_file_37	1	0	0	0	0	0	0	0	0	0	0	
subject1_file_485	1	1	1	1	1	1	1	1	1	1	1	
subject1_file_496	1	0	1	0	1	1	1	1	0	0	0	
subject1_file_564	1	0	0	0	0	0	0	0	0	0	0	
subject1_file_871	1	0	1	1	1	1	1	1	1	1	1	
subject1_file_743	1	1	1	1	1	1	1	1	1	1	1	
subject1_file_417	2	1	1	1	1	0	0	0	0	0	0	
subject1_file_858	2	1	1	1	1	1	1	1	1	1	1	
subject1_file_353	2	2	1	1	1	1	1	2	2	1	1	
subject1_file_979	2	0	1	1	1	1	1	1	1	1	1	
subject1_file_348	2	2	2	2	2	2	2	2	2	2	2	
subject1_file_302	2	1	1	1	1	1	1	1	1	1	1	
subject1_file_570	2	0	0	0	0	0	0	0	1	0	0	
subject1_file_162	2	2	0	0	0	0	0	0	0	0	0	
subject1_file_72	2	0	0	0	0	0	0	0	0	0	0	
subject1_file_734	2	0	0	0	2	0	0	0	0	0	0	
subject1_file_759	2	0	0	0	1	1	1	1	1	1	1	
subject1_file_430	2	1	1	1	1	1	1	1	1	1	1	
subject1_file_526	2	1	1	1	1	1	1	1	1	1	1	
subject1_file_976	2	2	2	2	2	2	2	2	2	2	2	
subject1_file_45	2	1	0	0	0	0	0	0	0	0	0	
subject1_file_770	2	2	2	2	2	2	2	2	2	1	1	
subject1_file_462	2	0	0	0	1	1	1	1	1	1	1	
subject1_file_287	2	1	1	1	1	1	1	1	1	1	1	
Total Train loss	-----	0.664730966091156	0.41697269678115845	0.2584756314754486	0.5038237571716309	0.26690465211868286	0.21357712149620056	0.233174130320549	0.1785772293806076	0.12322746962308884	0.08622326701879501	
Train Accuracy	-----	0.7652173913043478	0.8521739130434782	0.8956521739130435	0.8347826086956521	0.9391304347826087	0.9478260869565217	0.9217391304347826	0.9304347826086956	0.9739130434782609	1.0	
Training time	-----	0:00:36.706391	0:00:36.433577	0:00:36.785059	0:00:36.733217	0:00:36.604492	0:00:36.514819	0:00:36.715330	0:00:36.907830	0:00:36.336495	0:00:36.487119	
Total Test loss	-----	1.3213547468185425	1.5562440156936646	1.7826967239379883	1.791784644126892	1.9031633138656616	2.095808267593384	2.0265920162200928	2.0133824348449707	2.34820556640625	2.5076663494110107	
Test Accuracy	-----	0.39285714285714285	0.4107142857142857	0.4642857142857143	0.5178571428571429	0.4642857142857143	0.44642857142857145	0.48214285714285715	0.4642857142857143	0.42857142857142855	0.42857142857142855	
Testing time	-----	0:01:49.391941	0:01:48.340863	0:01:48.462615	0:01:48.375764	0:01:49.038048	0:01:48.481569	0:01:48.807590	0:01:48.999960	0:01:49.232334	0:01:49.181403	
threshold sigmoid train	-----	---	---	---	---	---	---	---	---	---	---	
threshold sigmoid test	-----	---	---	---	---	---	---	---	---	---	---	
