Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject1_file_463	0	[0.8080286979675293, 0.5201457738876343, 0.3893844783306122]	[0.9167823195457458, 0.5233029723167419, 0.31477320194244385]	[0.9274277091026306, 0.5400061011314392, 0.31755101680755615]	[0.9543775320053101, 0.4902350604534149, 0.2912037968635559]	[0.9630560278892517, 0.4497916102409363, 0.32480138540267944]	[0.961978554725647, 0.5033646821975708, 0.32013437151908875]	[0.9728928208351135, 0.5029349327087402, 0.3005197048187256]	[0.9649127721786499, 0.5970781445503235, 0.21477553248405457]	[0.9780014753341675, 0.5946946144104004, 0.1590726226568222]	[0.9845937490463257, 0.5757163763046265, 0.1406085044145584]	
subject1_file_830	0	[0.4275011420249939, 0.8084789514541626, 0.3487626016139984]	[0.36417436599731445, 0.8746179938316345, 0.23538877069950104]	[0.30797329545021057, 0.9209965467453003, 0.18120434880256653]	[0.5162572860717773, 0.8157365322113037, 0.21932446956634521]	[0.5197583436965942, 0.7677193284034729, 0.29239800572395325]	[0.4778676927089691, 0.7793346047401428, 0.2963915169239044]	[0.516727089881897, 0.77313631772995, 0.2854490578174591]	[0.3264227509498596, 0.8373310565948486, 0.25584593415260315]	[0.2720980644226074, 0.887087881565094, 0.1896987408399582]	[0.20663367211818695, 0.9218438863754272, 0.14234280586242676]	
subject1_file_272	0	[0.6914060115814209, 0.647240161895752, 0.3803569972515106]	[0.7683793306350708, 0.6964209675788879, 0.32293570041656494]	[0.7559000849723816, 0.6895437836647034, 0.36618149280548096]	[0.9040901064872742, 0.3027852177619934, 0.5933821797370911]	[0.9103893637657166, 0.2661823630332947, 0.6265402436256409]	[0.9186825752258301, 0.2565400004386902, 0.6330961585044861]	[0.9451780319213867, 0.23477977514266968, 0.599413275718689]	[0.9338794946670532, 0.2687371075153351, 0.586999237537384]	[0.95069819688797, 0.22870972752571106, 0.6026517152786255]	[0.9591160416603088, 0.19423630833625793, 0.6309056282043457]	
subject1_file_382	0	[0.5991548299789429, 0.6751730442047119, 0.3696260154247284]	[0.701089084148407, 0.650155246257782, 0.2825603485107422]	[0.8599627614021301, 0.19675855338573456, 0.5697364211082458]	[0.8749588131904602, 0.06927835941314697, 0.794601321220398]	[0.9005966186523438, 0.05359640717506409, 0.8072142601013184]	[0.9239272475242615, 0.03876357525587082, 0.8272590041160583]	[0.955242395401001, 0.038199830800294876, 0.7582414150238037]	[0.9350261688232422, 0.054811351001262665, 0.729844868183136]	[0.9548359513282776, 0.035361915826797485, 0.7708554863929749]	[0.9657478928565979, 0.031114408746361732, 0.756729781627655]	
subject1_file_588	0	[0.47858068346977234, 0.5470985770225525, 0.5614790916442871]	[0.28440165519714355, 0.7433774471282959, 0.6038587689399719]	[0.3694009482860565, 0.8069343566894531, 0.4354567229747772]	[0.380678653717041, 0.8108772039413452, 0.4971540868282318]	[0.3339129090309143, 0.8387137055397034, 0.4508645534515381]	[0.2975316047668457, 0.875109851360321, 0.378181129693985]	[0.26370862126350403, 0.91579669713974, 0.2830032706260681]	[0.26546943187713623, 0.919137716293335, 0.2896721363067627]	[0.2751231789588928, 0.9287413358688354, 0.23944775760173798]	[0.31122109293937683, 0.9322665333747864, 0.19347581267356873]	
subject1_file_140	0	[0.5343590378761292, 0.3149169087409973, 0.4877275824546814]	[0.37336036562919617, 0.5726071000099182, 0.685325026512146]	[0.5067741274833679, 0.6517927646636963, 0.6056116819381714]	[0.40215054154396057, 0.42599597573280334, 0.6067022085189819]	[0.4476100504398346, 0.4348728060722351, 0.5631455183029175]	[0.4340553283691406, 0.3982459604740143, 0.609282374382019]	[0.6590030789375305, 0.6131939888000488, 0.5213406682014465]	[0.7335230112075806, 0.6140876412391663, 0.45049548149108887]	[0.7590508460998535, 0.6029940247535706, 0.4649467468261719]	[0.768939733505249, 0.598982572555542, 0.48694705963134766]	
subject1_file_213	0	[0.5819986462593079, 0.7414892911911011, 0.38090941309928894]	[0.41440409421920776, 0.8968489766120911, 0.2505129873752594]	[0.29701122641563416, 0.9585672616958618, 0.1469389647245407]	[0.32025784254074097, 0.9718595743179321, 0.1106051653623581]	[0.22402901947498322, 0.9670963287353516, 0.18136383593082428]	[0.14454735815525055, 0.9790554642677307, 0.17072895169258118]	[0.12206409871578217, 0.9685584306716919, 0.22663593292236328]	[0.1072249636054039, 0.9748645424842834, 0.17674030363559723]	[0.08851337432861328, 0.9841701984405518, 0.11949330568313599]	[0.0729181095957756, 0.9886826872825623, 0.09250404685735703]	
subject1_file_685	0	[0.8435883522033691, 0.4139934182167053, 0.3982585668563843]	[0.9189517498016357, 0.2882704436779022, 0.3894268870353699]	[0.9668440818786621, 0.38341352343559265, 0.19076865911483765]	[0.9270309209823608, 0.6700745820999146, 0.14926421642303467]	[0.9601156115531921, 0.6236585974693298, 0.11501418054103851]	[0.9806213974952698, 0.6133557558059692, 0.07322806119918823]	[0.974496603012085, 0.6004871726036072, 0.09126937389373779]	[0.8975996971130371, 0.8362508416175842, 0.08405344188213348]	[0.9710779190063477, 0.6869217753410339, 0.07686679065227509]	[0.9910169839859009, 0.47237303853034973, 0.09701984375715256]	
subject1_file_389	0	[0.82820725440979, 0.4920622408390045, 0.37106576561927795]	[0.6084591746330261, 0.8162687420845032, 0.32816171646118164]	[0.42930272221565247, 0.8316348791122437, 0.3010413944721222]	[0.7439135909080505, 0.6386772394180298, 0.532461941242218]	[0.7581562995910645, 0.5861304998397827, 0.5800080895423889]	[0.7527971267700195, 0.5943452715873718, 0.5858678817749023]	[0.8033464550971985, 0.5211405158042908, 0.5916987657546997]	[0.7763702869415283, 0.5788920521736145, 0.5799771547317505]	[0.8046976327896118, 0.5366844534873962, 0.5956193804740906]	[0.7916041612625122, 0.567482590675354, 0.59531569480896]	
subject1_file_247	0	[0.8185726404190063, 0.3641971945762634, 0.3634330630302429]	[0.922755241394043, 0.15054099261760712, 0.47326260805130005]	[0.9344592690467834, 0.06945671141147614, 0.6576119065284729]	[0.9701340794563293, 0.051204197108745575, 0.6048780083656311]	[0.9739760160446167, 0.04465271160006523, 0.6050455570220947]	[0.9805437922477722, 0.0346028171479702, 0.6190564036369324]	[0.9848249554634094, 0.028390098363161087, 0.6216117143630981]	[0.9870105981826782, 0.027662817388772964, 0.6283844113349915]	[0.9923345446586609, 0.013508802279829979, 0.6568598747253418]	[0.9949204325675964, 0.008068942464888096, 0.7052264213562012]	
subject1_file_499	0	[0.7648538947105408, 0.4893019199371338, 0.3615652322769165]	[0.8326893448829651, 0.5510261058807373, 0.3473875820636749]	[0.918032169342041, 0.45033469796180725, 0.31075412034988403]	[0.3486331105232239, 0.9704529643058777, 0.10294388234615326]	[0.605657160282135, 0.9375038146972656, 0.15915045142173767]	[0.6026970744132996, 0.9441637396812439, 0.16232165694236755]	[0.29044055938720703, 0.9283859133720398, 0.24713784456253052]	[0.44941356778144836, 0.810289204120636, 0.2758869230747223]	[0.263979434967041, 0.9618098139762878, 0.12341918051242828]	[0.5691663026809692, 0.8998780250549316, 0.1338629424571991]	
subject1_file_980	0	[0.6694693565368652, 0.7163217663764954, 0.3308875262737274]	[0.8099817633628845, 0.8036491274833679, 0.18491075932979584]	[0.9386298060417175, 0.6926618218421936, 0.12822146713733673]	[0.9568714499473572, 0.6808750629425049, 0.11637368053197861]	[0.9547579884529114, 0.7175083160400391, 0.1070505827665329]	[0.9589446187019348, 0.7547339200973511, 0.08433840423822403]	[0.9599645733833313, 0.7482163906097412, 0.08273144066333771]	[0.9223969578742981, 0.8010155558586121, 0.10485047847032547]	[0.9580106735229492, 0.7809963226318359, 0.08073366433382034]	[0.9709213376045227, 0.7515767216682434, 0.07328315824270248]	
subject1_file_310	0	[0.5066323280334473, 0.5278183817863464, 0.4434014856815338]	[0.5567647218704224, 0.6730945706367493, 0.4145514965057373]	[0.49276304244995117, 0.8491988778114319, 0.2961677610874176]	[0.6804757118225098, 0.8653973340988159, 0.26045578718185425]	[0.588912844657898, 0.8335387110710144, 0.3487268388271332]	[0.5269436836242676, 0.8878568410873413, 0.30060306191444397]	[0.38102349638938904, 0.7851650714874268, 0.5253692269325256]	[0.31599754095077515, 0.8436028361320496, 0.4499618411064148]	[0.33709946274757385, 0.8929443955421448, 0.3592695891857147]	[0.36924317479133606, 0.93342524766922, 0.25222453474998474]	
subject1_file_793	0	[0.711255669593811, 0.639206051826477, 0.35379934310913086]	[0.6103429198265076, 0.8836549520492554, 0.20744077861309052]	[0.4985690712928772, 0.9553473591804504, 0.13221938908100128]	[0.50631183385849, 0.9643403887748718, 0.11324227601289749]	[0.502348780632019, 0.9539501070976257, 0.16348384320735931]	[0.4240596890449524, 0.9717894196510315, 0.13924674689769745]	[0.4194200932979584, 0.965568482875824, 0.149001345038414]	[0.5753709673881531, 0.9542844891548157, 0.12361875921487808]	[0.5512638688087463, 0.9555115699768066, 0.10646726936101913]	[0.5418716073036194, 0.9697129130363464, 0.07921630889177322]	
