Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject3_file_867	[3]	[0.3623548746109009, 0.29479536414146423, 0.11796491593122482, 0.43231508135795593, 0.3731791079044342, 0.06286449730396271, 0.0994100496172905, 0.04995914548635483, 0.06903324276208878, 0.3080914318561554]	[0.37932339310646057, 0.30140024423599243, 0.07199974358081818, 0.38202404975891113, 0.3958650231361389, 0.04223833978176117, 0.11753665655851364, 0.04053172841668129, 0.04381127655506134, 0.3162868320941925]	[0.39066436886787415, 0.3436025083065033, 0.05799418315291405, 0.36204031109809875, 0.4041898846626282, 0.04717123880982399, 0.12988360226154327, 0.055615801364183426, 0.04340081661939621, 0.29160076379776]	[0.4007667601108551, 0.37383660674095154, 0.04974136874079704, 0.3062371611595154, 0.452051043510437, 0.035836320370435715, 0.11971357464790344, 0.05291664972901344, 0.04182429984211922, 0.31530582904815674]	[0.38509976863861084, 0.411744087934494, 0.047573696821928024, 0.29085251688957214, 0.46640217304229736, 0.034623365849256516, 0.11157248914241791, 0.060638632625341415, 0.040839821100234985, 0.3086012601852417]	[0.40373939275741577, 0.4317641854286194, 0.046903565526008606, 0.24701111018657684, 0.4939892292022705, 0.03320775926113129, 0.10539333522319794, 0.06864035129547119, 0.04284791648387909, 0.3225346505641937]	[0.4847612977027893, 0.42710626125335693, 0.05139993131160736, 0.1731327921152115, 0.6996068358421326, 0.048220958560705185, 0.07227073609828949, 0.10296651721000671, 0.0644899383187294, 0.41960278153419495]	[0.44097280502319336, 0.43563854694366455, 0.04982464388012886, 0.1923552304506302, 0.5703096389770508, 0.044386085122823715, 0.09130201488733292, 0.08219008147716522, 0.05500853434205055, 0.3837383985519409]	[0.44234946370124817, 0.46051010489463806, 0.044924840331077576, 0.18025356531143188, 0.5437692999839783, 0.03762953355908394, 0.08835072815418243, 0.08691281825304031, 0.052746400237083435, 0.36242762207984924]	[0.4606597125530243, 0.39483264088630676, 0.046557337045669556, 0.24167631566524506, 0.46812981367111206, 0.01863877661526203, 0.10467156022787094, 0.010236319154500961, 0.003923743963241577, 0.31287989020347595]	
subject3_file_537	[3, 6]	[0.36223968863487244, 0.29491618275642395, 0.11797691881656647, 0.4323731064796448, 0.3731747269630432, 0.06286583095788956, 0.09944025427103043, 0.04996083304286003, 0.06898941099643707, 0.30796724557876587]	[0.3791100084781647, 0.3014788329601288, 0.07199843227863312, 0.3819999396800995, 0.39588040113449097, 0.042231105268001556, 0.11754044890403748, 0.040538012981414795, 0.04379197210073471, 0.3162233233451843]	[0.39033979177474976, 0.3436163365840912, 0.05799735337495804, 0.36151254177093506, 0.40449342131614685, 0.047147300094366074, 0.12983570992946625, 0.05559138208627701, 0.043390799313783646, 0.2918279469013214]	[0.4005067050457001, 0.3740108907222748, 0.049742549657821655, 0.3055913746356964, 0.45255550742149353, 0.035847850143909454, 0.11968506872653961, 0.05293361097574234, 0.04183536395430565, 0.315616250038147]	[0.38474029302597046, 0.4118247330188751, 0.047544147819280624, 0.28994619846343994, 0.4670826494693756, 0.03462845832109451, 0.11153999716043472, 0.06067024543881416, 0.0408744141459465, 0.3091204762458801]	[0.40351876616477966, 0.43193259835243225, 0.04687182232737541, 0.24611195921897888, 0.49509286880493164, 0.03324973210692406, 0.10536970943212509, 0.06875835359096527, 0.042945194989442825, 0.3232479691505432]	[0.4827791750431061, 0.4264149069786072, 0.05116159841418266, 0.17297805845737457, 0.6988345384597778, 0.04804989695549011, 0.07237137109041214, 0.1026708260178566, 0.06441895663738251, 0.41946521401405334]	[0.4397759437561035, 0.4346388578414917, 0.04959545284509659, 0.19113877415657043, 0.5706882476806641, 0.04429604485630989, 0.0912066102027893, 0.08184871822595596, 0.05494865030050278, 0.38493612408638]	[0.43906477093696594, 0.45847415924072266, 0.04451365023851395, 0.1802530586719513, 0.5422133207321167, 0.037370193749666214, 0.08836489170789719, 0.08637966960668564, 0.05254106596112251, 0.36216238141059875]	[0.45849886536598206, 0.3939572870731354, 0.04635859653353691, 0.24086280167102814, 0.4680884778499603, 0.01860649511218071, 0.10469075292348862, 0.010232043452560902, 0.003923229873180389, 0.3137270510196686]	
subject3_file_753	[0, 6]	[0.36223968863487244, 0.29491618275642395, 0.11797691881656647, 0.4323731064796448, 0.3731747269630432, 0.06286583095788956, 0.09944025427103043, 0.04996083304286003, 0.06898941099643707, 0.30796724557876587]	[0.3791100084781647, 0.3014788329601288, 0.07199843227863312, 0.3819999396800995, 0.39588040113449097, 0.042231105268001556, 0.11754044890403748, 0.040538012981414795, 0.04379197210073471, 0.3162233233451843]	[0.39033979177474976, 0.3436163365840912, 0.05799735337495804, 0.36151254177093506, 0.40449342131614685, 0.047147300094366074, 0.12983570992946625, 0.05559138208627701, 0.043390799313783646, 0.2918279469013214]	[0.4005067050457001, 0.3740108907222748, 0.049742549657821655, 0.3055914342403412, 0.45255550742149353, 0.035847850143909454, 0.11968506872653961, 0.05293361097574234, 0.04183536395430565, 0.315616250038147]	[0.38474026322364807, 0.4118247330188751, 0.047544147819280624, 0.28994619846343994, 0.4670826494693756, 0.03462845832109451, 0.11153999716043472, 0.06067024543881416, 0.0408744141459465, 0.3091204762458801]	[0.40351876616477966, 0.43193259835243225, 0.04687182232737541, 0.24611195921897888, 0.49509286880493164, 0.03324973210692406, 0.10536970943212509, 0.06875835359096527, 0.042945194989442825, 0.3232479691505432]	[0.4827791452407837, 0.4264149069786072, 0.051161572337150574, 0.17297802865505219, 0.6988345384597778, 0.048049889504909515, 0.07237137109041214, 0.1026708260178566, 0.06441895663738251, 0.41946521401405334]	[0.4397759437561035, 0.4346388578414917, 0.04959545284509659, 0.19113877415657043, 0.5706882476806641, 0.04429604485630989, 0.0912066102027893, 0.08184871822595596, 0.05494865030050278, 0.38493606448173523]	[0.4390648603439331, 0.45847418904304504, 0.04451365023851395, 0.18025298416614532, 0.5422133803367615, 0.037370193749666214, 0.0883648693561554, 0.08637966960668564, 0.05254104733467102, 0.36216238141059875]	[0.45849886536598206, 0.3939572870731354, 0.04635859653353691, 0.24086280167102814, 0.4680884778499603, 0.01860649511218071, 0.10469075292348862, 0.010232043452560902, 0.003923229873180389, 0.3137270510196686]	
subject3_file_335	[0, 4, 9]	[0.36212778091430664, 0.29499486088752747, 0.1179964691400528, 0.4325089454650879, 0.373170405626297, 0.06290341168642044, 0.09948514401912689, 0.04999455064535141, 0.06898743659257889, 0.3079254627227783]	[0.37891116738319397, 0.3015988767147064, 0.07201895117759705, 0.3823331594467163, 0.3958519399166107, 0.04227032512426376, 0.11761139333248138, 0.04060954973101616, 0.043817538768053055, 0.3161107301712036]	[0.3898729681968689, 0.34373795986175537, 0.05801885947585106, 0.3625980317592621, 0.404298335313797, 0.047254856675863266, 0.13003112375736237, 0.055830489844083786, 0.04348735138773918, 0.2914283275604248]	[0.4000193774700165, 0.37398627400398254, 0.04979905113577843, 0.30610188841819763, 0.4527033269405365, 0.03593031316995621, 0.11979183554649353, 0.05314037203788757, 0.041963350027799606, 0.31570395827293396]	[0.3841426372528076, 0.4116501212120056, 0.04758625105023384, 0.2902357578277588, 0.46737873554229736, 0.03470716252923012, 0.11162500828504562, 0.06091081351041794, 0.0410311184823513, 0.3093942105770111]	[0.4034746587276459, 0.43195751309394836, 0.04698442667722702, 0.24591511487960815, 0.4970484972000122, 0.03345121443271637, 0.10527162253856659, 0.06928686052560806, 0.04328453913331032, 0.32447370886802673]	[0.48209741711616516, 0.4252151548862457, 0.05131634324789047, 0.1713959127664566, 0.7019597887992859, 0.0485839881002903, 0.07209207862615585, 0.10416116565465927, 0.06529680639505386, 0.42394816875457764]	[0.43734222650527954, 0.4333203136920929, 0.04955393448472023, 0.19128312170505524, 0.5704716444015503, 0.0443500317633152, 0.09113933891057968, 0.08206908404827118, 0.0552077554166317, 0.386261910200119]	[0.43503338098526, 0.45513367652893066, 0.04441983252763748, 0.17931611835956573, 0.5434730052947998, 0.03759340941905975, 0.0879766121506691, 0.08726844191551208, 0.05322562903165817, 0.36631762981414795]	[0.4576677083969116, 0.39378565549850464, 0.046385303139686584, 0.240867480635643, 0.4680544137954712, 0.018638458102941513, 0.10477500408887863, 0.010252989828586578, 0.00393343809992075, 0.31418168544769287]	
subject3_file_718	[4]	[0.36212778091430664, 0.29499486088752747, 0.1179964691400528, 0.4325089454650879, 0.373170405626297, 0.06290341168642044, 0.09948514401912689, 0.04999455064535141, 0.06898743659257889, 0.3079254627227783]	[0.37891116738319397, 0.3015988767147064, 0.07201895117759705, 0.3823331594467163, 0.3958519399166107, 0.04227032512426376, 0.11761139333248138, 0.04060954973101616, 0.043817538768053055, 0.316110759973526]	[0.3898729681968689, 0.34373795986175537, 0.05801885947585106, 0.3625980317592621, 0.404298335313797, 0.047254856675863266, 0.13003112375736237, 0.055830489844083786, 0.04348735138773918, 0.2914283275604248]	[0.4000193774700165, 0.37398627400398254, 0.04979905113577843, 0.30610188841819763, 0.4527033269405365, 0.03593031316995621, 0.11979183554649353, 0.05314037203788757, 0.041963350027799606, 0.31570395827293396]	[0.3841426372528076, 0.4116501212120056, 0.04758625105023384, 0.2902357578277588, 0.46737879514694214, 0.03470716252923012, 0.11162500828504562, 0.06091081351041794, 0.0410311184823513, 0.3093942403793335]	[0.4034746587276459, 0.43195751309394836, 0.04698442667722702, 0.24591511487960815, 0.4970484972000122, 0.03345121443271637, 0.10527162253856659, 0.06928686052560806, 0.04328453913331032, 0.32447370886802673]	[0.48209747672080994, 0.4252151846885681, 0.05131634324789047, 0.1713959127664566, 0.7019597887992859, 0.04858400300145149, 0.07209207862615585, 0.10416118800640106, 0.06529680639505386, 0.42394816875457764]	[0.4373422861099243, 0.4333203136920929, 0.04955393448472023, 0.19128304719924927, 0.5704716444015503, 0.0443500317633152, 0.09113933891057968, 0.08206908404827118, 0.0552077554166317, 0.386261910200119]	[0.4350334405899048, 0.45513373613357544, 0.04441983252763748, 0.17931613326072693, 0.5434730052947998, 0.03759340941905975, 0.0879766121506691, 0.08726844191551208, 0.053225647658109665, 0.36631762981414795]	[0.4576677083969116, 0.39378565549850464, 0.046385303139686584, 0.240867480635643, 0.4680544137954712, 0.018638458102941513, 0.10477500408887863, 0.010252989828586578, 0.00393343809992075, 0.31418168544769287]	
subject3_file_855	[4, 9]	[0.36212778091430664, 0.29499486088752747, 0.1179964691400528, 0.4325089454650879, 0.373170405626297, 0.06290341168642044, 0.09948514401912689, 0.04999455064535141, 0.06898743659257889, 0.3079254627227783]	[0.37891116738319397, 0.3015988767147064, 0.07201895117759705, 0.3823331594467163, 0.3958519399166107, 0.04227032512426376, 0.11761139333248138, 0.04060954973101616, 0.043817538768053055, 0.316110759973526]	[0.3898729681968689, 0.34373795986175537, 0.05801885947585106, 0.3625980317592621, 0.404298335313797, 0.047254856675863266, 0.13003112375736237, 0.055830489844083786, 0.04348735138773918, 0.2914283275604248]	[0.4000193774700165, 0.37398627400398254, 0.04979905113577843, 0.30610188841819763, 0.4527033269405365, 0.03593031316995621, 0.11979183554649353, 0.05314037203788757, 0.041963350027799606, 0.31570395827293396]	[0.3841426372528076, 0.4116501212120056, 0.04758625105023384, 0.2902357578277588, 0.46737879514694214, 0.03470716252923012, 0.11162500828504562, 0.06091081351041794, 0.0410311184823513, 0.3093942403793335]	[0.4034746587276459, 0.43195751309394836, 0.04698442667722702, 0.24591511487960815, 0.4970484972000122, 0.03345121443271637, 0.10527162253856659, 0.06928686052560806, 0.04328453913331032, 0.32447370886802673]	[0.48209747672080994, 0.4252151846885681, 0.05131634324789047, 0.1713959127664566, 0.7019597887992859, 0.04858400300145149, 0.07209207862615585, 0.10416118800640106, 0.06529680639505386, 0.42394816875457764]	[0.4373422861099243, 0.4333203136920929, 0.04955393448472023, 0.19128304719924927, 0.5704716444015503, 0.0443500317633152, 0.09113933891057968, 0.08206908404827118, 0.0552077554166317, 0.386261910200119]	[0.4350334405899048, 0.45513373613357544, 0.04441983252763748, 0.17931613326072693, 0.5434730052947998, 0.03759340941905975, 0.0879766121506691, 0.08726844191551208, 0.053225647658109665, 0.36631762981414795]	[0.4576677083969116, 0.39378565549850464, 0.046385303139686584, 0.240867480635643, 0.4680544137954712, 0.018638458102941513, 0.10477500408887863, 0.010252989828586578, 0.00393343809992075, 0.31418168544769287]	
subject3_file_850	[3]	[0.3619782328605652, 0.2954542338848114, 0.11826619505882263, 0.4326009452342987, 0.3731716573238373, 0.06297408789396286, 0.09953837841749191, 0.05001303553581238, 0.06889873743057251, 0.30778250098228455]	[0.379792720079422, 0.30211660265922546, 0.07265591621398926, 0.38138774037361145, 0.3963870108127594, 0.04244348406791687, 0.11776355654001236, 0.040501926094293594, 0.043832164257764816, 0.3169902265071869]	[0.39027702808380127, 0.34509068727493286, 0.05837833508849144, 0.36443307995796204, 0.4048028588294983, 0.04779146984219551, 0.1304466724395752, 0.05632752180099487, 0.04369914159178734, 0.2904909551143646]	[0.400857537984848, 0.3753339946269989, 0.05013691261410713, 0.3055992126464844, 0.4547484517097473, 0.03630152344703674, 0.119767926633358, 0.05347135663032532, 0.042184535413980484, 0.3161888122558594]	[0.3855098485946655, 0.4129408299922943, 0.04788178578019142, 0.28871166706085205, 0.47144630551338196, 0.03517859801650047, 0.11129937320947647, 0.0614418163895607, 0.04141734167933464, 0.311065673828125]	[0.4079541563987732, 0.4342261254787445, 0.047511592507362366, 0.2419576495885849, 0.5081170201301575, 0.03435179218649864, 0.10407461225986481, 0.07067638635635376, 0.044215403497219086, 0.3297300636768341]	[0.49087947607040405, 0.42705294489860535, 0.052913546562194824, 0.15745596587657928, 0.7228928804397583, 0.051924318075180054, 0.0703020915389061, 0.10957255959510803, 0.06824725866317749, 0.44817212224006653]	[0.4366493225097656, 0.43531250953674316, 0.05016423016786575, 0.18643179535865784, 0.575077474117279, 0.04523133113980293, 0.09093683212995529, 0.08198944479227066, 0.05521648749709129, 0.3917069733142853]	[0.4369489848613739, 0.45543166995048523, 0.04583624750375748, 0.1653323918581009, 0.5614855289459229, 0.040035318583250046, 0.08666957169771194, 0.08959248661994934, 0.05478118732571602, 0.3873136043548584]	[0.4511144161224365, 0.3922625184059143, 0.04623427242040634, 0.24161845445632935, 0.46693745255470276, 0.01860339380800724, 0.10394410043954849, 0.010163981467485428, 0.00390813359990716, 0.3140522241592407]	
subject3_file_901	[3, 6]	[0.36231255531311035, 0.2948927879333496, 0.11804114282131195, 0.4323771893978119, 0.37315985560417175, 0.06286808103322983, 0.09947651624679565, 0.04995633661746979, 0.06901056319475174, 0.30801844596862793]	[0.37927207350730896, 0.3015170991420746, 0.07208825647830963, 0.3819746673107147, 0.39588797092437744, 0.04225107282400131, 0.11759880930185318, 0.040522992610931396, 0.043798644095659256, 0.31629177927970886]	[0.39063018560409546, 0.3437792956829071, 0.05807119980454445, 0.36176738142967224, 0.40443190932273865, 0.04718708246946335, 0.12987296283245087, 0.05555909499526024, 0.04336569085717201, 0.2916833162307739]	[0.40083518624305725, 0.3742268979549408, 0.049813639372587204, 0.30597957968711853, 0.45233917236328125, 0.03586825355887413, 0.11970072984695435, 0.052874431014060974, 0.041780099272727966, 0.31529974937438965]	[0.38527917861938477, 0.41222211718559265, 0.047636978328228, 0.29045429825782776, 0.4668923318386078, 0.03466406837105751, 0.11150918900966644, 0.060603637248277664, 0.0408022366464138, 0.3087001144886017]	[0.40400975942611694, 0.4323520064353943, 0.04696758836507797, 0.24670766294002533, 0.49458152055740356, 0.033249631524086, 0.10529842972755432, 0.06856303662061691, 0.04278896003961563, 0.32252219319343567]	[0.4848930537700653, 0.42795807123184204, 0.05146339163184166, 0.17284679412841797, 0.6997857689857483, 0.04824169725179672, 0.07220061868429184, 0.1025947779417038, 0.06424983590841293, 0.4192468523979187]	[0.44139567017555237, 0.436550110578537, 0.049928124994039536, 0.19126664102077484, 0.5712565779685974, 0.04448976740241051, 0.09115373343229294, 0.0819416493177414, 0.05481275916099548, 0.3841828405857086]	[0.4425598680973053, 0.4616885781288147, 0.04500039666891098, 0.17957302927970886, 0.5439767837524414, 0.037646181881427765, 0.08825577050447464, 0.0863812267780304, 0.05237056314945221, 0.3619728684425354]	[0.45952215790748596, 0.3947025537490845, 0.04651641845703125, 0.24136827886104584, 0.4677571952342987, 0.01861472800374031, 0.10454490780830383, 0.010202248580753803, 0.0039096190594136715, 0.31283336877822876]	
subject3_file_14	[0, 6]	[0.3622850775718689, 0.29513174295425415, 0.11808206140995026, 0.43249475955963135, 0.37326711416244507, 0.06283588707447052, 0.09943604469299316, 0.049931224435567856, 0.0689006969332695, 0.307675302028656]	[0.3793798089027405, 0.30172282457351685, 0.0721980631351471, 0.3817232549190521, 0.39612463116645813, 0.042262207716703415, 0.1175353080034256, 0.040454424917697906, 0.043729737401008606, 0.3162730038166046]	[0.39129742980003357, 0.3437015414237976, 0.05816233158111572, 0.3589477837085724, 0.40610456466674805, 0.04706204682588577, 0.12930160760879517, 0.05515045300126076, 0.0432383194565773, 0.29304730892181396]	[0.4017521142959595, 0.374754399061203, 0.04982104152441025, 0.30418506264686584, 0.4539329409599304, 0.03585467487573624, 0.1193157210946083, 0.052642788738012314, 0.04165581613779068, 0.31588125228881836]	[0.38648808002471924, 0.41272538900375366, 0.04760416969656944, 0.2884603440761566, 0.4692533314228058, 0.03467947989702225, 0.11101987957954407, 0.06040225923061371, 0.04073162376880646, 0.30968236923217773]	[0.4049787223339081, 0.4328685998916626, 0.04684489220380783, 0.24563343822956085, 0.4957936108112335, 0.03317314013838768, 0.10504307597875595, 0.0682222843170166, 0.04261369630694389, 0.3224059045314789]	[0.48480477929115295, 0.429464191198349, 0.051141731441020966, 0.17373329401016235, 0.6967188715934753, 0.04757635295391083, 0.0725417360663414, 0.10048960894346237, 0.06313920021057129, 0.4147036075592041]	[0.4457635283470154, 0.4387502372264862, 0.049976836889982224, 0.1882857382297516, 0.5744527578353882, 0.044506367295980453, 0.0910591259598732, 0.08103334158658981, 0.05430474132299423, 0.38498374819755554]	[0.4477900266647339, 0.46719834208488464, 0.04500206187367439, 0.1797824501991272, 0.5429697036743164, 0.037261608988046646, 0.08904137462377548, 0.08435747027397156, 0.051006436347961426, 0.35608187317848206]	[0.4580487608909607, 0.3941803276538849, 0.04618383198976517, 0.24052953720092773, 0.46879124641418457, 0.018539665266871452, 0.10451369732618332, 0.010202845558524132, 0.003903843928128481, 0.31310153007507324]	
subject3_file_85	[0, 4, 9]	[0.36238718032836914, 0.294784277677536, 0.11794790625572205, 0.4321346879005432, 0.3731556534767151, 0.06282325088977814, 0.09937658160924911, 0.049918174743652344, 0.06900771707296371, 0.3080996572971344]	[0.37945181131362915, 0.3012790381908417, 0.07198355346918106, 0.38144350051879883, 0.3959195017814636, 0.04218069091439247, 0.11744764447212219, 0.04043620452284813, 0.04377106949687004, 0.31649067997932434]	[0.39083153009414673, 0.34353888034820557, 0.057955194264650345, 0.3607584536075592, 0.40438714623451233, 0.04706055298447609, 0.1297273337841034, 0.05540032312273979, 0.04330820217728615, 0.2920006215572357]	[0.40098702907562256, 0.3739677369594574, 0.04966633394360542, 0.3051641583442688, 0.45213308930397034, 0.03575560078024864, 0.11962085962295532, 0.05273023620247841, 0.04171097278594971, 0.3154386281967163]	[0.385298490524292, 0.4119543433189392, 0.04748909920454025, 0.28978562355041504, 0.46641454100608826, 0.03453955426812172, 0.11151914298534393, 0.060428205877542496, 0.040712662041187286, 0.3086891174316406]	[0.4035991430282593, 0.4318258762359619, 0.046752993017435074, 0.24617332220077515, 0.4929783344268799, 0.03304840624332428, 0.10548384487628937, 0.06823334842920303, 0.042609866708517075, 0.32209837436676025]	[0.48420479893684387, 0.42751967906951904, 0.05108891800045967, 0.17361395061016083, 0.6970051527023315, 0.04771507531404495, 0.07253842800855637, 0.10161147266626358, 0.06376887857913971, 0.416572630405426]	[0.4417647123336792, 0.4356815814971924, 0.04961084946990013, 0.19120116531848907, 0.5704541206359863, 0.04424203932285309, 0.09131703525781631, 0.08172234892845154, 0.05472888424992561, 0.3834424614906311]	[0.44290873408317566, 0.4610315263271332, 0.044651683419942856, 0.18031537532806396, 0.5419478416442871, 0.037298839539289474, 0.08861029148101807, 0.08584200590848923, 0.052101559937000275, 0.3596954345703125]	[0.4591781497001648, 0.39398497343063354, 0.04634781554341316, 0.24105530977249146, 0.4677896499633789, 0.018570074811577797, 0.10451346635818481, 0.01019695308059454, 0.003909704275429249, 0.3131571412086487]	
