Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject2_file_457	[3]	[1, 3]	[3]	[3]	[3]	[3]	[3]	[0, 3]	[3]	[3]	[3]	
subject2_file_679	[3, 6]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3, 6]	[0, 3, 6]	[3]	[0, 3, 6]	[3, 6]	
subject2_file_95	[0, 6]	[1, 3]	[3]	[3, 9]	[9]	[9]	[4, 9]	[4, 9]	[0, 2, 4, 5, 9]	[0, 4]	[0, 4]	
subject2_file_899	[0, 4, 9]	[0, 1, 3, 4]	[1]	[1, 3]	[1, 4]	[1, 4]	[1, 4, 9]	[4, 9]	[]	[9]	[9]	
subject2_file_368	[4]	[0, 4, 9]	[0, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	
subject2_file_425	[4, 9]	[0, 1, 4, 9]	[0, 4, 9]	[0, 1, 4, 9]	[4, 9]	[4, 9]	[1, 4, 7, 8, 9]	[4, 7, 8, 9]	[4, 9]	[4, 9]	[4, 9]	
subject2_file_646	[3]	[4, 9]	[3]	[3]	[0, 1, 2, 3, 5]	[0, 1, 2, 3, 5]	[0, 1, 2, 3]	[0, 1, 2, 3, 5]	[3]	[0, 3, 4]	[3]	
subject2_file_52	[3, 6]	[1, 3]	[1, 3]	[3]	[0, 1, 3]	[0]	[0, 4]	[1, 3]	[3]	[1, 3]	[1, 3]	
subject2_file_123	[0, 6]	[0, 1, 3, 4]	[3]	[1, 3]	[0, 1, 3]	[0, 1, 3]	[0, 1, 4, 5]	[0, 1, 5]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	
subject2_file_821	[0, 9]	[0, 1, 3]	[1, 3]	[0, 1, 3, 8]	[1, 3, 8]	[3, 8]	[3, 7, 8, 9]	[3, 7, 8, 9]	[8, 9]	[9]	[9]	
subject2_file_641	[4, 9]	[0, 4, 9]	[0, 4, 9]	[4, 9]	[0, 1, 2, 4, 9]	[1, 4, 9]	[0, 1, 4, 9]	[4, 9]	[4, 9]	[4]	[1, 4]	
subject2_file_101	[4]	[0, 4, 9]	[0, 4, 9]	[0, 4]	[0, 1, 4, 9]	[0, 1, 4, 9]	[0, 1, 2, 4, 5, 9]	[0, 4, 5, 9]	[0, 4, 9]	[0, 4, 9]	[0, 4, 9]	
subject2_file_880	[4, 9]	[0, 1, 4, 9]	[9]	[0, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[0, 1, 4]	[0]	[4, 9]	[9]	
subject2_file_743	[3]	[0, 4, 9]	[3]	[3, 9]	[3, 9]	[3, 9]	[4, 9]	[4, 9]	[0, 9]	[3]	[3]	
subject2_file_485	[3, 6]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject2_file_92	[0, 6]	[0, 1, 3, 4]	[3]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 3, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	
subject2_file_25	[0, 4, 9]	[0, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[0, 1, 4]	[0, 1, 4]	
subject2_file_180	[4]	[0, 4, 9]	[1, 4, 9]	[0, 1, 4, 9]	[1, 4]	[0, 1, 4]	[0, 1, 4]	[9]	[1, 4]	[1, 4]	[0, 1, 4]	
subject2_file_586	[4]	[0, 4, 9]	[4, 9]	[1, 4, 9]	[0, 1, 2, 4]	[0, 1, 2, 4]	[0, 1, 2, 4, 5]	[0, 1, 2, 4, 5]	[4, 9]	[4, 9]	[]	
subject2_file_453	[4, 9]	[0, 4, 9]	[0, 4, 9]	[4, 9]	[0, 1, 4, 9]	[0, 1, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	
subject2_file_308	[3]	[1, 3, 4]	[0, 3, 4]	[3, 4]	[0, 3, 4]	[3]	[3]	[3]	[3]	[3]	[3]	
subject2_file_263	[3, 6]	[0, 1, 3]	[3]	[3]	[3]	[3, 9]	[3, 6]	[0, 3]	[3]	[3]	[3]	
subject2_file_847	[0, 6]	[0, 1, 3, 4]	[]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[1, 3, 4]	[0, 1, 3]	[3]	[1, 3]	[3]	
subject2_file_723	[0, 4, 9]	[0, 4, 9]	[0, 4, 9]	[0, 4, 9]	[4, 9]	[0, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[0, 4, 9]	[0, 4, 9]	
subject2_file_565	[4]	[0, 4, 9]	[4, 9]	[3]	[1, 3]	[1, 3]	[1, 3]	[]	[4]	[1, 4]	[1, 4]	
subject2_file_37	[4, 9]	[0, 1, 3, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[0, 4, 9]	[2, 4, 5, 9]	[0, 4, 9]	[0, 1, 4]	[0, 1, 4]	
subject2_file_325	[3]	[1, 3, 4, 9]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject2_file_792	[3, 6]	[1, 3, 4]	[3]	[3]	[3, 6]	[3, 6]	[3, 6]	[3]	[3]	[3]	[3]	
subject2_file_872	[0, 6]	[0, 1, 3, 4]	[3]	[0, 1, 3]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3, 4, 6]	[0, 1, 3, 4]	[0, 1]	[0, 1, 4, 6]	[0, 1, 4, 6]	
subject2_file_831	[0, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[0, 1, 4]	[4, 9]	[4, 9]	[4, 9]	
subject2_file_1	[4]	[0, 4, 9]	[0, 4, 9]	[0, 1, 4, 8]	[0, 1, 4, 9]	[1, 4, 9]	[1, 3, 4]	[0, 1, 4]	[1, 4]	[1, 4]	[1, 4]	
subject2_file_257	[4, 9]	[0, 4, 9]	[1, 4, 9]	[0, 1, 4, 9]	[0, 1, 4, 9]	[0, 1, 4, 9]	[4, 9]	[4, 9]	[0, 4, 9]	[0, 1, 4]	[0, 1, 4]	
subject2_file_540	[3]	[3, 4]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject2_file_635	[3, 6]	[3]	[3]	[3]	[3]	[0, 1, 2, 3, 5]	[0, 2, 3]	[3]	[3]	[3]	[3]	
subject2_file_803	[0, 6]	[0, 4, 9]	[4, 9]	[4, 9]	[0, 4]	[4, 9]	[4, 9]	[3, 4]	[0, 1, 4]	[1, 3, 4]	[0, 1, 4]	
subject2_file_172	[0, 4, 9]	[0, 1, 3]	[1]	[1, 2, 4, 9]	[0, 1, 2, 4, 5, 9]	[0, 1, 2, 4, 9]	[0, 1, 2, 4, 9]	[0, 1, 2, 4]	[4, 9]	[9]	[9]	
subject2_file_581	[4]	[0, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[0, 1, 4]	[0, 1, 2, 4]	
subject2_file_674	[4, 9]	[0, 3, 4, 9]	[1, 3]	[2, 4, 9]	[1, 2, 3]	[1, 2, 3]	[1, 3]	[1, 3]	[1, 2, 4]	[1, 3]	[1, 2, 3]	
subject2_file_138	[3]	[0, 1, 3]	[0, 3]	[0, 3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject2_file_770	[1, 3]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[9]	[0, 1, 3, 4, 6]	[0, 1, 3, 4, 6]	[0]	[0, 1, 4, 6]	[0, 1, 6]	
subject2_file_4	[1]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 5, 9]	[9]	[4, 9]	[4, 9]	
subject2_file_464	[0, 1, 4]	[0, 1, 3, 4]	[0, 4, 9]	[0, 1, 4, 9]	[0, 4, 9]	[4, 9]	[0, 4, 9]	[0, 4, 5, 9]	[4, 9]	[4, 9]	[4, 9]	
subject2_file_409	[1, 4]	[0, 1, 4, 9]	[0, 1, 4, 9]	[0, 4, 9]	[0, 1, 4, 9]	[0, 1, 4, 9]	[0, 1, 4]	[4, 9]	[4]	[4, 9]	[1, 4]	
subject2_file_218	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 4]	[4, 9]	[0, 4]	[0, 1, 4]	[3, 4]	[3]	[3, 4]	[3]	[3]	
subject2_file_749	[3, 7, 8, 9]	[0, 1, 3, 4, 9]	[0, 4, 9]	[0, 4, 9]	[0, 4, 9]	[0, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[0, 4, 9]	[0, 4, 9]	
subject2_file_452	[3]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	[3]	[3]	[3]	[3]	[3]	[3]	[0, 3]	
subject2_file_517	[1, 3]	[0, 1, 3, 4]	[1, 3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[1, 4, 9]	[0, 1, 4, 6]	[0, 1, 3, 4, 6]	[0, 1, 4]	[4, 9]	[0, 1, 4]	
subject2_file_709	[1]	[0, 1, 3, 4]	[1, 9]	[0, 1, 4, 9]	[1, 9]	[1, 9]	[0, 1, 5, 9]	[1, 9]	[9]	[0, 9]	[0]	
subject2_file_650	[0, 1, 4]	[0, 1, 3, 4]	[0, 1, 4]	[0, 1, 4, 9]	[1, 4, 9]	[1]	[1, 4, 8, 9]	[1, 4, 8]	[1, 8, 9]	[1, 4, 8]	[1, 4]	
subject2_file_96	[0, 1, 4]	[0, 1, 4, 9]	[0, 1, 4, 9]	[0, 1, 4]	[1, 3]	[1, 3]	[1, 3, 4, 7, 8]	[1, 3, 7, 8]	[1]	[4, 7, 8]	[7, 8]	
subject2_file_500	[0, 1]	[0, 4, 9]	[9]	[1, 9]	[1, 4]	[0, 1, 4]	[0, 1, 2, 4, 5, 9]	[0, 4, 9]	[0, 1, 4]	[0, 1, 2, 4]	[0, 1, 2, 4]	
subject2_file_832	[0, 3, 4, 7]	[0, 1, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[0, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 4]	[0, 1, 4]	[0, 1, 4]	
subject2_file_980	[7, 8, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[1]	[4, 9]	[9]	[1]	[9]	[9]	
subject2_file_923	[3]	[3, 4, 9]	[0, 3, 4]	[3, 4, 9]	[4, 9]	[3, 9]	[4, 9]	[3, 4, 9]	[3]	[3]	[3]	
subject2_file_314	[1, 3]	[0, 1, 3, 4]	[1, 4, 9]	[0, 1, 3, 4]	[0, 1, 4, 5, 9]	[0, 1, 4, 5, 9]	[0, 1, 4]	[0, 1, 3]	[0, 1, 4]	[0, 1, 2, 4, 5]	[0, 1, 4]	
subject2_file_731	[1]	[0, 1, 3, 4]	[1]	[0, 1, 4, 9]	[0, 1, 4, 5, 9]	[0, 1, 4, 5, 9]	[0, 1, 2, 4, 5, 9]	[0, 1, 2, 4, 5, 9]	[0, 4, 5, 9]	[0, 1, 2, 4, 5, 9]	[0, 1, 4]	
subject2_file_592	[0, 1, 4]	[0, 1, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[1, 4]	[1, 3]	[]	[9]	[9]	
subject2_file_129	[0, 1, 4]	[0, 1, 4, 9]	[4, 9]	[0, 1, 4, 8]	[0, 1, 4, 8, 9]	[0, 1, 4, 7, 8, 9]	[0, 1, 4, 7, 9]	[0, 1, 4, 7, 9]	[0, 1, 4]	[0, 1, 4, 7, 8]	[0, 1, 4]	
subject2_file_549	[0, 1, 3, 4]	[3, 4]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject2_file_17	[3, 7, 8, 9]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	[0, 1, 9]	[0, 1, 4, 9]	[0, 1, 4, 8, 9]	[0, 1, 4]	[1]	[3, 8]	[3, 8]	
subject2_file_49	[3]	[0, 4, 9]	[0, 4, 9]	[4, 9]	[0, 4, 9]	[0, 4, 9]	[4, 9]	[3, 9]	[4, 9]	[3, 4, 9]	[3, 9]	
subject2_file_402	[1, 3]	[0, 1, 3, 4]	[3]	[0, 1, 3, 4]	[0, 1, 3]	[9]	[0, 1, 3, 4, 6]	[0, 1, 4, 6]	[1, 3]	[0, 1, 4]	[0, 1, 4]	
subject2_file_526	[1]	[0, 1, 3, 4]	[1, 9]	[0, 1, 4, 9]	[9]	[9]	[4, 9]	[4, 9]	[9]	[9]	[]	
subject2_file_942	[0, 1]	[0, 1, 3, 4]	[1]	[0, 1, 4, 9]	[0, 1, 4, 9]	[1, 9]	[0, 1]	[1]	[9]	[1]	[1]	
subject2_file_724	[0, 1, 4]	[0, 1, 3, 4]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[]	[1]	[]	
subject2_file_74	[0, 1, 4]	[0, 4, 9]	[1, 4, 9]	[0, 1, 4, 9]	[1, 4, 9]	[4, 9]	[0, 1, 4]	[0, 1, 4, 9]	[1]	[]	[]	
subject2_file_248	[0, 1, 3, 4, 7]	[0, 4, 9]	[0, 4]	[4, 9]	[4]	[0, 4]	[0, 4]	[0, 4]	[4]	[3, 4]	[0, 3, 4]	
subject2_file_344	[7, 8, 9]	[0, 1, 3, 4]	[9]	[9]	[8, 9]	[9]	[8, 9]	[8, 9]	[]	[9]	[9]	
subject2_file_588	[3]	[1, 3, 4]	[3]	[0, 4]	[0, 1, 3, 4]	[0, 1, 3]	[0, 4, 9]	[0, 4]	[3]	[3]	[3]	
subject2_file_295	[1, 3]	[0, 1, 3, 4]	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3]	[1, 3]	[0, 1, 3]	[1, 3]	
subject2_file_658	[1]	[0, 1, 3, 4]	[1]	[0, 1, 4, 9]	[9]	[9]	[9]	[4, 9]	[1]	[1]	[1]	
subject2_file_358	[0, 1, 4]	[0, 4, 9]	[9]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[]	[9]	[9]	
subject2_file_746	[1, 4]	[0, 1, 3, 4, 9]	[1]	[0, 1, 4, 9]	[0, 1, 4]	[1]	[1]	[0, 1]	[1]	[0, 1, 4]	[0, 1, 4]	
subject2_file_541	[0, 1, 3, 4, 7, 8]	[0, 1, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[0, 4, 9]	[0, 4, 7]	[0, 1, 3, 4, 7]	[0, 1, 3, 4, 7]	
subject2_file_202	[8, 9]	[0, 4, 9]	[0, 4, 9]	[4, 9]	[0, 1, 2, 4, 5, 9]	[0, 1, 2, 4, 5, 9]	[0, 2, 4, 5, 9]	[0, 2, 4, 5, 9]	[0, 2, 4, 5, 9]	[0, 2, 4, 5, 9]	[0, 1, 2, 4, 9]	
subject2_file_171	[3]	[0, 4, 9]	[0, 4, 9]	[3, 4, 9]	[3, 9]	[0, 3, 4]	[0, 1, 4]	[0, 1, 4]	[0, 4]	[0, 1, 4, 7]	[0, 1, 4, 7]	
subject2_file_840	[1, 3]	[0, 1, 3, 4]	[1, 9]	[0, 1, 4, 9]	[4, 9]	[9]	[1, 4, 9]	[1, 9]	[1, 4]	[1, 4]	[1, 4]	
subject2_file_436	[0, 1]	[0, 1, 3, 4]	[1]	[0, 1, 4, 9]	[0, 1, 4, 9]	[0, 1, 4, 5, 9]	[0, 1, 4, 5, 9]	[0, 1, 4, 5, 9]	[0, 4, 5, 9]	[0, 1, 4, 5]	[0, 1, 4]	
subject2_file_85	[0, 1, 4]	[0, 1, 3]	[0, 1]	[0, 1, 4, 9]	[4, 9]	[3, 4, 9]	[3, 4, 9]	[1, 4]	[1, 4]	[3]	[9]	
