Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject3_file_867	0	[0.6495569348335266, 0.5533807277679443, 0.3425441384315491]	[0.6077408194541931, 0.7473688721656799, 0.23928484320640564]	[0.5115792155265808, 0.8326107859611511, 0.2741740047931671]	[0.49008217453956604, 0.8522176146507263, 0.3008599281311035]	[0.3365296423435211, 0.934637188911438, 0.2818925976753235]	[0.24117226898670197, 0.9622237682342529, 0.2583155333995819]	[0.1411449909210205, 0.975477933883667, 0.28824636340141296]	[0.292936772108078, 0.790513813495636, 0.45660191774368286]	[0.021870825439691544, 0.9984991550445557, 0.25961771607398987]	[0.16833001375198364, 0.7125422954559326, 0.7719924449920654]	
subject3_file_537	0	[0.6495078206062317, 0.5533342361450195, 0.34262531995773315]	[0.6077021956443787, 0.747277021408081, 0.23938408493995667]	[0.5112766027450562, 0.8326181769371033, 0.27442267537117004]	[0.4902418553829193, 0.8523814678192139, 0.30040228366851807]	[0.33632129430770874, 0.9354616403579712, 0.27973610162734985]	[0.4139145612716675, 0.8344534635543823, 0.43765246868133545]	[0.08806809782981873, 0.9852277040481567, 0.39096030592918396]	[0.18538013100624084, 0.9280167818069458, 0.3569941818714142]	[0.18692800402641296, 0.7113085985183716, 0.7556256055831909]	[0.016040079295635223, 0.9927324652671814, 0.6308668851852417]	
subject3_file_753	0	[0.6495078206062317, 0.5533342361450195, 0.34262531995773315]	[0.6077021956443787, 0.747277021408081, 0.23938408493995667]	[0.5112766027450562, 0.8326181769371033, 0.27442267537117004]	[0.4902419149875641, 0.8523814678192139, 0.30040228366851807]	[0.33646833896636963, 0.9354273080825806, 0.2796441912651062]	[0.1531151831150055, 0.964884340763092, 0.49297311902046204]	[0.3004639446735382, 0.8647910356521606, 0.46473294496536255]	[0.1811051219701767, 0.8123341202735901, 0.7158238291740417]	[0.025468118488788605, 0.983138918876648, 0.7002670168876648]	[0.2172025889158249, 0.9425641298294067, 0.2744150161743164]	
subject3_file_335	0	[0.6492559909820557, 0.5533403158187866, 0.34288692474365234]	[0.6075689792633057, 0.746950626373291, 0.23977725207805634]	[0.511463463306427, 0.8318850994110107, 0.27547597885131836]	[0.493227481842041, 0.8501808047294617, 0.30185359716415405]	[0.33954381942749023, 0.935072124004364, 0.27755680680274963]	[0.3344775140285492, 0.8559163212776184, 0.602832555770874]	[0.14101897180080414, 0.9764671921730042, 0.2821631133556366]	[0.3147147297859192, 0.753746747970581, 0.47928768396377563]	[0.1308039426803589, 0.7337805032730103, 0.8373232483863831]	[0.0459551177918911, 0.9984217882156372, 0.1275065839290619]	
subject3_file_718	0	[0.6492559909820557, 0.5533403158187866, 0.34288692474365234]	[0.6075689792633057, 0.746950626373291, 0.23977722227573395]	[0.511463463306427, 0.8318850994110107, 0.27547597885131836]	[0.49322736263275146, 0.8501808047294617, 0.30185365676879883]	[0.33954381942749023, 0.935072124004364, 0.27755680680274963]	[0.44484472274780273, 0.8276565670967102, 0.36863312125205994]	[0.23095472157001495, 0.8975332975387573, 0.58452969789505]	[0.058428626507520676, 0.9543866515159607, 0.7316911220550537]	[0.12487968802452087, 0.9773690700531006, 0.25250235199928284]	[0.038683682680130005, 0.8218417763710022, 0.9219763278961182]	
subject3_file_855	0	[0.6492559909820557, 0.5533403158187866, 0.34288692474365234]	[0.6075689792633057, 0.746950626373291, 0.23977722227573395]	[0.511463463306427, 0.8318850994110107, 0.27547597885131836]	[0.49322736263275146, 0.8501808047294617, 0.30185365676879883]	[0.3396010100841522, 0.9350519180297852, 0.2775570750236511]	[0.22822225093841553, 0.9662076234817505, 0.25879260897636414]	[0.2933334410190582, 0.868065357208252, 0.4919695258140564]	[0.3058081269264221, 0.6958065629005432, 0.6011028289794922]	[0.05381802096962929, 0.9958119988441467, 0.1966552436351776]	[0.020846758037805557, 0.9993095397949219, 0.1734992116689682]	
subject3_file_850	0	[0.6495689153671265, 0.5524582862854004, 0.343171626329422]	[0.6073685884475708, 0.7445054650306702, 0.24185608327388763]	[0.5121065974235535, 0.8289605975151062, 0.27953338623046875]	[0.5000177025794983, 0.8396351337432861, 0.31519070267677307]	[0.3767690360546112, 0.9161003232002258, 0.3033202886581421]	[0.2061767727136612, 0.9630548357963562, 0.293038547039032]	[0.28697657585144043, 0.9210851788520813, 0.2807949483394623]	[0.03714903071522713, 0.9961167573928833, 0.31854507327079773]	[0.017632706090807915, 0.9980650544166565, 0.37093496322631836]	[0.04813245311379433, 0.8400305509567261, 0.9023817777633667]	
subject3_file_901	0	[0.6496396064758301, 0.5532546639442444, 0.3425270617008209]	[0.6076271533966064, 0.7472991943359375, 0.2394072562456131]	[0.5107910633087158, 0.8329766392707825, 0.2742416560649872]	[0.488101601600647, 0.8531337380409241, 0.3008729815483093]	[0.32836979627609253, 0.9363818764686584, 0.2882310152053833]	[0.30070191621780396, 0.9365719556808472, 0.27656447887420654]	[0.09971139580011368, 0.9766839146614075, 0.4860460162162781]	[0.2680186927318573, 0.7394727468490601, 0.6158492565155029]	[0.05019792541861534, 0.9958742260932922, 0.2043846845626831]	[0.060487739741802216, 0.7579468488693237, 0.914634644985199]	
subject3_file_14	0	[0.649732232093811, 0.5533053874969482, 0.3422825336456299]	[0.6064324378967285, 0.7483254075050354, 0.2394256740808487]	[0.5082581639289856, 0.834629476070404, 0.273133248090744]	[0.4792628288269043, 0.8584631085395813, 0.2980649173259735]	[0.33016008138656616, 0.9372260570526123, 0.2814584970474243]	[0.4343518316745758, 0.8325651288032532, 0.3528382480144501]	[0.15560023486614227, 0.9450840950012207, 0.5786982178688049]	[0.3106456398963928, 0.7365390658378601, 0.500164270401001]	[0.02486054226756096, 0.9896029829978943, 0.6205457448959351]	[0.021331241354346275, 0.9993973970413208, 0.15424029529094696]	
subject3_file_85	0	[0.6498763561248779, 0.5532299876213074, 0.3423423767089844]	[0.6082765460014343, 0.7471653819084167, 0.23900443315505981]	[0.5121517181396484, 0.8327558040618896, 0.2735356092453003]	[0.4900107681751251, 0.8527842164039612, 0.29998916387557983]	[0.33341076970100403, 0.9353221654891968, 0.28394895792007446]	[0.3934902548789978, 0.844715416431427, 0.46838340163230896]	[0.10086102038621902, 0.9759073853492737, 0.48715949058532715]	[0.3139404058456421, 0.7317789793014526, 0.5102173089981079]	[0.02834510989487171, 0.9710555672645569, 0.7657887935638428]	[0.07275311648845673, 0.9959753155708313, 0.1420932561159134]	
