Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject4_file_156	[3]	[0, 3]	[0, 1, 3]	[0, 3]	[0, 3]	[0, 1, 3, 6]	[0, 1, 3, 6]	[0, 3, 6]	[0, 1, 3, 6]	[0, 4, 6]	[0, 1, 3]	
subject4_file_414	[3]	[0, 1, 4]	[0, 1, 4]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[0, 1, 4]	
subject4_file_650	[3]	[0, 1, 4]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	
subject4_file_166	[3]	[0, 1, 3, 4]	[0, 1, 4]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	
subject4_file_173	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject4_file_174	[3]	[0, 1, 4]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[1, 3]	[3]	
subject4_file_165	[3]	[0, 3, 4]	[0, 3, 4]	[0, 1, 4, 9]	[0, 4, 9]	[0, 1, 4, 9]	[0, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[0, 4, 9]	
subject4_file_154	[3]	[3, 4]	[3, 4]	[4]	[]	[4, 9]	[4, 9]	[3, 9]	[3]	[3]	[4, 9]	
subject4_file_171	[3]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 4]	[0, 1, 4]	
subject4_file_17	[3]	[0, 1, 4]	[0, 1, 4]	[0, 1]	[1]	[1]	[1]	[1]	[0, 1, 3]	[0, 1, 3]	[1]	
subject4_file_176	[3]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 3, 4]	
subject4_file_38	[3]	[0, 1, 4]	[0, 1, 4, 9]	[4, 9]	[1]	[1, 3]	[1]	[1, 3]	[1, 3]	[1, 3]	[3, 9]	
subject4_file_396	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject4_file_398	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	
subject4_file_335	[3]	[0, 3, 4, 9]	[3, 4]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	[0, 2, 4, 5, 9]	
subject4_file_100	[3]	[0, 3]	[0, 3, 4]	[0, 3, 4]	[0, 3, 4]	[0, 3, 4, 9]	[0, 3, 4, 9]	[3]	[3, 6]	[3]	[4, 9]	
subject4_file_104	[3]	[0, 3]	[0, 1, 3]	[0, 3]	[0, 3]	[0, 1, 3, 6]	[0, 1, 3, 6]	[0, 3, 6]	[0, 1, 3, 6]	[0, 4, 6]	[0, 1, 3]	
subject4_file_106	[3]	[0, 1, 4]	[1, 4, 9]	[1]	[1]	[1]	[1]	[1]	[0, 4, 9]	[1]	[0, 4, 9]	
subject4_file_112	[3]	[0, 1, 4]	[0, 1, 4]	[1, 3]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 4]	[1, 3]	[0, 4]	[0, 4, 9]	
subject4_file_115	[3]	[0, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	
subject4_file_336	[3]	[3, 4]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	
