Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject4_file_156	[3]	[0.2906152606010437, 0.3020319640636444, 0.09002190083265305, 0.6625856757164001, 0.2770213484764099, 0.06416440010070801, 0.16290809214115143, 0.08742009103298187, 0.04389651119709015, 0.16797052323818207]	[0.16102534532546997, 0.2146669179201126, 0.04878544062376022, 0.8894376754760742, 0.10632731765508652, 0.04518435150384903, 0.212818905711174, 0.03990134224295616, 0.030621137470006943, 0.06537087261676788]	[0.242570161819458, 0.18312451243400574, 0.07335211336612701, 0.5647717118263245, 0.29713621735572815, 0.038050342351198196, 0.12540577352046967, 0.06176331266760826, 0.052134692668914795, 0.23466691374778748]	[0.22210724651813507, 0.14431262016296387, 0.04964130371809006, 0.6617599725723267, 0.22388680279254913, 0.02413034811615944, 0.15348008275032043, 0.05234769731760025, 0.043716371059417725, 0.16835784912109375]	[0.11120462417602539, 0.10872010141611099, 0.020142100751399994, 0.8688241243362427, 0.09358440339565277, 0.008724459446966648, 0.22149692475795746, 0.03462694212794304, 0.023488614708185196, 0.07316742092370987]	[0.18703864514827728, 0.08281026780605316, 0.02331411838531494, 0.7857359647750854, 0.14756911993026733, 0.009994953870773315, 0.27302831411361694, 0.05859546735882759, 0.036455556750297546, 0.12604227662086487]	[0.23111052811145782, 0.11185631901025772, 0.017293326556682587, 0.7919430136680603, 0.11296191811561584, 0.008047765120863914, 0.26404568552970886, 0.05767301842570305, 0.04517021402716637, 0.08484070748090744]	[0.21070390939712524, 0.10950227826833725, 0.012805423699319363, 0.7354887127876282, 0.13417911529541016, 0.006507499609142542, 0.26802054047584534, 0.06283034384250641, 0.04598398879170418, 0.10409511625766754]	[0.5476663708686829, 0.306726336479187, 0.044623520225286484, 0.39575013518333435, 0.6787246465682983, 0.0414472296833992, 0.35068273544311523, 0.1512659639120102, 0.11246661841869354, 0.20227093994617462]	[0.5960984826087952, 0.3333550989627838, 0.038200028240680695, 0.3618341088294983, 0.7365226149559021, 0.03136787936091423, 0.40561115741729736, 0.17409192025661469, 0.11499474197626114, 0.1999642252922058]	
subject4_file_414	[3]	[0.5054447650909424, 0.4559668302536011, 0.105653777718544, 0.3580004572868347, 0.4095829129219055, 0.07727714627981186, 0.1303117871284485, 0.08361949771642685, 0.08802282065153122, 0.20245562493801117]	[0.5256912112236023, 0.5514180064201355, 0.08348675072193146, 0.37704482674598694, 0.4179973304271698, 0.041883911937475204, 0.10940495133399963, 0.03883478790521622, 0.03914666920900345, 0.15344668924808502]	[0.5964254140853882, 0.6456510424613953, 0.10062377154827118, 0.19131842255592346, 0.6009312868118286, 0.04716910794377327, 0.06105496361851692, 0.03002634271979332, 0.02440585568547249, 0.2216547429561615]	[0.6047810316085815, 0.6626845002174377, 0.10898347198963165, 0.17460806667804718, 0.601296603679657, 0.05074959620833397, 0.04999560862779617, 0.02149631455540657, 0.015417144633829594, 0.20786979794502258]	[0.5845816731452942, 0.6655864119529724, 0.10831297934055328, 0.162064328789711, 0.5945441126823425, 0.04906107485294342, 0.04387649521231651, 0.015512863174080849, 0.009913207031786442, 0.2059699296951294]	[0.666205644607544, 0.7306653261184692, 0.10646552592515945, 0.16661809384822845, 0.6111850142478943, 0.06772071123123169, 0.04210614040493965, 0.014171766117215157, 0.006547435652464628, 0.204198956489563]	[0.6473722457885742, 0.6981699466705322, 0.13755545020103455, 0.11228868365287781, 0.5822624564170837, 0.0424739271402359, 0.06302521377801895, 0.024432100355625153, 0.015422343276441097, 0.2393438071012497]	[0.6036660671234131, 0.6906512975692749, 0.09041709452867508, 0.14905105531215668, 0.5457786321640015, 0.030996136367321014, 0.05202493444085121, 0.015590664930641651, 0.009071936830878258, 0.2006428837776184]	[0.5698082447052002, 0.6957871913909912, 0.1063561663031578, 0.22339120507240295, 0.49812060594558716, 0.041472822427749634, 0.05629238858819008, 0.020717384293675423, 0.00931007880717516, 0.17471548914909363]	[0.5510202050209045, 0.6844311952590942, 0.08326933532953262, 0.21076953411102295, 0.4554496705532074, 0.03154101222753525, 0.04385681077837944, 0.017976487055420876, 0.007533107418566942, 0.16800524294376373]	
subject4_file_650	[3]	[0.5058799386024475, 0.4564126133918762, 0.105232372879982, 0.35768264532089233, 0.40928325057029724, 0.07701215147972107, 0.1303936243057251, 0.08346138149499893, 0.08785807341337204, 0.20210933685302734]	[0.5176655650138855, 0.5506036877632141, 0.08232539147138596, 0.38424357771873474, 0.4112878441810608, 0.04070046544075012, 0.11071445792913437, 0.03802626579999924, 0.03833280876278877, 0.1494893580675125]	[0.45273634791374207, 0.5311110615730286, 0.08167369663715363, 0.6186832189559937, 0.19809319078922272, 0.027673624455928802, 0.17593596875667572, 0.06877420097589493, 0.027556652203202248, 0.0516861155629158]	[0.39038214087486267, 0.4621884822845459, 0.04011156037449837, 0.8029444813728333, 0.10313466191291809, 0.02619684860110283, 0.2950422763824463, 0.0766715258359909, 0.045666515827178955, 0.02465307153761387]	[0.2624319791793823, 0.3789386749267578, 0.026411963626742363, 0.7814696431159973, 0.09873872250318527, 0.01940033957362175, 0.19878529012203217, 0.037555817514657974, 0.022224292159080505, 0.03141973912715912]	[0.35998794436454773, 0.3531947731971741, 0.030669676139950752, 0.6392563581466675, 0.14164450764656067, 0.02800842374563217, 0.1875758022069931, 0.04732423275709152, 0.024052118882536888, 0.06604871898889542]	[0.32792726159095764, 0.41916149854660034, 0.02899925410747528, 0.8286030292510986, 0.0715474933385849, 0.027362685650587082, 0.2554304301738739, 0.07078613340854645, 0.04118122532963753, 0.036083146929740906]	[0.6013385057449341, 0.5038483738899231, 0.03427822142839432, 0.3599090874195099, 0.21430297195911407, 0.018688714131712914, 0.1731066256761551, 0.03467743471264839, 0.03837299719452858, 0.17088988423347473]	[0.5628132820129395, 0.6794843673706055, 0.09885045886039734, 0.29907917976379395, 0.415158748626709, 0.03874900937080383, 0.07701516896486282, 0.024698292836546898, 0.012297294102609158, 0.15893658995628357]	[0.399441123008728, 0.39355671405792236, 0.022790005430579185, 0.6972869634628296, 0.06759689748287201, 0.012684032320976257, 0.25736114382743835, 0.04470286890864372, 0.037902213633060455, 0.085774265229702]	
subject4_file_166	[3]	[0.4965653717517853, 0.4436972737312317, 0.09950828552246094, 0.36927759647369385, 0.4102809727191925, 0.07380641996860504, 0.1262536495923996, 0.08155721426010132, 0.08206859230995178, 0.1932377964258194]	[0.5334739685058594, 0.5380926728248596, 0.08239961415529251, 0.366960734128952, 0.4309113025665283, 0.04419596865773201, 0.10224276036024094, 0.039696477353572845, 0.039089154452085495, 0.16199485957622528]	[0.6011006832122803, 0.6331344246864319, 0.09973862767219543, 0.18690496683120728, 0.6139631271362305, 0.04931371286511421, 0.056996989995241165, 0.03040095791220665, 0.024269089102745056, 0.23180198669433594]	[0.6248475313186646, 0.6552649736404419, 0.11300335824489594, 0.16088202595710754, 0.62798672914505, 0.055291108787059784, 0.04604392126202583, 0.02241472341120243, 0.016131343320012093, 0.22724497318267822]	[0.6217833161354065, 0.6540179252624512, 0.12344010174274445, 0.13171504437923431, 0.646508514881134, 0.054924532771110535, 0.04118633642792702, 0.017569992691278458, 0.01164103951305151, 0.24802322685718536]	[0.6531369686126709, 0.7116885185241699, 0.10531409084796906, 0.17632067203521729, 0.6270275712013245, 0.07023842632770538, 0.040880270302295685, 0.014718921855092049, 0.006500718183815479, 0.20928503572940826]	[0.6485639810562134, 0.6703977584838867, 0.14490631222724915, 0.10984662175178528, 0.6433166861534119, 0.049761947244405746, 0.057642702013254166, 0.02702059969305992, 0.015388509258627892, 0.26155149936676025]	[0.6191941499710083, 0.6833236813545227, 0.09452266991138458, 0.138493150472641, 0.6084109544754028, 0.03471847251057625, 0.04763122275471687, 0.015839407220482826, 0.00875774398446083, 0.2057754248380661]	[0.6154062151908875, 0.7027679681777954, 0.12570135295391083, 0.209564670920372, 0.5894902944564819, 0.052719201892614365, 0.05221076309680939, 0.02213086560368538, 0.01006019115447998, 0.1801942139863968]	[0.6339823007583618, 0.710109293460846, 0.12055212259292603, 0.1883225440979004, 0.6281705498695374, 0.04887321591377258, 0.040534619241952896, 0.02240235172212124, 0.009393837302923203, 0.18571056425571442]	
subject4_file_173	[3]	[0.24426138401031494, 0.2720290422439575, 0.07803889364004135, 0.7793291211128235, 0.2272288203239441, 0.11725270003080368, 0.22671078145503998, 0.08129116147756577, 0.05579054355621338, 0.12323574721813202]	[0.15660737454891205, 0.17497701942920685, 0.050639186054468155, 0.909089207649231, 0.09508556872606277, 0.05774000287055969, 0.20079825818538666, 0.0531918965280056, 0.03260057792067528, 0.06512945145368576]	[0.17518429458141327, 0.1460757702589035, 0.03240770101547241, 0.8848786354064941, 0.133509561419487, 0.03000267595052719, 0.16182750463485718, 0.04147769510746002, 0.02331097424030304, 0.06741919368505478]	[0.15649764239788055, 0.15718474984169006, 0.02125372923910618, 0.9296488165855408, 0.09551400691270828, 0.0193182285875082, 0.17106279730796814, 0.039484139531850815, 0.021576423197984695, 0.03875782713294029]	[0.14210666716098785, 0.1507871448993683, 0.011556101962924004, 0.955676257610321, 0.07599734514951706, 0.013972918502986431, 0.194106787443161, 0.03863513469696045, 0.01994032971560955, 0.02684933878481388]	[0.1934293508529663, 0.16603784263134003, 0.010619449429214, 0.946475088596344, 0.0706864595413208, 0.012071480043232441, 0.20106779038906097, 0.04926297068595886, 0.02188526839017868, 0.030068812891840935]	[0.11948622763156891, 0.13918253779411316, 0.005901833064854145, 0.9750990271568298, 0.04135735332965851, 0.00853459257632494, 0.15962649881839752, 0.050808463245630264, 0.025728512555360794, 0.015895871445536613]	[0.07619040459394455, 0.08941444754600525, 0.004245071206241846, 0.9853577613830566, 0.03351622074842453, 0.006938503589481115, 0.13850021362304688, 0.03977235406637192, 0.02258581668138504, 0.014498685486614704]	[0.13581275939941406, 0.1843797117471695, 0.005504867993295193, 0.9804054498672485, 0.03888658061623573, 0.009907517582178116, 0.13201680779457092, 0.022923540323972702, 0.012611903250217438, 0.013551806099712849]	[0.10242500901222229, 0.15478844940662384, 0.003231304930523038, 0.9834067225456238, 0.030572550371289253, 0.005803841631859541, 0.1237780824303627, 0.023375624790787697, 0.010277285240590572, 0.011277052573859692]	
subject4_file_174	[3]	[0.5061280727386475, 0.45746365189552307, 0.10666998475790024, 0.35999879240989685, 0.4104585647583008, 0.07762165367603302, 0.1321704238653183, 0.0841541439294815, 0.08841881901025772, 0.20255057513713837]	[0.5279565453529358, 0.5540806651115417, 0.08493099361658096, 0.3745627999305725, 0.4202634394168854, 0.042400166392326355, 0.11043757945299149, 0.03938530758023262, 0.039939217269420624, 0.15535761415958405]	[0.47280117869377136, 0.5523046851158142, 0.08757785707712173, 0.596376895904541, 0.2086663544178009, 0.02920917235314846, 0.16752049326896667, 0.07116956263780594, 0.029116833582520485, 0.055646274238824844]	[0.4132513701915741, 0.47852399945259094, 0.042796697467565536, 0.7992530465126038, 0.10436352342367172, 0.02758781611919403, 0.3101615607738495, 0.08729256689548492, 0.052783675491809845, 0.02476172335445881]	[0.3273305296897888, 0.4261438846588135, 0.029024412855505943, 0.7850232720375061, 0.10357961058616638, 0.021681752055883408, 0.2329535186290741, 0.05196031555533409, 0.03138066083192825, 0.028465822339057922]	[0.6041126847267151, 0.5743470788002014, 0.04937974363565445, 0.3469506800174713, 0.3684971332550049, 0.05591057613492012, 0.09564152359962463, 0.023644456639885902, 0.018197784200310707, 0.15467433631420135]	[0.4334581792354584, 0.5325410962104797, 0.031441934406757355, 0.7008810639381409, 0.1254914253950119, 0.03687822073698044, 0.16403090953826904, 0.03962480276823044, 0.028806529939174652, 0.058602944016456604]	[0.4883759319782257, 0.6463467478752136, 0.024119487032294273, 0.6681744456291199, 0.12144950777292252, 0.030886335298419, 0.1208391860127449, 0.015587802045047283, 0.015132596716284752, 0.0601077601313591]	[0.4693257212638855, 0.45558181405067444, 0.03818066418170929, 0.5978237390518188, 0.14653468132019043, 0.02225838415324688, 0.24072246253490448, 0.059049222618341446, 0.050105705857276917, 0.11474689841270447]	[0.4353002607822418, 0.42481571435928345, 0.026275793090462685, 0.6680236458778381, 0.08755138516426086, 0.014451737515628338, 0.2534021735191345, 0.05456281080842018, 0.044272929430007935, 0.0883156806230545]	
subject4_file_165	[3]	[0.3499566614627838, 0.3481009304523468, 0.08219826966524124, 0.5436105132102966, 0.34791886806488037, 0.07079833745956421, 0.10913912951946259, 0.060184694826602936, 0.054896317422389984, 0.22128944098949432]	[0.34591957926750183, 0.32663729786872864, 0.06061142683029175, 0.6013297438621521, 0.33691251277923584, 0.044115468859672546, 0.0841015875339508, 0.03045487590134144, 0.029656708240509033, 0.2101665884256363]	[0.4528965651988983, 0.4326566159725189, 0.08160065859556198, 0.3280104994773865, 0.5623967051506042, 0.04325256124138832, 0.04388059303164482, 0.024852702394127846, 0.02173631452023983, 0.3287090063095093]	[0.4944116771221161, 0.4522033929824829, 0.10091323405504227, 0.27702680230140686, 0.6065844297409058, 0.04495729133486748, 0.03874663636088371, 0.020881343632936478, 0.01716078631579876, 0.3334600031375885]	[0.5742039084434509, 0.447176069021225, 0.12154217809438705, 0.19488869607448578, 0.7031322121620178, 0.04321898892521858, 0.039607103914022446, 0.019302958622574806, 0.014525314792990685, 0.39013662934303284]	[0.2503226697444916, 0.23789867758750916, 0.09936271607875824, 0.19123858213424683, 0.809074878692627, 0.0358453243970871, 0.05147865414619446, 0.04462546110153198, 0.019611675292253494, 0.5467784404754639]	[0.6319929361343384, 0.5273704528808594, 0.13432781398296356, 0.22455376386642456, 0.7397191524505615, 0.04470689967274666, 0.06848597526550293, 0.028284598141908646, 0.010532493703067303, 0.30522421002388]	[0.3038156032562256, 0.11765814572572708, 0.28891074657440186, 0.0411134734749794, 0.9644580483436584, 0.2854686975479126, 0.02360571175813675, 0.11209241300821304, 0.04055878892540932, 0.8698689937591553]	[0.5881889462471008, 0.5365775227546692, 0.08948377519845963, 0.4051092267036438, 0.6420433521270752, 0.04168033227324486, 0.07791448384523392, 0.01715165190398693, 0.006800496950745583, 0.14203843474388123]	[0.7068595290184021, 0.6568918824195862, 0.09108316898345947, 0.32469016313552856, 0.7346647381782532, 0.03289245814085007, 0.09320826828479767, 0.018226124346256256, 0.006276700645685196, 0.15126733481884003]	
subject4_file_154	[3]	[0.24625682830810547, 0.28981414437294006, 0.07654949277639389, 0.7688431143760681, 0.22324058413505554, 0.10848279297351837, 0.23159413039684296, 0.07261815667152405, 0.054384611546993256, 0.12045129388570786]	[0.1454537808895111, 0.167070209980011, 0.04154335334897041, 0.899928867816925, 0.11575677245855331, 0.05222858116030693, 0.2027510702610016, 0.04135392606258392, 0.02876056730747223, 0.07209490984678268]	[0.15090343356132507, 0.139854297041893, 0.029754823073744774, 0.852767288684845, 0.1745574027299881, 0.02631676197052002, 0.15355433523654938, 0.02951059117913246, 0.0187397338449955, 0.08387349545955658]	[0.11343581974506378, 0.11932153254747391, 0.020524054765701294, 0.8979003429412842, 0.11693152785301208, 0.016940616071224213, 0.16195034980773926, 0.026041068136692047, 0.016188422217965126, 0.05995023250579834]	[0.10526429861783981, 0.10099349170923233, 0.014161824248731136, 0.9070905447006226, 0.10018263757228851, 0.01190494466573, 0.21638262271881104, 0.03022267296910286, 0.019517825916409492, 0.05881640315055847]	[0.15638215839862823, 0.0699118971824646, 0.019515786319971085, 0.7868448495864868, 0.19942715764045715, 0.012446294538676739, 0.2934311032295227, 0.08151611685752869, 0.049505915492773056, 0.1395607590675354]	[0.11469654738903046, 0.09715507924556732, 0.008033446036279202, 0.9367989301681519, 0.08018402010202408, 0.01008249819278717, 0.22919461131095886, 0.04589997977018356, 0.028466783463954926, 0.04135768488049507]	[0.07569994032382965, 0.04790777340531349, 0.005871202331036329, 0.9290244579315186, 0.09582314640283585, 0.006970852147787809, 0.1905253529548645, 0.04509448632597923, 0.03032093308866024, 0.0696033388376236]	[0.24084173142910004, 0.12301192432641983, 0.01036914438009262, 0.8817542791366577, 0.14390207827091217, 0.012547389604151249, 0.38681766390800476, 0.036603789776563644, 0.027659976854920387, 0.07986772060394287]	[0.2072884738445282, 0.12372463196516037, 0.008526220917701721, 0.8992008566856384, 0.13319715857505798, 0.008788466453552246, 0.5429416298866272, 0.03477117791771889, 0.025871703401207924, 0.08993511646986008]	
subject4_file_171	[3]	[0.3419932723045349, 0.347187876701355, 0.10718508064746857, 0.3747262954711914, 0.41723358631134033, 0.12049063295125961, 0.10075981169939041, 0.11492712050676346, 0.10562355071306229, 0.40569329261779785]	[0.21765287220478058, 0.2413109838962555, 0.11520326882600784, 0.34146568179130554, 0.4468846321105957, 0.23964636027812958, 0.13409940898418427, 0.09007235616445541, 0.20017287135124207, 0.6024027466773987]	[0.24494408071041107, 0.2315336912870407, 0.22096264362335205, 0.06565805524587631, 0.7405765652656555, 0.1822052299976349, 0.05090736597776413, 0.09015639871358871, 0.15353718400001526, 0.8685216903686523]	[0.3450946509838104, 0.280381977558136, 0.2471286505460739, 0.06430809199810028, 0.7296850681304932, 0.13813762366771698, 0.03843018412590027, 0.05789749696850777, 0.08329269289970398, 0.7695732712745667]	[0.29482918977737427, 0.18554754555225372, 0.29188549518585205, 0.03366273269057274, 0.8095389604568481, 0.23592978715896606, 0.036931101232767105, 0.09222180396318436, 0.1439061462879181, 0.9022791385650635]	[0.4370170533657074, 0.3243945240974426, 0.20179875195026398, 0.10820507258176804, 0.6968474984169006, 0.09108676016330719, 0.06540083885192871, 0.035266611725091934, 0.03149321302771568, 0.5547798871994019]	[0.592605710029602, 0.47655239701271057, 0.12399307638406754, 0.1351323276758194, 0.7495510578155518, 0.07069209963083267, 0.08402594923973083, 0.03445694223046303, 0.019734365865588188, 0.3247917592525482]	[0.5813639760017395, 0.4332888424396515, 0.16236688196659088, 0.0881192535161972, 0.8045204281806946, 0.10072839260101318, 0.05318072810769081, 0.02760477550327778, 0.014819028787314892, 0.4279276728630066]	[0.5989218354225159, 0.35480862855911255, 0.2212877720594406, 0.12110229581594467, 0.671011209487915, 0.16118712723255157, 0.0635126605629921, 0.023608634248375893, 0.021454662084579468, 0.43169155716896057]	[0.49857914447784424, 0.2488793283700943, 0.16597698628902435, 0.11771517992019653, 0.6345495581626892, 0.15121448040008545, 0.08723743259906769, 0.01846502721309662, 0.01576930843293667, 0.5596323013305664]	
subject4_file_17	[3]	[0.5042807459831238, 0.451695054769516, 0.10263332724571228, 0.36190444231033325, 0.41024357080459595, 0.0755271166563034, 0.12869465351104736, 0.08318319916725159, 0.08581501245498657, 0.1982312649488449]	[0.5223326683044434, 0.5474241375923157, 0.08199974149465561, 0.3794551491737366, 0.4164664149284363, 0.04144797846674919, 0.10786358267068863, 0.038271572440862656, 0.03833692520856857, 0.15230098366737366]	[0.3775956630706787, 0.44567206501960754, 0.060676418244838715, 0.7141144275665283, 0.16535060107707977, 0.03318959102034569, 0.24107888340950012, 0.058634202927351, 0.03758007287979126, 0.039476506412029266]	[0.3071071207523346, 0.3917223811149597, 0.03578567132353783, 0.7690285444259644, 0.12171780318021774, 0.02321453206241131, 0.24429987370967865, 0.046023089438676834, 0.028285665437579155, 0.031526755541563034]	[0.20967690646648407, 0.3254558742046356, 0.023492272943258286, 0.7741686105728149, 0.09787704795598984, 0.01816435344517231, 0.18079060316085815, 0.02729685977101326, 0.01641526259481907, 0.03574307635426521]	[0.35230305790901184, 0.3467566668987274, 0.03014480322599411, 0.6466160416603088, 0.14244534075260162, 0.02800740860402584, 0.18485528230667114, 0.046990782022476196, 0.023628218099474907, 0.06606294959783554]	[0.3295171856880188, 0.4139689803123474, 0.03006891906261444, 0.8271359801292419, 0.07668785750865936, 0.02894524484872818, 0.250946581363678, 0.07359976321458817, 0.0412907749414444, 0.03739277273416519]	[0.6048075556755066, 0.5873926877975464, 0.05352349951863289, 0.25853756070137024, 0.3473760485649109, 0.023860303685069084, 0.1051819920539856, 0.025001268833875656, 0.02066780813038349, 0.18468385934829712]	[0.5980130434036255, 0.7164034843444824, 0.11029213666915894, 0.2323399782180786, 0.4890553653240204, 0.04232914373278618, 0.05832544341683388, 0.019531581550836563, 0.008988592773675919, 0.160727858543396]	[0.5754811763763428, 0.7038462162017822, 0.08841001987457275, 0.21706075966358185, 0.4605933427810669, 0.033100418746471405, 0.04665781185030937, 0.017447462305426598, 0.007496107369661331, 0.1619395762681961]	
