Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject4_file_414	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_176	0	0	0	0	0	0	0	0	0	1	1	
subject4_file_335	0	0	0	0	0	0	0	0	1	0	1	
subject4_file_100	0	0	1	1	1	1	0	1	0	1	1	
subject4_file_115	0	0	1	0	0	1	0	1	0	1	1	
subject4_file_121	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_12	0	0	0	0	0	0	0	0	0	0	1	
subject4_file_363	0	0	0	0	0	0	0	0	1	0	1	
subject4_file_118	0	0	0	0	0	0	0	0	1	1	1	
subject4_file_125	0	0	0	0	0	0	0	0	0	0	1	
subject4_file_646	0	0	1	0	0	0	0	0	1	1	1	
subject4_file_392	0	1	1	1	1	1	1	2	1	0	1	
subject4_file_651	0	1	1	1	1	1	1	2	1	0	1	
subject4_file_652	0	0	0	0	0	0	0	0	0	0	0	
subject4_file_7	0	0	0	0	0	0	1	1	0	1	1	
subject4_file_456	0	0	1	1	1	1	0	1	0	1	1	
subject4_file_225	0	0	0	0	0	0	0	0	0	0	0	
subject4_file_23	0	1	1	0	1	1	1	1	1	1	1	
subject4_file_544	0	0	0	0	0	0	0	0	1	1	1	
subject4_file_779	0	0	1	0	0	0	0	0	1	1	1	
subject4_file_727	0	0	0	0	0	0	1	1	0	0	1	
subject4_file_822	0	1	1	1	0	0	0	0	0	0	1	
subject4_file_835	0	0	0	1	0	1	1	1	0	0	1	
subject4_file_834	0	0	0	0	0	0	0	0	0	0	0	
subject4_file_838	0	0	0	0	0	0	0	0	0	0	0	
subject4_file_985	0	1	1	0	1	1	1	1	1	1	1	
subject4_file_980	0	0	0	0	0	0	0	0	0	0	1	
subject4_file_975	0	0	1	0	0	1	0	1	0	1	1	
subject4_file_402	0	0	1	0	0	2	2	2	2	2	1	
subject4_file_675	0	1	1	0	0	0	0	0	0	0	0	
subject4_file_457	0	0	0	0	0	0	0	0	0	0	1	
subject4_file_451	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_826	0	1	0	1	0	0	0	0	0	0	0	
subject4_file_571	0	0	0	0	0	0	0	0	0	0	1	
subject4_file_6	0	0	0	0	0	0	0	0	0	0	1	
subject4_file_843	0	0	0	0	0	0	1	1	0	1	1	
subject4_file_538	0	1	1	0	0	0	0	0	0	0	0	
subject4_file_26	0	0	0	0	0	0	0	0	0	0	1	
subject4_file_539	0	1	1	1	1	1	1	2	2	1	1	
subject4_file_613	0	1	1	1	0	0	0	0	0	0	1	
subject4_file_592	0	1	1	1	1	1	1	2	2	1	1	
subject4_file_871	0	2	2	2	2	2	2	2	0	0	1	
subject4_file_58	0	0	0	0	0	0	0	0	0	0	1	
subject4_file_634	0	0	1	0	0	2	2	2	2	2	1	
subject4_file_860	0	2	2	2	2	2	2	2	0	0	1	
subject4_file_852	0	0	0	1	0	1	1	1	0	0	1	
subject4_file_936	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_313	0	0	0	0	0	0	0	1	0	0	1	
subject4_file_624	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_978	0	0	0	0	0	0	1	1	0	0	1	
subject4_file_256	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_630	0	1	0	1	0	0	0	0	0	0	0	
subject4_file_632	0	1	1	1	1	1	1	1	1	1	1	
subject4_file_237	0	0	0	0	0	0	0	0	0	0	1	
subject4_file_274	0	0	0	0	0	0	0	0	0	1	1	
Total Train loss	-----	0.7106725573539734	0.583728015422821	0.8471386432647705	0.6568605899810791	0.5523529648780823	0.47237786650657654	0.4634431302547455	0.518519937992096	0.4366963505744934	1.362440586090088	
Train Accuracy	-----	0.7222222222222222	0.753968253968254	0.6825396825396826	0.7301587301587301	0.8095238095238095	0.8571428571428571	0.8492063492063492	0.8095238095238095	0.8650793650793651	0.5555555555555556	
Training time	-----	0:00:02.248335	0:00:02.150847	0:00:02.226770	0:00:02.160009	0:00:02.192040	0:00:02.184248	0:00:02.161985	0:00:02.181864	0:00:02.140769	0:00:02.218281	
Total Test loss	-----	1.077551007270813	1.4248764514923096	0.8523093461990356	0.855145275592804	1.0249381065368652	1.0672993659973145	1.281991958618164	1.2606961727142334	1.0934512615203857	2.9077727794647217	
Test Accuracy	-----	0.6181818181818182	0.509090909090909	0.6181818181818182	0.6909090909090909	0.5818181818181818	0.5818181818181818	0.4909090909090909	0.6181818181818182	0.5454545454545454	0.14545454545454545	
Testing time	-----	0:00:05.862133	0:00:05.693171	0:00:05.585368	0:00:05.445246	0:00:05.627049	0:00:05.586952	0:00:05.534483	0:00:05.666691	0:00:05.582195	0:00:05.731649	
threshold sigmoid train	-----	---	---	---	---	---	---	---	---	---	---	
threshold sigmoid test	-----	---	---	---	---	---	---	---	---	---	---	
