Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject4_file_414	0	[0.22621993720531464, 0.6644412279129028, 0.3423480689525604]	[0.17168651521205902, 0.6280654668807983, 0.46820008754730225]	[0.6907905340194702, 0.7129677534103394, 0.403909832239151]	[0.5501983761787415, 0.7990115284919739, 0.380867063999176]	[0.41105127334594727, 0.8742167353630066, 0.34720563888549805]	[0.35386741161346436, 0.8888248205184937, 0.36221304535865784]	[0.2571367621421814, 0.8255027532577515, 0.5520774126052856]	[0.18353837728500366, 0.9550848603248596, 0.3005472421646118]	[0.22935956716537476, 0.8055952787399292, 0.5467085838317871]	[0.06451395153999329, 0.926045298576355, 0.48156145215034485]	
subject4_file_176	0	[0.6233211755752563, 0.36587533354759216, 0.44899842143058777]	[0.79258131980896, 0.5984230637550354, 0.33878862857818604]	[0.7870457768440247, 0.45517846941947937, 0.5214507579803467]	[0.858263373374939, 0.38168808817863464, 0.533684253692627]	[0.8657930493354797, 0.36686232686042786, 0.542109489440918]	[0.8768597841262817, 0.3475686311721802, 0.5340685844421387]	[0.8808311820030212, 0.39741361141204834, 0.49826687574386597]	[0.7285394072532654, 0.6352347731590271, 0.3768562376499176]	[0.6802990436553955, 0.6806858777999878, 0.33373120427131653]	[0.2776073217391968, 0.7342918515205383, 0.4772821068763733]	
subject4_file_335	0	[0.6343960762023926, 0.39121076464653015, 0.4525487422943115]	[0.8330671787261963, 0.5257058143615723, 0.2253507524728775]	[0.7727570533752441, 0.4431070387363434, 0.5141167640686035]	[0.8522481918334961, 0.3677455186843872, 0.5358082056045532]	[0.8588792085647583, 0.34757158160209656, 0.5497394800186157]	[0.8827601075172424, 0.26775094866752625, 0.5556228160858154]	[0.9028082489967346, 0.2327156811952591, 0.5565765500068665]	[0.5394042134284973, 0.8031083941459656, 0.31905755400657654]	[0.9208663702011108, 0.18526332080364227, 0.45884865522384644]	[0.19617877900600433, 0.8094290494918823, 0.5417758822441101]	
subject4_file_100	0	[0.4578680694103241, 0.446526437997818, 0.44928884506225586]	[0.22283430397510529, 0.7228202223777771, 0.3093082308769226]	[0.5137382745742798, 0.6980634927749634, 0.4984331429004669]	[0.5735626220703125, 0.6428666114807129, 0.5064870119094849]	[0.5289780497550964, 0.674441397190094, 0.530877411365509]	[0.8174166679382324, 0.3584684133529663, 0.7911739945411682]	[0.505866289138794, 0.7727706432342529, 0.4565492272377014]	[0.6891692280769348, 0.6537622809410095, 0.15317492187023163]	[0.46944087743759155, 0.7361426949501038, 0.4310116767883301]	[0.21999457478523254, 0.797356128692627, 0.44964104890823364]	
subject4_file_115	0	[0.5738428831100464, 0.48616060614585876, 0.4762556552886963]	[0.6572428941726685, 0.6689229607582092, 0.3902006149291992]	[0.6978047490119934, 0.4581311047077179, 0.6304193139076233]	[0.7111560702323914, 0.5588438510894775, 0.5625771880149841]	[0.6002209782600403, 0.6638583540916443, 0.5607888102531433]	[0.8389905095100403, 0.35546648502349854, 0.8130710124969482]	[0.5270209908485413, 0.7617718577384949, 0.5131176710128784]	[0.6230695247650146, 0.5895074009895325, 0.5694211721420288]	[0.5798699855804443, 0.6351475119590759, 0.4992479681968689]	[0.27418386936187744, 0.7542344331741333, 0.4903610348701477]	
subject4_file_121	0	[0.17420293390750885, 0.721205472946167, 0.34875184297561646]	[0.09286997467279434, 0.7474547624588013, 0.38071316480636597]	[0.64895099401474, 0.7552831768989563, 0.36422407627105713]	[0.44232165813446045, 0.8715667724609375, 0.3073309361934662]	[0.34333205223083496, 0.911724328994751, 0.29994115233421326]	[0.4205377697944641, 0.7367863059043884, 0.612937331199646]	[0.1513439267873764, 0.9325152635574341, 0.3396035134792328]	[0.18048055469989777, 0.8767390847206116, 0.4740402102470398]	[0.34481847286224365, 0.7062730193138123, 0.5401421189308167]	[0.08755839616060257, 0.8852444291114807, 0.5143656134605408]	
subject4_file_12	0	[0.4756247103214264, 0.4264396131038666, 0.44311806559562683]	[0.6180318593978882, 0.3566700220108032, 0.40261369943618774]	[0.6193998456001282, 0.5960608720779419, 0.5596232414245605]	[0.7310519218444824, 0.48409560322761536, 0.5873197317123413]	[0.7782750725746155, 0.4417584538459778, 0.593660831451416]	[0.8196685314178467, 0.4166034162044525, 0.6054328680038452]	[0.790156364440918, 0.4757688641548157, 0.6094217896461487]	[0.8332734704017639, 0.3503049314022064, 0.5528832674026489]	[0.8604209423065186, 0.3186477720737457, 0.41927769780158997]	[0.3762119710445404, 0.6018097400665283, 0.47607141733169556]	
subject4_file_363	0	[0.6343960762023926, 0.39121076464653015, 0.4525487422943115]	[0.8330671787261963, 0.5257058143615723, 0.2253507524728775]	[0.7727570533752441, 0.4431070387363434, 0.5141167640686035]	[0.8522481918334961, 0.3677455186843872, 0.5358082056045532]	[0.8588792085647583, 0.34757158160209656, 0.5497394800186157]	[0.8827601075172424, 0.26775094866752625, 0.5556228160858154]	[0.9028082489967346, 0.2327156811952591, 0.5565765500068665]	[0.5394042134284973, 0.8031083941459656, 0.31905755400657654]	[0.9208663702011108, 0.18526332080364227, 0.45884865522384644]	[0.19617877900600433, 0.8094290494918823, 0.5417758822441101]	
subject4_file_118	0	[0.6872125267982483, 0.37691786885261536, 0.46999141573905945]	[0.8919134140014648, 0.40067487955093384, 0.4120016098022461]	[0.7706368565559387, 0.48484164476394653, 0.5634447932243347]	[0.8885250091552734, 0.3606090247631073, 0.5535284280776978]	[0.9098460078239441, 0.31422606110572815, 0.6867149472236633]	[0.9226869344711304, 0.2660455107688904, 0.7680861353874207]	[0.920753538608551, 0.27725517749786377, 0.777511477470398]	[0.5948667526245117, 0.6432080864906311, 0.5571240782737732]	[0.5694917440414429, 0.7089442014694214, 0.45097506046295166]	[0.27026498317718506, 0.770858883857727, 0.5084241032600403]	
subject4_file_125	0	[0.7101731300354004, 0.3401219844818115, 0.4623093008995056]	[0.7995055913925171, 0.6009252071380615, 0.2684073746204376]	[0.7680904269218445, 0.519067108631134, 0.571155309677124]	[0.8661588430404663, 0.39893314242362976, 0.5349089503288269]	[0.8131920099258423, 0.5188838243484497, 0.4372834265232086]	[0.8041511178016663, 0.5710123181343079, 0.3820083439350128]	[0.798988938331604, 0.6615151762962341, 0.28150585293769836]	[0.9011229872703552, 0.31843775510787964, 0.2899806797504425]	[0.9041173458099365, 0.3756762742996216, 0.20051833987236023]	[0.571047306060791, 0.6112540364265442, 0.3460960388183594]	
