Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject2_file_457	[3]	[0.33736327290534973, 0.265227347612381, 0.1030372679233551, 0.48975831270217896, 0.39833864569664, 0.13183385133743286, 0.10346026718616486, 0.0405808687210083, 0.067853644490242, 0.3389544188976288]	[0.3159744441509247, 0.21008549630641937, 0.05736982822418213, 0.5036271810531616, 0.4112929701805115, 0.07770391553640366, 0.1234494149684906, 0.02554374374449253, 0.029866410419344902, 0.39946064352989197]	[0.23827984929084778, 0.17102670669555664, 0.10160515457391739, 0.7682462334632874, 0.19389836490154266, 0.11015820503234863, 0.21706333756446838, 0.07828515022993088, 0.0856088399887085, 0.25077322125434875]	[0.2421102225780487, 0.1888490915298462, 0.16848833858966827, 0.9078533053398132, 0.17822350561618805, 0.12918120622634888, 0.2626083493232727, 0.13281123340129852, 0.11297450214624405, 0.19003400206565857]	[0.30418333411216736, 0.16764222085475922, 0.15659672021865845, 0.8324545621871948, 0.2792928218841553, 0.12890546023845673, 0.3319064676761627, 0.11990303546190262, 0.0998433381319046, 0.31809648871421814]	[0.35925740003585815, 0.15065783262252808, 0.1740790158510208, 0.8330753445625305, 0.3149271607398987, 0.14034180343151093, 0.3663312792778015, 0.12496273964643478, 0.10005180537700653, 0.3744858205318451]	[0.4042412042617798, 0.13847263157367706, 0.1948554664850235, 0.8546888828277588, 0.31376779079437256, 0.14333440363407135, 0.37639081478118896, 0.13780443370342255, 0.10486457496881485, 0.3802649676799774]	[0.3415609300136566, 0.12568670511245728, 0.22803840041160583, 0.8644609451293945, 0.2608354985713959, 0.1556510627269745, 0.32715925574302673, 0.1786407083272934, 0.12109918147325516, 0.3885470926761627]	[0.39342352747917175, 0.09615539014339447, 0.23856593668460846, 0.8766018152236938, 0.23486551642417908, 0.16129933297634125, 0.34493619203567505, 0.20335029065608978, 0.12659944593906403, 0.3633144795894623]	[0.45320793986320496, 0.17256329953670502, 0.17921695113182068, 0.4798254668712616, 0.6105179786682129, 0.15942876040935516, 0.3029247224330902, 0.08802967518568039, 0.06384069472551346, 0.7761327624320984]	
subject2_file_679	[3, 6]	[0.32243695855140686, 0.2744704484939575, 0.08998046070337296, 0.4760848879814148, 0.3906638026237488, 0.12129607796669006, 0.10168758034706116, 0.03883177042007446, 0.06286031007766724, 0.33708855509757996]	[0.3202957510948181, 0.2643186151981354, 0.054328206926584244, 0.440748006105423, 0.4104069471359253, 0.08500242233276367, 0.12454461306333542, 0.034971486777067184, 0.03413505479693413, 0.3437977135181427]	[0.33457911014556885, 0.20298786461353302, 0.07273608446121216, 0.5515633821487427, 0.42351293563842773, 0.08868303149938583, 0.14170990884304047, 0.032932281494140625, 0.03959082439541817, 0.39969056844711304]	[0.46262913942337036, 0.273348331451416, 0.06875579059123993, 0.40682414174079895, 0.5807701349258423, 0.10547826439142227, 0.17749382555484772, 0.04537191987037659, 0.03594568744301796, 0.34774503111839294]	[0.1843905746936798, 0.09300065785646439, 0.07124573737382889, 0.7827683091163635, 0.23023296892642975, 0.06448711454868317, 0.1599644422531128, 0.04091710224747658, 0.034063294529914856, 0.21914182603359222]	[0.1776490956544876, 0.09061330556869507, 0.06510287523269653, 0.824032723903656, 0.18557095527648926, 0.04890616983175278, 0.15740284323692322, 0.03637338802218437, 0.029064081609249115, 0.1895713359117508]	[0.18187247216701508, 0.09104900807142258, 0.061946120113134384, 0.806567370891571, 0.1918231099843979, 0.03957550227642059, 0.12951497733592987, 0.017931999638676643, 0.01574002020061016, 0.22343862056732178]	[0.14024952054023743, 0.07457594573497772, 0.052562665194272995, 0.8498697280883789, 0.1389709711074829, 0.032782990485429764, 0.12551997601985931, 0.015519843436777592, 0.013462351635098457, 0.2041441649198532]	[0.136159747838974, 0.0717560201883316, 0.049030184745788574, 0.82914799451828, 0.14716988801956177, 0.03251751884818077, 0.09094251692295074, 0.010255356319248676, 0.009472913108766079, 0.2249835729598999]	[0.07945884019136429, 0.0425889678299427, 0.031486626714468, 0.9097779989242554, 0.06969823688268661, 0.019839877262711525, 0.14919093251228333, 0.022951211780309677, 0.019283289089798927, 0.16674011945724487]	
subject2_file_95	[0, 6]	[0.2842731475830078, 0.30358248949050903, 0.09642823785543442, 0.44601181149482727, 0.3825130760669708, 0.13806156814098358, 0.10991847515106201, 0.04989369958639145, 0.07553718239068985, 0.31019091606140137]	[0.2282332181930542, 0.3314993381500244, 0.08713846653699875, 0.44425031542778015, 0.31278377771377563, 0.14966441690921783, 0.14054197072982788, 0.10778473317623138, 0.11157535016536713, 0.20340220630168915]	[0.09499353915452957, 0.23001150786876678, 0.05273076146841049, 0.5802462697029114, 0.1492041051387787, 0.11960234493017197, 0.08485651761293411, 0.05597686022520065, 0.06074049323797226, 0.15894809365272522]	[0.07646756619215012, 0.1651172637939453, 0.03363294154405594, 0.606208324432373, 0.15473239123821259, 0.13542617857456207, 0.09353310614824295, 0.05274456739425659, 0.04895634576678276, 0.18383049964904785]	[0.06685580313205719, 0.13204313814640045, 0.040532197803258896, 0.5551512241363525, 0.15202875435352325, 0.12335311621427536, 0.07528864592313766, 0.03657640516757965, 0.039750680327415466, 0.2558973729610443]	[0.06538014858961105, 0.11793961375951767, 0.03840497136116028, 0.5160183906555176, 0.16035234928131104, 0.11997181922197342, 0.0697626918554306, 0.023993264883756638, 0.029356753453612328, 0.2978881299495697]	[0.07330043613910675, 0.09855545312166214, 0.031876031309366226, 0.5389751195907593, 0.16551333665847778, 0.09865269809961319, 0.10854653269052505, 0.029184140264987946, 0.037618786096572876, 0.2782245874404907]	[0.08314218372106552, 0.08711536973714828, 0.029859304428100586, 0.5410720109939575, 0.17840811610221863, 0.0990128219127655, 0.18433034420013428, 0.04481872543692589, 0.06060142442584038, 0.2914787232875824]	[0.09518395364284515, 0.07858504354953766, 0.02429017424583435, 0.5426836609840393, 0.1804557740688324, 0.07708753645420074, 0.2442989945411682, 0.04522081837058067, 0.06595446169376373, 0.28589949011802673]	[0.1277317851781845, 0.08267473429441452, 0.025311557576060295, 0.4684433937072754, 0.2381303906440735, 0.07447786629199982, 0.2909887731075287, 0.03450586274266243, 0.055390749126672745, 0.3365594446659088]	
subject2_file_899	[0, 4, 9]	[0.324334055185318, 0.2768917977809906, 0.0943051353096962, 0.47749412059783936, 0.398240864276886, 0.11823607236146927, 0.10247825086116791, 0.03855051100254059, 0.06496752798557281, 0.3501778244972229]	[0.3076409101486206, 0.24954509735107422, 0.05225423350930214, 0.46601006388664246, 0.40414559841156006, 0.0726899802684784, 0.1229187399148941, 0.026705384254455566, 0.030005477368831635, 0.3712938129901886]	[0.26170656085014343, 0.1845455765724182, 0.05054496228694916, 0.5668637752532959, 0.3629467785358429, 0.06370726227760315, 0.14080938696861267, 0.019324349239468575, 0.02436462976038456, 0.39446067810058594]	[0.2799875736236572, 0.192986398935318, 0.04065089672803879, 0.6083522439002991, 0.3567107617855072, 0.0593508817255497, 0.16291286051273346, 0.01328780222684145, 0.013568389229476452, 0.35005566477775574]	[0.2877587378025055, 0.19180969893932343, 0.04256274551153183, 0.5503466129302979, 0.3393087387084961, 0.045286137610673904, 0.1621616631746292, 0.010213686153292656, 0.00993724912405014, 0.3261786699295044]	[0.27990901470184326, 0.17958781123161316, 0.04328000918030739, 0.6265686750411987, 0.29121339321136475, 0.037322599440813065, 0.15955403447151184, 0.008777063339948654, 0.008542347699403763, 0.2869340777397156]	[0.31524133682250977, 0.19781111180782318, 0.04110010713338852, 0.6560029983520508, 0.2842611074447632, 0.028249075636267662, 0.1591995656490326, 0.006759821902960539, 0.006899023894220591, 0.2707621157169342]	[0.3336060047149658, 0.22169019281864166, 0.039212413132190704, 0.6448099613189697, 0.2732442617416382, 0.02478942647576332, 0.1472543478012085, 0.005600202362984419, 0.005711100995540619, 0.26040735840797424]	[0.40990695357322693, 0.28711187839508057, 0.03689117357134819, 0.6087074875831604, 0.29496556520462036, 0.021455807611346245, 0.13981255888938904, 0.004507855512201786, 0.004689688328653574, 0.24360045790672302]	[0.3262985944747925, 0.2568179666996002, 0.031509507447481155, 0.6598508954048157, 0.22990404069423676, 0.016995813697576523, 0.10856006294488907, 0.0035931088495999575, 0.0037050500977784395, 0.23337140679359436]	
subject2_file_368	[4]	[0.3144732415676117, 0.26952308416366577, 0.09031808376312256, 0.47026723623275757, 0.391023725271225, 0.11543463170528412, 0.09778821468353271, 0.036223553121089935, 0.06034887954592705, 0.34529733657836914]	[0.2968745231628418, 0.24250712990760803, 0.04889021813869476, 0.4485984444618225, 0.4092405438423157, 0.06994249671697617, 0.11673551052808762, 0.023998357355594635, 0.0262916162610054, 0.36826667189598083]	[0.28371649980545044, 0.26423749327659607, 0.050714489072561264, 0.5992271304130554, 0.36749395728111267, 0.04865413159132004, 0.10685112327337265, 0.01646437682211399, 0.02277284488081932, 0.28949862718582153]	[0.23770926892757416, 0.1779886782169342, 0.03972891718149185, 0.6406135559082031, 0.3259085714817047, 0.05584429204463959, 0.14690329134464264, 0.01180821843445301, 0.012693440541625023, 0.3217509984970093]	[0.21640457212924957, 0.17351318895816803, 0.04224406182765961, 0.6734937429428101, 0.25753384828567505, 0.036787085235118866, 0.1285211443901062, 0.009350636973977089, 0.009898895397782326, 0.24419760704040527]	[0.2022741734981537, 0.17236047983169556, 0.0411827452480793, 0.758651852607727, 0.20580264925956726, 0.026957601308822632, 0.11518304795026779, 0.007802147883921862, 0.008298254571855068, 0.18802885711193085]	[0.18346862494945526, 0.15361489355564117, 0.03773949295282364, 0.8117905855178833, 0.17181065678596497, 0.020413152873516083, 0.1060740128159523, 0.006020388100296259, 0.006541055627167225, 0.16924917697906494]	[0.12676188349723816, 0.1239575669169426, 0.0333404615521431, 0.8727171421051025, 0.11165516823530197, 0.015614461153745651, 0.07879827916622162, 0.005009198095649481, 0.005323976743966341, 0.13263528048992157]	[0.1285707801580429, 0.14479653537273407, 0.027454569935798645, 0.8963892459869385, 0.09599296003580093, 0.011259950697422028, 0.06377401202917099, 0.003865250386297703, 0.004180879797786474, 0.10040341317653656]	[0.10165204107761383, 0.1287602186203003, 0.021808478981256485, 0.8947547674179077, 0.08160578459501266, 0.010251765139400959, 0.05963455140590668, 0.003281376091763377, 0.003381911898031831, 0.1086052879691124]	
subject2_file_425	[4, 9]	[0.2901431620121002, 0.2914888262748718, 0.09483741223812103, 0.4554872214794159, 0.3741069734096527, 0.13504543900489807, 0.10764509439468384, 0.04771272465586662, 0.07358932495117188, 0.312386691570282]	[0.16905076801776886, 0.36048218607902527, 0.09495647251605988, 0.5595186352729797, 0.22263604402542114, 0.13608871400356293, 0.10127706825733185, 0.07488676905632019, 0.09543268382549286, 0.1403113305568695]	[0.10834591835737228, 0.2129041850566864, 0.12100935727357864, 0.9174705743789673, 0.11978381127119064, 0.10398738831281662, 0.08936513215303421, 0.11201786994934082, 0.21492528915405273, 0.10092305392026901]	[0.08849900215864182, 0.18670953810214996, 0.072440966963768, 0.9709455370903015, 0.06805407255887985, 0.07188103348016739, 0.08330652862787247, 0.13103541731834412, 0.20578433573246002, 0.05030287802219391]	[0.06337026506662369, 0.12189538031816483, 0.06223338469862938, 0.9820985794067383, 0.04053102806210518, 0.050541337579488754, 0.075615294277668, 0.1159462109208107, 0.17441044747829437, 0.04013950377702713]	[0.0562627837061882, 0.09296447783708572, 0.04476233571767807, 0.9879012107849121, 0.029652202501893044, 0.033726319670677185, 0.0728665217757225, 0.10725460201501846, 0.15534444153308868, 0.03196963667869568]	[0.04672904685139656, 0.06061491742730141, 0.031135570257902145, 0.9913647174835205, 0.024835538119077682, 0.021638618782162666, 0.07982297986745834, 0.09434282034635544, 0.14077867567539215, 0.029562661424279213]	[0.0342206135392189, 0.034534841775894165, 0.022464964538812637, 0.9936060905456543, 0.019278796389698982, 0.015923472121357918, 0.09526298195123672, 0.09334945678710938, 0.1412389576435089, 0.028944039717316628]	[0.030628636479377747, 0.02450523152947426, 0.015955176204442978, 0.9955360889434814, 0.01616930216550827, 0.010697925463318825, 0.108216792345047, 0.08059146255254745, 0.12724711000919342, 0.024531375616788864]	[0.02300463430583477, 0.01746324636042118, 0.00988711230456829, 0.9973909258842468, 0.012740209698677063, 0.006508298218250275, 0.14147640764713287, 0.08710044622421265, 0.13217493891716003, 0.018352987244725227]	
subject2_file_646	[3]	[0.3066617250442505, 0.2923981845378876, 0.10008614510297775, 0.4669719636440277, 0.40311163663864136, 0.11312501132488251, 0.10136236250400543, 0.03758647292852402, 0.06594483554363251, 0.3475777506828308]	[0.26850488781929016, 0.30473804473876953, 0.06803368031978607, 0.47410354018211365, 0.3660675883293152, 0.07641717046499252, 0.11719761788845062, 0.031145133078098297, 0.03846585750579834, 0.3095867335796356]	[0.25852808356285095, 0.3677137494087219, 0.06910501420497894, 0.5659900903701782, 0.2722727060317993, 0.06887734681367874, 0.11071264743804932, 0.030298175290226936, 0.03936677798628807, 0.21253322064876556]	[0.2583181858062744, 0.404590904712677, 0.047841381281614304, 0.5255997776985168, 0.32114508748054504, 0.05909784883260727, 0.1269095093011856, 0.017865195870399475, 0.019422199577093124, 0.2450319528579712]	[0.2011067122220993, 0.40955233573913574, 0.05721108615398407, 0.5816524028778076, 0.22308675944805145, 0.0459023155272007, 0.10484176129102707, 0.016401341184973717, 0.020085828378796577, 0.18308645486831665]	[0.19237160682678223, 0.43231528997421265, 0.054371461272239685, 0.646623432636261, 0.187461256980896, 0.03549161180853844, 0.09806457906961441, 0.013479779474437237, 0.016719473525881767, 0.1301792562007904]	[0.20001670718193054, 0.47138461470603943, 0.05134785547852516, 0.6869350075721741, 0.17440688610076904, 0.025439729914069176, 0.0932992696762085, 0.009818130172789097, 0.012995762750506401, 0.0965832993388176]	[0.18768125772476196, 0.4937097728252411, 0.04855179041624069, 0.7193333506584167, 0.1472199410200119, 0.02073482982814312, 0.0831916332244873, 0.007862964645028114, 0.01039914321154356, 0.07425706088542938]	[0.2084352821111679, 0.5661806464195251, 0.046280305832624435, 0.7366712093353271, 0.14025774598121643, 0.016386885195970535, 0.07549744099378586, 0.005844929255545139, 0.007817482575774193, 0.05685961991548538]	[0.19071795046329498, 0.6145622134208679, 0.040881942957639694, 0.7385725378990173, 0.1247103363275528, 0.013276773504912853, 0.06250998377799988, 0.004420740995556116, 0.006085742264986038, 0.05086057633161545]	
subject2_file_52	[3, 6]	[0.30796030163764954, 0.27553337812423706, 0.0864347517490387, 0.46416807174682617, 0.3849368989467621, 0.11605662107467651, 0.09608134627342224, 0.0366574227809906, 0.06097579002380371, 0.3381357192993164]	[0.28234559297561646, 0.2514505684375763, 0.044317811727523804, 0.43276044726371765, 0.39196354150772095, 0.0693783164024353, 0.10858986526727676, 0.023629698902368546, 0.025677811354398727, 0.3440001606941223]	[0.31213152408599854, 0.2461940199136734, 0.03207520395517349, 0.38273531198501587, 0.4530152380466461, 0.05494590476155281, 0.12755247950553894, 0.014287111349403858, 0.0137142613530159, 0.36126038432121277]	[0.3585594892501831, 0.3022400140762329, 0.02709290385246277, 0.4212885797023773, 0.457762211561203, 0.052244883030653, 0.1399584263563156, 0.009459982626140118, 0.00817389227449894, 0.31069034337997437]	[0.3682672381401062, 0.28531309962272644, 0.03291953727602959, 0.3820641338825226, 0.4469204843044281, 0.04213925078511238, 0.15061111748218536, 0.007341238670051098, 0.006829897407442331, 0.3206559717655182]	[0.41577962040901184, 0.3241133391857147, 0.035022635012865067, 0.379775732755661, 0.4625561833381653, 0.03977865353226662, 0.16350996494293213, 0.006492279004305601, 0.006331153679639101, 0.30465495586395264]	[0.5000237822532654, 0.38616040349006653, 0.03613521158695221, 0.37790149450302124, 0.4910585582256317, 0.032504867762327194, 0.17816749215126038, 0.005060137715190649, 0.005268091335892677, 0.2712392807006836]	[0.5394021272659302, 0.43330588936805725, 0.038359157741069794, 0.3758638799190521, 0.4807101786136627, 0.030084213241934776, 0.17672589421272278, 0.004320968873798847, 0.004456172231584787, 0.23865851759910583]	[0.3241482973098755, 0.2732071876525879, 0.02837558463215828, 0.3384203612804413, 0.4213959574699402, 0.050366584211587906, 0.15052078664302826, 0.00641668913885951, 0.008686388842761517, 0.33032211661338806]	[0.6379734873771667, 0.5793382525444031, 0.040448907762765884, 0.37858888506889343, 0.46451956033706665, 0.023126231506466866, 0.15910758078098297, 0.0028577824123203754, 0.0028453615959733725, 0.16518224775791168]	
subject2_file_123	[0, 6]	[0.31685885787010193, 0.27553611993789673, 0.09902043640613556, 0.4656573235988617, 0.40096622705459595, 0.12015298008918762, 0.10229120403528214, 0.03790352866053581, 0.0639733299612999, 0.3553789556026459]	[0.361927330493927, 0.34596630930900574, 0.2817971706390381, 0.49640539288520813, 0.37155434489250183, 0.23050163686275482, 0.19541962444782257, 0.12886269390583038, 0.11393259465694427, 0.44400689005851746]	[0.34442323446273804, 0.3253158926963806, 0.4087679386138916, 0.4633743166923523, 0.3248850703239441, 0.3365311920642853, 0.29637062549591064, 0.21740372478961945, 0.19570773839950562, 0.48555323481559753]	[0.27587011456489563, 0.3018551468849182, 0.41039249300956726, 0.4718829095363617, 0.24478863179683685, 0.35372844338417053, 0.27697423100471497, 0.23069359362125397, 0.20910349488258362, 0.3951228857040405]	[0.2435123771429062, 0.26637202501296997, 0.43794870376586914, 0.4326428771018982, 0.24393028020858765, 0.377118319272995, 0.29516837000846863, 0.2333558052778244, 0.2342199981212616, 0.45537230372428894]	[0.2594754695892334, 0.2653512954711914, 0.4490050971508026, 0.3247939944267273, 0.26124316453933716, 0.38447245955467224, 0.2707441449165344, 0.1439269781112671, 0.15399783849716187, 0.5321388244628906]	[0.2624671459197998, 0.26590174436569214, 0.45948922634124756, 0.28469082713127136, 0.23638196289539337, 0.38341009616851807, 0.2560485899448395, 0.12947721779346466, 0.14523310959339142, 0.5213164687156677]	[0.3039930760860443, 0.29799342155456543, 0.43996649980545044, 0.22492270171642303, 0.21608379483222961, 0.3596239686012268, 0.2516002357006073, 0.09453735500574112, 0.11272533237934113, 0.48598620295524597]	[0.2532460391521454, 0.23754362761974335, 0.4930674135684967, 0.2920471727848053, 0.19193366169929504, 0.3850202262401581, 0.2846162021160126, 0.18388529121875763, 0.21332217752933502, 0.48956069350242615]	[0.24350112676620483, 0.22605684399604797, 0.45745158195495605, 0.26772454380989075, 0.13769447803497314, 0.34029048681259155, 0.2568333148956299, 0.14812570810317993, 0.18617568910121918, 0.4883509874343872]	
subject2_file_821	[0, 9]	[0.2866289019584656, 0.28784725069999695, 0.09416817128658295, 0.45089736580848694, 0.3706474304199219, 0.1357077807188034, 0.10531733185052872, 0.047268498688936234, 0.07340152561664581, 0.3084946572780609]	[0.14698174595832825, 0.24500268697738647, 0.06019847095012665, 0.4857397973537445, 0.21921749413013458, 0.10929857939481735, 0.08667461574077606, 0.04350470006465912, 0.04928942769765854, 0.20483677089214325]	[0.09726221114397049, 0.17939284443855286, 0.04182770848274231, 0.5143845677375793, 0.17225177586078644, 0.09538520872592926, 0.06744372844696045, 0.0249605905264616, 0.02960945852100849, 0.24941246211528778]	[0.08553643524646759, 0.17539124190807343, 0.03013848140835762, 0.5395556688308716, 0.18856920301914215, 0.10866126418113708, 0.06214035674929619, 0.019847437739372253, 0.021931329742074013, 0.26991283893585205]	[0.06996839493513107, 0.13097195327281952, 0.033463120460510254, 0.5403595566749573, 0.16573300957679749, 0.10560520738363266, 0.056137945502996445, 0.016355862841010094, 0.020170751959085464, 0.3191644847393036]	[0.07696264982223511, 0.1283288449048996, 0.03153645247220993, 0.5396268963813782, 0.18256814777851105, 0.10813601315021515, 0.06372992694377899, 0.01739632338285446, 0.022229496389627457, 0.32584038376808167]	[0.12954096496105194, 0.15240004658699036, 0.025949209928512573, 0.45702311396598816, 0.27855271100997925, 0.09307099133729935, 0.10540259629487991, 0.01635751873254776, 0.023637274280190468, 0.3826587200164795]	[0.1470019668340683, 0.14645284414291382, 0.027062157168984413, 0.42049074172973633, 0.3275648057460785, 0.10297302156686783, 0.13223153352737427, 0.018007759004831314, 0.026886843144893646, 0.41639232635498047]	[0.17404374480247498, 0.1553015261888504, 0.02341603673994541, 0.4228239059448242, 0.34271904826164246, 0.07567403465509415, 0.14108432829380035, 0.014232972636818886, 0.02133265696465969, 0.3750784993171692]	[0.21980538964271545, 0.1527612805366516, 0.02434501238167286, 0.3917562961578369, 0.3936789929866791, 0.06943591684103012, 0.16783520579338074, 0.012678868137300014, 0.01903441548347473, 0.3964517414569855]	
