Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject2_file_457	0	1	0	0	0	2	2	2	2	2	2	
subject2_file_679	0	0	0	0	0	0	0	0	0	0	0	
subject2_file_95	0	0	0	0	0	0	0	0	0	0	0	
subject2_file_899	0	2	2	2	2	1	2	2	2	2	2	
subject2_file_368	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_425	0	0	1	1	1	2	1	1	1	1	1	
subject2_file_646	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_52	0	0	1	1	1	1	1	1	1	1	1	
subject2_file_123	0	2	2	1	0	1	1	1	1	1	0	
subject2_file_821	0	0	0	0	0	0	0	0	0	0	0	
subject2_file_641	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_101	0	1	1	1	1	1	1	1	1	1	1	
subject2_file_880	0	0	0	0	0	0	0	0	0	0	0	
subject2_file_743	0	1	1	1	1	2	2	2	2	2	2	
subject2_file_485	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_92	0	1	1	1	1	1	1	1	1	1	1	
subject2_file_25	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_180	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_586	0	2	2	2	0	1	1	0	0	2	2	
subject2_file_453	0	2	2	2	0	1	1	1	1	1	1	
subject2_file_308	0	1	1	1	1	1	1	1	1	1	1	
subject2_file_263	0	1	1	1	0	1	1	1	1	1	1	
subject2_file_847	0	1	1	1	1	1	1	1	1	1	1	
subject2_file_723	0	1	1	1	1	1	1	1	1	1	1	
subject2_file_565	0	1	1	1	1	1	1	1	1	1	1	
subject2_file_37	0	1	2	2	1	2	2	2	2	2	2	
subject2_file_325	0	1	1	1	1	1	1	1	1	1	1	
subject2_file_792	0	1	1	1	1	1	1	1	1	1	1	
subject2_file_872	0	0	1	1	1	0	0	0	0	0	0	
subject2_file_831	0	0	0	2	2	1	1	1	1	1	1	
subject2_file_1	0	1	1	1	1	1	1	1	1	1	1	
subject2_file_257	0	0	0	0	0	0	0	0	0	0	0	
subject2_file_540	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_635	0	2	2	2	2	2	2	0	0	0	0	
subject2_file_803	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_172	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_581	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_674	0	2	2	2	2	2	2	2	2	2	2	
subject2_file_452	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_517	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_709	1	0	0	2	2	2	2	2	2	2	2	
subject2_file_650	1	1	1	0	2	2	1	1	1	1	1	
subject2_file_96	1	0	0	0	0	1	1	1	1	1	1	
subject2_file_500	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_832	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_980	1	0	0	0	0	0	0	0	0	0	0	
subject2_file_923	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_314	1	2	1	1	1	1	1	1	1	1	1	
subject2_file_731	1	2	1	1	1	1	1	1	1	1	1	
subject2_file_592	1	0	0	0	0	0	0	0	0	0	0	
subject2_file_129	1	0	0	0	0	0	0	0	0	0	0	
subject2_file_549	1	1	0	0	0	2	2	2	2	2	2	
subject2_file_17	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_49	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_402	1	0	0	0	0	0	0	0	0	0	0	
subject2_file_526	1	0	1	1	1	0	0	0	0	0	2	
subject2_file_942	1	2	2	2	2	1	1	1	1	1	1	
subject2_file_724	1	2	2	2	0	1	1	1	1	1	1	
subject2_file_74	1	1	0	0	0	2	0	0	0	0	0	
subject2_file_248	1	0	1	1	1	1	1	1	1	1	1	
subject2_file_344	1	0	0	0	0	0	0	0	0	0	0	
subject2_file_588	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_295	1	0	0	0	0	1	0	0	0	0	0	
subject2_file_658	1	0	0	0	0	0	0	0	0	0	0	
subject2_file_358	1	2	2	2	2	2	2	2	2	2	2	
subject2_file_746	1	0	0	0	0	2	2	2	2	2	2	
subject2_file_541	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_202	1	2	0	2	2	2	2	2	2	2	2	
subject2_file_171	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_840	1	2	1	1	1	1	1	1	1	1	1	
subject2_file_436	1	0	1	0	0	0	0	0	0	0	0	
subject2_file_85	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_681	1	0	1	1	1	1	1	1	1	1	1	
subject2_file_495	1	2	2	2	2	2	2	0	0	0	0	
subject2_file_341	1	2	0	0	2	2	2	2	2	2	2	
subject2_file_522	2	1	1	1	1	1	1	1	1	1	1	
subject2_file_324	2	1	1	1	1	1	1	1	1	1	1	
subject2_file_157	2	1	1	0	0	0	0	0	0	0	0	
subject2_file_775	2	1	0	1	1	1	1	1	1	1	1	
subject2_file_336	2	1	1	1	1	1	1	1	1	1	1	
subject2_file_838	2	0	1	1	1	2	1	0	0	0	0	
subject2_file_911	2	0	0	0	0	0	0	0	0	0	0	
subject2_file_175	2	1	1	1	1	0	1	0	0	0	0	
subject2_file_114	2	1	0	0	0	2	0	2	2	2	2	
subject2_file_926	2	2	1	1	1	2	2	2	2	2	2	
subject2_file_473	2	1	1	1	1	1	1	1	1	1	1	
subject2_file_917	2	1	1	1	1	1	1	1	1	1	1	
subject2_file_763	2	1	1	1	1	1	1	1	1	1	1	
subject2_file_624	2	1	1	1	1	1	1	1	1	1	1	
subject2_file_952	2	0	0	1	2	0	0	0	0	0	0	
subject2_file_328	2	0	0	0	2	1	0	0	0	0	0	
subject2_file_204	2	0	1	1	1	1	0	0	0	0	0	
subject2_file_89	2	2	0	2	0	0	0	0	0	0	0	
subject2_file_616	2	1	1	1	1	0	0	0	0	0	0	
Total Train loss	-----	0.5430099964141846	0.28705504536628723	0.1905139982700348	0.13515464961528778	0.38793033361434937	0.2772500216960907	0.2567842900753021	0.21177998185157776	0.2189711034297943	0.20605430006980896	
Train Accuracy	-----	0.8218390804597702	0.9195402298850575	0.9195402298850575	0.9655172413793104	0.735632183908046	0.9195402298850575	0.9252873563218391	0.9425287356321839	0.9367816091954023	0.9425287356321839	
Training time	-----	0:01:11.869019	0:01:12.513652	0:01:06.059905	0:00:48.365059	0:00:48.470706	0:00:48.534434	0:00:48.273006	0:00:48.520063	0:00:44.894393	0:00:48.196541	
Total Test loss	-----	1.5071288347244263	1.9104256629943848	2.224506378173828	2.512665033340454	2.4406282901763916	2.464261054992676	2.532402515411377	2.6083836555480957	2.6843419075012207	2.7487783432006836	
