Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject1_file_622	[3]	[0.3785056173801422, 0.38426125049591064, 0.08993804454803467, 0.44536489248275757, 0.4378826320171356, 0.11957141011953354, 0.1585131138563156, 0.1267034262418747, 0.09681867808103561, 0.23832398653030396]	[0.37240713834762573, 0.37780940532684326, 0.0591876246035099, 0.4491667151451111, 0.43485307693481445, 0.08344089984893799, 0.10788382589817047, 0.07922638952732086, 0.07378950715065002, 0.2571622431278229]	[0.37233269214630127, 0.3814021348953247, 0.06264141947031021, 0.44815540313720703, 0.43351051211357117, 0.08828842639923096, 0.11300046741962433, 0.08323263376951218, 0.07850237190723419, 0.2611202895641327]	[0.34205830097198486, 0.32986944913864136, 0.05294865369796753, 0.5247442126274109, 0.40180686116218567, 0.07851893454790115, 0.10790703445672989, 0.07905799150466919, 0.07444486021995544, 0.24105586111545563]	[0.31226974725723267, 0.32872188091278076, 0.04247679561376572, 0.6185513734817505, 0.30891409516334534, 0.05006580799818039, 0.14082874357700348, 0.10054927319288254, 0.08926146477460861, 0.15465188026428223]	[0.3803841769695282, 0.3826017677783966, 0.06263355165719986, 0.5245984792709351, 0.41984063386917114, 0.08314818143844604, 0.127182275056839, 0.09854238480329514, 0.09378114342689514, 0.23857595026493073]	[0.4652171730995178, 0.44291695952415466, 0.12755203247070312, 0.16073106229305267, 0.6424275636672974, 0.16777125000953674, 0.1015387773513794, 0.09611529111862183, 0.10861777514219284, 0.3676084578037262]	[0.4650290012359619, 0.4335348606109619, 0.27040648460388184, 0.11597108840942383, 0.6717701554298401, 0.33740749955177307, 0.12491543591022491, 0.13700427114963531, 0.1804036647081375, 0.528558611869812]	[0.4496022164821625, 0.35672906041145325, 0.07482936978340149, 0.595704197883606, 0.3897317051887512, 0.08151798695325851, 0.1703139841556549, 0.13272316753864288, 0.09930504113435745, 0.2098943293094635]	[0.312640517950058, 0.3091706931591034, 0.027215972542762756, 0.7759277820587158, 0.23457877337932587, 0.02344365604221821, 0.21114102005958557, 0.1302350014448166, 0.10027312487363815, 0.1502591073513031]	
subject1_file_869	[3]	[0.37777262926101685, 0.3830183446407318, 0.08789511024951935, 0.4455694556236267, 0.4371945858001709, 0.11704923957586288, 0.15567603707313538, 0.12408488988876343, 0.09443063288927078, 0.23634248971939087]	[0.37184420228004456, 0.37640267610549927, 0.057379528880119324, 0.44928446412086487, 0.4346700608730316, 0.08112414181232452, 0.10519134253263474, 0.07703102380037308, 0.07162302732467651, 0.2553494870662689]	[0.3716537058353424, 0.37552931904792786, 0.05687958002090454, 0.44957050681114197, 0.4350103735923767, 0.08073320239782333, 0.10491834580898285, 0.07628286629915237, 0.07149684429168701, 0.2543317973613739]	[0.34010347723960876, 0.32431936264038086, 0.04755321890115738, 0.5280159711837769, 0.3989228904247284, 0.07072054594755173, 0.09895088523626328, 0.07168609648942947, 0.06668182462453842, 0.23228801786899567]	[0.3143552839756012, 0.32815754413604736, 0.03596477583050728, 0.5911733508110046, 0.32066982984542847, 0.04245409369468689, 0.12294081598520279, 0.08851054310798645, 0.0765869989991188, 0.14930607378482819]	[0.37926536798477173, 0.3760139048099518, 0.04849908500909805, 0.4631892442703247, 0.4324079155921936, 0.06578252464532852, 0.09676927328109741, 0.07125509530305862, 0.06655947118997574, 0.23040378093719482]	[0.26512792706489563, 0.30049586296081543, 0.01533844880759716, 0.825118362903595, 0.17778946459293365, 0.016122128814458847, 0.17582674324512482, 0.10314576327800751, 0.06391269713640213, 0.07430317997932434]	[0.21644826233386993, 0.25352591276168823, 0.008940307423472404, 0.9261026382446289, 0.11093436181545258, 0.009777890518307686, 0.178479865193367, 0.10731770843267441, 0.07752333581447601, 0.05693008005619049]	[0.2166474610567093, 0.26884880661964417, 0.013825491070747375, 0.8378958106040955, 0.1620010882616043, 0.01390884444117546, 0.18442876636981964, 0.10408270359039307, 0.08389808237552643, 0.11471597105264664]	[0.31159064173698425, 0.3183070421218872, 0.0180980134755373, 0.7318285703659058, 0.2446407526731491, 0.015018795616924763, 0.16261406242847443, 0.09908751398324966, 0.07834304869174957, 0.13710922002792358]	
subject1_file_807	[0, 3, 6]	[0.37794360518455505, 0.3834044933319092, 0.08895402401685715, 0.44565069675445557, 0.4375284016132355, 0.11837068945169449, 0.1572241634130478, 0.12539543211460114, 0.09572476893663406, 0.23736058175563812]	[0.37198641896247864, 0.3770691454410553, 0.05830514058470726, 0.4492442309856415, 0.43466973304748535, 0.08233601599931717, 0.10660091787576675, 0.07814515382051468, 0.07276113331317902, 0.2563153803348541]	[0.37178346514701843, 0.3778623044490814, 0.059185538440942764, 0.44899097084999084, 0.4343164563179016, 0.08379454910755157, 0.1082407534122467, 0.07906594127416611, 0.07431598752737045, 0.25707775354385376]	[0.38398483395576477, 0.4200975000858307, 0.07704814523458481, 0.407459020614624, 0.44919249415397644, 0.10742983222007751, 0.13126879930496216, 0.10021165758371353, 0.0900454893708229, 0.28663796186447144]	[0.5146253705024719, 0.5024660229682922, 0.094399094581604, 0.10059473663568497, 0.7227355241775513, 0.14433468878269196, 0.0795217826962471, 0.07121521979570389, 0.07204525917768478, 0.44008758664131165]	[0.38029664754867554, 0.37828463315963745, 0.05333041027188301, 0.4576649069786072, 0.44296807050704956, 0.07319997251033783, 0.10181386768817902, 0.07714194804430008, 0.07372727990150452, 0.24360521137714386]	[0.4380488693714142, 0.4255375564098358, 0.11878833919763565, 0.07575984299182892, 0.7060385346412659, 0.17162342369556427, 0.05482539162039757, 0.05829944461584091, 0.07950560748577118, 0.4512908458709717]	[0.424892395734787, 0.41681087017059326, 0.152287557721138, 0.08941490203142166, 0.6517952680587769, 0.21683739125728607, 0.06713424623012543, 0.0713304877281189, 0.09871844202280045, 0.4871068298816681]	[0.4528011083602905, 0.4825243055820465, 0.11329345405101776, 0.05107768625020981, 0.7037942409515381, 0.18825051188468933, 0.034740298986434937, 0.0444997102022171, 0.06384832412004471, 0.4312072694301605]	[0.46587133407592773, 0.4734475314617157, 0.12177744507789612, 0.03333895280957222, 0.725006639957428, 0.19903609156608582, 0.018164711073040962, 0.04031674191355705, 0.06509771943092346, 0.431912362575531]	
subject1_file_463	[0, 9]	[0.37784984707832336, 0.3831793963909149, 0.08845051378011703, 0.4456431269645691, 0.43739521503448486, 0.11774437129497528, 0.15650424361228943, 0.12477486580610275, 0.09511784464120865, 0.2368689626455307]	[0.3719092309474945, 0.3767456114292145, 0.05787070095539093, 0.4492731988430023, 0.43467235565185547, 0.08177129924297333, 0.10594548285007477, 0.07762489467859268, 0.07223224639892578, 0.2558680772781372]	[0.37171632051467896, 0.3766319155693054, 0.05799631401896477, 0.4493212103843689, 0.4346945583820343, 0.08221862465143204, 0.10654488950967789, 0.07763182371854782, 0.0728650912642479, 0.25565752387046814]	[0.38183027505874634, 0.41601845622062683, 0.07318476587533951, 0.41038089990615845, 0.44651272892951965, 0.10255307704210281, 0.12639379501342773, 0.09582581371068954, 0.08551224321126938, 0.28151577711105347]	[0.5116754770278931, 0.49808546900749207, 0.08666306734085083, 0.10219725221395493, 0.718791663646698, 0.13472341001033783, 0.0756930485367775, 0.0669805109500885, 0.0669594258069992, 0.42943239212036133]	[0.39171257615089417, 0.39113783836364746, 0.10924258828163147, 0.1048460528254509, 0.6443886756896973, 0.17986062169075012, 0.06538868695497513, 0.061941977590322495, 0.07249706238508224, 0.5052270889282227]	[0.4302634000778198, 0.430494487285614, 0.03863832354545593, 0.23673008382320404, 0.5300399661064148, 0.052248068153858185, 0.06535540521144867, 0.04883427545428276, 0.04572400823235512, 0.20675761997699738]	[0.4164569675922394, 0.4145340919494629, 0.13231393694877625, 0.08843906223773956, 0.6426525712013245, 0.19448213279247284, 0.06000182032585144, 0.06306205689907074, 0.08737800270318985, 0.47360387444496155]	[0.4429504871368408, 0.48033490777015686, 0.09754998236894608, 0.050804611295461655, 0.6959074139595032, 0.16690634191036224, 0.031168803572654724, 0.03936782851815224, 0.056366756558418274, 0.41895970702171326]	[0.4556575417518616, 0.4696934223175049, 0.10608582943677902, 0.033588942140340805, 0.7151930332183838, 0.17661848664283752, 0.016447728499770164, 0.03601951152086258, 0.058506157249212265, 0.4200859069824219]	
subject1_file_830	[4, 9]	[0.3778790533542633, 0.38322126865386963, 0.08851205557584763, 0.445637583732605, 0.43742457032203674, 0.11782070249319077, 0.1565842181444168, 0.12485859543085098, 0.0951879620552063, 0.23693403601646423]	[0.37192949652671814, 0.3767849802970886, 0.05792746692895889, 0.44927963614463806, 0.4346858859062195, 0.08184383064508438, 0.10602793842554092, 0.07769552618265152, 0.07230072468519211, 0.25592926144599915]	[0.3717186748981476, 0.37691208720207214, 0.058257754892110825, 0.4492684304714203, 0.4345932602882385, 0.08256863057613373, 0.10690689086914062, 0.07795345783233643, 0.07318945974111557, 0.25599944591522217]	[0.38216251134872437, 0.41666898131370544, 0.07388477027416229, 0.41004374623298645, 0.44698163866996765, 0.10344653576612473, 0.1272706240415573, 0.09663721174001694, 0.08637755364179611, 0.28251418471336365]	[0.5123887062072754, 0.4990910291671753, 0.08834302425384521, 0.10176461935043335, 0.7197684645652771, 0.13688139617443085, 0.07650372385978699, 0.06789272278547287, 0.06806836277246475, 0.43194344639778137]	[0.37926042079925537, 0.37717267870903015, 0.05103603005409241, 0.4613068103790283, 0.4381154179573059, 0.06969283521175385, 0.0997566506266594, 0.07469651103019714, 0.07080360502004623, 0.23771581053733826]	[0.4362882375717163, 0.4230210781097412, 0.10677717626094818, 0.07913608849048615, 0.7023720145225525, 0.1560259312391281, 0.05231911689043045, 0.054414715617895126, 0.07319732010364532, 0.4353542625904083]	[0.4181169271469116, 0.4137531816959381, 0.13994798064231873, 0.08820929378271103, 0.6462445259094238, 0.20331062376499176, 0.062270812690258026, 0.0658746138215065, 0.09147912263870239, 0.4805960953235626]	[0.4447951018810272, 0.4800107181072235, 0.10289979726076126, 0.050549428910017014, 0.6985233426094055, 0.1744052916765213, 0.03218001872301102, 0.04093194380402565, 0.05886916443705559, 0.4246102273464203]	[0.45770710706710815, 0.4698062241077423, 0.11113737523555756, 0.033347513526678085, 0.7183215022087097, 0.18387974798679352, 0.016894429922103882, 0.03723609447479248, 0.060555778443813324, 0.42491620779037476]	
subject1_file_272	[4, 9]	[0.3779297173023224, 0.3833237886428833, 0.08879712224006653, 0.44571787118911743, 0.4375414550304413, 0.11817865073680878, 0.1569516956806183, 0.12523062527179718, 0.09554437547922134, 0.23726694285869598]	[0.3719702661037445, 0.37688350677490234, 0.05813629552721977, 0.44935742020606995, 0.4347490072250366, 0.08211712539196014, 0.10633271187543869, 0.07795815169811249, 0.07256920635700226, 0.25618186593055725]	[0.37169942259788513, 0.37792497873306274, 0.05926838144659996, 0.4491400718688965, 0.43424203991889954, 0.08392646163702011, 0.10830039530992508, 0.0792006254196167, 0.0744662880897522, 0.25735101103782654]	[0.38328754901885986, 0.4188326299190521, 0.0765717476606369, 0.40918612480163574, 0.44876009225845337, 0.10688072443008423, 0.130656898021698, 0.0997939258813858, 0.08978226780891418, 0.28629884123802185]	[0.5153342485427856, 0.5025707483291626, 0.09536804258823395, 0.10058218240737915, 0.723422110080719, 0.14561009407043457, 0.08005160093307495, 0.07172331213951111, 0.07274431735277176, 0.44120556116104126]	[0.40491223335266113, 0.3994113802909851, 0.13903704285621643, 0.10889363288879395, 0.6516014933586121, 0.2160634845495224, 0.08019014447927475, 0.0772843062877655, 0.09287332743406296, 0.5212963819503784]	[0.4370158612728119, 0.4252451956272125, 0.12507086992263794, 0.07548493146896362, 0.7041013836860657, 0.18048496544361115, 0.056584373116493225, 0.0609176941215992, 0.08340716361999512, 0.4583120346069336]	[0.4260636270046234, 0.41371917724609375, 0.16634570062160492, 0.09129207581281662, 0.6541672945022583, 0.23227281868457794, 0.07216635346412659, 0.0774872824549675, 0.10675757378339767, 0.4965261220932007]	[0.4529862701892853, 0.48001325130462646, 0.12192338705062866, 0.051382750272750854, 0.7058134078979492, 0.19915352761745453, 0.03657250851392746, 0.04718216136097908, 0.0681343525648117, 0.4396211504936218]	[0.466921865940094, 0.4713250696659088, 0.13078561425209045, 0.03326821327209473, 0.7289146780967712, 0.21074917912483215, 0.01897902972996235, 0.042445000261068344, 0.06873967498540878, 0.44010189175605774]	
subject1_file_588	[3]	[0.3777255713939667, 0.38303446769714355, 0.08840771019458771, 0.44573575258255005, 0.43739262223243713, 0.11771406978368759, 0.1564849317073822, 0.1247306615114212, 0.09510930627584457, 0.236837238073349]	[0.371837317943573, 0.37661388516426086, 0.05779430270195007, 0.44931623339653015, 0.4346930682659149, 0.08168596029281616, 0.10585527867078781, 0.07754101604223251, 0.07215924561023712, 0.2557910680770874]	[0.371611624956131, 0.3766327202320099, 0.058007292449474335, 0.44930505752563477, 0.4346345365047455, 0.0822596475481987, 0.10657467693090439, 0.0776652917265892, 0.07290399074554443, 0.2557166516780853]	[0.3816872537136078, 0.41550412774086, 0.07275184988975525, 0.4106949269771576, 0.4462428092956543, 0.10191354155540466, 0.12587082386016846, 0.0952732264995575, 0.08490043133497238, 0.28061261773109436]	[0.5112435221672058, 0.49713370203971863, 0.08535207808017731, 0.1026584729552269, 0.71807861328125, 0.1329299807548523, 0.0751047283411026, 0.0662473663687706, 0.0660487487912178, 0.4270833134651184]	[0.3949262499809265, 0.39256733655929565, 0.11110755801200867, 0.11143483966588974, 0.6426735520362854, 0.1804833859205246, 0.06898333132266998, 0.06482464075088501, 0.07568369060754776, 0.4993220865726471]	[0.436490535736084, 0.42252853512763977, 0.09155191481113434, 0.08367420732975006, 0.6974296569824219, 0.13560080528259277, 0.04914472997188568, 0.04947834834456444, 0.06492645293474197, 0.4108031094074249]	[0.41807758808135986, 0.4197755455970764, 0.11822295188903809, 0.0937347337603569, 0.6336293816566467, 0.17637065052986145, 0.05795928090810776, 0.059707123786211014, 0.08064843714237213, 0.4509035050868988]	[0.41104090213775635, 0.35345789790153503, 0.04530171677470207, 0.5604555010795593, 0.3678428530693054, 0.048297930508852005, 0.13363172113895416, 0.09204345941543579, 0.07151836901903152, 0.1841609627008438]	[0.4557760953903198, 0.4701230227947235, 0.10311276465654373, 0.03417336940765381, 0.7127818465232849, 0.17218433320522308, 0.016392672434449196, 0.035563383251428604, 0.05746069177985191, 0.4155927300453186]	
subject1_file_140	[3]	[0.37807220220565796, 0.3835807144641876, 0.08829125016927719, 0.44530659914016724, 0.4370995759963989, 0.1175047904253006, 0.15611444413661957, 0.12453186511993408, 0.09479428082704544, 0.23675638437271118]	[0.3720081150531769, 0.3768044710159302, 0.057655204087495804, 0.449161559343338, 0.434556245803833, 0.08145208656787872, 0.10554433614015579, 0.07733471691608429, 0.07190356403589249, 0.25563526153564453]	[0.37176480889320374, 0.37650519609451294, 0.057626571506261826, 0.44932273030281067, 0.4345718026161194, 0.0816994309425354, 0.10590244084596634, 0.07715003192424774, 0.07236257195472717, 0.2552792429924011]	[0.34022754430770874, 0.3248138129711151, 0.04791925847530365, 0.5276647210121155, 0.39913493394851685, 0.07127944380044937, 0.09953291714191437, 0.07222245633602142, 0.06726217269897461, 0.23314714431762695]	[0.3133791387081146, 0.3271646499633789, 0.03615616634488106, 0.5950260162353516, 0.31794869899749756, 0.04274192824959755, 0.1239660456776619, 0.08931747823953629, 0.07716234773397446, 0.14890263974666595]	[0.37517112493515015, 0.3743249773979187, 0.0481705516576767, 0.48050323128700256, 0.4208008646965027, 0.06515609472990036, 0.09993073344230652, 0.07325106859207153, 0.06809613853693008, 0.22592096030712128]	[0.2635522186756134, 0.29966217279434204, 0.0157734677195549, 0.8305522799491882, 0.17490576207637787, 0.016631286591291428, 0.18142950534820557, 0.106470987200737, 0.06605170667171478, 0.07473187148571014]	[0.21457886695861816, 0.2520487904548645, 0.009128836914896965, 0.9282165169715881, 0.10893865674734116, 0.010023725219070911, 0.18294444680213928, 0.10994746536016464, 0.07948996126651764, 0.05713927000761032]	[0.21160434186458588, 0.26414743065834045, 0.01375491637736559, 0.8475576043128967, 0.15489836037158966, 0.013902006670832634, 0.19052109122276306, 0.1065642237663269, 0.08551054447889328, 0.11343509703874588]	[0.30078360438346863, 0.30940404534339905, 0.017973538488149643, 0.7550529837608337, 0.22893807291984558, 0.01501802820712328, 0.1726616770029068, 0.10308621823787689, 0.08087676763534546, 0.13497687876224518]	
subject1_file_213	[0, 3, 6]	[0.3778826892375946, 0.38320791721343994, 0.08850802481174469, 0.44564586877822876, 0.43744614720344543, 0.1178162544965744, 0.15658153593540192, 0.12486013025045395, 0.0951835960149765, 0.23692649602890015]	[0.37193188071250916, 0.3767792284488678, 0.057931747287511826, 0.44928696751594543, 0.4346984922885895, 0.08185001462697983, 0.1060357615351677, 0.07770338654518127, 0.07230710983276367, 0.2559334337711334]	[0.37172144651412964, 0.37691769003868103, 0.05827542766928673, 0.4492747187614441, 0.4346024692058563, 0.0825924277305603, 0.1069343164563179, 0.07797759026288986, 0.07321235537528992, 0.2560192942619324]	[0.3822360038757324, 0.41676560044288635, 0.07399854063987732, 0.4100021421909332, 0.44706282019615173, 0.10357445478439331, 0.12740740180015564, 0.09675697982311249, 0.0865010991692543, 0.2826342284679413]	[0.3137037456035614, 0.3286381959915161, 0.03721115365624428, 0.5964256525039673, 0.31889522075653076, 0.04396297410130501, 0.12649662792682648, 0.09086283296346664, 0.07930362224578857, 0.1508774608373642]	[0.37915393710136414, 0.377252995967865, 0.0510249100625515, 0.4632597267627716, 0.43729275465011597, 0.06958193331956863, 0.10010664910078049, 0.07494523376226425, 0.07102411985397339, 0.23713421821594238]	[0.4302797317504883, 0.4305694103240967, 0.03988254442811012, 0.23656675219535828, 0.5314579606056213, 0.053772758692502975, 0.06656356155872345, 0.05002431944012642, 0.04706872999668121, 0.2096194624900818]	[0.41839995980262756, 0.41365283727645874, 0.1409512311220169, 0.0882684513926506, 0.6467306017875671, 0.20437990128993988, 0.06259270757436752, 0.06626385450363159, 0.0920204445719719, 0.4813147783279419]	[0.4451393187046051, 0.4799118638038635, 0.10366807132959366, 0.050596438348293304, 0.6988377571105957, 0.17539732158184052, 0.03235315531492233, 0.041174910962581635, 0.05923887714743614, 0.42524972558021545]	[0.45798981189727783, 0.46974772214889526, 0.11179715394973755, 0.03335880488157272, 0.7186778783798218, 0.1847521960735321, 0.016967859119176865, 0.037409305572509766, 0.060832202434539795, 0.4254450798034668]	
subject1_file_685	[0, 9]	[0.37787890434265137, 0.3832232356071472, 0.08852691948413849, 0.44564321637153625, 0.43743112683296204, 0.11783995479345322, 0.1566058099269867, 0.12487810850143433, 0.09520751237869263, 0.2369500696659088]	[0.37193015217781067, 0.3767905831336975, 0.057939860969781876, 0.44928282499313354, 0.43468812108039856, 0.08186037093400955, 0.10604696720838547, 0.07771104574203491, 0.07231675088405609, 0.2559431791305542]	[0.37171798944473267, 0.37695029377937317, 0.058298125863075256, 0.44926270842552185, 0.43458157777786255, 0.08262293040752411, 0.10696453601121902, 0.07800322026014328, 0.07324021309614182, 0.25605061650276184]	[0.3822287321090698, 0.4167931377887726, 0.07401519268751144, 0.4099690914154053, 0.4470733106136322, 0.1036112979054451, 0.12743639945983887, 0.09678767621517181, 0.08653482794761658, 0.282690167427063]	[0.5125046372413635, 0.499248206615448, 0.08861834555864334, 0.101701520383358, 0.7199224233627319, 0.13722890615463257, 0.07663935422897339, 0.06804236769676208, 0.06824847310781479, 0.43233203887939453]	[0.37927091121673584, 0.37721800804138184, 0.05110996216535568, 0.4614189863204956, 0.438220739364624, 0.06979839503765106, 0.09987018257379532, 0.0748165026307106, 0.07094355672597885, 0.2378712296485901]	[0.43601128458976746, 0.4234277307987213, 0.10871817916631699, 0.07803504914045334, 0.7029274106025696, 0.15886251628398895, 0.052474889904260635, 0.05489487946033478, 0.07414007931947708, 0.43896201252937317]	[0.4184498190879822, 0.4138076603412628, 0.1407810002565384, 0.08827940374612808, 0.6465958952903748, 0.20423482358455658, 0.06257396936416626, 0.06622813642024994, 0.09195182472467422, 0.48113322257995605]	[0.4451574683189392, 0.4800519347190857, 0.10352351516485214, 0.05056136101484299, 0.698820948600769, 0.17524710297584534, 0.032320186495780945, 0.041130486875772476, 0.05916617065668106, 0.4251191020011902]	[0.45803776383399963, 0.46988654136657715, 0.11171609908342361, 0.03333600237965584, 0.7186707854270935, 0.18469569087028503, 0.016955463215708733, 0.03738683462142944, 0.06079636141657829, 0.4253847599029541]	
