subject4_file_156; fruitsalad; Cut,Peel,Take
subject4_file_414; fruitsalad; Cut,Peel,Put
subject4_file_650; fruitsalad; Cut,Peel,Take
subject4_file_166; fruitsalad; Cut,Peel,Put
subject4_file_173; fruitsalad; Take
subject4_file_174; sandwich; Cut,Peel,Take
subject4_file_165; sandwich; Cut,Peel,Put
subject4_file_154; sandwich; Put,other
subject4_file_171; sandwich; Cut,Peel,Put
subject4_file_17; fruitsalad; Cut,Peel,Put
subject4_file_176; cereal; Cut,Peel,Put,other
subject4_file_38; sandwich; Cut,Peel,Take,Put,other
subject4_file_396; cereal; Take
subject4_file_398; cereal; Take
subject4_file_335; cereal; Cut,Put,other
subject4_file_100; cereal; Peel,Take,Put,other
subject4_file_104; fruitsalad; Cut,Peel,Take
subject4_file_106; fruitsalad; Cut,Peel,Put,other
subject4_file_112; sandwich; Cut,Peel,Put,other
subject4_file_115; fruitsalad; Cut,Peel,Take,Put
subject4_file_336; sandwich; Take
subject4_file_121; cereal; Cut,Peel,Take,Put
subject4_file_358; sandwich; Cut,Peel,Put,other
subject4_file_12; cereal; Take,Put,other
subject4_file_117; sandwich; Take
subject4_file_363; cereal; Cut,Put,other
subject4_file_118; sandwich; Cut,Peel,Take
subject4_file_129; cereal; Take
subject4_file_125; cereal; Take,Put
subject4_file_369; fruitsalad; Take
subject4_file_366; fruitsalad; Cut,Peel,Put,other
subject4_file_360; cereal; Take
subject4_file_646; sandwich; Cut,Peel,Take
subject4_file_392; fruitsalad; Cut,Peel,Take,Put
subject4_file_161; cereal; Take
subject4_file_651; fruitsalad; Cut,Peel,Take,Put
subject4_file_419; fruitsalad; Cut,Peel,Put,other
subject4_file_652; sandwich; Cut,Peel,Put
subject4_file_668; sandwich; Cut,Put,other
subject4_file_676; sandwich; Take
subject4_file_68; sandwich; Put,other
subject4_file_693; fruitsalad; Cut,Peel,Take,Put
subject4_file_7; fruitsalad; Cut,Peel,Take,Put,other
subject4_file_456; cereal; Peel,Take,Put,other
subject4_file_458; cereal; Take
subject4_file_198; cereal; Take
subject4_file_225; sandwich; Cut,Peel,Put
subject4_file_219; fruitsalad; Cut,Peel,Take
subject4_file_521; fruitsalad; Take
subject4_file_180; fruitsalad; Take
subject4_file_209; fruitsalad; Cut,Peel,Put
subject4_file_325; fruitsalad; Cut,Peel,Take
subject4_file_182; sandwich; Cut,Peel,Put,other
subject4_file_23; cereal; Cut,Put,other
subject4_file_258; fruitsalad; Cut,Put,other
subject4_file_276; sandwich; Take,Wash
subject4_file_544; sandwich; Cut,Peel,Take
subject4_file_295; sandwich; Cut,Peel,Take,Wash
subject4_file_553; fruitsalad; Cut,Peel,Put
subject4_file_288; sandwich; Put,other
subject4_file_226; cereal; Take
subject4_file_817; sandwich; Peel,Take
subject4_file_779; sandwich; Cut,Peel,Take
subject4_file_727; fruitsalad; Take,Put
subject4_file_761; fruitsalad; Cut,Peel,Put
subject4_file_736; sandwich; Take,other
subject4_file_714; sandwich; Cut,Put
subject4_file_706; sandwich; Take
subject4_file_704; sandwich; Cut,Take
subject4_file_822; fruitsalad; Cut,Peel,Put,other
subject4_file_737; sandwich; Cut,Put,other
subject4_file_812; sandwich; Take
subject4_file_806; sandwich; Take,Wash
subject4_file_746; cereal; Take
subject4_file_253; sandwich; Mix,other
subject4_file_776; fruitsalad; Cut,Peel,Put
subject4_file_1; fruitsalad; Cut,Peel,Put,other
subject4_file_921; fruitsalad; Cut,Peel,Take
subject4_file_942; fruitsalad; Cut,Peel,Put
subject4_file_962; sandwich; Cut,Peel,Take,Wash
subject4_file_854; cereal; Take
subject4_file_602; fruitsalad; Cut,Peel,Put
subject4_file_957; fruitsalad; Cut,Peel,Take
subject4_file_960; sandwich; Cut,Peel,Put
subject4_file_995; fruitsalad; Cut,Peel,Take,Put
subject4_file_835; sandwich; Cut,Peel,Put
subject4_file_834; sandwich; Take,other
subject4_file_918; sandwich; Cut,Peel,Put,other
subject4_file_838; sandwich; Take,other
subject4_file_829; cereal; Cut,Take,other
subject4_file_985; cereal; Cut,Put,other
subject4_file_387; sandwich; Take,Put,other
subject4_file_980; cereal; Cut,Peel,Take,Put,other
subject4_file_975; fruitsalad; Cut,Peel,Take,Put
subject4_file_968; sandwich; Peel,Take
subject4_file_966; sandwich; Take,Put,other
subject4_file_402; sandwich; Cut,Peel,Take,Put
subject4_file_41; fruitsalad; Take
subject4_file_439; sandwich; Put,other
subject4_file_418; fruitsalad; Cut,Peel,Put
subject4_file_443; cereal; Take,Put
subject4_file_675; sandwich; Cut,Put,other
subject4_file_457; cereal; Take,Put,other
subject4_file_470; fruitsalad; Take,other
subject4_file_164; cereal; Take
subject4_file_451; fruitsalad; Put,other
subject4_file_563; fruitsalad; Take
subject4_file_61; fruitsalad; Cut,Peel,Put
subject4_file_186; fruitsalad; Take
subject4_file_869; sandwich; Put,other
subject4_file_826; sandwich; Cut,Peel,Put,other
subject4_file_842; sandwich; Take
subject4_file_190; sandwich; Take,Wash
subject4_file_571; cereal; Take,Put
subject4_file_6; cereal; Cut,Put,other
subject4_file_262; sandwich; Take,Wash
subject4_file_969; sandwich; Cut,Peel,Put,other
subject4_file_843; fruitsalad; Cut,Peel,Take,Put,other
subject4_file_285; sandwich; Peel,Take
subject4_file_278; sandwich; Put,other
subject4_file_538; sandwich; Cut,Put,other
subject4_file_321; sandwich; Take,other
subject4_file_856; sandwich; Cut,Peel,Put
subject4_file_26; sandwich; Cut,Peel,Put,other
subject4_file_539; sandwich; Cut,Peel,Put
subject4_file_307; fruitsalad; Cut,Peel,Put
subject4_file_633; sandwich; Take
subject4_file_623; sandwich; Take
subject4_file_62; sandwich; Cut,Peel,Put,other
subject4_file_613; fruitsalad; Cut,Peel,Put,other
subject4_file_63; fruitsalad; Cut,Peel,Put
subject4_file_592; sandwich; Cut,Peel,Put
subject4_file_871; fruitsalad; Cut,Peel,Take,Put
subject4_file_877; fruitsalad; Cut,Peel,Put
subject4_file_58; sandwich; Cut,Peel,Put,other
subject4_file_327; fruitsalad; Cut,Peel,Put,other
subject4_file_993; fruitsalad; Cut,Peel,Open,Put,other
subject4_file_634; sandwich; Cut,Peel,Take,Put
subject4_file_984; sandwich; Peel,Take
subject4_file_860; fruitsalad; Cut,Peel,Take,Put
subject4_file_947; fruitsalad; Take
subject4_file_852; sandwich; Cut,Peel,Put
subject4_file_821; sandwich; Cut,Peel,Put,other
subject4_file_267; cereal; Take
subject4_file_936; sandwich; Take,Put,other
subject4_file_961; sandwich; Take
subject4_file_97; cereal; Take
subject4_file_313; sandwich; Cut,Peel,Put,other
subject4_file_774; cereal; Take
subject4_file_624; fruitsalad; Cut,Peel,Put
subject4_file_978; fruitsalad; Take,Put
subject4_file_256; sandwich; Take,Put,other
subject4_file_3; fruitsalad; Cut,Peel,Put
subject4_file_777; fruitsalad; Cut,Peel,Take
subject4_file_235; cereal; Cut,Peel,Put,other
subject4_file_282; fruitsalad; Cut,Peel,Put,other
subject4_file_630; sandwich; Cut,Peel,Put,other
subject4_file_632; fruitsalad; Cut,Peel,Put
subject4_file_505; cereal; Take
subject4_file_286; cereal; Take,Put
subject4_file_237; cereal; Cut,Peel,Take,Put,other
subject4_file_711; cereal; Take
subject4_file_495; sandwich; Cut,Put
subject4_file_739; cereal; Cut,Take,other
subject4_file_284; sandwich; Cut,Peel,Put
subject4_file_718; sandwich; Cut,Peel,Take,Wash
subject4_file_317; fruitsalad; Cut,Peel,Put
subject4_file_302; cereal; Take
subject4_file_783; cereal; Take
subject4_file_537; cereal; Take
subject4_file_22; sandwich; Cut,Peel,Take,Put,other
subject4_file_223; sandwich; Mix,other
subject4_file_274; cereal; Cut,Peel,Put,other
subject4_file_529; sandwich; Take
subject4_file_578; fruitsalad; Cut,Peel,Put
subject4_file_18; sandwich; Cut,Peel,Take
subject4_file_231; sandwich; Take
subject4_file_183; sandwich; Take
subject4_file_986; fruitsalad; Take,other
subject4_file_324; fruitsalad; Take
