Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject1_file_424	[4, 9]	[0.3995261788368225, 0.25687241554260254, 0.09405919164419174, 0.3470733165740967, 0.5597492456436157, 0.06958521902561188, 0.03238016739487648, 0.0912441611289978, 0.09282278269529343, 0.41970378160476685]	[0.34700992703437805, 0.2293308973312378, 0.09655104577541351, 0.3663107752799988, 0.5166140794754028, 0.07273503392934799, 0.02987397089600563, 0.08319708704948425, 0.08124475181102753, 0.3712482452392578]	[0.433479905128479, 0.2972111105918884, 0.08542836457490921, 0.3960719108581543, 0.49834853410720825, 0.05555389076471329, 0.047622017562389374, 0.09550212323665619, 0.080986388027668, 0.35084670782089233]	[0.4952588379383087, 0.3169650733470917, 0.1075270026922226, 0.2888186275959015, 0.6483665704727173, 0.04060441628098488, 0.03897806257009506, 0.07611784338951111, 0.051643919199705124, 0.3967699110507965]	[0.3695840835571289, 0.1639985889196396, 0.07140732556581497, 0.2676565945148468, 0.5619736313819885, 0.03649643808603287, 0.04016420990228653, 0.04866887629032135, 0.05422164872288704, 0.5878880023956299]	[0.215833380818367, 0.05033991113305092, 0.02888300083577633, 0.18004325032234192, 0.5511979460716248, 0.010039612650871277, 0.033759333193302155, 0.011843769811093807, 0.013043133541941643, 0.6761071681976318]	[0.20026497542858124, 0.02632685750722885, 0.03830406069755554, 0.08516258746385574, 0.7062209248542786, 0.023885201662778854, 0.054054562002420425, 0.010740156285464764, 0.008891843259334564, 0.8066995739936829]	[0.1028599664568901, 0.004355455748736858, 0.010751890949904919, 0.04867875948548317, 0.7039501070976257, 0.01049441285431385, 0.030809225514531136, 0.0016417877050116658, 0.0018559739692136645, 0.8396802544593811]	[0.2034587264060974, 0.007382390554994345, 0.02097328007221222, 0.03794754669070244, 0.7499818205833435, 0.019053304567933083, 0.06711768358945847, 0.0023380795028060675, 0.002840464236214757, 0.8937978148460388]	[0.28645777702331543, 0.01750858873128891, 0.04529568552970886, 0.025662414729595184, 0.8334846496582031, 0.03790583088994026, 0.057793550193309784, 0.0007940941723063588, 0.0017263537738472223, 0.8847509622573853]	
subject1_file_463	[0, 9]	[0.409302681684494, 0.2643631398677826, 0.08503144979476929, 0.252087265253067, 0.5743359327316284, 0.05872136354446411, 0.03107578307390213, 0.095938540995121, 0.11711703985929489, 0.5112012028694153]	[0.3436092436313629, 0.20145362615585327, 0.07053661346435547, 0.22447919845581055, 0.46275052428245544, 0.050876498222351074, 0.03007591888308525, 0.10719045996665955, 0.14031028747558594, 0.58013516664505]	[0.374439001083374, 0.1742698699235916, 0.07523304224014282, 0.27094852924346924, 0.34796592593193054, 0.03891469165682793, 0.04413938522338867, 0.107115238904953, 0.1904708296060562, 0.672650158405304]	[0.2565566599369049, 0.07224205881357193, 0.05408988893032074, 0.22751803696155548, 0.4056701362133026, 0.02074752189218998, 0.03122956119477749, 0.05368723347783089, 0.08634243160486221, 0.7299503684043884]	[0.1323583722114563, 0.03449774533510208, 0.030019769445061684, 0.19144299626350403, 0.3686046302318573, 0.01980305276811123, 0.03178232163190842, 0.03985370695590973, 0.0814463421702385, 0.8091874718666077]	[0.21311619877815247, 0.03721193969249725, 0.0361565425992012, 0.3960600793361664, 0.22534067928791046, 0.016353391110897064, 0.07169140875339508, 0.12618973851203918, 0.08823119103908539, 0.5944793820381165]	[0.19988973438739777, 0.007968155667185783, 0.06658148020505905, 0.05055093765258789, 0.5304058790206909, 0.06211124733090401, 0.04841664806008339, 0.05018924921751022, 0.048395127058029175, 0.9485278725624084]	[0.17980587482452393, 0.002564291935414076, 0.0502401664853096, 0.030891889706254005, 0.5634323954582214, 0.05934455990791321, 0.042087871581315994, 0.006768205668777227, 0.009898371994495392, 0.9715650081634521]	[0.2708888649940491, 0.002600743668153882, 0.03282551467418671, 0.01245869044214487, 0.6803058385848999, 0.05078011751174927, 0.08275057375431061, 0.010552220977842808, 0.01442264299839735, 0.9816622138023376]	[0.2167455106973648, 0.007011738605797291, 0.025482177734375, 0.11200451850891113, 0.3180297315120697, 0.02012639306485653, 0.022306103259325027, 0.015454089269042015, 0.015926361083984375, 0.8377114534378052]	
subject1_file_247	[4, 9]	[0.4091809093952179, 0.2649271488189697, 0.09837812185287476, 0.3464978039264679, 0.5689291954040527, 0.07485174387693405, 0.03318985924124718, 0.09697406738996506, 0.09765930473804474, 0.42533963918685913]	[0.359884113073349, 0.24260243773460388, 0.10808026045560837, 0.3875258266925812, 0.5282958149909973, 0.08374415338039398, 0.03289887681603432, 0.090690016746521, 0.08623217791318893, 0.3575786352157593]	[0.45476698875427246, 0.31687480211257935, 0.09005797654390335, 0.39595523476600647, 0.5234612822532654, 0.06127210333943367, 0.05035145580768585, 0.10517213493585587, 0.08780187368392944, 0.34338605403900146]	[0.5944173336029053, 0.4510260224342346, 0.12885335087776184, 0.27350643277168274, 0.7151732444763184, 0.06000781059265137, 0.046699002385139465, 0.11664411425590515, 0.07442687451839447, 0.3616395890712738]	[0.6094563007354736, 0.4764004647731781, 0.0935489758849144, 0.3300148546695709, 0.6588035821914673, 0.051105841994285583, 0.043137528002262115, 0.10140378773212433, 0.08871445804834366, 0.3735796809196472]	[0.7115520238876343, 0.5237258672714233, 0.09421095997095108, 0.24640411138534546, 0.7504571080207825, 0.03255878761410713, 0.03666401654481888, 0.06763797998428345, 0.04783357307314873, 0.37198111414909363]	[0.47822305560112, 0.26841896772384644, 0.04359597712755203, 0.17914383113384247, 0.6967864632606506, 0.01654464192688465, 0.03306184709072113, 0.0607580691576004, 0.054645877331495285, 0.5079213976860046]	[0.3819003403186798, 0.13292673230171204, 0.027487650513648987, 0.11712624877691269, 0.7668768763542175, 0.013590936549007893, 0.029357124119997025, 0.03482593968510628, 0.03278679773211479, 0.5359674096107483]	[0.6209231019020081, 0.5351580381393433, 0.03447834029793739, 0.42861029505729675, 0.6805571913719177, 0.011658317409455776, 0.0505712628364563, 0.10442111641168594, 0.05365850776433945, 0.1840430200099945]	[0.4393105208873749, 0.2059696465730667, 0.015160851180553436, 0.1455356776714325, 0.8082455992698669, 0.00953174103051424, 0.04620622098445892, 0.026045257225632668, 0.026137271896004677, 0.48309236764907837]	
subject1_file_11	[4, 9]	[0.314560204744339, 0.18625859916210175, 0.09040931612253189, 0.5881998538970947, 0.36326050758361816, 0.06584326922893524, 0.0339595191180706, 0.06964436173439026, 0.05504844710230827, 0.2948906719684601]	[0.36389273405075073, 0.20224866271018982, 0.0916450172662735, 0.4261363446712494, 0.4493890702724457, 0.06701724976301193, 0.02992747165262699, 0.06682807207107544, 0.07998485118150711, 0.31867560744285583]	[0.44522589445114136, 0.3074401319026947, 0.08923304080963135, 0.4196721613407135, 0.49744701385498047, 0.059823211282491684, 0.050667427480220795, 0.0946911945939064, 0.08049418777227402, 0.3376150131225586]	[0.5013360977172852, 0.30928537249565125, 0.10346005856990814, 0.3534364104270935, 0.6277197599411011, 0.043772920966148376, 0.052618395537137985, 0.07120450586080551, 0.050456661731004715, 0.3938378095626831]	[0.40151727199554443, 0.1827186942100525, 0.08241598308086395, 0.285549134016037, 0.5685192942619324, 0.04332071915268898, 0.046257492154836655, 0.047795962542295456, 0.05368385463953018, 0.5852814316749573]	[0.2927124798297882, 0.061124373227357864, 0.04918987676501274, 0.14158090949058533, 0.65208500623703, 0.02041504718363285, 0.06338144838809967, 0.02254854142665863, 0.029408521950244904, 0.7991165518760681]	[0.24978311359882355, 0.03328664228320122, 0.03624865785241127, 0.1113746389746666, 0.6191853284835815, 0.0247181486338377, 0.10565005987882614, 0.015036710537970066, 0.014219182543456554, 0.8252131938934326]	[0.1854555904865265, 0.0036650628317147493, 0.028010712936520576, 0.017227116972208023, 0.8066631555557251, 0.0363963283598423, 0.05064130946993828, 0.0092756487429142, 0.011395534500479698, 0.9641388654708862]	[0.16970105469226837, 0.008231663145124912, 0.014968296512961388, 0.0626574456691742, 0.7081429362297058, 0.011053510010242462, 0.05550463870167732, 0.0016802496975287795, 0.002024588407948613, 0.8405810594558716]	[0.3124440014362335, 0.025959718972444534, 0.033609695732593536, 0.047437384724617004, 0.8264074325561523, 0.025786152109503746, 0.07784835249185562, 0.000800484383944422, 0.0017039621016010642, 0.8008066415786743]	
subject2_file_248	[0, 1, 3, 4, 7]	[0.4207140803337097, 0.27464011311531067, 0.09578690677881241, 0.27991992235183716, 0.6066356301307678, 0.06803581118583679, 0.03196397051215172, 0.10436844825744629, 0.11370602250099182, 0.4703351557254791]	[0.36278650164604187, 0.24365203082561493, 0.10057125240564346, 0.32233935594558716, 0.5527689456939697, 0.07401899993419647, 0.03241840749979019, 0.10124983638525009, 0.10156666487455368, 0.40257397294044495]	[0.4508523643016815, 0.3021512031555176, 0.08636568486690521, 0.3308617174625397, 0.5135624408721924, 0.05858687311410904, 0.05486281216144562, 0.1524612009525299, 0.13869698345661163, 0.4436393678188324]	[0.5932015776634216, 0.46286603808403015, 0.1270337700843811, 0.21842966973781586, 0.7520103454589844, 0.06292449682950974, 0.03848874196410179, 0.1516358107328415, 0.10096576064825058, 0.3883441984653473]	[0.7363772988319397, 0.4718480408191681, 0.4379354417324066, 0.2663557529449463, 0.7790261507034302, 0.2837570905685425, 0.07139052450656891, 0.17462271451950073, 0.0911366194486618, 0.4405176341533661]	[0.7498607039451599, 0.6038084626197815, 0.31415942311286926, 0.42532745003700256, 0.6568924188613892, 0.10652700811624527, 0.06598488986492157, 0.48807376623153687, 0.147068589925766, 0.24525128304958344]	[0.8561253547668457, 0.7344764471054077, 0.5398375391960144, 0.4846014380455017, 0.6916468143463135, 0.14628830552101135, 0.027409672737121582, 0.25639572739601135, 0.0544140487909317, 0.1427789330482483]	[0.8462103009223938, 0.810651421546936, 0.2779071629047394, 0.8190022706985474, 0.4565359055995941, 0.06175797060132027, 0.03938252478837967, 0.6225852370262146, 0.18872679769992828, 0.04984210804104805]	[0.8803635239601135, 0.8546769618988037, 0.16976575553417206, 0.5372372269630432, 0.7556928992271423, 0.08357998728752136, 0.03413456305861473, 0.44308334589004517, 0.09770917892456055, 0.10695114731788635]	[0.8075178265571594, 0.7488929629325867, 0.11117380857467651, 0.5365709662437439, 0.6518028974533081, 0.035611364990472794, 0.013548212125897408, 0.46048372983932495, 0.07814411073923111, 0.08035101741552353]	
subject2_file_202	[8, 9]	[0.41145798563957214, 0.26715990900993347, 0.09668903052806854, 0.31919795274734497, 0.585622251033783, 0.07124346494674683, 0.032579485327005386, 0.098720982670784, 0.10262902826070786, 0.43973663449287415]	[0.35789018869400024, 0.24229972064495087, 0.10634596645832062, 0.3690797984600067, 0.5377209782600403, 0.08062945306301117, 0.03216831386089325, 0.09220203012228012, 0.08828295022249222, 0.36639833450317383]	[0.4547891616821289, 0.3167319893836975, 0.08744965493679047, 0.37444818019866943, 0.5285056233406067, 0.05870538577437401, 0.04937177523970604, 0.11269654333591461, 0.09414642304182053, 0.3593766391277313]	[0.5681875348091125, 0.43463605642318726, 0.11614922434091568, 0.2559000253677368, 0.7078276872634888, 0.051318105310201645, 0.041264377534389496, 0.12105847895145416, 0.07868506759405136, 0.3683270812034607]	[0.5722461342811584, 0.4342707693576813, 0.08609522134065628, 0.2993944585323334, 0.6578596830368042, 0.04592486470937729, 0.038129713386297226, 0.09282523393630981, 0.0892040953040123, 0.4071359932422638]	[0.359830766916275, 0.20241229236125946, 0.04285265505313873, 0.14071126282215118, 0.6824182271957397, 0.014321655035018921, 0.023658424615859985, 0.07868459075689316, 0.09138598293066025, 0.6309745907783508]	[0.3844592869281769, 0.19715715944766998, 0.04889634996652603, 0.1477571725845337, 0.6820753812789917, 0.01790405996143818, 0.03479209169745445, 0.06318773329257965, 0.047987524420022964, 0.584757387638092]	[0.34906497597694397, 0.10972925275564194, 0.05367052182555199, 0.06865975260734558, 0.7903621196746826, 0.026621844619512558, 0.025227533653378487, 0.0329195074737072, 0.030129114165902138, 0.7174288034439087]	[0.815459132194519, 0.8012957572937012, 0.16340352594852448, 0.41314560174942017, 0.7074629068374634, 0.049745503813028336, 0.03863357752561569, 0.1068931519985199, 0.050326745957136154, 0.1658986657857895]	[0.1362961083650589, 0.03821469470858574, 0.0025779646821320057, 0.07855772227048874, 0.7856061458587646, 0.002595598343759775, 0.03868630528450012, 0.1459885835647583, 0.121242955327034, 0.729878842830658]	
subject1_file_786	[9]	[0.38346347212791443, 0.24158503115177155, 0.08457622677087784, 0.352653831243515, 0.5263665318489075, 0.06041665002703667, 0.03144439682364464, 0.09239144623279572, 0.09250514209270477, 0.41145604848861694]	[0.3502231538295746, 0.21225057542324066, 0.08503635972738266, 0.3118744194507599, 0.4874110817909241, 0.0642307922244072, 0.030380336567759514, 0.093988336622715, 0.10272413492202759, 0.4404665529727936]	[0.4438178241252899, 0.2951834499835968, 0.08725137263536453, 0.33589208126068115, 0.46257147192955017, 0.05433858931064606, 0.05322243645787239, 0.1280684918165207, 0.13721825182437897, 0.4670107662677765]	[0.2778884172439575, 0.10927019268274307, 0.0638127475976944, 0.2678925096988678, 0.4908613860607147, 0.02237316593527794, 0.030619194731116295, 0.045085083693265915, 0.052088867872953415, 0.612683892250061]	[0.2915937006473541, 0.11140662431716919, 0.0606895312666893, 0.2288915514945984, 0.5453159213066101, 0.03036430850625038, 0.035316143184900284, 0.04602249339222908, 0.05847347155213356, 0.6674365997314453]	[0.20423798263072968, 0.04462016373872757, 0.02550857700407505, 0.21392537653446198, 0.5145246982574463, 0.007706694770604372, 0.04307720437645912, 0.010955700650811195, 0.013914130628108978, 0.680371880531311]	[0.21312357485294342, 0.016032930463552475, 0.04131763428449631, 0.06461773812770844, 0.6092997789382935, 0.032216593623161316, 0.06541566550731659, 0.01822870597243309, 0.018024854362010956, 0.9075459837913513]	[0.0928809642791748, 0.0020266869105398655, 0.011448363773524761, 0.033175356686115265, 0.6561689376831055, 0.014672557823359966, 0.03192375972867012, 0.00298703508451581, 0.00401912909001112, 0.933782696723938]	[0.061618685722351074, 0.0019915152806788683, 0.003511739894747734, 0.08821173012256622, 0.36852598190307617, 0.0037239668890833855, 0.06151936203241348, 0.000915377342607826, 0.001359031186439097, 0.8592222929000854]	[0.09150370210409164, 0.0031061957124620676, 0.01099268440157175, 0.024101154878735542, 0.7543864250183105, 0.015978243201971054, 0.04707232117652893, 0.001236345968209207, 0.0029638614505529404, 0.9481722712516785]	
subject1_file_853	[0, 6, 9]	[0.32511794567108154, 0.1927850991487503, 0.08214648813009262, 0.5405749082565308, 0.36983799934387207, 0.0596824511885643, 0.033664219081401825, 0.0711050033569336, 0.059733517467975616, 0.31239309906959534]	[0.3443309962749481, 0.17113320529460907, 0.07569366693496704, 0.34114065766334534, 0.37232455611228943, 0.0543605238199234, 0.029395390301942825, 0.07672435790300369, 0.11768606305122375, 0.4577537775039673]	[0.42306503653526306, 0.2569690942764282, 0.08784850686788559, 0.3841922879219055, 0.3924520015716553, 0.055222854018211365, 0.05383718013763428, 0.10457117855548859, 0.13903819024562836, 0.49225857853889465]	[0.36551713943481445, 0.10154828429222107, 0.08334145694971085, 0.29459908604621887, 0.3730810880661011, 0.036803994327783585, 0.070184126496315, 0.0576510950922966, 0.10725939273834229, 0.6827024221420288]	[0.2616238296031952, 0.08464997261762619, 0.0580589696764946, 0.26121386885643005, 0.4762498736381531, 0.029425719752907753, 0.049886882305145264, 0.040878936648368835, 0.05367859825491905, 0.7274422645568848]	[0.26563015580177307, 0.04342064633965492, 0.03231740742921829, 0.28565743565559387, 0.29919347167015076, 0.012323012575507164, 0.10592631250619888, 0.023915400728583336, 0.04587752744555473, 0.7157989144325256]	[0.40407800674438477, 0.025462765246629715, 0.05051495134830475, 0.12092695385217667, 0.3218766748905182, 0.0423424169421196, 0.17260822653770447, 0.04160900413990021, 0.0686362013220787, 0.9008048176765442]	[0.35455605387687683, 0.006568075157701969, 0.020258991047739983, 0.09939258545637131, 0.24203157424926758, 0.018863260746002197, 0.2148144245147705, 0.010478639043867588, 0.025336505845189095, 0.9019448757171631]	[0.2304089218378067, 0.003243065904825926, 0.031579937785863876, 0.03160909563302994, 0.5729932188987732, 0.0314704068005085, 0.09130152314901352, 0.0053632124327123165, 0.008668581955134869, 0.9684163928031921]	[0.20622600615024567, 0.0036758151836693287, 0.022782323881983757, 0.025260986760258675, 0.51463383436203, 0.026653464883565903, 0.10964280366897583, 0.0017472568433731794, 0.0060582831501960754, 0.9671794176101685]	
subject1_file_780	[3, 6]	[0.3369672894477844, 0.2012602984905243, 0.0923251286149025, 0.5363795161247253, 0.39993932843208313, 0.06740450114011765, 0.03400089591741562, 0.07681051641702652, 0.0630934089422226, 0.32483574748039246]	[0.38214364647865295, 0.2515888810157776, 0.10710478574037552, 0.3766948878765106, 0.5215125679969788, 0.08325345069169998, 0.03529937565326691, 0.10048165172338486, 0.09832799434661865, 0.3721352219581604]	[0.48092204332351685, 0.33428338170051575, 0.09291495382785797, 0.3792862296104431, 0.5185883641242981, 0.06376004964113235, 0.05649993196129799, 0.1236807331442833, 0.11089938879013062, 0.378939151763916]	[0.6149142384529114, 0.4494633078575134, 0.11424589157104492, 0.3330783545970917, 0.6956065893173218, 0.05754457786679268, 0.06815578788518906, 0.12085960805416107, 0.07826970517635345, 0.3586663007736206]	[0.5394505262374878, 0.3714105188846588, 0.06528203934431076, 0.3664596676826477, 0.6231583952903748, 0.038396358489990234, 0.048734355717897415, 0.07906290143728256, 0.0740451067686081, 0.4122021496295929]	[0.4062395691871643, 0.2048109769821167, 0.022585872560739517, 0.45402777194976807, 0.4402056336402893, 0.00928454753011465, 0.08799244463443756, 0.027335913851857185, 0.025517387315630913, 0.29883962869644165]	[0.5008615851402283, 0.1507871299982071, 0.041509535163640976, 0.2767130136489868, 0.5666213035583496, 0.021314285695552826, 0.1508476734161377, 0.024832529947161674, 0.02212771773338318, 0.4673992097377777]	[0.5886878967285156, 0.3806510865688324, 0.0132040586322546, 0.9103528261184692, 0.14745697379112244, 0.0033181372564285994, 0.25244849920272827, 0.06140910089015961, 0.025816330686211586, 0.02310684509575367]	[0.19487158954143524, 0.01878419704735279, 0.007050927262753248, 0.18554042279720306, 0.5063009262084961, 0.004951626528054476, 0.09324724227190018, 0.0010088797425851226, 0.0011529444018378854, 0.5251121520996094]	[0.4288424551486969, 0.08003050088882446, 0.021503379568457603, 0.10884294658899307, 0.7623242735862732, 0.015385221689939499, 0.12051089107990265, 0.0033475046511739492, 0.0049162013456225395, 0.5378516912460327]	
subject1_file_784	[0, 9]	[0.3455623388290405, 0.21609501540660858, 0.07508427649736404, 0.3481231927871704, 0.46349766850471497, 0.050109948962926865, 0.03162121772766113, 0.08438513427972794, 0.09147994220256805, 0.43083295226097107]	[0.34502068161964417, 0.17075657844543457, 0.06916752457618713, 0.2837040424346924, 0.3753603994846344, 0.04960920661687851, 0.030015280470252037, 0.08373502641916275, 0.13838505744934082, 0.5367980003356934]	[0.4088827669620514, 0.21531882882118225, 0.08400384336709976, 0.3305646777153015, 0.3533298969268799, 0.05182647332549095, 0.0551571361720562, 0.10548503696918488, 0.1862558126449585, 0.6105207800865173]	[0.3444901406764984, 0.08319434523582458, 0.07573218643665314, 0.26999834179878235, 0.3308711051940918, 0.036321189254522324, 0.06986665725708008, 0.0661623552441597, 0.1488574743270874, 0.744667112827301]	[0.23526790738105774, 0.0734543725848198, 0.05172346904873848, 0.24229557812213898, 0.4560782015323639, 0.026248633861541748, 0.045088786631822586, 0.04027608782052994, 0.05479243025183678, 0.7549582123756409]	[0.25787094235420227, 0.049135610461235046, 0.025109099224209785, 0.3019043803215027, 0.21955963969230652, 0.013375494629144669, 0.09164553135633469, 0.05428166687488556, 0.09840476512908936, 0.6964476704597473]	[0.39132919907569885, 0.016456201672554016, 0.047898221760988235, 0.11672121286392212, 0.22271911799907684, 0.052304789423942566, 0.13392506539821625, 0.0527409203350544, 0.13318553566932678, 0.9360334277153015]	[0.3917138874530792, 0.009005543775856495, 0.008879727683961391, 0.40244853496551514, 0.05989772081375122, 0.008708728477358818, 0.10176533460617065, 0.04506200551986694, 0.08850856125354767, 0.7132596373558044]	[0.5064148306846619, 0.0057410611771047115, 0.05774223431944847, 0.07239115983247757, 0.16105668246746063, 0.047099560499191284, 0.1390599012374878, 0.020760685205459595, 0.08432929217815399, 0.9656996726989746]	[0.43419522047042847, 0.00402093306183815, 0.02697790414094925, 0.11734277755022049, 0.08125709742307663, 0.02447318658232689, 0.08812443912029266, 0.007607842329889536, 0.03959893435239792, 0.9327179789543152]	
