Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject1_file_622	0	1	1	2	0	2	2	2	2	2	0	
subject1_file_869	0	1	1	1	1	2	2	1	1	1	1	
subject1_file_807	0	1	1	1	1	1	2	1	1	1	1	
subject1_file_463	0	0	0	0	0	0	0	0	0	0	1	
subject1_file_830	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_272	0	0	2	0	0	0	0	2	2	2	0	
subject1_file_588	0	0	0	0	0	0	0	0	0	2	1	
subject1_file_140	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_213	0	0	1	2	0	0	0	0	0	0	0	
subject1_file_685	0	1	1	0	1	0	0	0	0	0	1	
subject1_file_389	0	1	1	1	1	1	1	0	1	1	1	
subject1_file_247	0	1	0	0	1	0	0	0	0	1	1	
subject1_file_808	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_238	0	1	1	1	1	1	1	2	1	2	1	
subject1_file_985	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_499	0	1	1	1	0	1	0	0	1	1	1	
subject1_file_980	0	0	0	0	0	0	0	0	1	1	0	
subject1_file_310	0	0	1	1	0	0	1	1	1	1	0	
subject1_file_618	0	1	1	0	1	0	2	2	0	1	1	
subject1_file_780	0	0	1	1	1	1	1	1	1	1	0	
subject1_file_313	0	1	1	0	0	2	0	0	1	1	1	
subject1_file_958	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_98	0	0	0	0	0	0	0	0	0	0	0	
subject1_file_424	0	0	0	0	0	0	0	0	0	0	0	
subject1_file_964	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_884	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_263	0	1	1	1	1	1	1	1	2	1	1	
subject1_file_784	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_684	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_968	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_786	0	1	1	0	0	0	0	0	2	1	1	
subject1_file_243	0	1	1	2	1	1	2	0	1	2	0	
subject1_file_957	0	0	0	0	1	1	1	1	1	1	1	
subject1_file_319	0	1	1	1	1	2	0	0	1	1	1	
subject1_file_853	0	2	1	2	2	1	2	1	1	1	1	
subject1_file_11	0	0	0	0	0	0	1	1	0	1	0	
subject1_file_814	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_873	1	1	0	0	2	1	0	0	0	0	0	
subject1_file_513	1	1	1	1	1	1	1	1	1	1	1	
subject1_file_721	1	1	1	1	1	1	1	1	1	1	1	
subject1_file_204	1	1	1	1	1	1	1	1	1	1	1	
subject1_file_768	1	0	1	0	2	1	1	1	1	1	1	
subject1_file_254	1	1	1	1	1	1	1	1	1	0	0	
subject1_file_536	1	0	2	0	0	0	2	2	2	0	0	
subject1_file_96	1	2	1	2	1	2	2	2	2	2	1	
subject1_file_37	1	1	1	2	1	2	2	2	2	1	2	
subject1_file_281	1	2	1	2	1	1	2	2	1	0	1	
subject1_file_849	1	1	1	1	1	1	1	1	1	1	1	
subject1_file_485	1	0	0	2	1	2	2	2	2	1	1	
subject1_file_496	1	0	0	0	2	2	0	0	0	1	0	
subject1_file_564	1	1	1	2	2	2	2	2	2	1	0	
subject1_file_871	1	0	1	0	0	0	0	0	0	0	0	
subject1_file_743	1	2	2	2	2	2	2	2	2	2	2	
subject1_file_417	2	1	1	1	1	1	1	1	1	1	2	
subject1_file_39	2	0	0	0	0	0	0	0	0	0	0	
subject1_file_858	2	0	0	0	0	0	0	0	0	0	0	
subject1_file_353	2	1	1	1	1	1	1	1	1	1	1	
subject1_file_979	2	1	0	0	1	0	0	0	0	1	1	
subject1_file_348	2	1	1	1	1	1	1	1	1	1	1	
subject1_file_302	2	0	0	0	0	0	0	0	0	0	0	
subject1_file_570	2	1	1	1	1	1	1	1	1	1	1	
subject1_file_162	2	1	1	1	1	1	1	1	1	1	2	
subject1_file_969	2	1	1	1	1	1	1	1	1	1	1	
subject1_file_72	2	1	1	1	1	1	1	1	1	1	1	
subject1_file_734	2	1	1	1	1	1	1	1	1	1	1	
subject1_file_320	2	0	0	0	0	0	2	1	0	1	1	
subject1_file_385	2	0	0	1	1	0	0	0	0	2	0	
subject1_file_430	2	0	0	0	0	0	0	0	0	0	0	
subject1_file_526	2	1	1	1	1	1	1	1	1	1	1	
subject1_file_976	2	1	1	1	1	1	1	1	1	1	1	
subject1_file_309	2	1	1	0	1	0	0	0	0	0	2	
subject1_file_45	2	1	1	1	0	0	0	0	0	1	0	
subject1_file_770	2	1	1	2	1	1	2	2	1	2	0	
subject1_file_211	2	1	1	1	1	1	1	1	1	1	1	
subject1_file_713	2	2	0	2	2	2	1	1	1	0	1	
subject1_file_462	2	0	0	0	0	0	0	0	0	0	0	
subject1_file_287	2	1	1	1	1	1	1	1	1	1	1	
Total Train loss	-----	0.7641839385032654	0.6333483457565308	0.7308080792427063	0.46049821376800537	0.33458438515663147	0.3388255536556244	0.20441003143787384	0.2350178360939026	1.042698860168457	0.7744682431221008	
Train Accuracy	-----	0.6995073891625616	0.7832512315270936	0.7192118226600985	0.8374384236453202	0.8866995073891626	0.8916256157635468	0.9359605911330049	0.9261083743842364	0.6650246305418719	0.6748768472906403	
Training time	-----	0:00:04.639469	0:00:04.124739	0:00:04.161630	0:00:04.161657	0:00:04.187389	0:00:04.147594	0:00:04.158487	0:00:04.220374	0:00:04.252229	0:00:04.124622	
Total Test loss	-----	1.3196266889572144	1.582099199295044	1.624102234840393	1.9086079597473145	2.1554183959960938	2.3637852668762207	2.9614317417144775	2.870021343231201	3.433100700378418	1.4571770429611206	
Test Accuracy	-----	0.2597402597402597	0.24675324675324675	0.2597402597402597	0.2987012987012987	0.2857142857142857	0.2727272727272727	0.2727272727272727	0.2077922077922078	0.2077922077922078	0.2727272727272727	
Testing time	-----	0:00:10.477106	0:00:10.463267	0:00:10.486764	0:00:10.412441	0:00:10.477417	0:00:10.425459	0:00:10.310363	0:00:10.422546	0:00:10.637956	0:00:10.509300	
