Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject3_file_867	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_537	0	0	1	0	0	2	2	0	0	0	0	
subject3_file_753	0	1	2	0	0	2	0	2	0	0	0	
subject3_file_335	0	1	0	1	0	0	1	0	1	2	1	
subject3_file_718	0	0	2	2	2	2	0	2	0	0	2	
subject3_file_855	0	2	2	2	2	2	2	2	2	2	2	
subject3_file_850	0	0	1	0	0	0	0	0	0	0	0	
subject3_file_901	0	0	1	0	0	0	0	0	0	0	0	
subject3_file_14	0	0	1	0	0	2	2	2	2	0	2	
subject3_file_85	0	0	2	2	2	1	1	1	2	1	1	
subject3_file_36	0	0	2	0	2	2	2	2	2	2	2	
subject3_file_415	0	0	1	2	2	2	2	1	1	1	2	
subject3_file_97	0	0	0	0	0	0	2	2	0	2	0	
subject3_file_554	0	0	1	1	2	2	2	2	2	2	2	
subject3_file_389	0	0	0	0	0	0	2	0	0	0	0	
subject3_file_931	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_893	0	0	0	0	0	2	2	2	1	2	2	
subject3_file_61	0	0	2	2	2	2	2	2	2	2	2	
subject3_file_315	0	1	1	0	0	0	2	2	0	2	0	
subject3_file_34	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_991	0	0	1	0	0	0	0	0	0	0	0	
subject3_file_246	0	0	2	0	0	0	0	0	0	0	0	
subject3_file_146	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_104	0	2	2	2	2	2	2	2	2	2	2	
subject3_file_264	0	0	1	0	0	0	0	0	0	0	0	
subject3_file_808	0	0	1	0	0	0	0	0	0	0	0	
subject3_file_827	0	0	0	0	2	0	0	2	0	0	0	
subject3_file_973	0	0	2	0	2	0	0	2	2	2	2	
subject3_file_935	0	2	2	2	1	2	1	1	1	1	1	
subject3_file_609	0	0	2	2	2	2	1	1	1	1	1	
subject3_file_216	0	0	1	1	0	0	0	0	0	0	0	
subject3_file_829	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_352	0	0	0	0	2	2	2	2	2	2	2	
subject3_file_562	0	0	0	1	0	2	2	2	0	0	0	
subject3_file_231	0	0	0	0	2	2	2	2	0	0	2	
subject3_file_382	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_526	1	1	0	0	1	1	1	0	0	0	0	
subject3_file_949	1	0	0	1	0	1	1	1	1	0	1	
subject3_file_580	1	1	0	1	2	2	2	2	1	2	2	
subject3_file_99	1	0	0	0	2	0	1	0	0	0	0	
subject3_file_610	1	0	1	0	0	0	0	0	0	0	0	
subject3_file_547	1	0	2	2	2	2	2	2	2	2	2	
subject3_file_362	1	0	2	2	2	2	1	1	2	2	2	
subject3_file_56	1	0	0	1	1	1	1	1	0	1	1	
subject3_file_111	1	0	0	0	0	0	1	0	0	0	0	
subject3_file_345	1	0	2	2	2	0	0	0	0	0	2	
subject3_file_74	1	0	0	0	0	2	2	0	2	2	2	
subject3_file_507	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_775	1	0	2	2	2	2	2	1	1	1	1	
subject3_file_817	1	0	1	0	0	0	0	0	0	0	0	
subject3_file_462	1	0	0	1	1	0	1	1	1	0	1	
subject3_file_684	1	0	0	2	2	2	2	2	0	2	2	
subject3_file_807	1	1	0	0	2	2	2	2	1	2	2	
subject3_file_540	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_823	1	0	2	1	2	0	2	0	0	2	2	
subject3_file_435	1	0	1	0	0	1	0	0	0	0	0	
subject3_file_5	1	0	1	0	0	0	0	0	0	0	0	
subject3_file_418	1	1	0	1	1	0	1	0	0	0	0	
subject3_file_439	1	0	0	0	2	0	1	0	0	0	1	
subject3_file_261	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_727	1	0	2	0	0	2	2	0	0	0	2	
subject3_file_559	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_411	1	0	1	2	1	1	1	0	0	0	1	
subject3_file_9	1	0	1	0	0	0	0	0	0	0	0	
subject3_file_640	1	1	1	0	1	1	1	1	0	1	1	
subject3_file_43	1	1	0	0	1	0	1	0	0	0	0	
subject3_file_491	1	0	2	0	0	0	0	0	0	0	2	
subject3_file_818	1	1	2	1	1	2	1	2	1	1	1	
subject3_file_328	1	1	2	1	1	2	2	2	1	2	1	
subject3_file_251	1	0	1	2	2	2	2	2	2	2	2	
subject3_file_531	1	0	0	0	2	2	2	2	2	2	2	
subject3_file_607	1	0	0	1	1	1	1	1	0	0	1	
subject3_file_67	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_197	1	0	0	0	2	2	2	2	2	2	2	
subject3_file_11	1	0	0	0	0	0	1	0	0	0	0	
subject3_file_88	1	0	1	0	0	0	0	0	0	0	0	
subject3_file_260	1	0	2	2	1	1	1	1	1	1	1	
subject3_file_318	2	0	0	0	0	0	0	0	0	0	0	
subject3_file_388	2	0	0	0	0	0	2	2	0	0	0	
subject3_file_355	2	0	0	0	2	0	1	0	0	0	0	
subject3_file_391	2	0	2	2	2	2	2	2	2	2	2	
subject3_file_849	2	0	1	0	0	0	0	0	0	0	0	
subject3_file_884	2	0	0	0	0	0	0	0	0	0	0	
subject3_file_364	2	1	1	2	2	2	2	2	2	2	2	
subject3_file_62	2	2	2	2	1	2	2	2	2	2	2	
subject3_file_749	2	0	1	0	0	0	0	0	0	0	0	
subject3_file_695	2	0	0	0	0	0	0	0	1	0	0	
subject3_file_10	2	0	2	2	2	0	2	2	2	2	2	
subject3_file_999	2	0	2	2	2	2	2	2	2	1	2	
subject3_file_511	2	0	1	0	0	0	0	0	0	0	0	
subject3_file_377	2	0	0	0	0	0	0	0	0	0	0	
subject3_file_135	2	1	0	0	0	1	1	1	1	1	1	
subject3_file_974	2	0	1	0	0	0	0	0	0	0	0	
subject3_file_853	2	0	1	0	0	0	0	0	0	0	0	
subject3_file_571	2	0	0	0	2	2	2	0	2	2	2	
subject3_file_951	2	1	2	2	1	1	1	1	1	1	1	
subject3_file_207	2	2	2	2	0	0	0	2	2	2	0	
subject3_file_557	2	0	0	0	0	2	0	1	0	0	0	
subject3_file_977	2	0	0	0	0	0	0	0	0	0	0	
subject3_file_402	2	0	0	0	0	0	0	0	0	0	0	
subject3_file_854	2	0	0	0	2	2	2	2	1	2	2	
subject3_file_520	2	2	1	2	2	2	2	2	2	2	2	
Total Train loss	-----	0.703819990158081	0.7195646166801453	0.40961554646492004	0.3022809624671936	0.4265880882740021	0.32117486000061035	0.29133376479148865	0.3526414930820465	0.24421130120754242	0.27237942814826965	
Train Accuracy	-----	0.702247191011236	0.6853932584269663	0.8539325842696629	0.898876404494382	0.8314606741573034	0.8707865168539326	0.898876404494382	0.8595505617977528	0.9044943820224719	0.898876404494382	
Training time	-----	0:00:04.626384	0:00:04.189081	0:00:04.111780	0:00:04.165457	0:00:04.122811	0:00:04.171680	0:00:04.137785	0:00:04.105446	0:00:04.108546	0:00:04.142643	
Total Test loss	-----	1.2949252128601074	1.431243896484375	1.7573604583740234	1.8367023468017578	1.8918377161026	2.29036021232605	2.385978937149048	2.2805049419403076	2.992049217224121	3.1644020080566406	
Test Accuracy	-----	0.4117647058823529	0.29411764705882354	0.4117647058823529	0.4117647058823529	0.35294117647058826	0.4215686274509804	0.3333333333333333	0.38235294117647056	0.3431372549019608	0.39215686274509803	
Testing time	-----	0:00:10.510135	0:00:10.338100	0:00:10.330630	0:00:10.410696	0:00:10.281742	0:00:10.346492	0:00:10.355550	0:00:10.460637	0:00:10.268718	0:00:10.378141	
threshold sigmoid train	-----	---	---	---	---	---	---	---	---	---	---	
threshold sigmoid test	-----	---	---	---	---	---	---	---	---	---	---	
