Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject3_file_335	0	2	0	0	0	0	0	0	0	0	0	
subject3_file_718	0	2	0	2	2	1	1	1	1	1	1	
subject3_file_85	0	1	1	1	1	1	1	1	1	1	1	
subject3_file_36	0	2	0	0	0	0	0	0	0	1	0	
subject3_file_61	0	1	1	1	1	1	1	1	1	1	1	
subject3_file_246	0	2	1	2	2	1	2	1	1	1	1	
subject3_file_146	0	2	0	0	0	0	0	0	0	0	0	
subject3_file_104	0	1	1	1	1	1	1	1	1	1	1	
subject3_file_973	0	2	0	0	0	2	0	0	0	0	0	
subject3_file_935	0	1	1	1	1	1	1	1	1	1	1	
subject3_file_562	0	1	2	2	2	2	2	2	0	0	0	
subject3_file_231	0	1	1	1	1	1	1	1	1	1	1	
subject3_file_525	0	1	1	1	1	1	1	1	2	1	1	
subject3_file_362	1	2	2	2	2	2	2	2	2	1	1	
subject3_file_74	1	1	0	1	1	1	1	1	1	1	0	
subject3_file_507	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_775	1	2	2	2	2	2	1	2	2	1	1	
subject3_file_807	1	1	1	2	2	1	2	2	2	2	1	
subject3_file_540	1	2	0	0	0	2	0	0	2	0	0	
subject3_file_823	1	2	0	0	0	0	0	0	0	0	0	
subject3_file_435	1	2	2	2	2	2	2	2	2	2	2	
subject3_file_727	1	2	0	0	0	0	1	0	0	0	0	
subject3_file_559	1	2	2	2	2	2	2	2	2	2	2	
subject3_file_411	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_11	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_88	1	1	0	1	1	1	1	1	1	1	1	
subject3_file_260	1	2	2	2	2	2	2	2	2	1	1	
Total Train loss	-----	0.9529390335083008	0.6426456570625305	0.4742375314235687	0.32800498604774475	0.3079013526439667	0.3471108675003052	0.2376178801059723	0.11105162650346756	0.3987767696380615	0.38935860991477966	
Train Accuracy	-----	0.5757575757575758	0.7373737373737373	0.8282828282828283	0.9090909090909091	0.9393939393939394	0.8888888888888888	0.9191919191919192	0.9797979797979798	0.8484848484848485	0.8383838383838383	
Training time	-----	0:00:04.195559	0:00:04.216954	0:00:04.208565	0:00:04.153620	0:00:04.170981	0:00:04.097875	0:00:04.220368	0:00:04.177516	0:00:04.122729	0:00:04.180658	
Total Test loss	-----	1.2804354429244995	1.4431569576263428	1.8028985261917114	2.185696840286255	2.2632060050964355	2.2192273139953613	2.676384210586548	2.943887948989868	1.9243963956832886	2.0790011882781982	
Test Accuracy	-----	0.18518518518518517	0.2962962962962963	0.2962962962962963	0.2962962962962963	0.2962962962962963	0.37037037037037035	0.2962962962962963	0.3333333333333333	0.4074074074074074	0.4444444444444444	
Testing time	-----	0:00:09.762132	0:00:09.761711	0:00:09.674355	0:00:09.653477	0:00:09.596833	0:00:09.648473	0:00:09.653034	0:00:09.775188	0:00:09.660389	0:00:09.696306	
threshold sigmoid train	-----	---	---	---	---	---	---	---	---	---	---	
threshold sigmoid test	-----	---	---	---	---	---	---	---	---	---	---	
