Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject2_file_457	[3]	[0.1861996352672577, 0.2164188176393509, 0.13602112233638763, 0.7093006372451782, 0.19933584332466125, 0.10172919183969498, 0.11870555579662323, 0.08426177501678467, 0.04590598866343498, 0.1665978729724884]	[0.21820543706417084, 0.25822123885154724, 0.09279634803533554, 0.8125527501106262, 0.21036627888679504, 0.04287879168987274, 0.14190509915351868, 0.04812658950686455, 0.025823473930358887, 0.08736991137266159]	[0.15718597173690796, 0.18627755343914032, 0.03985501080751419, 0.9047823548316956, 0.1265871673822403, 0.0278353001922369, 0.12379507720470428, 0.04108065366744995, 0.02485402673482895, 0.05437427759170532]	[0.13064226508140564, 0.1619889885187149, 0.023140646517276764, 0.933373212814331, 0.08505025506019592, 0.01306353509426117, 0.12391126155853271, 0.03402633219957352, 0.018228333443403244, 0.03589041531085968]	[0.12131325900554657, 0.14379674196243286, 0.014840744435787201, 0.9532709717750549, 0.05863746255636215, 0.006891556549817324, 0.1318250298500061, 0.026484601199626923, 0.012651934288442135, 0.028096862137317657]	[0.11433134973049164, 0.1351361721754074, 0.010454069823026657, 0.9630215167999268, 0.04887213930487633, 0.004178585484623909, 0.14345413446426392, 0.024210991337895393, 0.009985442273318768, 0.0232359878718853]	[0.10295586287975311, 0.11914420872926712, 0.007891365326941013, 0.9711889624595642, 0.04126879945397377, 0.0027165827341377735, 0.15184053778648376, 0.020476248115301132, 0.007672976702451706, 0.019737202674150467]	[0.07761774212121964, 0.1111663430929184, 0.006269647274166346, 0.9788057208061218, 0.03413448855280876, 0.0020761368796229362, 0.15630804002285004, 0.01906469091773033, 0.007056871894747019, 0.01759926974773407]	[0.06842807680368423, 0.085087351500988, 0.004402043763548136, 0.9840229749679565, 0.03371432423591614, 0.0013879878679290414, 0.15505529940128326, 0.015805302187800407, 0.005562036298215389, 0.015302099287509918]	[0.06933030486106873, 0.088455930352211, 0.003195785218849778, 0.9876075387001038, 0.02484450675547123, 0.0009747433941811323, 0.17109991610050201, 0.013636675663292408, 0.004587655421346426, 0.015379039570689201]	
subject2_file_679	[3, 6]	[0.25296691060066223, 0.20879532396793365, 0.11291061341762543, 0.6335404515266418, 0.2799951732158661, 0.14902710914611816, 0.1652846783399582, 0.06873997300863266, 0.07843824476003647, 0.286415696144104]	[0.15361878275871277, 0.10470480471849442, 0.08510001003742218, 0.5545437932014465, 0.33915257453918457, 0.1524466574192047, 0.18121060729026794, 0.0888487920165062, 0.11446914076805115, 0.4267192482948303]	[0.31810635328292847, 0.16335350275039673, 0.06927896291017532, 0.7098769545555115, 0.36365950107574463, 0.13810236752033234, 0.17803138494491577, 0.03485340625047684, 0.04904574155807495, 0.23818981647491455]	[0.13398870825767517, 0.06532086431980133, 0.07736232876777649, 0.4284818768501282, 0.4532126784324646, 0.13379600644111633, 0.16269950568675995, 0.09720013290643692, 0.12222490459680557, 0.4996131658554077]	[0.11620143800973892, 0.04878776893019676, 0.06901347637176514, 0.36888694763183594, 0.46198371052742004, 0.1216968297958374, 0.15687961876392365, 0.08610598742961884, 0.10716374218463898, 0.5735147595405579]	[0.10371018946170807, 0.03824600949883461, 0.06244140490889549, 0.3086261451244354, 0.4892219305038452, 0.12150482833385468, 0.1542329341173172, 0.0894707664847374, 0.11238106340169907, 0.6388899087905884]	[0.09682692587375641, 0.0375082902610302, 0.051588404923677444, 0.3528646230697632, 0.46214303374290466, 0.09588544815778732, 0.1424081027507782, 0.07653335481882095, 0.0876181423664093, 0.6002365350723267]	[0.10909774899482727, 0.03586665168404579, 0.05814313516020775, 0.2696388065814972, 0.48989367485046387, 0.12706078588962555, 0.1549687683582306, 0.093031145632267, 0.12355544418096542, 0.7133687138557434]	[0.12092550098896027, 0.027097409591078758, 0.06187831237912178, 0.26244354248046875, 0.545123279094696, 0.13534601032733917, 0.15322250127792358, 0.08966238051652908, 0.12293081730604172, 0.7307531833648682]	[0.12927007675170898, 0.025099042803049088, 0.055967915803194046, 0.23321709036827087, 0.5249812006950378, 0.1309247463941574, 0.16051200032234192, 0.08341678231954575, 0.12130722403526306, 0.7675031423568726]	
subject2_file_95	[0, 6]	[0.5433961153030396, 0.4860394299030304, 0.144295334815979, 0.38592329621315, 0.5583013892173767, 0.08915223181247711, 0.16617119312286377, 0.08913877606391907, 0.07734032720327377, 0.22429735958576202]	[0.4585786759853363, 0.5280073285102844, 0.11866012215614319, 0.43880191445350647, 0.4038354158401489, 0.055791933089494705, 0.07115933299064636, 0.047192368656396866, 0.03205626830458641, 0.18320906162261963]	[0.7725140452384949, 0.6184219717979431, 0.17911717295646667, 0.22304029762744904, 0.6497509479522705, 0.1231212466955185, 0.12328092008829117, 0.04550252482295036, 0.05024390295147896, 0.2252255380153656]	[0.35316160321235657, 0.5709481835365295, 0.10896270722150803, 0.492753267288208, 0.3086129128932953, 0.03662020340561867, 0.046985067427158356, 0.02748107723891735, 0.013541667722165585, 0.1284651756286621]	[0.6555273532867432, 0.4936637580394745, 0.12404923141002655, 0.27250561118125916, 0.49534872174263, 0.04673468694090843, 0.07858721911907196, 0.026449697092175484, 0.020315170288085938, 0.22143831849098206]	[0.8957001566886902, 0.707042932510376, 0.18250495195388794, 0.14199580252170563, 0.7333173751831055, 0.060228414833545685, 0.12380656599998474, 0.03543445095419884, 0.023281078785657883, 0.15148235857486725]	[0.9761437177658081, 0.9128968119621277, 0.37865135073661804, 0.07658924907445908, 0.8966128826141357, 0.13783428072929382, 0.1353716254234314, 0.055329836905002594, 0.029235493391752243, 0.08480773121118546]	[0.9411328434944153, 0.9018114805221558, 0.21246212720870972, 0.10185737162828445, 0.8454204797744751, 0.07431823760271072, 0.1310468465089798, 0.040470417588949203, 0.01905970089137554, 0.08253160864114761]	[0.779493510723114, 0.7507045269012451, 0.15186837315559387, 0.24095089733600616, 0.5890367031097412, 0.044601622968912125, 0.07464974373579025, 0.03567526862025261, 0.01787467859685421, 0.1255967915058136]	[0.908492386341095, 0.8899861574172974, 0.18348358571529388, 0.1868145614862442, 0.764645516872406, 0.05186404660344124, 0.05153760313987732, 0.03192061185836792, 0.01777178980410099, 0.08703561872243881]	
subject2_file_899	[0, 4, 9]	[0.37282025814056396, 0.5748823285102844, 0.1567557007074356, 0.4384763240814209, 0.3759956359863281, 0.11177551746368408, 0.09306853264570236, 0.12600670754909515, 0.07313660532236099, 0.20955468714237213]	[0.4457968771457672, 0.6456806063652039, 0.10792180150747299, 0.3216111361980438, 0.4126273989677429, 0.0882812887430191, 0.07617973536252975, 0.07426078617572784, 0.06273088604211807, 0.23383046686649323]	[0.63423752784729, 0.7125772833824158, 0.15779326856136322, 0.17876331508159637, 0.6017753481864929, 0.15141448378562927, 0.09485914558172226, 0.06099119409918785, 0.07019591331481934, 0.30774542689323425]	[0.3786202073097229, 0.6190935969352722, 0.11032090336084366, 0.26198065280914307, 0.43052342534065247, 0.09577643871307373, 0.05205443501472473, 0.04893463850021362, 0.05419134721159935, 0.4098784625530243]	[0.3124617040157318, 0.5511529445648193, 0.10393008589744568, 0.21062302589416504, 0.42655661702156067, 0.06872518360614777, 0.04466843605041504, 0.03522149473428726, 0.036383166909217834, 0.5169541239738464]	[0.23881946504116058, 0.5112137198448181, 0.08980001509189606, 0.1675991266965866, 0.4329165816307068, 0.04990291967988014, 0.036501429975032806, 0.025116372853517532, 0.026037022471427917, 0.5932899713516235]	[0.7540379166603088, 0.8503360152244568, 0.22139190137386322, 0.08717268705368042, 0.7676005959510803, 0.1260615438222885, 0.04464435204863548, 0.05277035012841225, 0.04936356469988823, 0.4794568717479706]	[0.6618073582649231, 0.5923351049423218, 0.08226049691438675, 0.2781771719455719, 0.3998831510543823, 0.024321332573890686, 0.09624087810516357, 0.03559813275933266, 0.02134070359170437, 0.1746116727590561]	[0.7970367670059204, 0.7386616468429565, 0.13171280920505524, 0.2402263730764389, 0.4953060448169708, 0.03633611649274826, 0.11888010054826736, 0.05754397064447403, 0.025094209238886833, 0.09426350146532059]	[0.9019631147384644, 0.787629246711731, 0.13317549228668213, 0.10798903554677963, 0.6505190134048462, 0.036263950169086456, 0.13414834439754486, 0.04297604411840439, 0.020198149606585503, 0.12399996817111969]	
subject2_file_368	[4]	[0.5340684652328491, 0.4497512876987457, 0.13590607047080994, 0.3897518813610077, 0.5739334225654602, 0.09419826418161392, 0.16235968470573425, 0.07269123196601868, 0.07625782489776611, 0.2648220360279083]	[0.5453839302062988, 0.4453333914279938, 0.12065832316875458, 0.39234766364097595, 0.5031738877296448, 0.06907646358013153, 0.08229626715183258, 0.03566784784197807, 0.03864338994026184, 0.2769656181335449]	[0.44292977452278137, 0.42065542936325073, 0.1296469122171402, 0.3752642571926117, 0.4194267988204956, 0.10032470524311066, 0.055805839598178864, 0.02813827618956566, 0.03087702952325344, 0.3174761235713959]	[0.19474300742149353, 0.5865672826766968, 0.07932589948177338, 0.39748844504356384, 0.2821171283721924, 0.04698324576020241, 0.031062409281730652, 0.03186359256505966, 0.022778933867812157, 0.26457464694976807]	[0.19604957103729248, 0.5623981952667236, 0.06722357869148254, 0.2942861020565033, 0.33814021944999695, 0.03403566777706146, 0.028109928593039513, 0.02248017117381096, 0.01734270714223385, 0.3443394899368286]	[0.31505316495895386, 0.6225367784500122, 0.06877203285694122, 0.1873878687620163, 0.4978586733341217, 0.04257168620824814, 0.028489435091614723, 0.026776675134897232, 0.02828395739197731, 0.46701356768608093]	[0.1839819699525833, 0.5395914316177368, 0.04862111061811447, 0.2440088391304016, 0.37351489067077637, 0.01737642101943493, 0.022151721641421318, 0.011323561891913414, 0.009239330887794495, 0.41796308755874634]	[0.3550005555152893, 0.4682554304599762, 0.06589002907276154, 0.4774460196495056, 0.27655547857284546, 0.013932593166828156, 0.045710060745477676, 0.012807177379727364, 0.008353053592145443, 0.2164377123117447]	[0.5366193056106567, 0.6198112964630127, 0.09022708237171173, 0.43813106417655945, 0.446684867143631, 0.020716290920972824, 0.05443228408694267, 0.02015754021704197, 0.011892800219357014, 0.14293785393238068]	[0.21170412003993988, 0.6695175766944885, 0.047912511974573135, 0.26575836539268494, 0.3950991630554199, 0.01725710928440094, 0.02701055444777012, 0.012744288891553879, 0.014130656607449055, 0.329904705286026]	
subject2_file_425	[4, 9]	[0.21486733853816986, 0.1850384920835495, 0.12611006200313568, 0.37133073806762695, 0.4235415458679199, 0.12745128571987152, 0.13753724098205566, 0.09149958193302155, 0.11582387238740921, 0.5549124479293823]	[0.13224545121192932, 0.15840357542037964, 0.1318502426147461, 0.25767484307289124, 0.5534039735794067, 0.30563342571258545, 0.11137129366397858, 0.07690909504890442, 0.13297434151172638, 0.7662535309791565]	[0.14035190641880035, 0.12778832018375397, 0.1621807962656021, 0.15652550756931305, 0.7169202566146851, 0.3713298738002777, 0.1009976789355278, 0.09205687046051025, 0.1559792011976242, 0.8108461499214172]	[0.08150985091924667, 0.07977688312530518, 0.1209254190325737, 0.2306930422782898, 0.526102602481842, 0.3054487407207489, 0.1562044322490692, 0.14996150135993958, 0.1976626217365265, 0.7584425210952759]	[0.059743329882621765, 0.055558059364557266, 0.09686792641878128, 0.19532454013824463, 0.5128800272941589, 0.25337424874305725, 0.14270825684070587, 0.13840335607528687, 0.19034306704998016, 0.812583863735199]	[0.05299199000000954, 0.04721424728631973, 0.08521080017089844, 0.13747306168079376, 0.6022448539733887, 0.24345514178276062, 0.11013805866241455, 0.12260120362043381, 0.1818748414516449, 0.8729593753814697]	[0.03820846974849701, 0.04504011571407318, 0.06576979905366898, 0.17909198999404907, 0.5008410215377808, 0.18110080063343048, 0.10001619905233383, 0.12281540036201477, 0.15086793899536133, 0.8493973016738892]	[0.028465570881962776, 0.049718908965587616, 0.06425028294324875, 0.1943311095237732, 0.45525670051574707, 0.16930308938026428, 0.08038435876369476, 0.11885586380958557, 0.13531918823719025, 0.8628309965133667]	[0.10067703574895859, 0.10286246240139008, 0.05370860546827316, 0.18520484864711761, 0.6183087229728699, 0.1654217392206192, 0.08287830650806427, 0.21780578792095184, 0.22076018154621124, 0.7690590023994446]	[0.18017011880874634, 0.16199706494808197, 0.050813015550374985, 0.12878938019275665, 0.7409917712211609, 0.1676504909992218, 0.06843041628599167, 0.2734578549861908, 0.26384711265563965, 0.7493510246276855]	
subject2_file_646	[3]	[0.20648348331451416, 0.1745990812778473, 0.1371389627456665, 0.5483145117759705, 0.2702064514160156, 0.14574852585792542, 0.17810295522212982, 0.09693054109811783, 0.10176900029182434, 0.3548722565174103]	[0.40196138620376587, 0.2921096980571747, 0.08716365694999695, 0.5453219413757324, 0.5419174432754517, 0.0822557806968689, 0.1269349604845047, 0.03385542705655098, 0.04904628545045853, 0.3214850425720215]	[0.3623972535133362, 0.19553245604038239, 0.09627468138933182, 0.47273820638656616, 0.5997493267059326, 0.1421796977519989, 0.08656919002532959, 0.02396673709154129, 0.04297402501106262, 0.4363584518432617]	[0.3891526758670807, 0.18988651037216187, 0.028342491015791893, 0.7995843291282654, 0.28629717230796814, 0.04491593316197395, 0.1597522646188736, 0.03864569962024689, 0.047143686562776566, 0.1403343230485916]	[0.5754336714744568, 0.22376103699207306, 0.0186750590801239, 0.8301308751106262, 0.32264265418052673, 0.03319689258933067, 0.18305201828479767, 0.04202727973461151, 0.04794103652238846, 0.11286380887031555]	[0.6836370229721069, 0.24482278525829315, 0.015073180198669434, 0.8255205750465393, 0.40681135654449463, 0.025752022862434387, 0.20440153777599335, 0.04600062221288681, 0.04414328560233116, 0.09103665500879288]	[0.7722102403640747, 0.2691851854324341, 0.012662416324019432, 0.8203901052474976, 0.4721517562866211, 0.020093023777008057, 0.2289597988128662, 0.044556353241205215, 0.037103939801454544, 0.07307552546262741]	[0.8153393268585205, 0.3353584110736847, 0.012732977978885174, 0.8126184344291687, 0.529710590839386, 0.021588459610939026, 0.2557682394981384, 0.05180003494024277, 0.04022661969065666, 0.06461788713932037]	[0.8686922192573547, 0.29206493496894836, 0.009840643964707851, 0.7931514978408813, 0.6041369438171387, 0.014001308009028435, 0.2707487642765045, 0.0444098562002182, 0.028751784935593605, 0.05274653434753418]	[0.9128190279006958, 0.31973838806152344, 0.008504698053002357, 0.7349528670310974, 0.6389014720916748, 0.011144419200718403, 0.29835259914398193, 0.04046501964330673, 0.02275516837835312, 0.05120363086462021]	
subject2_file_52	[3, 6]	[0.4628380835056305, 0.42443379759788513, 0.15088313817977905, 0.5234889388084412, 0.44808822870254517, 0.08344857394695282, 0.1402065008878708, 0.07305627316236496, 0.05071081966161728, 0.18163937330245972]	[0.5258244872093201, 0.4155403673648834, 0.10956911742687225, 0.4239124357700348, 0.4794052541255951, 0.06076329946517944, 0.07923900336027145, 0.03388538584113121, 0.035589344799518585, 0.25197452306747437]	[0.49180546402931213, 0.33732426166534424, 0.12956495583057404, 0.4155895709991455, 0.44659459590911865, 0.09046205878257751, 0.05919021740555763, 0.02358316443860531, 0.026529353111982346, 0.2871667444705963]	[0.4854646623134613, 0.3679408133029938, 0.10824786126613617, 0.39801958203315735, 0.41626664996147156, 0.04521164670586586, 0.05367084592580795, 0.022991923615336418, 0.02128351666033268, 0.23480799794197083]	[0.45387890934944153, 0.33741575479507446, 0.0905008614063263, 0.41017359495162964, 0.3507695198059082, 0.026249438524246216, 0.05157943069934845, 0.016118701547384262, 0.0120517797768116, 0.20315393805503845]	[0.4329307973384857, 0.33152541518211365, 0.07474128156900406, 0.4344503879547119, 0.3001950681209564, 0.01744961366057396, 0.05035034939646721, 0.012412410229444504, 0.008682726882398129, 0.19574908912181854]	[0.42391079664230347, 0.3308383822441101, 0.06976402550935745, 0.4317519962787628, 0.30731600522994995, 0.013574677519500256, 0.0454726405441761, 0.008596105501055717, 0.005768966861069202, 0.21127155423164368]	[0.344486266374588, 0.43550053238868713, 0.06218355894088745, 0.456530898809433, 0.31289124488830566, 0.01513589546084404, 0.048991091549396515, 0.010620110668241978, 0.006554069928824902, 0.22986483573913574]	[0.33453795313835144, 0.27143123745918274, 0.05564446747303009, 0.42380860447883606, 0.5394019484519958, 0.02700103260576725, 0.0645032599568367, 0.007340362761169672, 0.006470502354204655, 0.2724092900753021]	[0.27400878071784973, 0.19407707452774048, 0.03573686257004738, 0.38053423166275024, 0.6260241270065308, 0.027918381616473198, 0.058180779218673706, 0.0041414303705096245, 0.004897974897176027, 0.34482717514038086]	
subject2_file_123	[0, 6]	[0.44110265374183655, 0.37680158019065857, 0.16086500883102417, 0.3614272475242615, 0.536679744720459, 0.10371546447277069, 0.1405189037322998, 0.07647061347961426, 0.07993423193693161, 0.37884509563446045]	[0.5301458239555359, 0.4267388880252838, 0.1277804672718048, 0.35037246346473694, 0.5335627198219299, 0.07392122596502304, 0.08225230872631073, 0.03830729424953461, 0.0425993911921978, 0.3203754723072052]	[0.5227673053741455, 0.3466589152812958, 0.14154690504074097, 0.3681020438671112, 0.46645596623420715, 0.10746283084154129, 0.06440934538841248, 0.025789618492126465, 0.030929481610655785, 0.3360375463962555]	[0.5519047379493713, 0.40959110856056213, 0.12302576005458832, 0.3729124665260315, 0.4328629970550537, 0.06562165915966034, 0.0650758296251297, 0.027375081554055214, 0.027259662747383118, 0.28067758679389954]	[0.5995864868164062, 0.43687736988067627, 0.11632898449897766, 0.3780585825443268, 0.42364028096199036, 0.04889765754342079, 0.0648277997970581, 0.02094865031540394, 0.019152114167809486, 0.24819929897785187]	[0.632570743560791, 0.4847612977027893, 0.11854410916566849, 0.41514408588409424, 0.40742096304893494, 0.0425519160926342, 0.06511921435594559, 0.01972002163529396, 0.018535815179347992, 0.2146390676498413]	[0.6223926544189453, 0.5337072014808655, 0.14014656841754913, 0.49604153633117676, 0.3589177429676056, 0.04518066719174385, 0.0690397247672081, 0.019395645707845688, 0.018081629648804665, 0.18041250109672546]	[0.5833657383918762, 0.7069627642631531, 0.11837583780288696, 0.4857102334499359, 0.36881542205810547, 0.04140576347708702, 0.05934538692235947, 0.02715141698718071, 0.020352916792035103, 0.18022966384887695]	[0.7153775095939636, 0.7200610041618347, 0.18912138044834137, 0.5558127164840698, 0.3825959861278534, 0.06365413218736649, 0.08926805853843689, 0.03261923789978027, 0.02144395373761654, 0.12642158567905426]	[0.8476850390434265, 0.7929028868675232, 0.218514546751976, 0.5647144317626953, 0.3867766857147217, 0.0611124224960804, 0.08423545211553574, 0.028726469725370407, 0.02037556655704975, 0.09802858531475067]	
subject2_file_821	[0, 9]	[0.47625958919525146, 0.5546748042106628, 0.14469757676124573, 0.37483882904052734, 0.4882143437862396, 0.1128024086356163, 0.1366077959537506, 0.11445367336273193, 0.0928671658039093, 0.23648656904697418]	[0.6576946377754211, 0.6756293773651123, 0.17085100710391998, 0.24292603135108948, 0.5320695638656616, 0.11236875504255295, 0.10765466094017029, 0.09358816593885422, 0.08153973519802094, 0.23067694902420044]	[0.7592471837997437, 0.5755106806755066, 0.16637231409549713, 0.22831135988235474, 0.6283383369445801, 0.13266488909721375, 0.12593616545200348, 0.04943741112947464, 0.055749308317899704, 0.23746906220912933]	[0.8644291162490845, 0.7160253524780273, 0.22797390818595886, 0.22523799538612366, 0.6415705680847168, 0.14125412702560425, 0.15483330190181732, 0.09193409234285355, 0.07211378961801529, 0.16543444991111755]	[0.8757011294364929, 0.6449210047721863, 0.17351284623146057, 0.19825753569602966, 0.645530104637146, 0.08757447451353073, 0.15973415970802307, 0.05813811346888542, 0.04193854704499245, 0.16402886807918549]	[0.8528438806533813, 0.5607337951660156, 0.14571866393089294, 0.16436702013015747, 0.5866313576698303, 0.06049172952771187, 0.13723747432231903, 0.04632780700922012, 0.03245624154806137, 0.18487294018268585]	[0.8864795565605164, 0.564113974571228, 0.14692743122577667, 0.1400790512561798, 0.5849900841712952, 0.05254149064421654, 0.14711259305477142, 0.03975962474942207, 0.024105479940772057, 0.1843695044517517]	[0.7548003196716309, 0.6186771988868713, 0.08560493588447571, 0.20827758312225342, 0.4507850110530853, 0.028830740600824356, 0.13610129058361053, 0.04408274590969086, 0.024368610233068466, 0.14692474901676178]	[0.8652954697608948, 0.8410251140594482, 0.20216381549835205, 0.25832223892211914, 0.5528303384780884, 0.06275252997875214, 0.1076233834028244, 0.09060637652873993, 0.039384081959724426, 0.07260725647211075]	[0.9614170789718628, 0.9048505425453186, 0.25542086362838745, 0.074455626308918, 0.8161623477935791, 0.08545241504907608, 0.10121500492095947, 0.07666628062725067, 0.035959962755441666, 0.13065841794013977]	
