Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject3_file_867	[3]	[0.354733943939209, 0.30168354511260986, 0.11823664605617523, 0.47651422023773193, 0.3884292542934418, 0.08772115409374237, 0.14103269577026367, 0.15291312336921692, 0.1093401089310646, 0.28752395510673523]	[0.347612589597702, 0.30805930495262146, 0.0917736142873764, 0.4744568169116974, 0.3809386193752289, 0.06988977640867233, 0.1088171973824501, 0.0698169395327568, 0.06685733795166016, 0.29227694869041443]	[0.3374837636947632, 0.30229419469833374, 0.0932566225528717, 0.4934487044811249, 0.37535572052001953, 0.07207674533128738, 0.11076731234788895, 0.059835296124219894, 0.06700421869754791, 0.286386638879776]	[0.2199680358171463, 0.17897608876228333, 0.07760016620159149, 0.7256538271903992, 0.24447955191135406, 0.06129666045308113, 0.10970072448253632, 0.05125198885798454, 0.05047737434506416, 0.2319895625114441]	[0.16076518595218658, 0.10458538681268692, 0.05756613239645958, 0.8978145122528076, 0.11475920677185059, 0.0385018065571785, 0.14337415993213654, 0.0388096384704113, 0.02819751761853695, 0.09597514569759369]	[0.15910844504833221, 0.1089581623673439, 0.03834430128335953, 0.9208170175552368, 0.09514542669057846, 0.025678502395749092, 0.17869694530963898, 0.02993183769285679, 0.017251288518309593, 0.051157910376787186]	[0.17661608755588531, 0.12426509708166122, 0.030185641720891, 0.9343341588973999, 0.08642100542783737, 0.017611613497138023, 0.19962523877620697, 0.023321568965911865, 0.01169662456959486, 0.03709053993225098]	[0.12419598549604416, 0.1201658770442009, 0.029750525951385498, 0.948168933391571, 0.06291762739419937, 0.014144492335617542, 0.20833635330200195, 0.021908514201641083, 0.010257137939333916, 0.031238410621881485]	[0.1285916268825531, 0.12265113741159439, 0.031983308494091034, 0.9487351179122925, 0.06433997303247452, 0.015109539031982422, 0.22211287915706635, 0.023887863382697105, 0.01156302634626627, 0.029697174206376076]	[0.12368527054786682, 0.10396148264408112, 0.031248219311237335, 0.9591256380081177, 0.05403487756848335, 0.015627093613147736, 0.23554305732250214, 0.02426474168896675, 0.013145869597792625, 0.02857666090130806]	
subject3_file_537	[3, 6]	[0.354779452085495, 0.30169588327407837, 0.11824728548526764, 0.4765702188014984, 0.38847801089286804, 0.08780989795923233, 0.14109006524085999, 0.15296608209609985, 0.10936787724494934, 0.2875002920627594]	[0.3476915657520294, 0.30815398693084717, 0.09186210483312607, 0.47449368238449097, 0.38104745745658875, 0.07000242918729782, 0.10892676562070847, 0.06990180164575577, 0.0669398307800293, 0.2923372685909271]	[0.3375541567802429, 0.302567720413208, 0.09362419694662094, 0.49397194385528564, 0.3756887912750244, 0.07256090641021729, 0.11124447733163834, 0.06015073508024216, 0.0673515722155571, 0.28660905361175537]	[0.22772110998630524, 0.18820060789585114, 0.08037988096475601, 0.7085831761360168, 0.25484129786491394, 0.06500448286533356, 0.11190389841794968, 0.053142718970775604, 0.053637098520994186, 0.23673352599143982]	[0.24251942336559296, 0.2105562835931778, 0.10608989745378494, 0.5943207740783691, 0.2986339330673218, 0.09893292188644409, 0.13879230618476868, 0.07281390577554703, 0.08835114538669586, 0.24973265826702118]	[0.17354315519332886, 0.12432935833930969, 0.13660497963428497, 0.7240340113639832, 0.24172040820121765, 0.13260512053966522, 0.19545985758304596, 0.09565175324678421, 0.0957721471786499, 0.2549455761909485]	[0.16089989244937897, 0.09884227067232132, 0.07624601572751999, 0.8659405708312988, 0.15804973244667053, 0.05805530399084091, 0.21482780575752258, 0.05754266306757927, 0.038071826100349426, 0.13534417748451233]	[0.12637512385845184, 0.10674961656332016, 0.03967410698533058, 0.9421052932739258, 0.07908953726291656, 0.020995749160647392, 0.20676666498184204, 0.030033767223358154, 0.015335215255618095, 0.048862047493457794]	[0.13971686363220215, 0.11742369830608368, 0.04082465544342995, 0.9459598064422607, 0.07687085121870041, 0.021881241351366043, 0.2296065241098404, 0.03220508247613907, 0.016333453357219696, 0.04208333417773247]	[0.13549494743347168, 0.11201786994934082, 0.036699965596199036, 0.9639138579368591, 0.056572359055280685, 0.021973032504320145, 0.25686177611351013, 0.032675568014383316, 0.017193855717778206, 0.034804876893758774]	
subject3_file_753	[0, 6]	[0.355926513671875, 0.30291157960891724, 0.11966439336538315, 0.4762827455997467, 0.3894643187522888, 0.08895917981863022, 0.14233098924160004, 0.1544683277606964, 0.11081332713365555, 0.28884440660476685]	[0.34866076707839966, 0.30911019444465637, 0.09279817342758179, 0.4740813672542572, 0.3818344473838806, 0.07071875035762787, 0.10977011173963547, 0.07065597176551819, 0.0677453950047493, 0.2933441400527954]	[0.3465692400932312, 0.3083723485469818, 0.09644857794046402, 0.4789106845855713, 0.3806537985801697, 0.07306228578090668, 0.11189032346010208, 0.06153804436326027, 0.0693916529417038, 0.292106956243515]	[0.33299899101257324, 0.2911543846130371, 0.0974724143743515, 0.5029595494270325, 0.3633834421634674, 0.0787806585431099, 0.11269659548997879, 0.062070466578006744, 0.0741393119096756, 0.28581535816192627]	[0.42639344930648804, 0.41939809918403625, 0.1360602080821991, 0.22386164963245392, 0.5496801137924194, 0.11794987320899963, 0.10360390692949295, 0.08665400743484497, 0.13353320956230164, 0.44595566391944885]	[0.35919907689094543, 0.3320171535015106, 0.20579420030117035, 0.18735329806804657, 0.5850586295127869, 0.18915268778800964, 0.11331667751073837, 0.13007186353206635, 0.18497510254383087, 0.6132535934448242]	[0.3362487852573395, 0.28292182087898254, 0.15264706313610077, 0.21743789315223694, 0.5379613041877747, 0.1186027079820633, 0.10245911777019501, 0.09950736910104752, 0.10622362792491913, 0.5672063231468201]	[0.3148754835128784, 0.22554677724838257, 0.11493968218564987, 0.39369869232177734, 0.44682905077934265, 0.0715961903333664, 0.09511049836874008, 0.07289999723434448, 0.0639650896191597, 0.44177576899528503]	[0.4711686670780182, 0.37485986948013306, 0.07226358354091644, 0.5012872815132141, 0.35214197635650635, 0.029745135456323624, 0.11093560606241226, 0.048941805958747864, 0.033258162438869476, 0.18353171646595]	[0.3993428647518158, 0.35455480217933655, 0.05881199613213539, 0.6486257910728455, 0.2534341812133789, 0.024657169356942177, 0.13142332434654236, 0.03895352780818939, 0.025382056832313538, 0.10469602048397064]	
subject3_file_335	[0, 4, 9]	[0.3588850498199463, 0.3065970540046692, 0.1235913410782814, 0.4756677448749542, 0.39219000935554504, 0.09232716262340546, 0.14599597454071045, 0.15849781036376953, 0.1148911565542221, 0.2924947440624237]	[0.35119104385375977, 0.31193894147872925, 0.09539012610912323, 0.4730963706970215, 0.3840237259864807, 0.07280394434928894, 0.11220426112413406, 0.0727355033159256, 0.07002466171979904, 0.296066552400589]	[0.3591889441013336, 0.31791800260543823, 0.10218732059001923, 0.46062490344047546, 0.3886820077896118, 0.07574867457151413, 0.11496588587760925, 0.06491650640964508, 0.07398645579814911, 0.3008113205432892]	[0.4298064112663269, 0.3993198275566101, 0.11420684307813644, 0.33144187927246094, 0.46694281697273254, 0.09564841538667679, 0.11513364315032959, 0.07033851742744446, 0.09779606759548187, 0.3286263644695282]	[0.4554339647293091, 0.4214068055152893, 0.09714186191558838, 0.31769606471061707, 0.4795975983142853, 0.06907647848129272, 0.0959848016500473, 0.05914334952831268, 0.07301784306764603, 0.33354660868644714]	[0.48752281069755554, 0.469120055437088, 0.06327289342880249, 0.3183668255805969, 0.46199002861976624, 0.03720191493630409, 0.08113645017147064, 0.042512331157922745, 0.03965367376804352, 0.24868574738502502]	[0.5777767896652222, 0.5541372895240784, 0.05472825840115547, 0.28444939851760864, 0.49009883403778076, 0.025641676038503647, 0.07265805453062057, 0.03559596464037895, 0.028977038338780403, 0.22056157886981964]	[0.6434611678123474, 0.5886316299438477, 0.0628477931022644, 0.25755858421325684, 0.5030023455619812, 0.021401215344667435, 0.06857185065746307, 0.03645053505897522, 0.026441767811775208, 0.2323385328054428]	[0.7024126648902893, 0.6290061473846436, 0.0757380947470665, 0.20947487652301788, 0.5601862072944641, 0.02274603396654129, 0.06903388351202011, 0.04551757499575615, 0.031939007341861725, 0.24872492253780365]	[0.708867073059082, 0.6298521757125854, 0.07914597541093826, 0.21004588901996613, 0.5670300722122192, 0.02220381237566471, 0.06818633526563644, 0.04518821835517883, 0.030478401109576225, 0.23448407649993896]	
subject3_file_718	[4]	[0.3554130494594574, 0.3023276627063751, 0.11891647428274155, 0.4762396514415741, 0.3888550400733948, 0.08830226957798004, 0.14165659248828888, 0.15365833044052124, 0.11008274555206299, 0.2881890535354614]	[0.3481713831424713, 0.3085944950580597, 0.09225727617740631, 0.4741576910018921, 0.3813396096229553, 0.07028237730264664, 0.1092708632349968, 0.07021623104810715, 0.0672970786690712, 0.29280200600624084]	[0.3441436290740967, 0.30636242032051086, 0.09492228925228119, 0.48166555166244507, 0.37877097725868225, 0.07207212597131729, 0.11080256849527359, 0.060539912432432175, 0.06816775351762772, 0.29016807675361633]	[0.259164959192276, 0.2213224321603775, 0.08430735021829605, 0.6395452618598938, 0.29126596450805664, 0.06965178996324539, 0.11068353056907654, 0.05456920713186264, 0.05941164866089821, 0.2504817843437195]	[0.17219814658164978, 0.11573921889066696, 0.05891913175582886, 0.8762694597244263, 0.12881384789943695, 0.04019206762313843, 0.13796140253543854, 0.03921421617269516, 0.030126146972179413, 0.104924276471138]	[0.16414998471736908, 0.11435341835021973, 0.03739853948354721, 0.9074645042419434, 0.10120910406112671, 0.02513662911951542, 0.16732484102249146, 0.028678013011813164, 0.017192784696817398, 0.05424945056438446]	[0.1911258101463318, 0.14110934734344482, 0.029405955225229263, 0.9136184453964233, 0.09838898479938507, 0.017393609508872032, 0.182393416762352, 0.022250114008784294, 0.011813092976808548, 0.04036790505051613]	[0.16148561239242554, 0.1610182672739029, 0.030795950442552567, 0.9093192219734192, 0.0877118706703186, 0.015011983923614025, 0.17910432815551758, 0.021653441712260246, 0.011337771080434322, 0.03862211853265762]	[0.16732977330684662, 0.16021467745304108, 0.034782059490680695, 0.9082635641098022, 0.09014077484607697, 0.01679251901805401, 0.1945728063583374, 0.025053005665540695, 0.013761806301772594, 0.03793782368302345]	[0.1850380301475525, 0.1608884334564209, 0.037169985473155975, 0.9005185961723328, 0.09598331898450851, 0.018388016149401665, 0.18763142824172974, 0.026134217157959938, 0.016018906608223915, 0.04228832945227623]	
subject3_file_855	[4, 9]	[0.35511457920074463, 0.30218636989593506, 0.11889854073524475, 0.4766087830066681, 0.38897624611854553, 0.08848221600055695, 0.1417461335659027, 0.15372924506664276, 0.11003231257200241, 0.2880634665489197]	[0.34809941053390503, 0.3086586892604828, 0.09239071607589722, 0.4744594395160675, 0.3815212845802307, 0.07047416269779205, 0.10945084691047668, 0.07034749537706375, 0.06738584488630295, 0.29284289479255676]	[0.3399055600166321, 0.30450570583343506, 0.09499862045049667, 0.49094510078430176, 0.3774823248386383, 0.07347913831472397, 0.11221975088119507, 0.0610511377453804, 0.06845097243785858, 0.28846874833106995]	[0.2524046301841736, 0.2146470844745636, 0.08783578127622604, 0.6585875153541565, 0.28395920991897583, 0.07325956970453262, 0.11663912236690521, 0.05797929689288139, 0.061900462955236435, 0.25083521008491516]	[0.39887940883636475, 0.3939070999622345, 0.15525804460048676, 0.2439672201871872, 0.5383466482162476, 0.1457938402891159, 0.1202913150191307, 0.10579562932252884, 0.15931671857833862, 0.45686420798301697]	[0.3073539137840271, 0.26740017533302307, 0.2638419270515442, 0.26508641242980957, 0.5434967875480652, 0.2725988030433655, 0.15200366079807281, 0.18689626455307007, 0.2518368363380432, 0.6184178590774536]	[0.1524544656276703, 0.11442381888628006, 0.23115669190883636, 0.3313840329647064, 0.43307727575302124, 0.24294209480285645, 0.1365104615688324, 0.1589079648256302, 0.1909606009721756, 0.6572717428207397]	[0.13524171710014343, 0.10204003006219864, 0.07058990746736526, 0.8856313228607178, 0.13557085394859314, 0.047086916863918304, 0.19458098709583282, 0.055789172649383545, 0.034928057342767715, 0.12980885803699493]	[0.1683056503534317, 0.0920538380742073, 0.14333486557006836, 0.6947329044342041, 0.2700555622577667, 0.12575486302375793, 0.18111519515514374, 0.12169331312179565, 0.09091196954250336, 0.43709006905555725]	[0.11925078928470612, 0.04448271170258522, 0.20590923726558685, 0.3718477189540863, 0.41547441482543945, 0.26798710227012634, 0.08352584391832352, 0.1686946153640747, 0.18703360855579376, 0.8304298520088196]	
subject3_file_850	[3]	[0.3551640212535858, 0.30236828327178955, 0.11919911205768585, 0.47660645842552185, 0.3890692889690399, 0.08865214139223099, 0.14191186428070068, 0.1540052890777588, 0.11034829914569855, 0.2883954346179962]	[0.3480997085571289, 0.3086613714694977, 0.09245453774929047, 0.47444409132003784, 0.38147982954978943, 0.07047108560800552, 0.10945756733417511, 0.07038452476263046, 0.06743944436311722, 0.29294484853744507]	[0.33862268924713135, 0.30353397130966187, 0.09456019848585129, 0.49282678961753845, 0.3765241205692291, 0.07322507351636887, 0.1119641661643982, 0.0608089417219162, 0.06815530359745026, 0.2877110242843628]	[0.22897657752037048, 0.18946586549282074, 0.08136976510286331, 0.7070531845092773, 0.25620386004447937, 0.06570146232843399, 0.1128399670124054, 0.05384407937526703, 0.05441796034574509, 0.23813985288143158]	[0.1665121614933014, 0.11280667036771774, 0.062220148742198944, 0.8781496286392212, 0.12810947000980377, 0.043546658009290695, 0.1439521312713623, 0.042311787605285645, 0.03253864124417305, 0.10866044461727142]	[0.16149833798408508, 0.1114373505115509, 0.040860675275325775, 0.9129656553268433, 0.10047490149736404, 0.027898816391825676, 0.1796436756849289, 0.03161320462822914, 0.018783411011099815, 0.05620421841740608]	[0.1787187159061432, 0.12660570442676544, 0.031184004619717598, 0.9290345907211304, 0.09023534506559372, 0.01839243806898594, 0.1981666386127472, 0.023938443511724472, 0.012207902036607265, 0.03953643515706062]	[0.12804651260375977, 0.1234750896692276, 0.030614906921982765, 0.9434432983398438, 0.06649705767631531, 0.014675848186016083, 0.20489344000816345, 0.022368697449564934, 0.010666219517588615, 0.0332452729344368]	[0.13831251859664917, 0.12713783979415894, 0.034635018557310104, 0.9409999251365662, 0.0717342346906662, 0.01673155091702938, 0.21840305626392365, 0.025762246921658516, 0.012880731374025345, 0.03386099636554718]	[0.1456596702337265, 0.11390302330255508, 0.035501521080732346, 0.9473324418067932, 0.06694946438074112, 0.018094811588525772, 0.2254556566476822, 0.026980586349964142, 0.015025894157588482, 0.034924641251564026]	
subject3_file_901	[3, 6]	[0.35505086183547974, 0.3019036650657654, 0.1185079887509346, 0.4764660596847534, 0.38865160942077637, 0.08800903707742691, 0.14129406213760376, 0.15323762595653534, 0.10965078324079514, 0.28774139285087585]	[0.34788742661476135, 0.30829811096191406, 0.09200871735811234, 0.47436532378196716, 0.3811647295951843, 0.07010484486818314, 0.10904240608215332, 0.07001633942127228, 0.06707357615232468, 0.29250290989875793]	[0.34038689732551575, 0.3041238486766815, 0.09414231032133102, 0.48865583539009094, 0.37698253989219666, 0.07229825854301453, 0.11098265647888184, 0.060281459242105484, 0.06766484677791595, 0.28810134530067444]	[0.23423917591571808, 0.19533966481685638, 0.08107658475637436, 0.6935409903526306, 0.2628972828388214, 0.06606385111808777, 0.11139719188213348, 0.053287193179130554, 0.05484437569975853, 0.2394571155309677]	[0.16627304255962372, 0.11044024676084518, 0.05948719382286072, 0.8848742842674255, 0.12338612228631973, 0.040601424872875214, 0.14150719344615936, 0.03996426612138748, 0.030192364007234573, 0.10268599539995193]	[0.16059908270835876, 0.11034748703241348, 0.03835805132985115, 0.9148624539375305, 0.0976489707827568, 0.025817397981882095, 0.1742529720067978, 0.02964206226170063, 0.017453495413064957, 0.05313078686594963]	[0.18058273196220398, 0.12910202145576477, 0.029655741527676582, 0.9274908900260925, 0.0897393524646759, 0.01734348013997078, 0.19240009784698486, 0.02270195260643959, 0.01161267701536417, 0.03805854544043541]	[0.1384366899728775, 0.13505995273590088, 0.030030712485313416, 0.933867335319519, 0.07213294506072998, 0.014354278333485126, 0.193735733628273, 0.021609218791127205, 0.010621038265526295, 0.03426460176706314]	[0.14802850782871246, 0.13699665665626526, 0.034215714782476425, 0.9308906197547913, 0.07697012275457382, 0.01627504825592041, 0.20795156061649323, 0.024965859949588776, 0.012933858670294285, 0.03464196249842644]	[0.1273678094148636, 0.11168451607227325, 0.030953001230955124, 0.9533835053443909, 0.056913942098617554, 0.015249551273882389, 0.22587589919567108, 0.023657172918319702, 0.013115289621055126, 0.02927626483142376]	
subject3_file_14	[0, 6]	[0.35454612970352173, 0.30112195014953613, 0.11762024462223053, 0.4764270782470703, 0.3879324793815613, 0.08717435598373413, 0.14043563604354858, 0.15230576694011688, 0.1087065190076828, 0.2869894504547119]	[0.347402423620224, 0.30767732858657837, 0.09141477197408676, 0.47442740201950073, 0.3806111514568329, 0.06960666179656982, 0.10847040265798569, 0.06954310089349747, 0.06655720621347427, 0.29193466901779175]	[0.3387671709060669, 0.3026849627494812, 0.09303253144025803, 0.4904918372631073, 0.37567245960235596, 0.07151012122631073, 0.11013483256101608, 0.05953824892640114, 0.06671880930662155, 0.28674301505088806]	[0.2252434343099594, 0.18530769646167755, 0.0786651223897934, 0.7130159139633179, 0.25169795751571655, 0.06309287250041962, 0.1099550724029541, 0.051779285073280334, 0.05195236578583717, 0.2345878928899765]	[0.16259369254112244, 0.10658533871173859, 0.0583483949303627, 0.89289391040802, 0.11805791407823563, 0.03938798978924751, 0.14249736070632935, 0.03929173946380615, 0.02900312840938568, 0.09863665699958801]	[0.1600191742181778, 0.10974612087011337, 0.03885946795344353, 0.91871577501297, 0.0964430496096611, 0.026135273277759552, 0.1786530315876007, 0.030261322855949402, 0.017558488994836807, 0.052284788340330124]	[0.1775566190481186, 0.12517093122005463, 0.03050931915640831, 0.9328944087028503, 0.08760853856801987, 0.017852241173386574, 0.19937250018119812, 0.023544589057564735, 0.01185893639922142, 0.037762533873319626]	[0.1249626949429512, 0.12084056437015533, 0.030062174424529076, 0.9477421641349792, 0.06348595023155212, 0.014331869781017303, 0.20897096395492554, 0.02216333895921707, 0.010395685210824013, 0.03158239647746086]	[0.12431333214044571, 0.1258707493543625, 0.030725780874490738, 0.9525471329689026, 0.06094389408826828, 0.014509319327771664, 0.22810202836990356, 0.02330416440963745, 0.011049512773752213, 0.02737453579902649]	[0.10321187973022461, 0.1147008016705513, 0.026457155123353004, 0.9668036103248596, 0.0432887002825737, 0.013325491920113564, 0.2439718246459961, 0.021864255890250206, 0.011430580168962479, 0.022685009986162186]	
subject3_file_85	[0, 4, 9]	[0.3550325334072113, 0.3020901381969452, 0.1187194213271141, 0.47648000717163086, 0.3887510895729065, 0.08819685131311417, 0.14151662588119507, 0.15345506370067596, 0.10987743735313416, 0.28795433044433594]	[0.3478942811489105, 0.308403879404068, 0.09211346507072449, 0.47440963983535767, 0.38122791051864624, 0.07018841803073883, 0.10915757715702057, 0.07009950280189514, 0.06716035306453705, 0.29260316491127014]	[0.3388182818889618, 0.3034702241420746, 0.09411103278398514, 0.4918001592159271, 0.3764107823371887, 0.07269860804080963, 0.1114235445857048, 0.0604131817817688, 0.06773768365383148, 0.28746843338012695]	[0.22842468321323395, 0.18910019099712372, 0.08081130683422089, 0.7067429423332214, 0.2557913064956665, 0.06563659012317657, 0.11258396506309509, 0.05359111726284027, 0.054279036819934845, 0.23706667125225067]	[0.20161287486553192, 0.16163282096385956, 0.09064331650733948, 0.7263971567153931, 0.22137287259101868, 0.0802929699420929, 0.14624430239200592, 0.06263834238052368, 0.06697957217693329, 0.18862807750701904]	[0.16516971588134766, 0.11244377493858337, 0.09547439217567444, 0.8365926146507263, 0.16821496188640594, 0.08336599171161652, 0.2127545326948166, 0.07055927067995071, 0.05657568946480751, 0.14881186187267303]	[0.15735752880573273, 0.09398006647825241, 0.07678775489330292, 0.8730044364929199, 0.1541615128517151, 0.05851229280233383, 0.21875740587711334, 0.05820901319384575, 0.03817261382937431, 0.13487543165683746]	[0.12824071943759918, 0.1236337274312973, 0.031846918165683746, 0.948421061038971, 0.06470496952533722, 0.015299995429813862, 0.21650198101997375, 0.02380179986357689, 0.011197871528565884, 0.032234977930784225]	[0.13212747871875763, 0.12614086270332336, 0.03446350619196892, 0.9510758519172668, 0.06594114005565643, 0.01708020269870758, 0.2349628508090973, 0.026756562292575836, 0.012839664705097675, 0.03124929592013359]	[0.11088123172521591, 0.11575786769390106, 0.028345845639705658, 0.9657997488975525, 0.045794397592544556, 0.0144336624071002, 0.2493216097354889, 0.023488296195864677, 0.012317029759287834, 0.024102427065372467]	
