Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject2_file_457	[3]	[0.30074965953826904, 0.29831600189208984, 0.15385320782661438, 0.5158711671829224, 0.3748018443584442, 0.11257456243038177, 0.09807142615318298, 0.10279531031847, 0.13872593641281128, 0.2985324263572693]	[0.3003835380077362, 0.2577839195728302, 0.08847428113222122, 0.6105542778968811, 0.2815234661102295, 0.09795980155467987, 0.11344137787818909, 0.06534404307603836, 0.08450395613908768, 0.2617665231227875]	[0.18975810706615448, 0.147946298122406, 0.05940711498260498, 0.8404068350791931, 0.13993768393993378, 0.06547801941633224, 0.14759235084056854, 0.06326429545879364, 0.05925735831260681, 0.15489906072616577]	[0.1752341389656067, 0.16634657979011536, 0.04755675047636032, 0.8327823877334595, 0.1495688259601593, 0.05084514245390892, 0.15536168217658997, 0.06048145890235901, 0.056955330073833466, 0.1370101422071457]	[0.1859177201986313, 0.1476307511329651, 0.09122273325920105, 0.4063350260257721, 0.5447391271591187, 0.1412864327430725, 0.16174420714378357, 0.10946474224328995, 0.18935662508010864, 0.5425378084182739]	[0.12593473494052887, 0.06361479312181473, 0.08605621010065079, 0.31800270080566406, 0.46351853013038635, 0.1477632075548172, 0.13258376717567444, 0.16242708265781403, 0.28753313422203064, 0.6906532645225525]	[0.11967332661151886, 0.13098768889904022, 0.012102369219064713, 0.9515389800071716, 0.06747157126665115, 0.005626043304800987, 0.13867543637752533, 0.021809903904795647, 0.012232888489961624, 0.04309573397040367]	[0.1439717561006546, 0.04704403132200241, 0.03941117972135544, 0.2100592702627182, 0.5988234877586365, 0.057464879006147385, 0.030690940096974373, 0.0516984723508358, 0.06299866735935211, 0.5763660669326782]	[0.16575677692890167, 0.057302653789520264, 0.028337573632597923, 0.29521748423576355, 0.4583280086517334, 0.029460085555911064, 0.04094387963414192, 0.054019227623939514, 0.05784652754664421, 0.4414662718772888]	[0.09321378916501999, 0.10553987324237823, 0.005728598218411207, 0.981262743473053, 0.034294262528419495, 0.0013157298089936376, 0.14301036298274994, 0.02275674231350422, 0.012008866295218468, 0.024799013510346413]	
subject2_file_679	[3, 6]	[0.30128249526023865, 0.29867592453956604, 0.15440209209918976, 0.515853762626648, 0.3750099539756775, 0.11313271522521973, 0.098507359623909, 0.10328242927789688, 0.13926608860492706, 0.2988849878311157]	[0.30105721950531006, 0.2583462595939636, 0.0891345962882042, 0.6103008389472961, 0.2819405198097229, 0.09869105368852615, 0.11412321776151657, 0.0658717229962349, 0.08516880869865417, 0.2622479200363159]	[0.19597198069095612, 0.15593290328979492, 0.06263896077871323, 0.8254519701004028, 0.151516854763031, 0.06872497498989105, 0.14689336717128754, 0.06383867561817169, 0.06181935966014862, 0.16311416029930115]	[0.19539152085781097, 0.18765461444854736, 0.056229520589113235, 0.7553633451461792, 0.21167325973510742, 0.0617147758603096, 0.14669454097747803, 0.06181962788105011, 0.06453879922628403, 0.1773144006729126]	[0.1436341255903244, 0.13002948462963104, 0.03548619523644447, 0.8377218246459961, 0.15218429267406464, 0.043820757418870926, 0.18242846429347992, 0.07523319125175476, 0.09038762003183365, 0.17510280013084412]	[0.12905453145503998, 0.10548509657382965, 0.023042378947138786, 0.877290666103363, 0.09407886117696762, 0.020747337490320206, 0.15071514248847961, 0.05645137280225754, 0.057318806648254395, 0.12758052349090576]	[0.12524859607219696, 0.12660160660743713, 0.012844398617744446, 0.940456748008728, 0.07845878601074219, 0.006515365093946457, 0.13601480424404144, 0.024547988548874855, 0.014225620776414871, 0.05039995163679123]	[0.14211539924144745, 0.10381743311882019, 0.011190333403646946, 0.9075519442558289, 0.11371254175901413, 0.005864654202014208, 0.10744785517454147, 0.027099795639514923, 0.014995303936302662, 0.06913167983293533]	[0.09523116052150726, 0.09094326198101044, 0.007497732527554035, 0.9681641459465027, 0.04990416765213013, 0.0024085885379463434, 0.12772530317306519, 0.022740963846445084, 0.011850903742015362, 0.04076957330107689]	[0.07883575558662415, 0.0896913930773735, 0.005554226692765951, 0.9876545071601868, 0.021707801148295403, 0.0011635592672973871, 0.16805805265903473, 0.023840943351387978, 0.013457509689033031, 0.022182846441864967]	
subject2_file_95	[0, 6]	[0.3067913353443146, 0.3115095794200897, 0.1611117422580719, 0.5008996725082397, 0.38756877183914185, 0.11579032242298126, 0.09767355024814606, 0.10272566229104996, 0.13961412012577057, 0.3025364875793457]	[0.34092971682548523, 0.37108078598976135, 0.12488768994808197, 0.4200039505958557, 0.45686012506484985, 0.10709704458713531, 0.09511154145002365, 0.06415723264217377, 0.09772912412881851, 0.29517897963523865]	[0.41686874628067017, 0.4449736773967743, 0.1315871775150299, 0.2714851200580597, 0.5552026033401489, 0.11043769866228104, 0.06604423373937607, 0.05387955158948898, 0.08395557105541229, 0.3817151188850403]	[0.4393036663532257, 0.4475851058959961, 0.13825495541095734, 0.2529689073562622, 0.5650687217712402, 0.12430834025144577, 0.05948984622955322, 0.05945191904902458, 0.08131135255098343, 0.39725205302238464]	[0.495538592338562, 0.5185907483100891, 0.13595634698867798, 0.31559106707572937, 0.4587818682193756, 0.10006417334079742, 0.06235496327280998, 0.058525826781988144, 0.059136077761650085, 0.2589660584926605]	[0.6274484395980835, 0.6753573417663574, 0.20433016121387482, 0.16532570123672485, 0.6144356727600098, 0.12433145940303802, 0.07594380527734756, 0.05518000200390816, 0.050128765404224396, 0.25856199860572815]	[0.678694486618042, 0.6691639423370361, 0.19974304735660553, 0.15026706457138062, 0.6787785887718201, 0.10677113384008408, 0.07895264774560928, 0.039652854204177856, 0.03351612016558647, 0.21551935374736786]	[0.7966570258140564, 0.7426019906997681, 0.2774471640586853, 0.09143877774477005, 0.7944180965423584, 0.16425685584545135, 0.07874949276447296, 0.04204695299267769, 0.03184407204389572, 0.22777704894542694]	[0.8868643045425415, 0.8114615678787231, 0.3659730553627014, 0.056489333510398865, 0.895329475402832, 0.27494460344314575, 0.08428401499986649, 0.06035103276371956, 0.03751220181584358, 0.21817748248577118]	[0.9289200901985168, 0.841718852519989, 0.377794086933136, 0.03938670828938484, 0.9265714287757874, 0.289492666721344, 0.07749832421541214, 0.058512818068265915, 0.0342160128057003, 0.168432354927063]	
subject2_file_899	[0, 4, 9]	[0.3092876672744751, 0.31339138746261597, 0.1639869660139084, 0.49997657537460327, 0.38837823271751404, 0.11850046366453171, 0.09968695789575577, 0.10486771166324615, 0.14226454496383667, 0.30380332469940186]	[0.3471716642379761, 0.3768949508666992, 0.13039353489875793, 0.413248211145401, 0.46126076579093933, 0.11207098513841629, 0.09769570082426071, 0.06688220798969269, 0.10269515961408615, 0.2978508174419403]	[0.4237503707408905, 0.4507964551448822, 0.13689665496349335, 0.26797205209732056, 0.5568174719810486, 0.11553288251161575, 0.06785187870264053, 0.0562129020690918, 0.08797178417444229, 0.38476839661598206]	[0.4078826606273651, 0.4099513292312622, 0.12425772100687027, 0.36124810576438904, 0.4521385431289673, 0.11254522949457169, 0.07150472700595856, 0.06437379866838455, 0.08062257617712021, 0.327157586812973]	[0.49968910217285156, 0.5221231579780579, 0.1375277191400528, 0.34978848695755005, 0.41750723123550415, 0.10275813937187195, 0.07139613479375839, 0.06279288232326508, 0.06373176723718643, 0.242041677236557]	[0.6272532343864441, 0.6731495261192322, 0.20507924258708954, 0.18024764955043793, 0.5819076299667358, 0.12916035950183868, 0.0887674018740654, 0.062334172427654266, 0.057173024863004684, 0.2510114908218384]	[0.6785390973091125, 0.6173239350318909, 0.2280561625957489, 0.09249553829431534, 0.7528796792030334, 0.15640009939670563, 0.06638380140066147, 0.05282992124557495, 0.0519242100417614, 0.30981895327568054]	[0.7523967027664185, 0.6437660455703735, 0.26721394062042236, 0.05689697712659836, 0.8168411254882812, 0.20153872668743134, 0.05633632093667984, 0.05149398744106293, 0.04992138221859932, 0.37098318338394165]	[0.7490283250808716, 0.619076669216156, 0.22068773210048676, 0.047274064272642136, 0.8128146529197693, 0.1569649875164032, 0.04578159749507904, 0.04672053083777428, 0.042498718947172165, 0.3936721086502075]	[0.6210678815841675, 0.42486923933029175, 0.17762455344200134, 0.026142599061131477, 0.7919177412986755, 0.13020122051239014, 0.027771973982453346, 0.03869233652949333, 0.04633714258670807, 0.5802205204963684]	
subject2_file_368	[4]	[0.30737608671188354, 0.31196051836013794, 0.16173158586025238, 0.5006605386734009, 0.3877459764480591, 0.11637314409017563, 0.09808056801557541, 0.10318154096603394, 0.14018377661705017, 0.30275827646255493]	[0.34273701906204224, 0.37260761857032776, 0.126161128282547, 0.41803500056266785, 0.4578345715999603, 0.10826541483402252, 0.09558843821287155, 0.0647854134440422, 0.09900180250406265, 0.2955944836139679]	[0.4177599549293518, 0.4443165361881256, 0.1317673623561859, 0.2745424807071686, 0.5510070323944092, 0.11065685749053955, 0.06629858165979385, 0.05438922718167305, 0.08433658629655838, 0.37953898310661316]	[0.4311341345310211, 0.43751105666160583, 0.13423559069633484, 0.2825036346912384, 0.5317482948303223, 0.12041143327951431, 0.06230618804693222, 0.06056532636284828, 0.08055774122476578, 0.3753078877925873]	[0.4580501616001129, 0.48620840907096863, 0.10837982594966888, 0.43948861956596375, 0.352911114692688, 0.07647892087697983, 0.06891009956598282, 0.05433220788836479, 0.05077514052391052, 0.19676832854747772]	[0.46627509593963623, 0.5474780797958374, 0.08084169775247574, 0.5581315159797668, 0.2677876949310303, 0.03711220249533653, 0.09857356548309326, 0.03427170589566231, 0.026245927438139915, 0.10666496306657791]	[0.44708913564682007, 0.559698224067688, 0.07059095054864883, 0.6140856742858887, 0.23121954500675201, 0.02331268973648548, 0.12676319479942322, 0.02521812543272972, 0.017787987366318703, 0.08448223024606705]	[0.42513254284858704, 0.5696359872817993, 0.0675169974565506, 0.6786161661148071, 0.15161043405532837, 0.017160769551992416, 0.15955284237861633, 0.02513301372528076, 0.016182294115424156, 0.08044037222862244]	[0.35387611389160156, 0.5446203947067261, 0.06280940771102905, 0.797451376914978, 0.07974305748939514, 0.011394718661904335, 0.19459493458271027, 0.032793134450912476, 0.01875859498977661, 0.06887741386890411]	[0.4292346239089966, 0.5953013896942139, 0.08616184443235397, 0.7994006872177124, 0.08275453746318817, 0.012479200027883053, 0.1990964114665985, 0.04163410887122154, 0.022790882736444473, 0.045501064509153366]	
subject2_file_425	[4, 9]	[0.3025777339935303, 0.305378794670105, 0.15618641674518585, 0.5069721937179565, 0.38245606422424316, 0.11236035078763962, 0.09601081907749176, 0.10096319019794464, 0.13691897690296173, 0.3002009093761444]	[0.30304989218711853, 0.26038503646850586, 0.09110052138566971, 0.6091120839118958, 0.28332406282424927, 0.10084456950426102, 0.1158457025885582, 0.06724264472723007, 0.0871107205748558, 0.2636643946170807]	[0.20008933544158936, 0.157134547829628, 0.06400718539953232, 0.8306553363800049, 0.14631055295467377, 0.07055306434631348, 0.14997895061969757, 0.0662427470088005, 0.06355859339237213, 0.16109925508499146]	[0.21435600519180298, 0.20655186474323273, 0.06575259566307068, 0.7196671962738037, 0.2384185492992401, 0.07254084944725037, 0.14908507466316223, 0.06534449756145477, 0.07160038501024246, 0.19879157841205597]	[0.1849362552165985, 0.1373680830001831, 0.09632450342178345, 0.29711952805519104, 0.6444437503814697, 0.16021709144115448, 0.13386406004428864, 0.10381846129894257, 0.2020455151796341, 0.6342465281486511]	[0.10956858098506927, 0.055363092571496964, 0.1070849746465683, 0.32158443331718445, 0.49363788962364197, 0.19067709147930145, 0.15614737570285797, 0.22183647751808167, 0.4054311215877533, 0.7600513100624084]	[0.08509255200624466, 0.03920488432049751, 0.128481924533844, 0.2518881559371948, 0.4350442588329315, 0.23898199200630188, 0.11422117799520493, 0.30973371863365173, 0.47466498613357544, 0.8320364356040955]	[0.06640300899744034, 0.02645202912390232, 0.14837786555290222, 0.3668634295463562, 0.2339348942041397, 0.24276313185691833, 0.12212575227022171, 0.5179232358932495, 0.7354345917701721, 0.8585474491119385]	[0.052625201642513275, 0.021592140197753906, 0.12231017649173737, 0.41828832030296326, 0.14119835197925568, 0.16499942541122437, 0.096211276948452, 0.5902507305145264, 0.8070082068443298, 0.8798471689224243]	[0.04199196398258209, 0.01973007619380951, 0.09556668996810913, 0.44428834319114685, 0.09866310656070709, 0.11912704259157181, 0.07473554462194443, 0.6434663534164429, 0.8553900122642517, 0.9121150374412537]	
subject2_file_646	[3]	[0.3007056713104248, 0.29814648628234863, 0.15367117524147034, 0.5159040689468384, 0.3745690882205963, 0.11242735385894775, 0.0979669839143753, 0.10259280353784561, 0.13852126896381378, 0.2984008193016052]	[0.30067384243011475, 0.25795692205429077, 0.08861131221055984, 0.6105502843856812, 0.2814541459083557, 0.098146453499794, 0.11356816440820694, 0.0654391422867775, 0.0846380963921547, 0.26182568073272705]	[0.18960316479206085, 0.14640378952026367, 0.05896864831447601, 0.8454594612121582, 0.13550297915935516, 0.06513696908950806, 0.1485389918088913, 0.06375831365585327, 0.05900227278470993, 0.15210479497909546]	[0.15815766155719757, 0.14711865782737732, 0.040945637971162796, 0.8981440663337708, 0.09399150311946869, 0.0427716001868248, 0.17055140435695648, 0.06020244583487511, 0.05112627521157265, 0.09985708445310593]	[0.1360008418560028, 0.1422298103570938, 0.02428983524441719, 0.9442126750946045, 0.055800050497055054, 0.021881338208913803, 0.1813686490058899, 0.05295463278889656, 0.04571207985281944, 0.06357967108488083]	[0.11947627365589142, 0.05637919902801514, 0.08636713027954102, 0.26017290353775024, 0.5211214423179626, 0.1575886607170105, 0.10745539516210556, 0.1514195054769516, 0.2891305685043335, 0.742495596408844]	[0.11109213531017303, 0.11880508065223694, 0.011364762671291828, 0.9541880488395691, 0.06501387059688568, 0.005481462925672531, 0.13262590765953064, 0.021293649449944496, 0.01231900230050087, 0.043876711279153824]	[0.10210543125867844, 0.09966090321540833, 0.009212146513164043, 0.9636068344116211, 0.05244974419474602, 0.0036575726699084044, 0.13532754778862, 0.020893486216664314, 0.01097747404128313, 0.04272953048348427]	[0.10813410580158234, 0.03351614996790886, 0.03050161525607109, 0.14865544438362122, 0.5998228788375854, 0.04004507511854172, 0.019298503175377846, 0.04469943791627884, 0.060972150415182114, 0.684883177280426]	[0.07651521265506744, 0.09435184299945831, 0.005326654762029648, 0.9839163422584534, 0.030488496646285057, 0.001115420600399375, 0.11791779845952988, 0.019492262974381447, 0.01041160523891449, 0.02766340970993042]	
subject2_file_52	[3, 6]	[0.3035319149494171, 0.3087138831615448, 0.15707440674304962, 0.5024948120117188, 0.3860650360584259, 0.1121026873588562, 0.09498912841081619, 0.09983021765947342, 0.13594967126846313, 0.3008849620819092]	[0.33132562041282654, 0.3600645959377289, 0.1165425255894661, 0.433925062417984, 0.446331262588501, 0.10012304037809372, 0.09189765155315399, 0.06054242327809334, 0.09069452434778214, 0.2906617820262909]	[0.3745453357696533, 0.3952740430831909, 0.11409000307321548, 0.33563798666000366, 0.5051804780960083, 0.09653890877962112, 0.06928753852844238, 0.0510830394923687, 0.07407483458518982, 0.3493916988372803]	[0.451507031917572, 0.46788567304611206, 0.155845507979393, 0.1387670636177063, 0.7374236583709717, 0.14857704937458038, 0.05338253080844879, 0.054588887840509415, 0.0873328149318695, 0.5294020175933838]	[0.31631726026535034, 0.2693965435028076, 0.1583668440580368, 0.07374542206525803, 0.8834633231163025, 0.17750541865825653, 0.04378324747085571, 0.06311183422803879, 0.09071800112724304, 0.7352859377861023]	[0.27214857935905457, 0.16193966567516327, 0.13699238002300262, 0.04280605539679527, 0.9075786471366882, 0.18256545066833496, 0.021443543955683708, 0.05345301702618599, 0.06991913914680481, 0.7811746597290039]	[0.4096205532550812, 0.2734071612358093, 0.119301937520504, 0.091244176030159, 0.8441905975341797, 0.10533206909894943, 0.022562885656952858, 0.03147593140602112, 0.03132104501128197, 0.47640177607536316]	[0.3865639865398407, 0.15830598771572113, 0.14690257608890533, 0.022953981533646584, 0.9635456204414368, 0.2223944365978241, 0.009358794428408146, 0.02727537602186203, 0.03089674934744835, 0.7240937948226929]	[0.5076577067375183, 0.21639883518218994, 0.1655271053314209, 0.025564739480614662, 0.9728276133537292, 0.2319747805595398, 0.010342413559556007, 0.027674837037920952, 0.024041712284088135, 0.583568274974823]	[0.6002731323242188, 0.2560959756374359, 0.1787235587835312, 0.02437731809914112, 0.9820804595947266, 0.2475719153881073, 0.008787042461335659, 0.023539546877145767, 0.01839016005396843, 0.5007333755493164]	
subject2_file_123	[0, 6]	[0.30685171484947205, 0.3115837275981903, 0.1611485332250595, 0.500935435295105, 0.3875502943992615, 0.11583451926708221, 0.0977068617939949, 0.10275868326425552, 0.13963355123996735, 0.3026050925254822]	[0.3411465585231781, 0.37117335200309753, 0.12486487627029419, 0.42040273547172546, 0.4565499722957611, 0.10716889798641205, 0.09515273571014404, 0.06421186029911041, 0.09770283102989197, 0.29531311988830566]	[0.41523289680480957, 0.44145670533180237, 0.1299223154783249, 0.27869081497192383, 0.5475102066993713, 0.10904175043106079, 0.06608317047357559, 0.053943879902362823, 0.08306919038295746, 0.3773827850818634]	[0.44274985790252686, 0.4507903456687927, 0.14060258865356445, 0.25142702460289, 0.5656933784484863, 0.12657715380191803, 0.05993383377790451, 0.059796642512083054, 0.08208303898572922, 0.39926210045814514]	[0.4771134555339813, 0.5011892914772034, 0.12366607040166855, 0.35944506525993347, 0.4221455156803131, 0.09004316478967667, 0.06446222960948944, 0.05627237632870674, 0.055465903133153915, 0.23802074790000916]	[0.48990899324417114, 0.5739896893501282, 0.09028320759534836, 0.5147057771682739, 0.2940055727958679, 0.0417189821600914, 0.0973975658416748, 0.03533121943473816, 0.02749716117978096, 0.11492370069026947]	[0.4643401801586151, 0.5685024857521057, 0.07690665125846863, 0.573643684387207, 0.2561667263507843, 0.026414241641759872, 0.12092575430870056, 0.026025623083114624, 0.018957460299134254, 0.0941537395119667]	[0.4203663468360901, 0.5704632997512817, 0.06759918481111526, 0.7003198862075806, 0.13562190532684326, 0.01702633686363697, 0.17214332520961761, 0.026360301300883293, 0.017266685143113136, 0.07826558500528336]	[0.3449399173259735, 0.5488097667694092, 0.06444688141345978, 0.8421845436096191, 0.059847645461559296, 0.011054693721234798, 0.23184509575366974, 0.037354085594415665, 0.021288100630044937, 0.06271107494831085]	[0.36957529187202454, 0.5969423055648804, 0.07796948403120041, 0.9063976407051086, 0.03163564205169678, 0.008390829898416996, 0.29941147565841675, 0.050131164491176605, 0.02669517509639263, 0.03295011445879936]	
subject2_file_821	[0, 9]	[0.30906641483306885, 0.3132198750972748, 0.16373081505298615, 0.5000277161598206, 0.3882945477962494, 0.11826436966657639, 0.0995103120803833, 0.10468462109565735, 0.1420368254184723, 0.30367574095726013]	[0.34661388397216797, 0.3764227330684662, 0.12996521592140198, 0.41372472047805786, 0.4609668254852295, 0.11167504638433456, 0.09749726206064224, 0.06667154282331467, 0.10230837017297745, 0.29762032628059387]	[0.42285433411598206, 0.45011958479881287, 0.1364639848470688, 0.2682496905326843, 0.5568476319313049, 0.11515413969755173, 0.06775996834039688, 0.05601727217435837, 0.08768615126609802, 0.3845474123954773]	[0.4057002067565918, 0.40785276889801025, 0.12294604629278183, 0.3650323748588562, 0.4490376114845276, 0.11128830909729004, 0.07151450961828232, 0.06415208429098129, 0.08004753291606903, 0.32471272349357605]	[0.4957301616668701, 0.5189155340194702, 0.13389450311660767, 0.36205416917800903, 0.4065743684768677, 0.09950579702854156, 0.07175830751657486, 0.06206987798213959, 0.06247130036354065, 0.23512153327465057]	[0.6078855395317078, 0.6632506847381592, 0.17895013093948364, 0.22916863858699799, 0.5221126675605774, 0.10587822645902634, 0.09218809753656387, 0.05669623613357544, 0.050375934690237045, 0.21573472023010254]	[0.6594845652580261, 0.6185452342033386, 0.19589272141456604, 0.12891599535942078, 0.6902786493301392, 0.12130281329154968, 0.07316695153713226, 0.04775884374976158, 0.04458978772163391, 0.261486291885376]	[0.7339597344398499, 0.6514678001403809, 0.22630302608013153, 0.09019258618354797, 0.7459078431129456, 0.14612984657287598, 0.06546100974082947, 0.04614166542887688, 0.04173325374722481, 0.2998388111591339]	[0.7256239056587219, 0.640165388584137, 0.17779110372066498, 0.100201316177845, 0.6962410807609558, 0.0979975014925003, 0.06161076948046684, 0.043883807957172394, 0.03536774963140488, 0.27663981914520264]	[0.6815242767333984, 0.6446075439453125, 0.11675326526165009, 0.15414057672023773, 0.5214020609855652, 0.04103386774659157, 0.0619661882519722, 0.03485003858804703, 0.026685597375035286, 0.19249579310417175]	
