Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject4_file_156	[3]	[0.3379262387752533, 0.39705583453178406, 0.07190823554992676, 0.565418004989624, 0.3331899046897888, 0.07747779041528702, 0.1626339554786682, 0.05928683280944824, 0.07195529341697693, 0.2239840179681778]	[0.26998192071914673, 0.4193635582923889, 0.009774507023394108, 0.8829991221427917, 0.07076838612556458, 0.012985741719603539, 0.13227391242980957, 0.026868445798754692, 0.016091568395495415, 0.02536005713045597]	[0.11753059178590775, 0.29106202721595764, 0.0032662490848451853, 0.7036440372467041, 0.030916132032871246, 0.003806918393820524, 0.0853445753455162, 0.005517227109521627, 0.005134727340191603, 0.03224944323301315]	[0.0907769650220871, 0.25401178002357483, 0.001372043159790337, 0.5722077488899231, 0.038087911903858185, 0.0015617336612194777, 0.052553582936525345, 0.0014918155502527952, 0.0018550863023847342, 0.05078066885471344]	[0.4427645206451416, 0.511494517326355, 0.0022002868354320526, 0.22702860832214355, 0.25762927532196045, 0.0036403133999556303, 0.05767948552966118, 0.0015618414618074894, 0.002330667804926634, 0.07757171988487244]	[0.29272931814193726, 0.16170094907283783, 0.0008636880666017532, 0.1959010362625122, 0.34054338932037354, 0.0017831296427175403, 0.018789319321513176, 0.000387130567105487, 0.0011976606911048293, 0.23875181376934052]	[0.4951772689819336, 0.9897881746292114, 0.0005449682357721031, 0.9938925504684448, 0.3544643223285675, 0.0008792098378762603, 0.009241093881428242, 0.5203449726104736, 0.6663563251495361, 0.00425475649535656]	[0.04229426756501198, 0.9132182002067566, 0.0017087056767195463, 0.9557675123214722, 0.11074525862932205, 0.0025721241254359484, 0.0017151256324723363, 0.048812683671712875, 0.4267432391643524, 0.03997870162129402]	[0.8776270151138306, 0.9734891057014465, 0.11407643556594849, 0.021583808586001396, 0.9326379299163818, 0.0705624595284462, 0.00012336493819020689, 1.809406421671156e-05, 0.00025184839614667, 0.023629045113921165]	[0.2671557664871216, 0.32145172357559204, 0.0021413990762084723, 0.9914190769195557, 0.06132839620113373, 0.0018054645042866468, 0.114377960562706, 0.43128418922424316, 0.8073120713233948, 0.07683932036161423]	
subject4_file_414	[3]	[0.40509989857673645, 0.30983877182006836, 0.05410878732800484, 0.19606943428516388, 0.6033763885498047, 0.03733265399932861, 0.06626508384943008, 0.047377996146678925, 0.04057398810982704, 0.2816274166107178]	[0.6497163772583008, 0.6894777417182922, 0.055266059935092926, 0.02030658721923828, 0.6733635067939758, 0.05986581742763519, 0.07639876753091812, 0.04880157858133316, 0.026188164949417114, 0.29132550954818726]	[0.7362226247787476, 0.8040192723274231, 0.027927033603191376, 0.009674706496298313, 0.7823935747146606, 0.020907185971736908, 0.014183929190039635, 0.011580041609704494, 0.008122419007122517, 0.18149122595787048]	[0.8170580863952637, 0.9524029493331909, 0.02175212651491165, 0.005961964372545481, 0.8059558868408203, 0.011734056286513805, 0.006481670308858156, 0.006401900667697191, 0.006571187172085047, 0.10634109377861023]	[0.9132015109062195, 0.937801718711853, 0.022706199437379837, 0.0121901361271739, 0.9039849638938904, 0.011654241010546684, 0.006299484986811876, 0.010978215374052525, 0.00347888539545238, 0.06724002957344055]	[0.912241518497467, 0.9744946956634521, 0.006734056398272514, 0.028546644374728203, 0.8039677143096924, 0.004440142773091793, 0.011791893281042576, 0.005657522939145565, 0.001418294501490891, 0.0423726961016655]	[0.953924298286438, 0.5733983516693115, 0.04436779394745827, 0.0030059502460062504, 0.9006076455116272, 0.009079107083380222, 0.0010807218495756388, 0.08874643594026566, 0.014217452146112919, 0.9784727096557617]	[0.9589200019836426, 0.9416544437408447, 0.026854896917939186, 0.004827529191970825, 0.9454489350318909, 0.005927426740527153, 0.0002923135762102902, 0.00937245599925518, 0.0017600799910724163, 0.27264404296875]	[0.9731553792953491, 0.9778786897659302, 0.02077886462211609, 0.001719912514090538, 0.965469241142273, 0.0031958778854459524, 3.8151320040924475e-05, 0.004582008346915245, 0.00045487817260436714, 0.1774047166109085]	[0.9769721031188965, 0.8226961493492126, 0.023349786177277565, 0.0005348488339222968, 0.8894730806350708, 0.009628263302147388, 0.002345477929338813, 0.0009905366459861398, 3.1977298931451514e-05, 0.19613000750541687]	
subject4_file_650	[3]	[0.39288774132728577, 0.4182415008544922, 0.18372482061386108, 0.6789559721946716, 0.28312867879867554, 0.15534161031246185, 0.15938624739646912, 0.14385396242141724, 0.14956894516944885, 0.3215157687664032]	[0.25898420810699463, 0.40487080812454224, 0.025334618985652924, 0.980363667011261, 0.046060942113399506, 0.019185950979590416, 0.16173432767391205, 0.08337260782718658, 0.0482061542570591, 0.026579294353723526]	[0.25138241052627563, 0.6649985909461975, 0.012136349454522133, 0.9911363124847412, 0.02578715607523918, 0.00583301018923521, 0.1038161963224411, 0.06884650886058807, 0.04984401911497116, 0.008761512115597725]	[0.1769331842660904, 0.8119655251502991, 0.004982693120837212, 0.9960829019546509, 0.014721252955496311, 0.0023520286194980145, 0.05425413325428963, 0.0584908053278923, 0.049641456454992294, 0.005732417572289705]	[0.22097469866275787, 0.7789211273193359, 0.004461502190679312, 0.9935395121574402, 0.015352972783148289, 0.002675818046554923, 0.10590879619121552, 0.08072392642498016, 0.07655232399702072, 0.009308723732829094]	[0.3365307152271271, 0.739177942276001, 0.0033678989857435226, 0.9938418865203857, 0.0133031802251935, 0.0018095021368935704, 0.09534011036157608, 0.06467423588037491, 0.06560733914375305, 0.008583870716392994]	[0.3938249349594116, 0.8984361886978149, 0.01386563666164875, 0.9860572814941406, 0.030242040753364563, 0.005765961948782206, 0.03769170492887497, 0.020697180181741714, 0.05686122924089432, 0.005062846001237631]	[0.3152274489402771, 0.9538389444351196, 0.030720321461558342, 0.938485860824585, 0.08431201428174973, 0.01564454473555088, 0.00986087042838335, 0.002507005585357547, 0.019233228638768196, 0.007166478782892227]	[0.31874075531959534, 0.9720600247383118, 0.017758667469024658, 0.9817126393318176, 0.03700284659862518, 0.005655594635754824, 0.006584118120372295, 0.00146575050894171, 0.010797491297125816, 0.004013637080788612]	[0.32529377937316895, 0.9526489973068237, 0.01644122786819935, 0.9823009967803955, 0.0217440128326416, 0.005810638424009085, 0.02540438435971737, 0.0007086218683980405, 0.002398182637989521, 0.0019270657794550061]	
subject4_file_166	[3]	[0.3947027325630188, 0.4133608937263489, 0.17626090347766876, 0.6635935306549072, 0.2740503251552582, 0.14339518547058105, 0.14530746638774872, 0.13253770768642426, 0.15008336305618286, 0.3293628990650177]	[0.3273746073246002, 0.48520806431770325, 0.18158483505249023, 0.3331878185272217, 0.3117309808731079, 0.21914254128932953, 0.08206547051668167, 0.16027778387069702, 0.26364243030548096, 0.38650909066200256]	[0.40724340081214905, 0.9220274090766907, 0.06597907096147537, 0.6527538895606995, 0.17632898688316345, 0.0444980263710022, 0.01651519164443016, 0.0475519560277462, 0.11091247946023941, 0.036808423697948456]	[0.2696257531642914, 0.9806631207466125, 0.02751217968761921, 0.7869832515716553, 0.12126754969358444, 0.016107551753520966, 0.005046261474490166, 0.02327880822122097, 0.07375993579626083, 0.010977682657539845]	[0.13837891817092896, 0.9860994219779968, 0.010404037311673164, 0.8872452974319458, 0.07740112394094467, 0.008067015558481216, 0.0028555316384881735, 0.017443612217903137, 0.051027774810791016, 0.005263233557343483]	[0.17011772096157074, 0.9886166453361511, 0.0049133747816085815, 0.8383574485778809, 0.1463162899017334, 0.0038291302043944597, 0.0011072250781580806, 0.015306533314287663, 0.033382516354322433, 0.006473495624959469]	[0.4323076009750366, 0.8978357911109924, 0.03228579834103584, 0.7752176523208618, 0.03625482693314552, 0.006292247679084539, 0.01071349997073412, 0.1183256134390831, 0.1443042755126953, 0.5403919219970703]	[0.4001942276954651, 0.9865788817405701, 0.012682223692536354, 0.9023553133010864, 0.06999918818473816, 0.0032036041375249624, 0.004942516330629587, 0.013036763295531273, 0.021069684997200966, 0.015785273164510727]	[0.36007159948349, 0.9948595762252808, 0.006522292271256447, 0.9524794816970825, 0.033066071569919586, 0.0010709847556427121, 0.002247349824756384, 0.005673600826412439, 0.010176682844758034, 0.004897881764918566]	[0.29247161746025085, 0.9886007905006409, 0.008157208561897278, 0.8886653184890747, 0.02109384909272194, 0.0033846560399979353, 0.005056449212133884, 0.003291696310043335, 0.003924329299479723, 0.00520829064771533]	
subject4_file_173	[3]	[0.2397637814283371, 0.2761070728302002, 0.10382720082998276, 0.8991350531578064, 0.13190129399299622, 0.08736512064933777, 0.07588993012905121, 0.05824039876461029, 0.05317516624927521, 0.25793173909187317]	[0.031642042100429535, 0.01929846778512001, 0.014181829988956451, 0.9904436469078064, 0.03401454910635948, 0.02317490428686142, 0.03895533084869385, 0.04054328054189682, 0.024700738489627838, 0.10763876885175705]	[0.005312255583703518, 0.0009753522463142872, 0.0064201923087239265, 0.9988182187080383, 0.010026630945503712, 0.010350762866437435, 0.030641954392194748, 0.03766374662518501, 0.037139419466257095, 0.09487266838550568]	[0.000786538643296808, 0.00013866045628674328, 0.0013661328703165054, 0.999748170375824, 0.003207232803106308, 0.0032378339674323797, 0.005097351036965847, 0.027492711320519447, 0.037929680198431015, 0.041956111788749695]	[0.000208500845474191, 1.0992122952302452e-05, 0.00037247236468829215, 0.9988548755645752, 0.006769635248929262, 0.0008400220540352166, 0.00019281418644823134, 0.03816743567585945, 0.042604535818099976, 0.03692450374364853]	[0.000123620469821617, 1.4553123719451833e-06, 0.00010089895658893511, 0.9991829991340637, 0.011918166652321815, 0.0002718257892411202, 7.383103366009891e-05, 0.022187383845448494, 0.005955985281616449, 0.016707759350538254]	[0.00011358692427165806, 3.0089410074651823e-07, 0.00017435271001886576, 0.9992399215698242, 0.005110501311719418, 0.00024961159215308726, 0.00011226696369703859, 0.02175033837556839, 0.00498163653537631, 0.0353730209171772]	[7.054542220430449e-05, 6.070596469953671e-08, 2.1930996808805503e-05, 0.9999394416809082, 0.00033195517607964575, 1.7162150470539927e-05, 0.00032903815736062825, 0.010627949610352516, 0.002325387205928564, 0.05902186036109924]	[0.00012911541853100061, 3.779008395099481e-08, 1.3141573163011344e-06, 0.9999879598617554, 5.290967965265736e-05, 5.50772995211446e-07, 0.002120027784258127, 0.003211939474567771, 0.00016955522005446255, 0.013198597356677055]	[2.350465820200043e-06, 2.6694016241890495e-07, 7.933126084935793e-07, 0.9999955892562866, 0.00015289177827071398, 7.07006222455675e-07, 0.00020757906895596534, 0.017030790448188782, 0.0029338665772229433, 0.01463074516505003]	
subject4_file_174	[3]	[0.38918784260749817, 0.41264021396636963, 0.17420148849487305, 0.6645433902740479, 0.2697080671787262, 0.14593860507011414, 0.14679503440856934, 0.1333451271057129, 0.14414915442466736, 0.3268381357192993]	[0.29206037521362305, 0.45984214544296265, 0.023926490917801857, 0.9765490293502808, 0.0443342849612236, 0.01745278388261795, 0.13100187480449677, 0.08718691021203995, 0.045067742466926575, 0.025377992540597916]	[0.34282174706459045, 0.7919188141822815, 0.012163986451923847, 0.989682137966156, 0.029263615608215332, 0.004868951626121998, 0.08584019541740417, 0.07809081673622131, 0.04465910792350769, 0.006898099556565285]	[0.2963429391384125, 0.9009127020835876, 0.005046075209975243, 0.9970832467079163, 0.0142728416249156, 0.0017012357711791992, 0.0744081512093544, 0.06075722351670265, 0.0339173786342144, 0.0030443593859672546]	[0.3581981956958771, 0.8869801759719849, 0.003401002148166299, 0.9967533946037292, 0.007311071734875441, 0.0012792190536856651, 0.14902858436107635, 0.057852864265441895, 0.03554607555270195, 0.0037332805804908276]	[0.6375739574432373, 0.9058064222335815, 0.0023277413565665483, 0.997657060623169, 0.004568049684166908, 0.0005552837974391878, 0.17378297448158264, 0.04562603309750557, 0.024482961744070053, 0.0026912225876003504]	[0.8794001936912537, 0.9732370972633362, 0.0123505974188447, 0.9963153004646301, 0.006876111030578613, 0.0010998075595125556, 0.3135928809642792, 0.011851892806589603, 0.010424494743347168, 0.0007808699738234282]	[0.903078019618988, 0.9873164892196655, 0.026432523503899574, 0.9878249168395996, 0.016347670927643776, 0.0024584936909377575, 0.28029415011405945, 0.00060050975298509, 0.0012692217715084553, 0.0004932064330205321]	[0.9268152713775635, 0.9923543930053711, 0.019192839041352272, 0.995960533618927, 0.00763814989477396, 0.0010498481569811702, 0.2812919616699219, 0.0003052741230931133, 0.0006530703976750374, 0.0002806021075230092]	[0.6489289999008179, 0.9853301048278809, 0.004903606604784727, 0.9983589053153992, 0.001478830585256219, 0.00043874848051927984, 0.13683106005191803, 6.516567373182625e-05, 0.0001153979028458707, 0.0001411746343364939]	
subject4_file_165	[3]	[0.3040112853050232, 0.3740086257457733, 0.0736759677529335, 0.45115745067596436, 0.3543805181980133, 0.1004190444946289, 0.1860668659210205, 0.06841432303190231, 0.07746001332998276, 0.27251237630844116]	[0.5834255218505859, 0.6461217999458313, 0.0754590630531311, 0.16626068949699402, 0.5320295691490173, 0.11690621078014374, 0.31710517406463623, 0.03851199522614479, 0.02377576194703579, 0.19569668173789978]	[0.7372245192527771, 0.7052057981491089, 0.08009817451238632, 0.09015651792287827, 0.5858087539672852, 0.08905226737260818, 0.32268866896629333, 0.005571388173848391, 0.0036643557250499725, 0.05638125538825989]	[0.760570764541626, 0.19765159487724304, 0.12065184116363525, 0.012539086863398552, 0.5996999740600586, 0.21128982305526733, 0.5702283978462219, 0.0015079753939062357, 0.000943317252676934, 0.17062170803546906]	[0.3157309889793396, 0.008075115270912647, 0.034969210624694824, 0.012555408291518688, 0.20024679601192474, 0.08362625539302826, 0.756846010684967, 0.0006154706934466958, 0.0003852431837003678, 0.5440764427185059]	[0.3859030604362488, 0.0014559902483597398, 0.015193186700344086, 0.015073434449732304, 0.16401773691177368, 0.023783793672919273, 0.7792114019393921, 0.0001491127914050594, 6.907234637765214e-05, 0.6541311740875244]	[0.03481804206967354, 0.000529274926520884, 0.002815408166497946, 0.2199375480413437, 0.008008178323507309, 0.003655458800494671, 0.8550141453742981, 0.0020438411738723516, 0.0026133893989026546, 0.8285808563232422]	[0.015638863667845726, 0.0004928690032102168, 0.0009385120938532054, 0.4387833774089813, 0.00869437400251627, 0.0023428606800734997, 0.8905981183052063, 0.00021934162941761315, 0.0006348559400066733, 0.3646038770675659]	[0.0007343611214309931, 8.419251389568672e-05, 0.0001748583308653906, 0.42589226365089417, 0.006427527405321598, 0.001809482229873538, 0.573291540145874, 7.348888175329193e-05, 0.0007000290206633508, 0.6202523708343506]	[0.15240487456321716, 0.23695561289787292, 0.00044638727558776736, 0.2504518926143646, 0.04347993806004524, 0.0009960690513253212, 0.297410249710083, 0.00016247699386440217, 0.00026404898380860686, 0.06463898718357086]	
subject4_file_154	[3]	[0.40095627307891846, 0.30679255723953247, 0.051723968237638474, 0.25173085927963257, 0.5794543027877808, 0.03482437878847122, 0.05650440603494644, 0.037739675492048264, 0.035635173320770264, 0.2862411141395569]	[0.3064974248409271, 0.0730024054646492, 0.012584895826876163, 0.4616398811340332, 0.6418259739875793, 0.00938157644122839, 0.02945605292916298, 0.01658708043396473, 0.005591319873929024, 0.20652440190315247]	[0.23728056252002716, 0.004425862804055214, 0.011883458122611046, 0.6979031562805176, 0.5743094682693481, 0.011707489378750324, 0.018638744950294495, 0.012918740510940552, 0.0034012366086244583, 0.2623334228992462]	[0.035015836358070374, 0.0001684321032371372, 0.003939252346754074, 0.7117176651954651, 0.3488825857639313, 0.006706098560243845, 0.0006171200657263398, 0.0033242979552596807, 0.0018297455972060561, 0.39489585161209106]	[0.07011966407299042, 1.1383197488612495e-05, 0.014289958402514458, 0.017868394032120705, 0.8662617206573486, 0.038121357560157776, 0.00012582608906086534, 0.004447968211025, 0.0026826485991477966, 0.9209142327308655]	[0.10846959054470062, 3.382789373063133e-06, 0.008252761326730251, 0.019071629270911217, 0.9029377102851868, 0.019587760791182518, 4.271568468539044e-05, 0.0007560692611150444, 0.0003036115667782724, 0.674373984336853]	[0.008447620086371899, 8.471015462419018e-07, 0.001789061352610588, 0.1002197191119194, 0.8215368986129761, 0.001505869789980352, 1.7388758806191618e-06, 3.663279858301394e-05, 1.7596046745893545e-05, 0.3288467526435852]	[0.010416701436042786, 1.3052301994775917e-07, 0.0006960618193261325, 0.1682472974061966, 0.6206328868865967, 0.000543412403203547, 3.6051173992746044e-06, 8.988021363620646e-06, 8.24849121272564e-06, 0.5763440132141113]	[0.014025192707777023, 9.755857632853804e-08, 0.00010110602306667715, 0.08987434953451157, 0.782638430595398, 6.607476097997278e-05, 8.771469310886459e-07, 3.2054990697361063e-06, 7.019559689069865e-07, 0.42054492235183716]	[0.00032594692311249673, 7.002249446941278e-08, 6.114450661698356e-05, 0.4075659513473511, 0.769145131111145, 8.49201314849779e-05, 4.586529939842876e-06, 5.796002824354218e-06, 8.131089543894632e-07, 0.46865785121917725]	
subject4_file_171	[3]	[0.3139273226261139, 0.3876449167728424, 0.06210474297404289, 0.5293461084365845, 0.3263862729072571, 0.07561644911766052, 0.16412408649921417, 0.05528624355792999, 0.058540720492601395, 0.22436997294425964]	[0.40933796763420105, 0.5574710965156555, 0.04114401713013649, 0.03032911755144596, 0.4691046476364136, 0.10740204155445099, 0.1336222141981125, 0.03605019301176071, 0.038186024874448776, 0.3479691445827484]	[0.3425348699092865, 0.4977971017360687, 0.026481010019779205, 0.005255803931504488, 0.6049557328224182, 0.07799195498228073, 0.07249845564365387, 0.006653276272118092, 0.012775270268321037, 0.356546014547348]	[0.10032632201910019, 0.1303974837064743, 0.018178878352046013, 0.0012773307971656322, 0.6723692417144775, 0.08322198688983917, 0.02630392275750637, 0.0028560326900333166, 0.009424952790141106, 0.6866073608398438]	[0.22726596891880035, 0.8568381071090698, 0.0028980218339711428, 0.025943534448742867, 0.36656057834625244, 0.007287499960511923, 0.012356865219771862, 0.0004125343693885952, 0.0011100348783656955, 0.042206771671772]	[0.18182015419006348, 0.8245027661323547, 0.0006903997273184359, 0.01608113944530487, 0.7060962319374084, 0.0024410586338490248, 0.0015053641982376575, 0.0003441334411036223, 0.0006081454921513796, 0.08111647516489029]	[0.4180135130882263, 0.7156816124916077, 0.005341667216271162, 0.034929629415273666, 0.2922603189945221, 0.005888410843908787, 0.00386512721888721, 0.04591487720608711, 0.03496702015399933, 0.8870680928230286]	[0.3604199290275574, 0.9293867945671082, 0.0036649147514253855, 0.058155931532382965, 0.45646166801452637, 0.00468847993761301, 0.0014082472771406174, 0.001806608634069562, 0.002094694646075368, 0.06974838674068451]	[0.32959258556365967, 0.9740172624588013, 0.0026672130916267633, 0.04605052247643471, 0.41743189096450806, 0.002941017970442772, 0.00033290754072368145, 0.0005116455140523612, 0.0005403949180617929, 0.02772475592792034]	[0.8154640793800354, 0.9709414839744568, 0.017871154472231865, 0.0011180514702573419, 0.8901800513267517, 0.0513560026884079, 0.003383800620213151, 6.143650534795597e-05, 2.538442458899226e-05, 0.027408234775066376]	
subject4_file_17	[3]	[0.39491602778434753, 0.4138204753398895, 0.17060880362987518, 0.6740738749504089, 0.2646139860153198, 0.13761113584041595, 0.14156799018383026, 0.12680433690547943, 0.14212176203727722, 0.3211582601070404]	[0.26020222902297974, 0.43900957703590393, 0.022905640304088593, 0.9707557559013367, 0.04157324880361557, 0.01741383969783783, 0.1099027544260025, 0.07672395557165146, 0.046334054321050644, 0.029786864295601845]	[0.26094022393226624, 0.7727148532867432, 0.010372071526944637, 0.9834595322608948, 0.024062801152467728, 0.004942555911839008, 0.045598264783620834, 0.06056463345885277, 0.04869578406214714, 0.009864088147878647]	[0.23163968324661255, 0.8980420231819153, 0.004274992272257805, 0.9967125654220581, 0.011754284612834454, 0.0015468819765374064, 0.04088158905506134, 0.05093106999993324, 0.03539116680622101, 0.0035755953285843134]	[0.294525682926178, 0.8869816064834595, 0.0029363834764808416, 0.9967687129974365, 0.006717705633491278, 0.0011655038688331842, 0.09316084533929825, 0.05290795490145683, 0.03847336396574974, 0.003964566625654697]	[0.538215696811676, 0.8962686061859131, 0.0019349285867065191, 0.9978370070457458, 0.004103918559849262, 0.0005061402334831655, 0.10581739246845245, 0.04085288196802139, 0.026134498417377472, 0.0027521674055606127]	[0.754273533821106, 0.966768741607666, 0.008091364987194538, 0.9968736171722412, 0.005222247913479805, 0.0008771535358391702, 0.11109209060668945, 0.009762394241988659, 0.012085619382560253, 0.0009156818268820643]	[0.33459872007369995, 0.9712100028991699, 0.014378051273524761, 0.9713213443756104, 0.022151634097099304, 0.004029341973364353, 0.005245269276201725, 0.0010532601736485958, 0.005798729602247477, 0.0021884588059037924]	[0.292444109916687, 0.9797738194465637, 0.008741466328501701, 0.9919149875640869, 0.010254853405058384, 0.0017106240848079324, 0.004229988437145948, 0.0006146169034764171, 0.0035464512184262276, 0.001370991813018918]	[0.10530401766300201, 0.9588595032691956, 0.0032427760306745768, 0.9982446432113647, 0.002703340258449316, 0.0007529537542723119, 0.01141778938472271, 9.548837260808796e-05, 0.00030074192909523845, 0.0003069741651415825]	
