Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject3_file_867	0	1	1	1	1	0	0	0	0	0	0	
subject3_file_335	0	0	1	1	1	1	2	2	2	2	2	
subject3_file_718	0	1	1	1	1	1	1	0	0	0	0	
subject3_file_855	0	0	2	2	2	2	2	2	2	2	2	
subject3_file_850	0	2	2	2	2	2	2	2	2	2	2	
subject3_file_85	0	0	1	0	0	1	1	1	1	1	1	
subject3_file_36	0	1	1	1	1	1	1	1	0	0	0	
subject3_file_415	0	1	1	1	1	1	1	1	1	1	1	
subject3_file_61	0	1	1	1	1	1	1	0	1	1	1	
subject3_file_246	0	2	2	2	2	2	2	2	2	2	2	
subject3_file_146	0	1	0	0	1	1	1	1	1	1	1	
subject3_file_104	0	1	0	0	0	0	2	2	2	2	2	
subject3_file_264	0	2	1	1	1	1	1	1	1	1	1	
subject3_file_973	0	1	0	0	0	0	0	0	0	1	1	
subject3_file_935	0	1	0	0	0	0	0	0	0	0	0	
subject3_file_609	0	0	0	0	0	2	2	0	0	0	0	
subject3_file_216	0	2	1	1	1	1	1	1	1	1	1	
subject3_file_562	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_231	0	0	1	1	1	1	1	1	1	1	1	
subject3_file_525	0	1	1	1	1	1	1	1	1	1	1	
subject3_file_382	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_362	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_74	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_507	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_775	1	2	2	2	2	2	2	2	2	2	2	
subject3_file_817	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_807	1	0	0	0	1	1	1	1	1	1	1	
subject3_file_540	1	0	1	1	1	1	1	1	2	2	2	
subject3_file_823	1	0	1	1	1	1	1	1	1	1	1	
subject3_file_435	1	2	1	2	1	1	1	1	1	1	1	
subject3_file_727	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_559	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_411	1	0	0	0	1	1	1	1	1	1	1	
subject3_file_531	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_11	1	0	1	1	0	1	2	2	2	2	2	
subject3_file_88	1	0	0	0	0	0	1	1	1	1	1	
subject3_file_260	1	0	0	0	0	0	0	0	0	0	0	
Total Train loss	-----	0.7750317454338074	0.4610390067100525	0.4160721004009247	0.3636665940284729	0.2500731348991394	0.1381903737783432	0.06687124073505402	0.04134371131658554	0.02720639668405056	0.019803613424301147	
Train Accuracy	-----	0.6343283582089553	0.8507462686567164	0.8955223880597015	0.8731343283582089	0.9104477611940298	0.9776119402985075	1.0	1.0	1.0	1.0	
Training time	-----	0:01:05.974880	0:01:05.967145	0:01:05.853407	0:01:06.104018	0:01:06.070004	0:01:05.721682	0:01:06.328042	0:01:05.901909	0:01:06.163089	0:01:05.929832	
Total Test loss	-----	1.0959471464157104	1.1354938745498657	1.3652042150497437	1.4907628297805786	1.6584393978118896	1.9401239156723022	1.9937665462493896	2.196061611175537	2.241485834121704	2.267632246017456	
Test Accuracy	-----	0.32432432432432434	0.43243243243243246	0.43243243243243246	0.4594594594594595	0.4594594594594595	0.43243243243243246	0.5135135135135135	0.4864864864864865	0.4594594594594595	0.4594594594594595	
Testing time	-----	0:02:40.914393	0:02:40.298933	0:02:40.906713	0:02:40.718962	0:02:41.006744	0:02:40.914298	0:02:40.729848	0:02:40.858739	0:02:40.930220	0:02:40.211079	
threshold sigmoid train	-----	---	---	---	---	---	---	---	---	---	---	
threshold sigmoid test	-----	---	---	---	---	---	---	---	---	---	---	
