Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject1_file_622	[3]	[0, 1, 3, 4]	[3]	[1, 3]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 3, 4]	[0, 1, 3, 4]	[0, 1, 3]	
subject1_file_869	[3]	[0, 1, 3, 4]	[3]	[3]	[3]	[3]	[0, 1, 3, 4]	[3]	[3, 4]	[3]	[3]	
subject1_file_807	[0, 3, 6]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4, 9]	[4, 9]	[4, 9]	[0, 1, 3, 4, 9]	[4]	[3, 4]	[4, 9]	[4]	
subject1_file_463	[0, 9]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[4]	[0, 1]	
subject1_file_830	[4, 9]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1]	
subject1_file_272	[4, 9]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4, 9]	[4, 9]	[4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	
subject1_file_588	[3]	[0, 1, 3, 4]	[3]	[1, 4]	[3]	[0, 1, 4]	[0, 1, 3, 4]	[]	[3]	[3]	[1, 3]	
subject1_file_140	[3]	[0, 1, 3, 4]	[3]	[3]	[3]	[3]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3, 4]	[1, 3, 4]	[1, 3]	
subject1_file_213	[0, 3, 6]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 4, 9]	[4, 9]	[0, 1, 4]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[4, 9]	[0, 1]	
subject1_file_685	[0, 9]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4]	[0, 1, 4]	[4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[4, 9]	[0, 1]	
subject1_file_389	[4, 9]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1]	
subject1_file_247	[4, 9]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4]	[4, 9]	[4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1]	
subject1_file_808	[3]	[0, 1, 3, 4]	[3]	[3]	[3]	[3]	[0, 1, 3, 4, 9]	[3]	[3]	[1, 3]	[3]	
subject1_file_238	[3]	[0, 1, 3, 4]	[3]	[3]	[3]	[3]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[4]	[]	
subject1_file_985	[0, 3, 6]	[0, 1, 3, 4]	[3]	[3]	[3]	[3]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[4]	[0, 1]	
subject1_file_499	[0, 9]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4]	[0, 1, 4]	[4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1]	
subject1_file_980	[4, 9]	[0, 1, 3, 4]	[0, 1, 4, 9]	[1, 4]	[0, 1, 4]	[4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	
subject1_file_310	[4, 9]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4, 9]	[4, 9]	[4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4]	[4, 9]	[4, 9]	[4, 9]	
subject1_file_618	[3]	[0, 1, 3, 4]	[3]	[3]	[3]	[3]	[0, 1, 3, 4]	[1, 3]	[0, 1, 3]	[0, 1, 3]	[1, 3]	
subject1_file_780	[3, 6]	[0, 1, 3, 4]	[3]	[3]	[3]	[3]	[0, 1, 3, 4]	[0, 1]	[0, 1, 3]	[3]	[1, 3]	
subject1_file_313	[0, 6]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4]	[4, 9]	[4, 9]	[4]	
subject1_file_958	[0, 9]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4]	[4, 9]	[4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1]	
subject1_file_98	[4, 9]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4]	[4, 9]	[4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1]	
subject1_file_424	[4, 9]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[4]	
subject1_file_964	[3]	[0, 1, 3, 4]	[3]	[3]	[3]	[3]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 3]	[0, 1, 3]	
subject1_file_884	[3]	[0, 1, 3, 4]	[3]	[3]	[3]	[3]	[0, 1, 3, 4]	[0, 1, 3]	[3, 4]	[4]	[3]	
subject1_file_263	[0, 3, 6]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 3, 4, 9]	[0, 1, 3, 4]	[0, 1, 3]	[0, 1, 3]	[3]	
subject1_file_784	[0, 9]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4]	[4, 9]	[4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4]	[4, 9]	[0, 1, 4]	[0, 1]	
subject1_file_684	[4, 9]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[0, 1, 3, 4, 9]	[4]	[4, 9]	[4, 9]	[4, 9]	
subject1_file_968	[4, 9]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4]	[4, 9]	[0, 1, 4]	[0, 1]	
subject1_file_786	[9]	[0, 1, 3, 4]	[0, 1, 4]	[0, 1, 4]	[4, 9]	[4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1]	
subject1_file_243	[3]	[0, 1, 3, 4]	[3]	[3]	[3]	[1, 3]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 3]	[0, 1, 3]	[0, 1, 3]	
subject1_file_957	[3]	[0, 1, 3, 4]	[3]	[3]	[3]	[3]	[0, 1, 3, 4, 9]	[0, 4]	[0, 4, 9]	[0, 4]	[0, 4]	
subject1_file_319	[3, 6]	[0, 1, 3, 4]	[3]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 3, 4, 9]	[0, 4]	[0, 1, 4]	[0, 1, 4]	[4]	
subject1_file_853	[0, 6, 9]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4]	[4, 9]	[4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4]	[4, 9]	[0, 1, 4]	[0, 1, 4]	
subject1_file_11	[4, 9]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 4, 9]	[4, 9]	[4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4]	[4]	[4]	[4, 9]	
subject1_file_814	[4, 9]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4, 9]	[4, 9]	[4, 9]	[0, 1, 4, 9]	[4, 9]	[4, 9]	[4, 9]	[4, 9]	
subject1_file_873	[3]	[3]	[3]	[3]	[3]	[3]	[0, 1, 3, 4]	[3]	[3]	[3]	[3]	
subject1_file_513	[1, 3]	[0, 1, 3, 4]	[3]	[3]	[1, 3]	[1, 3]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1]	
subject1_file_721	[1]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1]	
subject1_file_204	[0, 1, 4]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4]	[0, 1, 4]	[4, 9]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1]	
subject1_file_768	[0, 1, 4]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1]	
subject1_file_254	[1, 3, 4]	[0, 1, 3, 4]	[0, 1, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 3, 4, 9]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	[0, 1, 4]	
