Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject3_file_867	[3]	[0.3641361892223358, 0.288616418838501, 0.1278551071882248, 0.4558708071708679, 0.3896351456642151, 0.06316478550434113, 0.11715131998062134, 0.11122032254934311, 0.10297872126102448, 0.30051904916763306]	[0.3497775197029114, 0.29526615142822266, 0.0951264426112175, 0.45583999156951904, 0.37421470880508423, 0.06509184837341309, 0.11349242180585861, 0.05898106470704079, 0.061632417142391205, 0.30663734674453735]	[0.35147908329963684, 0.2943395674228668, 0.08908253163099289, 0.4334256649017334, 0.37824687361717224, 0.06252117455005646, 0.11108645051717758, 0.05195518210530281, 0.0548819862306118, 0.30282676219940186]	[0.36063289642333984, 0.29276058077812195, 0.07600070536136627, 0.40177080035209656, 0.39369165897369385, 0.04896026849746704, 0.11746258288621902, 0.0441979318857193, 0.051955100148916245, 0.308451771736145]	[0.3878125846385956, 0.3101690411567688, 0.06019953638315201, 0.3502073287963867, 0.42315927147865295, 0.03916778415441513, 0.12418527156114578, 0.042680397629737854, 0.05220188945531845, 0.32370126247406006]	[0.4212878942489624, 0.3440174460411072, 0.03787371888756752, 0.2897380590438843, 0.4657956063747406, 0.02640727534890175, 0.1263863742351532, 0.04222502186894417, 0.05149542912840843, 0.3648519814014435]	[0.42506569623947144, 0.3378029465675354, 0.03331984207034111, 0.29167115688323975, 0.4641140103340149, 0.027972344309091568, 0.130072683095932, 0.04505970701575279, 0.053694114089012146, 0.372554749250412]	[0.4302815794944763, 0.3428598642349243, 0.034254126250743866, 0.27396562695503235, 0.4822317361831665, 0.03154426068067551, 0.12041870504617691, 0.05082549527287483, 0.05610847845673561, 0.38225722312927246]	[0.4251805543899536, 0.3429180979728699, 0.04036889970302582, 0.27539578080177307, 0.48131808638572693, 0.03667796403169632, 0.11826096475124359, 0.05281082168221474, 0.05792154744267464, 0.388651579618454]	[0.42664217948913574, 0.3460949957370758, 0.04480104148387909, 0.27666962146759033, 0.48228317499160767, 0.039800215512514114, 0.11651615053415298, 0.054215796291828156, 0.05499045178294182, 0.3864704966545105]	
subject3_file_537	[3, 6]	[0.3641434609889984, 0.28862464427948, 0.12786243855953217, 0.45587143301963806, 0.3896360993385315, 0.06317085772752762, 0.11715910583734512, 0.11122822016477585, 0.10298674553632736, 0.30052682757377625]	[0.3497820198535919, 0.2952703535556793, 0.09512913972139359, 0.4558388888835907, 0.3742154538631439, 0.06509437412023544, 0.11349566280841827, 0.05898335576057434, 0.06163512170314789, 0.30664172768592834]	[0.351481556892395, 0.29434293508529663, 0.0890846997499466, 0.433418333530426, 0.3782499134540558, 0.06252246350049973, 0.1110898032784462, 0.05195654183626175, 0.05488387495279312, 0.30283012986183167]	[0.3606378436088562, 0.29276397824287415, 0.07600199431180954, 0.40175995230674744, 0.3936968743801117, 0.04896096512675285, 0.11746734380722046, 0.04419933259487152, 0.051957178860902786, 0.3084569275379181]	[0.38779351115226746, 0.31016507744789124, 0.06020910665392876, 0.3502429127693176, 0.423141747713089, 0.03917471319437027, 0.12418916076421738, 0.04268564656376839, 0.052206821739673615, 0.323694109916687]	[0.4212641716003418, 0.34400027990341187, 0.037878409028053284, 0.28977319598197937, 0.4657725393772125, 0.026410024613142014, 0.12638819217681885, 0.042227230966091156, 0.05149708315730095, 0.36483317613601685]	[0.42499831318855286, 0.33775824308395386, 0.03332694619894028, 0.29177454113960266, 0.46404939889907837, 0.02797582559287548, 0.1300787776708603, 0.045063566416502, 0.05369468405842781, 0.3724878132343292]	[0.43025800585746765, 0.3428407311439514, 0.0342557430267334, 0.2740028202533722, 0.4822057783603668, 0.03154510632157326, 0.12042656540870667, 0.05082852020859718, 0.05611138418316841, 0.3822357952594757]	[0.42515942454338074, 0.34289899468421936, 0.040369823575019836, 0.2754400372505188, 0.4812859296798706, 0.036678194999694824, 0.11827374249696732, 0.05281580612063408, 0.05792698636651039, 0.3886302709579468]	[0.4266326129436493, 0.34607335925102234, 0.04480324313044548, 0.27673134207725525, 0.4822269678115845, 0.03980075195431709, 0.11652962863445282, 0.054222092032432556, 0.05499589443206787, 0.3864380121231079]	
subject3_file_753	[0, 6]	[0.3641434609889984, 0.28862464427948, 0.12786243855953217, 0.45587143301963806, 0.3896360993385315, 0.06317085772752762, 0.11715910583734512, 0.11122822016477585, 0.10298674553632736, 0.30052682757377625]	[0.3497820198535919, 0.2952703535556793, 0.09512913972139359, 0.4558388888835907, 0.3742154538631439, 0.06509437412023544, 0.11349566280841827, 0.05898335576057434, 0.06163512170314789, 0.30664172768592834]	[0.351481556892395, 0.29434293508529663, 0.0890846997499466, 0.433418333530426, 0.3782499134540558, 0.06252246350049973, 0.1110898032784462, 0.05195654183626175, 0.05488387495279312, 0.30283012986183167]	[0.3606378436088562, 0.29276397824287415, 0.07600199431180954, 0.40175995230674744, 0.3936968743801117, 0.04896096512675285, 0.11746734380722046, 0.04419933259487152, 0.051957178860902786, 0.3084569275379181]	[0.38779351115226746, 0.31016507744789124, 0.06020911782979965, 0.3502429127693176, 0.423141747713089, 0.03917471319437027, 0.12418916076421738, 0.04268564656376839, 0.05220680683851242, 0.323694109916687]	[0.4212641716003418, 0.34400027990341187, 0.037878409028053284, 0.28977319598197937, 0.4657725393772125, 0.026410024613142014, 0.12638820707798004, 0.042227230966091156, 0.05149708315730095, 0.36483317613601685]	[0.42499831318855286, 0.33775824308395386, 0.03332694619894028, 0.29177457094192505, 0.46404939889907837, 0.02797582559287548, 0.1300787776708603, 0.045063555240631104, 0.05369468405842781, 0.3724878132343292]	[0.43025800585746765, 0.3428407311439514, 0.0342557430267334, 0.2740028202533722, 0.4822057783603668, 0.03154510632157326, 0.12042656540870667, 0.05082852020859718, 0.05611138418316841, 0.3822357952594757]	[0.42515942454338074, 0.34289899468421936, 0.040369823575019836, 0.2754400372505188, 0.4812859296798706, 0.036678194999694824, 0.11827374249696732, 0.05281580612063408, 0.05792698636651039, 0.3886302709579468]	[0.4266326129436493, 0.34607335925102234, 0.04480324313044548, 0.27673134207725525, 0.4822269678115845, 0.03980075195431709, 0.11652962863445282, 0.05422205850481987, 0.05499589443206787, 0.3864380121231079]	
subject3_file_335	[0, 4, 9]	[0.3641475439071655, 0.2886258065700531, 0.12786155939102173, 0.45587244629859924, 0.3896380066871643, 0.0631708949804306, 0.11715898662805557, 0.11122781783342361, 0.10298732668161392, 0.30052876472473145]	[0.3497823178768158, 0.2952682077884674, 0.09512535482645035, 0.45583823323249817, 0.37421509623527527, 0.0650915876030922, 0.11349184066057205, 0.05898045375943184, 0.061632316559553146, 0.30663999915122986]	[0.3514781892299652, 0.29433780908584595, 0.08908017724752426, 0.4334142506122589, 0.37824997305870056, 0.06251834332942963, 0.11108509451150894, 0.051952529698610306, 0.05487998202443123, 0.3028254508972168]	[0.3606332242488861, 0.2927619218826294, 0.07600328326225281, 0.4017793834209442, 0.39368948340415955, 0.048962727189064026, 0.11746511608362198, 0.044199857860803604, 0.051956988871097565, 0.3084528148174286]	[0.3876708149909973, 0.31011447310447693, 0.060248639434576035, 0.35049813985824585, 0.42299917340278625, 0.039206188172101974, 0.12416695058345795, 0.0427016019821167, 0.05221470445394516, 0.32361558079719543]	[0.42115452885627747, 0.343919962644577, 0.03789551183581352, 0.2899404764175415, 0.46566322445869446, 0.026419907808303833, 0.12638142704963684, 0.04223250597715378, 0.05149684101343155, 0.3647351562976837]	[0.4247976243495941, 0.3376259207725525, 0.033346422016620636, 0.2920817732810974, 0.463858038187027, 0.02798468992114067, 0.13008944690227509, 0.04507198929786682, 0.05369185283780098, 0.3722814917564392]	[0.4301970601081848, 0.34279146790504456, 0.034259237349033356, 0.2740950882434845, 0.48213982582092285, 0.03154635801911354, 0.1204393059015274, 0.05083223432302475, 0.05611401051282883, 0.38217297196388245]	[0.4251081347465515, 0.3428519070148468, 0.04037163406610489, 0.27554020285606384, 0.4812110662460327, 0.03667820990085602, 0.11829975247383118, 0.05282551050186157, 0.05793706700205803, 0.3885767161846161]	[0.4266083538532257, 0.3460233211517334, 0.044807955622673035, 0.27686259150505066, 0.48210522532463074, 0.039801646023988724, 0.11655537784099579, 0.05423448979854584, 0.05500578135251999, 0.3863649070262909]	
subject3_file_718	[4]	[0.3641475439071655, 0.2886258065700531, 0.12786155939102173, 0.45587244629859924, 0.3896380066871643, 0.0631708949804306, 0.11715898662805557, 0.11122781783342361, 0.10298732668161392, 0.30052876472473145]	[0.3497823178768158, 0.2952682077884674, 0.09512535482645035, 0.45583823323249817, 0.37421509623527527, 0.0650915876030922, 0.11349184066057205, 0.05898045375943184, 0.061632316559553146, 0.30663999915122986]	[0.3514781892299652, 0.29433780908584595, 0.08908017724752426, 0.4334142506122589, 0.37824997305870056, 0.06251834332942963, 0.11108509451150894, 0.051952529698610306, 0.05487998202443123, 0.3028254508972168]	[0.3606332242488861, 0.2927619218826294, 0.07600328326225281, 0.4017793834209442, 0.39368948340415955, 0.048962727189064026, 0.11746511608362198, 0.044199857860803604, 0.051956988871097565, 0.3084528148174286]	[0.3876708149909973, 0.31011447310447693, 0.060248639434576035, 0.35049813985824585, 0.42299917340278625, 0.039206188172101974, 0.12416698038578033, 0.042701613157987595, 0.05221470445394516, 0.32361558079719543]	[0.42115452885627747, 0.343919962644577, 0.03789551183581352, 0.2899404466152191, 0.46566322445869446, 0.026419907808303833, 0.12638142704963684, 0.04223250597715378, 0.05149684101343155, 0.3647351562976837]	[0.4247976243495941, 0.3376259207725525, 0.033346422016620636, 0.2920817732810974, 0.463858038187027, 0.02798468992114067, 0.13008944690227509, 0.04507198929786682, 0.05369185283780098, 0.3722814917564392]	[0.4301970601081848, 0.34279146790504456, 0.034259237349033356, 0.2740950882434845, 0.48213982582092285, 0.03154635801911354, 0.1204393059015274, 0.05083223432302475, 0.05611401051282883, 0.38217297196388245]	[0.4251081347465515, 0.3428519070148468, 0.04037163406610489, 0.27554020285606384, 0.4812110662460327, 0.03667820990085602, 0.11829975247383118, 0.05282551050186157, 0.05793706700205803, 0.3885767161846161]	[0.4266083538532257, 0.3460233211517334, 0.044807955622673035, 0.27686259150505066, 0.48210522532463074, 0.039801646023988724, 0.11655537784099579, 0.05423447862267494, 0.055005770176649094, 0.3863649070262909]	
subject3_file_855	[4, 9]	[0.3641475439071655, 0.2886258065700531, 0.12786155939102173, 0.45587244629859924, 0.3896380066871643, 0.0631708949804306, 0.11715898662805557, 0.11122781783342361, 0.10298732668161392, 0.30052876472473145]	[0.3497823178768158, 0.2952682077884674, 0.09512535482645035, 0.45583823323249817, 0.37421509623527527, 0.0650915876030922, 0.11349184066057205, 0.05898045375943184, 0.061632316559553146, 0.30663999915122986]	[0.3514781892299652, 0.29433780908584595, 0.08908017724752426, 0.4334142506122589, 0.37824997305870056, 0.06251834332942963, 0.11108509451150894, 0.051952529698610306, 0.05487998202443123, 0.3028254508972168]	[0.3606332242488861, 0.2927619218826294, 0.07600328326225281, 0.4017793834209442, 0.39368948340415955, 0.048962727189064026, 0.11746511608362198, 0.044199857860803604, 0.051956988871097565, 0.3084528148174286]	[0.3876708149909973, 0.31011447310447693, 0.060248639434576035, 0.35049813985824585, 0.42299917340278625, 0.039206188172101974, 0.12416698038578033, 0.042701613157987595, 0.05221470445394516, 0.32361558079719543]	[0.42115452885627747, 0.343919962644577, 0.03789551183581352, 0.2899404466152191, 0.46566322445869446, 0.026419907808303833, 0.12638142704963684, 0.04223250597715378, 0.05149684101343155, 0.3647351562976837]	[0.4247976243495941, 0.3376259207725525, 0.033346422016620636, 0.2920817732810974, 0.463858038187027, 0.02798468992114067, 0.13008944690227509, 0.04507198929786682, 0.05369185283780098, 0.3722814917564392]	[0.4301970601081848, 0.34279146790504456, 0.034259237349033356, 0.2740950882434845, 0.48213982582092285, 0.03154635801911354, 0.1204393059015274, 0.05083223432302475, 0.05611401051282883, 0.38217297196388245]	[0.4251081347465515, 0.3428519070148468, 0.04037163406610489, 0.27554020285606384, 0.4812110662460327, 0.03667820990085602, 0.11829975247383118, 0.05282551050186157, 0.05793706700205803, 0.3885767161846161]	[0.4266083538532257, 0.3460233211517334, 0.044807955622673035, 0.27686259150505066, 0.48210522532463074, 0.039801646023988724, 0.11655537784099579, 0.05423447862267494, 0.055005770176649094, 0.3863649070262909]	
subject3_file_850	[3]	[0.3641391396522522, 0.2886098027229309, 0.12784235179424286, 0.45586177706718445, 0.3896380066871643, 0.06315723806619644, 0.11714256554841995, 0.11120882630348206, 0.10296829789876938, 0.30051660537719727]	[0.3497716188430786, 0.29525667428970337, 0.09511411935091019, 0.4558311700820923, 0.37421637773513794, 0.06508273631334305, 0.11348181217908859, 0.05897165834903717, 0.06162184104323387, 0.30662912130355835]	[0.35146820545196533, 0.2943224310874939, 0.08906573057174683, 0.43340569734573364, 0.37824776768684387, 0.06250692903995514, 0.11106976866722107, 0.0519406683743, 0.054867565631866455, 0.3028113842010498]	[0.3606314957141876, 0.2927524745464325, 0.07599303871393204, 0.4017561078071594, 0.393694669008255, 0.048955779522657394, 0.11745657026767731, 0.04419203847646713, 0.051949139684438705, 0.30844637751579285]	[0.3877696990966797, 0.31016066670417786, 0.060215894132852554, 0.35028883814811707, 0.4231203496456146, 0.039181049913167953, 0.12418408691883087, 0.042688384652137756, 0.052206654101610184, 0.3236774206161499]	[0.42128539085388184, 0.34403663873672485, 0.03787372633814812, 0.2897232472896576, 0.4658242464065552, 0.026406528428196907, 0.12640367448329926, 0.04223017022013664, 0.05149928480386734, 0.3648618161678314]	[0.4246923327445984, 0.3375617265701294, 0.03335631638765335, 0.29224032163619995, 0.4637686312198639, 0.027988767251372337, 0.13010060787200928, 0.04507831856608391, 0.05369158461689949, 0.3721770942211151]	[0.4301708936691284, 0.34277188777923584, 0.0342591218650341, 0.2741334140300751, 0.48212242126464844, 0.031545937061309814, 0.12045425921678543, 0.050837982445955276, 0.05611928924918175, 0.3821548819541931]	[0.4250820279121399, 0.3428340554237366, 0.04036959633231163, 0.27559322118759155, 0.48118963837623596, 0.03667597845196724, 0.11831791698932648, 0.052830327302217484, 0.05794372037053108, 0.3885544538497925]	[0.4265916049480438, 0.346004456281662, 0.044804878532886505, 0.2769390642642975, 0.48206883668899536, 0.03979784622788429, 0.11657948046922684, 0.05424027144908905, 0.055013105273246765, 0.3863261044025421]	
subject3_file_901	[3, 6]	[0.3641386926174164, 0.28862079977989197, 0.1278599202632904, 0.4558699429035187, 0.38963431119918823, 0.06316839903593063, 0.11715605854988098, 0.11122522503137589, 0.10298310220241547, 0.3005231022834778]	[0.3497800827026367, 0.2952699363231659, 0.09513017535209656, 0.4558391273021698, 0.37421536445617676, 0.06509499251842499, 0.11349658668041229, 0.058984123170375824, 0.061635591089725494, 0.30664119124412537]	[0.3514830470085144, 0.29434463381767273, 0.08908630907535553, 0.4334234893321991, 0.3782484531402588, 0.06252433359622955, 0.11109107732772827, 0.05195830762386322, 0.05488533526659012, 0.3028319478034973]	[0.3606393337249756, 0.29276424646377563, 0.07600108534097672, 0.4017520248889923, 0.3936994671821594, 0.04896003007888794, 0.11746742576360703, 0.04419875144958496, 0.05195685848593712, 0.30845820903778076]	[0.3878628611564636, 0.31019338965415955, 0.060186419636011124, 0.3500976264476776, 0.42322272062301636, 0.039156705141067505, 0.12420107424259186, 0.04267628490924835, 0.05220198258757591, 0.3237382471561432]	[0.42134085297584534, 0.3440574109554291, 0.03786633163690567, 0.28965556621551514, 0.4658503830432892, 0.02640300989151001, 0.12639345228672028, 0.04222369194030762, 0.05149728059768677, 0.3649020493030548]	[0.4251021146774292, 0.3378269076347351, 0.0333169661462307, 0.29161664843559265, 0.4641479551792145, 0.02797127328813076, 0.130072683095932, 0.04505916312336922, 0.05369589477777481, 0.37259379029273987]	[0.43029552698135376, 0.34287095069885254, 0.0342535637319088, 0.2739458680152893, 0.4822463095188141, 0.03154433146119118, 0.12041884660720825, 0.05082632228732109, 0.05610985308885574, 0.38227468729019165]	[0.4251899719238281, 0.3429270088672638, 0.04036875069141388, 0.27538037300109863, 0.4813305735588074, 0.03667815029621124, 0.11825797706842422, 0.052809908986091614, 0.05792080983519554, 0.38866183161735535]	[0.42664575576782227, 0.34610268473625183, 0.04480033740401268, 0.2766540050506592, 0.4823002517223358, 0.0398000068962574, 0.11651329696178436, 0.05421392247080803, 0.05498931556940079, 0.38647961616516113]	
subject3_file_14	[0, 6]	[0.3641151189804077, 0.28859734535217285, 0.1278408318758011, 0.4558620750904083, 0.38962966203689575, 0.06315237283706665, 0.11713644862174988, 0.11120443791151047, 0.10296037793159485, 0.30050137639045715]	[0.3497663140296936, 0.2952604293823242, 0.09512754529714584, 0.4558394253253937, 0.37421509623527527, 0.06509198993444443, 0.1134938970208168, 0.058981675654649734, 0.06163136661052704, 0.3066313862800598]	[0.3514809012413025, 0.2943406403064728, 0.08908592909574509, 0.4334525465965271, 0.3782384991645813, 0.06252682954072952, 0.11108828336000443, 0.05195978656411171, 0.054884929209947586, 0.3028285503387451]	[0.36063283681869507, 0.29275816679000854, 0.07599698752164841, 0.4017528295516968, 0.3936964273452759, 0.04895752668380737, 0.11746002733707428, 0.04419504106044769, 0.051952678710222244, 0.3084515929222107]	[0.3880029022693634, 0.3102460205554962, 0.06013801321387291, 0.3498043119907379, 0.4233827292919159, 0.039119966328144073, 0.12422066926956177, 0.04265505447983742, 0.05218995362520218, 0.32382315397262573]	[0.42151975631713867, 0.3441898822784424, 0.037838686257600784, 0.2893887460231781, 0.4660273492336273, 0.026387514546513557, 0.12640367448329926, 0.042215559631586075, 0.05149738863110542, 0.3650590777397156]	[0.42530950903892517, 0.3379655182361603, 0.03329651802778244, 0.2913011312484741, 0.46434593200683594, 0.02796165645122528, 0.1300574392080307, 0.04504917189478874, 0.053696222603321075, 0.3728022873401642]	[0.43038225173950195, 0.3429417014122009, 0.03424796834588051, 0.27381086349487305, 0.4823426902294159, 0.03154182434082031, 0.12039561569690704, 0.05081808567047119, 0.05610264092683792, 0.3823591470718384]	[0.42526620626449585, 0.3429989218711853, 0.04036540165543556, 0.27522188425064087, 0.4814509153366089, 0.03667706623673439, 0.11821074783802032, 0.05279047414660454, 0.05790015682578087, 0.38873690366744995]	[0.42666929960250854, 0.3461730480194092, 0.04479135200381279, 0.276462584733963, 0.48249146342277527, 0.03979634493589401, 0.11646988987922668, 0.05419038236141205, 0.05497013404965401, 0.38657671213150024]	
subject3_file_85	[0, 4, 9]	[0.36414408683776855, 0.28862884640693665, 0.1278679370880127, 0.45587125420570374, 0.3896348178386688, 0.06317455321550369, 0.11716404557228088, 0.11123352497816086, 0.10299116373062134, 0.30052974820137024]	[0.34978485107421875, 0.29527533054351807, 0.09513439983129501, 0.4558388888835907, 0.3742161691188812, 0.06509854644536972, 0.11350114643573761, 0.05898755416274071, 0.06163954734802246, 0.3066462278366089]	[0.35148608684539795, 0.2943500876426697, 0.0890900045633316, 0.43341439962387085, 0.3782527446746826, 0.06252653151750565, 0.11109609156847, 0.05196079611778259, 0.05488843843340874, 0.3028365969657898]	[0.36064639687538147, 0.2927679121494293, 0.07600028812885284, 0.4017287790775299, 0.39370930194854736, 0.04895841330289841, 0.11747201532125473, 0.044198863208293915, 0.051957868039608, 0.3084641993045807]	[0.38793230056762695, 0.3102247416973114, 0.06016547977924347, 0.3499543070793152, 0.4233049154281616, 0.03913947567343712, 0.12421616911888123, 0.042668621987104416, 0.05219871923327446, 0.32378438115119934]	[0.4213763177394867, 0.34408414363861084, 0.03786080703139305, 0.28959909081459045, 0.46588778495788574, 0.026399653404951096, 0.12639695405960083, 0.04222218692302704, 0.051497701555490494, 0.3649352192878723]	[0.425201416015625, 0.3378922641277313, 0.033307358622550964, 0.29146331548690796, 0.4642440676689148, 0.027966970577836037, 0.13006968796253204, 0.04505562782287598, 0.053698424249887466, 0.3726983070373535]	[0.43031421303749084, 0.34288620948791504, 0.034252576529979706, 0.2739188075065613, 0.4822668135166168, 0.03154408559203148, 0.12041707336902618, 0.050826288759708405, 0.05611027404665947, 0.38229572772979736]	[0.4252052903175354, 0.3429412543773651, 0.04036813601851463, 0.27535322308540344, 0.4813521206378937, 0.03667823597788811, 0.11825297772884369, 0.05280829593539238, 0.05791942775249481, 0.38867947459220886]	[0.4266569912433624, 0.3461194634437561, 0.04479910805821419, 0.2766159176826477, 0.48233410716056824, 0.03980017825961113, 0.11650953441858292, 0.05421246215701103, 0.05498865991830826, 0.3865054249763489]	
