Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject3_file_867	0	1	0	1	1	2	2	2	2	2	2	
subject3_file_335	0	1	1	1	1	1	1	2	1	1	1	
subject3_file_718	0	1	1	1	1	1	1	2	1	1	1	
subject3_file_855	0	0	2	2	2	2	2	2	2	2	2	
subject3_file_850	0	2	0	0	0	0	0	0	0	1	1	
subject3_file_85	0	1	1	0	0	0	0	0	0	0	0	
subject3_file_36	0	1	1	1	1	1	0	0	1	1	1	
subject3_file_415	0	1	1	1	1	1	1	1	1	1	1	
subject3_file_61	0	1	1	1	1	1	1	1	1	1	1	
subject3_file_246	0	2	1	2	2	0	2	1	2	2	2	
subject3_file_146	0	1	0	0	2	1	1	0	1	1	1	
subject3_file_104	0	1	1	1	1	0	0	2	0	1	1	
subject3_file_264	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_973	0	1	1	1	0	0	0	2	0	2	2	
subject3_file_935	0	1	1	1	1	1	1	0	1	0	0	
subject3_file_609	0	0	2	2	2	2	2	2	0	0	0	
subject3_file_216	0	1	1	1	1	1	1	1	1	1	1	
subject3_file_562	0	0	0	0	0	0	0	0	0	2	0	
subject3_file_231	0	1	1	1	1	1	1	0	0	0	0	
subject3_file_525	0	1	1	1	1	1	1	1	1	1	1	
subject3_file_382	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_362	1	2	1	2	2	2	2	2	2	2	2	
subject3_file_74	1	1	1	1	1	1	1	2	2	2	1	
subject3_file_507	1	1	2	1	1	1	2	0	1	0	0	
subject3_file_775	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_817	1	1	1	1	1	2	2	2	2	2	2	
subject3_file_807	1	1	1	1	1	0	1	2	1	0	0	
subject3_file_540	1	1	2	2	2	2	2	0	0	2	2	
subject3_file_823	1	1	1	1	1	1	2	0	0	0	0	
subject3_file_435	1	1	2	2	1	1	1	2	1	1	1	
subject3_file_727	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_559	1	0	0	0	2	2	2	0	0	0	0	
subject3_file_411	1	1	1	1	1	1	1	2	1	0	1	
subject3_file_531	1	1	0	0	0	0	2	0	2	2	2	
subject3_file_11	1	1	1	1	1	1	1	1	1	1	1	
subject3_file_88	1	1	1	1	1	0	0	0	0	0	0	
subject3_file_260	1	1	1	1	1	1	0	2	1	0	1	
Total Train loss	-----	0.9482897520065308	0.8173739314079285	0.6829151511192322	0.5869858860969543	0.5081135630607605	0.4098082482814789	1.0556931495666504	0.5920805335044861	0.4541579484939575	0.3622126579284668	
Train Accuracy	-----	0.5074626865671642	0.6492537313432836	0.6791044776119403	0.7089552238805971	0.7910447761194029	0.8134328358208955	0.6567164179104478	0.7611940298507462	0.8059701492537313	0.8582089552238806	
Training time	-----	0:01:24.658566	0:01:24.307819	0:01:24.207175	0:01:24.471353	0:01:24.636506	0:01:24.331053	0:01:24.418037	0:01:24.052379	0:01:24.581767	0:01:24.465951	
Total Test loss	-----	1.0100586414337158	1.1717416048049927	1.283347249031067	1.589369297027588	1.723065733909607	1.8991414308547974	2.1534669399261475	1.5315698385238647	1.9057964086532593	2.090641736984253	
Test Accuracy	-----	0.5135135135135135	0.4594594594594595	0.4594594594594595	0.4864864864864865	0.4594594594594595	0.40540540540540543	0.32432432432432434	0.4594594594594595	0.2702702702702703	0.3783783783783784	
Testing time	-----	0:02:21.543148	0:02:21.034193	0:02:20.804280	0:02:20.963759	0:02:20.883837	0:02:21.156275	0:02:21.648263	0:02:21.236550	0:02:21.255605	0:02:20.718643	
threshold sigmoid train	-----	---	---	---	---	---	---	---	---	---	---	
threshold sigmoid test	-----	---	---	---	---	---	---	---	---	---	---	
