Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject2_file_457	0	0	0	0	2	2	2	2	2	2	2	
subject2_file_679	0	1	0	2	0	0	0	0	0	0	0	
subject2_file_95	0	0	2	0	0	0	0	0	0	2	2	
subject2_file_899	0	1	0	1	1	1	1	1	1	1	0	
subject2_file_368	0	1	0	0	0	1	1	1	1	0	1	
subject2_file_425	0	0	0	0	0	0	0	0	0	0	0	
subject2_file_646	0	0	2	2	2	2	2	2	2	2	2	
subject2_file_52	0	0	0	2	2	2	0	0	0	2	2	
subject2_file_123	0	0	0	0	1	1	1	1	0	2	2	
subject2_file_821	0	0	0	0	1	1	1	1	0	1	1	
subject2_file_641	0	1	0	0	0	1	0	1	1	1	1	
subject2_file_101	0	0	0	0	1	1	0	1	0	1	0	
subject2_file_880	0	1	0	0	0	2	0	0	0	2	2	
subject2_file_743	0	1	1	1	1	2	2	2	2	2	2	
subject2_file_485	0	0	1	1	1	1	0	0	0	0	0	
subject2_file_92	0	0	0	0	2	2	2	2	2	2	2	
subject2_file_25	0	0	0	0	0	1	1	1	1	1	0	
subject2_file_180	0	0	0	0	1	1	0	1	1	1	1	
subject2_file_586	0	1	0	0	2	2	2	2	0	0	0	
subject2_file_453	0	1	0	0	0	1	0	1	1	0	0	
subject2_file_308	0	0	0	0	1	1	0	0	1	0	0	
subject2_file_263	0	1	1	1	1	1	1	1	1	1	1	
subject2_file_847	0	1	1	1	0	0	0	0	0	0	0	
subject2_file_723	0	1	0	0	0	0	0	1	1	1	1	
subject2_file_565	0	1	0	0	0	2	0	2	2	2	2	
subject2_file_37	0	1	0	0	2	2	0	1	0	2	1	
subject2_file_325	0	0	0	0	0	0	0	0	0	2	2	
subject2_file_792	0	0	2	0	0	0	0	0	0	0	0	
subject2_file_872	0	1	0	0	0	2	0	2	2	2	2	
subject2_file_831	0	0	0	0	0	2	0	1	1	0	0	
subject2_file_1	0	1	0	1	1	1	1	1	1	1	1	
subject2_file_257	0	1	0	0	0	2	0	0	2	0	0	
subject2_file_540	0	0	2	0	2	2	2	2	2	2	2	
subject2_file_635	0	0	2	2	0	0	0	0	0	2	2	
subject2_file_803	0	1	1	1	1	1	1	1	1	1	1	
subject2_file_172	0	1	0	0	0	1	0	1	1	1	1	
subject2_file_581	0	1	0	0	0	2	0	2	2	2	2	
subject2_file_674	0	0	0	0	0	1	0	1	0	1	1	
subject2_file_138	1	1	0	0	0	0	0	0	0	0	2	
subject2_file_770	1	1	0	0	0	1	0	1	1	0	1	
subject2_file_4	1	0	0	2	2	2	2	2	2	2	2	
subject2_file_464	1	0	0	1	0	1	0	1	1	1	1	
subject2_file_409	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_218	1	0	0	0	1	1	1	1	1	1	1	
subject2_file_749	1	1	0	0	0	1	0	1	1	0	1	
subject2_file_452	1	0	0	0	2	2	2	0	0	0	0	
subject2_file_517	1	0	0	0	1	1	0	1	1	1	1	
subject2_file_709	1	0	0	1	1	1	1	1	1	1	1	
subject2_file_650	1	0	0	1	1	1	1	1	0	1	1	
subject2_file_96	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_500	1	1	0	0	2	2	1	1	0	0	0	
subject2_file_832	1	1	0	0	0	0	0	0	0	0	0	
subject2_file_980	1	0	0	0	0	0	0	0	0	0	0	
subject2_file_923	1	0	0	0	0	0	0	0	0	0	0	
subject2_file_314	1	0	0	0	2	2	0	1	1	0	0	
subject2_file_731	1	0	0	0	0	1	2	2	2	2	2	
subject2_file_592	1	0	0	0	0	0	0	0	0	0	0	
subject2_file_129	1	0	0	1	1	1	1	1	1	1	1	
subject2_file_549	1	0	0	2	2	2	2	2	2	2	2	
subject2_file_17	1	1	0	2	2	0	0	0	0	0	0	
subject2_file_49	1	0	1	1	1	1	1	1	1	0	2	
subject2_file_402	1	0	0	0	0	2	0	1	0	0	0	
subject2_file_526	1	0	0	0	1	1	1	1	1	1	1	
subject2_file_942	1	1	0	0	1	1	0	1	1	1	1	
subject2_file_724	1	1	1	0	0	1	0	1	1	1	1	
subject2_file_74	1	1	1	1	1	1	1	1	1	1	1	
subject2_file_248	1	0	1	1	1	1	0	0	1	1	1	
subject2_file_344	1	0	0	0	0	0	0	0	1	0	2	
subject2_file_588	1	0	2	0	0	0	2	2	0	2	2	
subject2_file_295	1	1	0	0	0	1	0	1	1	1	1	
subject2_file_658	1	1	0	0	0	1	0	1	1	1	1	
subject2_file_358	1	0	0	1	1	1	1	1	1	1	1	
subject2_file_746	1	0	0	0	0	2	2	0	0	0	0	
subject2_file_541	1	1	1	1	0	1	0	0	1	1	1	
subject2_file_202	1	1	2	1	1	1	1	2	2	1	1	
subject2_file_171	1	1	0	0	0	0	2	2	2	2	2	
subject2_file_840	1	1	0	0	1	1	0	1	1	1	1	
subject2_file_436	1	1	1	1	1	0	0	0	0	2	2	
subject2_file_85	1	0	0	0	0	0	0	2	0	2	0	
subject2_file_681	1	1	0	1	1	1	0	1	1	1	1	
subject2_file_495	1	1	0	1	1	1	1	1	1	1	1	
subject2_file_341	1	0	0	0	0	0	0	0	0	0	0	
subject2_file_522	2	1	0	2	0	0	0	0	0	0	0	
subject2_file_324	2	0	0	0	2	2	0	2	2	2	2	
subject2_file_157	2	1	0	0	0	0	0	2	2	0	0	
subject2_file_775	2	0	0	0	0	0	0	0	0	0	0	
subject2_file_336	2	0	0	0	2	2	2	2	2	2	2	
subject2_file_838	2	1	0	0	0	2	0	0	0	2	2	
subject2_file_175	2	1	1	1	1	1	1	1	1	1	1	
subject2_file_114	2	0	2	2	2	2	0	0	0	0	0	
subject2_file_926	2	0	0	0	0	0	2	0	0	0	0	
subject2_file_473	2	0	0	0	0	0	0	0	0	0	0	
subject2_file_917	2	1	0	2	2	2	0	0	0	1	1	
subject2_file_763	2	0	0	0	0	2	0	0	2	0	2	
subject2_file_624	2	1	0	0	0	0	0	2	2	1	1	
subject2_file_952	2	1	0	0	0	1	0	1	1	1	1	
subject2_file_328	2	0	2	2	2	2	2	2	2	2	2	
subject2_file_204	2	1	0	0	1	1	0	1	1	1	1	
subject2_file_89	2	0	0	0	0	0	2	0	0	0	2	
subject2_file_616	2	1	0	0	0	0	0	1	0	0	2	
subject2_file_642	2	0	0	0	0	0	0	0	0	0	0	
subject2_file_721	2	1	1	1	1	1	1	1	1	1	1	
subject2_file_199	2	1	0	0	2	2	0	1	1	0	0	
subject2_file_378	2	1	0	0	0	1	0	1	0	0	0	
Total Train loss	-----	1.024967074394226	0.9102814793586731	0.7263134121894836	0.5565016865730286	0.460864782333374	0.7154116630554199	0.4047585129737854	0.4151958227157593	0.405788779258728	0.3142033815383911	
Train Accuracy	-----	0.44808743169398907	0.5355191256830601	0.6557377049180327	0.7595628415300546	0.7868852459016393	0.7049180327868853	0.8469945355191257	0.8579234972677595	0.8579234972677595	0.8743169398907104	
Training time	-----	0:00:18.949786	0:00:18.868283	0:00:18.960502	0:00:18.867212	0:00:18.856752	0:00:18.771074	0:00:18.987591	0:00:18.927545	0:00:19.001285	0:00:18.951378	
Total Test loss	-----	1.07381272315979	1.2496901750564575	1.4651232957839966	1.8192360401153564	2.0140883922576904	1.782597303390503	1.834219217300415	1.9895808696746826	2.1580007076263428	2.378929376602173	
Test Accuracy	-----	0.375	0.36538461538461536	0.4423076923076923	0.4230769230769231	0.3942307692307692	0.3942307692307692	0.3942307692307692	0.4423076923076923	0.34615384615384615	0.41346153846153844	
Testing time	-----	0:00:37.812152	0:00:37.903063	0:00:37.650125	0:00:37.777381	0:00:37.697610	0:00:37.996834	0:00:37.730808	0:00:37.625379	0:00:37.969420	0:00:37.881859	
threshold sigmoid train	-----	---	---	---	---	---	---	---	---	---	---	
threshold sigmoid test	-----	---	---	---	---	---	---	---	---	---	---	
