Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject2_file_457	0	[0.5699899792671204, 0.5989933609962463, 0.3879914879798889]	[0.45889997482299805, 0.7835305333137512, 0.3433690071105957]	[0.6611785888671875, 0.8252156376838684, 0.09628257155418396]	[0.871112048625946, 0.8331000804901123, 0.021000243723392487]	[0.914047122001648, 0.8407824039459229, 0.012040146626532078]	[0.9522135257720947, 0.8691354990005493, 0.0052440231665968895]	[0.9378028512001038, 0.9096863269805908, 0.004640592262148857]	[0.9687876105308533, 0.8892050981521606, 0.002501141047105193]	[0.9441075325012207, 0.9318352341651917, 0.002705599647015333]	[0.9615979194641113, 0.9264562129974365, 0.0019282492576166987]	
subject2_file_95	0	[0.5533515214920044, 0.5483893156051636, 0.4422987401485443]	[0.3919273614883423, 0.6900783777236938, 0.4885438084602356]	[0.2880135476589203, 0.6076110005378723, 0.6631091833114624]	[0.5435363054275513, 0.35478129982948303, 0.6390304565429688]	[0.6558468341827393, 0.48065024614334106, 0.45670372247695923]	[0.494424045085907, 0.130011647939682, 0.8261048197746277]	[0.4257992208003998, 0.23822934925556183, 0.7989339232444763]	[0.05002620071172714, 0.3476707935333252, 0.9715762734413147]	[0.7027446627616882, 0.13932618498802185, 0.5928704142570496]	[0.4205528497695923, 0.06304459273815155, 0.9192705750465393]	
subject2_file_899	0	[0.5539002418518066, 0.5395099520683289, 0.442198246717453]	[0.5027737617492676, 0.5422704815864563, 0.49556002020835876]	[0.43141186237335205, 0.5816118717193604, 0.5769350528717041]	[0.29733511805534363, 0.8017293214797974, 0.574425995349884]	[0.4509011209011078, 0.6174783110618591, 0.6261430978775024]	[0.3056598901748657, 0.6231860518455505, 0.7764342427253723]	[0.6212005615234375, 0.6525850892066956, 0.4490339457988739]	[0.6722937822341919, 0.7008858323097229, 0.3704822361469269]	[0.5838854312896729, 0.6096965074539185, 0.4884202480316162]	[0.7177367210388184, 0.7365030646324158, 0.2979600727558136]	
subject2_file_368	0	[0.5480431318283081, 0.5682209134101868, 0.42748621106147766]	[0.48741278052330017, 0.5501200556755066, 0.5124984979629517]	[0.6493242383003235, 0.21434561908245087, 0.6684237122535706]	[0.8590054512023926, 0.2789902091026306, 0.3384841978549957]	[0.9958439469337463, 0.1431441754102707, 0.02305617555975914]	[0.9981346130371094, 0.11159974336624146, 0.014781303703784943]	[0.9930770397186279, 0.6767428517341614, 0.0041009047999978065]	[0.9996459484100342, 0.10272301733493805, 0.002535877050831914]	[0.9433184862136841, 0.94157475233078, 0.004775419365614653]	[0.9989150762557983, 0.4466285705566406, 0.0011154781095683575]	
subject2_file_425	0	[0.5575515031814575, 0.5339754223823547, 0.4428062438964844]	[0.5623793601989746, 0.40897488594055176, 0.5380949974060059]	[0.7506081461906433, 0.7843576669692993, 0.16555432975292206]	[0.9400044083595276, 0.6981273889541626, 0.060534246265888214]	[0.09051661938428879, 0.5982871651649475, 0.9132421612739563]	[0.17560577392578125, 0.32148098945617676, 0.9352154731750488]	[0.20944587886333466, 0.9192333221435547, 0.5665109157562256]	[0.2757178544998169, 0.9981151819229126, 0.03420357033610344]	[0.4773481488227844, 0.6729839444160461, 0.5570880174636841]	[0.09874772280454636, 0.9960401058197021, 0.2043233960866928]	
subject2_file_646	0	[0.6013710498809814, 0.4352491796016693, 0.46005526185035706]	[0.47753027081489563, 0.2805933654308319, 0.6829342842102051]	[0.4542008340358734, 0.2628205716609955, 0.7126001715660095]	[0.3346267640590668, 0.3396703600883484, 0.7613669633865356]	[0.26218774914741516, 0.38254910707473755, 0.7953705191612244]	[0.16553062200546265, 0.38526564836502075, 0.8752835392951965]	[0.09661867469549179, 0.3421475291252136, 0.9370260834693909]	[0.056905653327703476, 0.38442763686180115, 0.9610923528671265]	[0.0549260750412941, 0.34894895553588867, 0.9659604430198669]	[0.03801945596933365, 0.34949827194213867, 0.9772293567657471]	
subject2_file_821	0	[0.5449435114860535, 0.569791316986084, 0.4292559027671814]	[0.3609754145145416, 0.6517293453216553, 0.5373764038085938]	[0.27315184473991394, 0.5448083281517029, 0.7098532319068909]	[0.2575885057449341, 0.5109808444976807, 0.7628957629203796]	[0.15676680207252502, 0.7879819869995117, 0.7004530429840088]	[0.1573532074689865, 0.8581289052963257, 0.6266894340515137]	[0.09494610130786896, 0.8900291919708252, 0.6887925267219543]	[0.09725626558065414, 0.8582643270492554, 0.7133913636207581]	[0.08922327309846878, 0.8305748105049133, 0.7596586346626282]	[0.08564816415309906, 0.788619339466095, 0.8118355870246887]	
subject2_file_641	0	[0.5876317024230957, 0.5106284618377686, 0.4297127425670624]	[0.6816884875297546, 0.34602591395378113, 0.466817706823349]	[0.7987816333770752, 0.2708161473274231, 0.42132604122161865]	[0.8013205528259277, 0.4409879148006439, 0.3771764934062958]	[0.7646363377571106, 0.4352845847606659, 0.36754876375198364]	[0.7685253024101257, 0.46673014760017395, 0.35826998949050903]	[0.8605165481567383, 0.5234302878379822, 0.21991106867790222]	[0.8507093191146851, 0.4722740948200226, 0.2490294873714447]	[0.9869751930236816, 0.36108070611953735, 0.02969292365014553]	[0.9341382384300232, 0.5733833909034729, 0.09012439101934433]	
subject2_file_101	0	[0.5705881714820862, 0.5308171510696411, 0.43389418721199036]	[0.7417128682136536, 0.39976727962493896, 0.3738255202770233]	[0.15721739828586578, 0.5740087032318115, 0.8164336681365967]	[0.9362396597862244, 0.2563187777996063, 0.24208378791809082]	[0.44662612676620483, 0.2865827977657318, 0.7710884213447571]	[0.023929115384817123, 0.44174614548683167, 0.9847967624664307]	[0.13507914543151855, 0.2518875300884247, 0.9551702737808228]	[0.11950626224279404, 0.18463538587093353, 0.9718945026397705]	[0.1263890117406845, 0.17256616055965424, 0.9724751114845276]	[0.9207338094711304, 0.22274455428123474, 0.27022141218185425]	
subject2_file_880	0	[0.5602419376373291, 0.5345611572265625, 0.439706027507782]	[0.5098748803138733, 0.44649267196655273, 0.5546751022338867]	[0.5056145787239075, 0.29694902896881104, 0.6899369359016418]	[0.5450010299682617, 0.2789289057254791, 0.7115357518196106]	[0.22221529483795166, 0.45620250701904297, 0.86810302734375]	[0.046231288462877274, 0.5535317063331604, 0.9658769965171814]	[0.41954460740089417, 0.948968231678009, 0.2973087728023529]	[0.48895910382270813, 0.31839632987976074, 0.7714635729789734]	[0.8717304468154907, 0.8040332794189453, 0.10063385963439941]	[0.6849441528320312, 0.5223557353019714, 0.5115125775337219]	
