Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject1_file_622	0	[0.46473562717437744, 0.48825696110725403, 0.4400706887245178]	[0.4600055515766144, 0.4229627251625061, 0.5018644332885742]	[0.5623003244400024, 0.30136680603027344, 0.5553394556045532]	[0.5090219378471375, 0.33024993538856506, 0.5660350918769836]	[0.6911552548408508, 0.2145114243030548, 0.5520902872085571]	[0.7629050612449646, 0.19048015773296356, 0.4853168725967407]	[0.831360936164856, 0.16780024766921997, 0.40309938788414]	[0.8086526393890381, 0.17293420433998108, 0.4306897521018982]	[0.8529690504074097, 0.16802096366882324, 0.3508467674255371]	[0.8666832447052002, 0.16698049008846283, 0.32513123750686646]	
subject1_file_869	0	[0.49786972999572754, 0.5371603965759277, 0.38841232657432556]	[0.48105764389038086, 0.6251764893531799, 0.32782018184661865]	[0.3717084527015686, 0.7684739828109741, 0.25305190682411194]	[0.6159190535545349, 0.5987749099731445, 0.2620832622051239]	[0.6238217353820801, 0.5396987795829773, 0.28803279995918274]	[0.8081772327423096, 0.3380819261074066, 0.30618780851364136]	[0.9010550379753113, 0.1854860931634903, 0.3270418047904968]	[0.9408391118049622, 0.16572047770023346, 0.22892488539218903]	[0.9653007388114929, 0.09191421419382095, 0.2715355157852173]	[0.9707769751548767, 0.07813311368227005, 0.29476624727249146]	
subject1_file_807	0	[0.4918558895587921, 0.5406370759010315, 0.3813987672328949]	[0.46789026260375977, 0.6004000306129456, 0.35416191816329956]	[0.3402843475341797, 0.7200276851654053, 0.3287815451622009]	[0.462482213973999, 0.5812686085700989, 0.3932301700115204]	[0.40641921758651733, 0.5983603596687317, 0.4078812003135681]	[0.33621975779533386, 0.6352401971817017, 0.4445543885231018]	[0.3106054663658142, 0.6310163736343384, 0.472052663564682]	[0.15549086034297943, 0.6678724884986877, 0.6547592878341675]	[0.24972674250602722, 0.5640988349914551, 0.6439964175224304]	[0.3062380254268646, 0.4715487062931061, 0.6714116930961609]	
subject1_file_463	0	[0.49658042192459106, 0.5563184022903442, 0.36738964915275574]	[0.49303847551345825, 0.6033152937889099, 0.33342182636260986]	[0.5036992430686951, 0.6195327043533325, 0.29840537905693054]	[0.5200478434562683, 0.663299024105072, 0.27408501505851746]	[0.5515369772911072, 0.5963690876960754, 0.27937763929367065]	[0.5052229166030884, 0.6814084053039551, 0.2394588589668274]	[0.5800198316574097, 0.6477600932121277, 0.20811156928539276]	[0.5064959526062012, 0.7608373165130615, 0.1607358455657959]	[0.48447784781455994, 0.7351866364479065, 0.1977517306804657]	[0.5642282366752625, 0.6854056119918823, 0.183368518948555]	
subject1_file_830	0	[0.49305203557014465, 0.5532029867172241, 0.37212133407592773]	[0.474453866481781, 0.570749819278717, 0.3744427561759949]	[0.5115630030632019, 0.48841312527656555, 0.4075864255428314]	[0.4185228645801544, 0.655432403087616, 0.3632905185222626]	[0.5592334270477295, 0.3839046359062195, 0.4781195819377899]	[0.391275554895401, 0.7520076632499695, 0.2781642973423004]	[0.4064197540283203, 0.8359732627868652, 0.15826253592967987]	[0.47300806641578674, 0.6613542437553406, 0.3118494153022766]	[0.47678008675575256, 0.7135990858078003, 0.2551465332508087]	[0.623849093914032, 0.6643473505973816, 0.1880936622619629]	
subject1_file_272	0	[0.48820388317108154, 0.5298958420753479, 0.3922789692878723]	[0.5006450414657593, 0.46987757086753845, 0.4347282648086548]	[0.5928139686584473, 0.30970868468284607, 0.5204001069068909]	[0.5349507331848145, 0.34314197301864624, 0.5426812171936035]	[0.6347597241401672, 0.25107598304748535, 0.5668801069259644]	[0.6143411993980408, 0.26058322191238403, 0.5706505179405212]	[0.5993226766586304, 0.26375535130500793, 0.5784258246421814]	[0.5207870602607727, 0.26377251744270325, 0.666241466999054]	[0.5199154019355774, 0.27570268511772156, 0.6528098583221436]	[0.5764805674552917, 0.2391817718744278, 0.6487841606140137]	
subject1_file_588	0	[0.5010418891906738, 0.5366994142532349, 0.37780776619911194]	[0.5815092921257019, 0.5383272171020508, 0.31769004464149475]	[0.635197103023529, 0.5035419464111328, 0.30288931727409363]	[0.721782386302948, 0.4591465890407562, 0.27665552496910095]	[0.7143101096153259, 0.407734215259552, 0.308880478143692]	[0.732266366481781, 0.364515095949173, 0.317885160446167]	[0.7219386100769043, 0.3848366141319275, 0.3037802278995514]	[0.6514096260070801, 0.4470999836921692, 0.3211232125759125]	[0.6563381552696228, 0.3858698308467865, 0.3953820765018463]	[0.655457079410553, 0.35918328166007996, 0.45152634382247925]	
subject1_file_140	0	[0.48958417773246765, 0.5180570483207703, 0.4138573110103607]	[0.4596971571445465, 0.5414752960205078, 0.41563549637794495]	[0.5041841864585876, 0.43801283836364746, 0.4555233418941498]	[0.6744661331176758, 0.2767709791660309, 0.4899432957172394]	[0.7706732749938965, 0.1188269704580307, 0.6328901052474976]	[0.8510101437568665, 0.0723976418375969, 0.6478379964828491]	[0.8578599691390991, 0.05427577719092369, 0.7101962566375732]	[0.9125469326972961, 0.035001546144485474, 0.7153774499893188]	[0.9235604405403137, 0.03195813670754433, 0.7124893069267273]	[0.9259043335914612, 0.033171847462654114, 0.7519176006317139]	
subject1_file_213	0	[0.4925573766231537, 0.5520868897438049, 0.37321123480796814]	[0.4701847732067108, 0.5714333057403564, 0.37701892852783203]	[0.48235684633255005, 0.5176841020584106, 0.4043792486190796]	[0.4181985557079315, 0.6484386324882507, 0.3701819181442261]	[0.5242232084274292, 0.41354361176490784, 0.47841930389404297]	[0.43418434262275696, 0.558582067489624, 0.43885260820388794]	[0.42259854078292847, 0.5493248701095581, 0.457751989364624]	[0.4665392339229584, 0.6018019914627075, 0.38556474447250366]	[0.5663659572601318, 0.4504593014717102, 0.45531585812568665]	[0.48622170090675354, 0.43903517723083496, 0.5385371446609497]	
subject1_file_685	0	[0.49260661005973816, 0.5520700812339783, 0.37328165769577026]	[0.47078651189804077, 0.5713891386985779, 0.3767605423927307]	[0.5343756079673767, 0.451393723487854, 0.4224851429462433]	[0.4321751594543457, 0.6204721331596375, 0.3831322491168976]	[0.5786481499671936, 0.3415757417678833, 0.5028778314590454]	[0.5078178644180298, 0.392336368560791, 0.5233272314071655]	[0.48574021458625793, 0.38921472430229187, 0.5463761687278748]	[0.44613486528396606, 0.44975972175598145, 0.5570380091667175]	[0.4429551362991333, 0.3957522213459015, 0.6193032264709473]	[0.4032706916332245, 0.41964417695999146, 0.6305586695671082]	
