Recording timestamp,Recording date,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right
1580302389,2024/04/08,512.0,581.0,512.0,581.0,nan,nan,-0.06179,0.13437,-0.989,nan,nan,nan,4.935,nan
1580319043,2024/04/08,519.0,586.0,519.0,586.0,nan,nan,-0.05879,0.1354,-0.98904,nan,nan,nan,4.936,nan
1580335698,2024/04/08,534.0,548.0,514.0,581.0,554.0,516.0,-0.06061,0.13331,-0.98922,-0.18631,0.12543,-0.97445,4.935,5.092
1580352353,2024/04/08,523.0,547.0,509.0,580.0,536.0,514.0,-0.06283,0.13255,-0.98918,-0.19416,0.12386,-0.97312,4.95,5.082
1580369007,2024/04/08,517.0,545.0,515.0,578.0,519.0,512.0,-0.06024,0.13183,-0.98944,-0.20075,0.1229,-0.9719,4.936,5.073
1580385661,2024/04/08,519.0,547.0,516.0,575.0,521.0,519.0,-0.05887,0.13077,-0.98966,-0.19895,0.12567,-0.97192,4.954,5.081
1580402316,2024/04/08,517.0,547.0,513.0,575.0,521.0,519.0,-0.0572,0.13131,-0.98969,-0.19633,0.12628,-0.97237,4.918,5.081
1580418971,2024/04/08,480.0,571.0,480.0,571.0,nan,nan,-0.07045,0.12943,-0.98908,nan,nan,nan,4.934,nan
1580435625,2024/04/08,486.0,575.0,486.0,575.0,nan,nan,-0.06813,0.13079,-0.98907,nan,nan,nan,4.977,nan
1580452280,2024/04/08,486.0,567.0,486.0,567.0,nan,nan,-0.0678,0.12781,-0.98948,nan,nan,nan,4.996,nan
1580468935,2024/04/08,482.0,568.0,482.0,568.0,nan,nan,-0.06914,0.12775,-0.98939,nan,nan,nan,4.996,nan
1580485588,2024/04/08,478.0,570.0,478.0,570.0,nan,nan,-0.07028,0.12853,-0.98921,nan,nan,nan,5.007,nan
1580502243,2024/04/08,475.0,564.0,475.0,564.0,nan,nan,-0.06848,0.12529,-0.98975,nan,nan,nan,4.972,nan
1580518898,2024/04/08,483.0,558.0,483.0,558.0,nan,nan,-0.06786,0.12425,-0.98993,nan,nan,nan,5.003,nan
1580535552,2024/04/08,483.0,558.0,483.0,558.0,nan,nan,-0.06999,0.12534,-0.98964,nan,nan,nan,5.003,nan
1580552207,2024/04/08,483.0,563.0,483.0,563.0,nan,nan,-0.06791,0.12612,-0.98969,nan,nan,nan,5.01,nan
1580568862,2024/04/08,485.0,565.0,485.0,565.0,nan,nan,-0.06749,0.12665,-0.98965,nan,nan,nan,5.062,nan
1580585516,2024/04/08,488.0,567.0,488.0,567.0,nan,nan,-0.06609,0.12736,-0.98965,nan,nan,nan,5.08,nan
