Recording timestamp,Recording date,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right
820169232,2024/04/07,1693.0,218.0,1683.0,237.0,1704.0,198.0,0.2409,0.05416,-0.96904,0.11476,0.0358,-0.99275,5.644,5.93
820185887,2024/04/07,1692.0,221.0,1684.0,240.0,1700.0,202.0,0.24131,0.0552,-0.96888,0.11346,0.03719,-0.99285,5.651,5.936
820202541,2024/04/07,1682.0,226.0,1676.0,241.0,1688.0,211.0,0.23912,0.05508,-0.96943,0.10974,0.03992,-0.99316,5.65,5.955
820219196,2024/04/07,1683.0,225.0,1677.0,239.0,1688.0,211.0,0.23961,0.05426,-0.96935,0.10995,0.03971,-0.99314,5.657,5.958
820235851,2024/04/07,1690.0,214.0,1680.0,235.0,1700.0,194.0,0.24063,0.05253,-0.96919,0.11406,0.03359,-0.99291,5.646,5.936
820252505,2024/04/07,1687.0,221.0,1675.0,243.0,1699.0,200.0,0.23938,0.05494,-0.96937,0.11431,0.03528,-0.99282,5.66,5.929
820269160,2024/04/07,1684.0,225.0,1676.0,244.0,1692.0,206.0,0.2401,0.05512,-0.96918,0.11193,0.03743,-0.99301,5.676,5.943
820285815,2024/04/07,1681.0,221.0,1673.0,235.0,1690.0,206.0,0.23961,0.05183,-0.96949,0.11171,0.03707,-0.99305,5.669,5.955
820302469,2024/04/07,1683.0,217.0,1674.0,224.0,1691.0,210.0,0.23817,0.04872,-0.97,0.1114,0.03866,-0.99302,5.623,5.957
820319124,2024/04/07,1681.0,224.0,1673.0,237.0,1689.0,211.0,0.23946,0.05302,-0.96946,0.11225,0.03908,-0.99291,5.631,5.962
820335779,2024/04/07,1679.0,231.0,1670.0,249.0,1688.0,213.0,0.23905,0.05772,-0.96929,0.11287,0.04056,-0.99278,5.681,5.986
820352433,2024/04/07,1680.0,232.0,1671.0,249.0,1688.0,214.0,0.2407,0.05752,-0.96889,0.11391,0.04088,-0.99265,5.686,5.995
820369088,2024/04/07,1675.0,227.0,1663.0,242.0,1687.0,211.0,0.23907,0.05556,-0.96941,0.11411,0.04048,-0.99264,5.7,6.001
820385743,2024/04/07,1621.0,222.0,1599.0,241.0,1643.0,203.0,0.22066,0.05421,-0.97384,0.10092,0.0365,-0.99422,5.702,6.02
820402397,2024/04/07,1495.0,197.0,1547.0,235.0,1443.0,160.0,0.20419,0.05522,-0.97737,0.03275,0.02529,-0.99914,5.646,6.041
820419052,2024/04/07,1108.0,82.0,nan,nan,1108.0,82.0,nan,nan,nan,-0.07996,-0.00108,-0.9968,nan,6.08
820435707,2024/04/07,817.0,70.0,762.0,113.0,873.0,27.0,-0.06089,0.01363,-0.99805,-0.15872,-0.02086,-0.9871,5.727,6.104
820452362,2024/04/07,778.0,70.0,760.0,102.0,796.0,38.0,-0.05765,0.0121,-0.99826,-0.18121,-0.01387,-0.98335,5.691,6.083
820469016,2024/04/07,766.0,59.0,753.0,89.0,778.0,30.0,-0.05945,0.00699,-0.99821,-0.18731,-0.01674,-0.98216,5.74,6.085
820485671,2024/04/07,762.0,49.0,751.0,79.0,772.0,19.0,-0.0598,0.00343,-0.9982,-0.18904,-0.01995,-0.98177,5.772,6.118
820502326,2024/04/07,760.0,45.0,756.0,73.0,764.0,17.0,-0.05814,0.00077,-0.99831,-0.19207,-0.02094,-0.98116,5.76,6.13
820518980,2024/04/07,760.0,48.0,760.0,74.0,759.0,22.0,-0.05634,0.00077,-0.99841,-0.19364,-0.01919,-0.98088,5.76,6.127
820535635,2024/04/07,759.0,47.0,755.0,74.0,763.0,20.0,-0.05835,-6e-05,-0.9983,-0.19284,-0.02045,-0.98102,5.751,6.125
820552290,2024/04/07,755.0,48.0,747.0,74.0,762.0,22.0,-0.06112,-5e-05,-0.99813,-0.19346,-0.01966,-0.98091,5.751,6.129
820568944,2024/04/07,752.0,51.0,749.0,73.0,754.0,30.0,-0.06125,-0.00027,-0.99812,-0.19663,-0.01716,-0.98033,5.72,6.121
820585599,2024/04/07,752.0,52.0,747.0,76.0,757.0,28.0,-0.06188,0.00056,-0.99808,-0.19566,-0.01782,-0.98051,5.724,6.123
820602254,2024/04/07,747.0,72.0,733.0,103.0,761.0,40.0,-0.06817,0.00824,-0.99764,-0.19564,-0.0148,-0.98056,5.767,6.123
820618908,2024/04/07,748.0,71.0,735.0,105.0,761.0,36.0,-0.06735,0.0084,-0.99769,-0.19571,-0.01677,-0.98052,5.765,6.121
820635562,2024/04/07,762.0,64.0,753.0,86.0,771.0,41.0,-0.06168,0.00085,-0.9981,-0.19303,-0.01575,-0.98107,5.748,6.124
820652217,2024/04/07,762.0,70.0,752.0,89.0,771.0,50.0,-0.06242,0.00177,-0.99805,-0.19361,-0.01286,-0.98099,5.742,6.114
820668871,2024/04/07,761.0,68.0,749.0,87.0,773.0,48.0,-0.06393,0.00139,-0.99795,-0.19339,-0.01367,-0.98103,5.708,6.098
820685526,2024/04/07,763.0,64.0,754.0,76.0,772.0,51.0,-0.06286,-0.0024,-0.99802,-0.19423,-0.01255,-0.98088,5.704,6.099
820702181,2024/04/07,761.0,71.0,749.0,90.0,774.0,51.0,-0.06555,0.00127,-0.99785,-0.19442,-0.01319,-0.98083,5.736,6.1
820718836,2024/04/07,760.0,75.0,753.0,96.0,767.0,54.0,-0.06397,0.00338,-0.99795,-0.19669,-0.01257,-0.98039,5.732,6.097
820735490,2024/04/07,786.0,75.0,781.0,90.0,790.0,59.0,-0.05467,0.00065,-0.9985,-0.18959,-0.01121,-0.9818,5.728,6.096
820752145,2024/04/07,826.0,84.0,813.0,99.0,839.0,68.0,-0.04411,0.00409,-0.99902,-0.17367,-0.00798,-0.98477,5.715,6.087
820768800,2024/04/07,842.0,93.0,828.0,118.0,855.0,69.0,-0.03895,0.01184,-0.99917,-0.16827,-0.00666,-0.98572,5.718,6.078
820785454,2024/04/07,839.0,88.0,829.0,117.0,849.0,60.0,-0.0387,0.01103,-0.99919,-0.17051,-0.01009,-0.98531,5.728,6.09
820802109,2024/04/07,836.0,84.0,827.0,108.0,844.0,59.0,-0.03933,0.00817,-0.99919,-0.17197,-0.01015,-0.98505,5.73,6.097
820818764,2024/04/07,836.0,87.0,827.0,114.0,844.0,60.0,-0.03962,0.01,-0.99916,-0.17191,-0.00987,-0.98506,5.731,6.093
820835418,2024/04/07,836.0,90.0,829.0,112.0,842.0,67.0,-0.03892,0.0097,-0.9992,-0.1725,-0.00764,-0.98498,5.732,6.088
820852073,2024/04/07,834.0,90.0,829.0,111.0,839.0,69.0,-0.0389,0.00892,-0.9992,-0.17352,-0.00692,-0.98481,5.734,6.087
820868728,2024/04/07,837.0,96.0,831.0,118.0,842.0,74.0,-0.03809,0.0117,-0.99921,-0.17229,-0.00527,-0.98503,5.743,6.087
820885382,2024/04/07,836.0,98.0,830.0,120.0,842.0,75.0,-0.03832,0.01246,-0.99919,-0.17218,-0.00456,-0.98505,5.749,6.084
820902037,2024/04/07,832.0,96.0,824.0,118.0,840.0,74.0,-0.04036,0.01179,-0.99912,-0.17264,-0.00463,-0.98497,5.754,6.09
820918692,2024/04/07,833.0,93.0,824.0,114.0,843.0,72.0,-0.04008,0.01058,-0.99914,-0.17148,-0.00564,-0.98517,5.759,6.097
820935346,2024/04/07,832.0,92.0,825.0,124.0,839.0,60.0,-0.03958,0.0138,-0.99912,-0.17234,-0.00987,-0.98499,5.782,6.104
820952001,2024/04/07,833.0,93.0,825.0,126.0,841.0,60.0,-0.03941,0.01456,-0.99912,-0.17154,-0.00984,-0.98513,5.784,6.101
820968656,2024/04/07,838.0,97.0,829.0,128.0,846.0,67.0,-0.0377,0.01517,-0.99917,-0.16982,-0.00758,-0.98545,5.8,6.088
820985311,2024/04/07,837.0,100.0,837.0,130.0,837.0,71.0,-0.03491,0.0161,-0.99926,-0.17263,-0.00598,-0.98497,5.8,6.079
821001965,2024/04/07,840.0,143.0,842.0,136.0,837.0,150.0,-0.03294,0.01818,-0.99929,-0.17234,0.02065,-0.98482,5.786,5.978
821018620,2024/04/07,881.0,203.0,909.0,188.0,853.0,219.0,-0.01008,0.03619,-0.99929,-0.16733,0.0443,-0.98491,5.539,5.921
821035275,2024/04/07,982.0,225.0,982.0,225.0,nan,nan,0.01493,0.04897,-0.99869,nan,nan,nan,5.188,nan
821051929,2024/04/07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
821068584,2024/04/07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
821085239,2024/04/07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
821101893,2024/04/07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
821118548,2024/04/07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
821135203,2024/04/07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
821151857,2024/04/07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
821168512,2024/04/07,1593.0,528.0,1593.0,528.0,nan,nan,0.21535,0.14707,-0.9654,nan,nan,nan,5.354,nan
821185167,2024/04/07,1601.0,504.0,1601.0,504.0,nan,nan,0.21912,0.13964,-0.96565,nan,nan,nan,5.367,nan
821201821,2024/04/07,1608.0,405.0,1608.0,405.0,nan,nan,0.22331,0.10616,-0.96895,nan,nan,nan,5.632,nan
821218477,2024/04/07,1628.0,389.0,1615.0,317.0,1642.0,461.0,0.22585,0.0764,-0.97116,0.10164,0.12578,-0.98684,5.844,5.548
821235132,2024/04/07,1622.0,363.0,1618.0,281.0,1627.0,446.0,0.2283,0.06282,-0.97156,0.09752,0.11889,-0.98811,5.916,5.679
821251787,2024/04/07,1635.0,351.0,1622.0,271.0,1648.0,430.0,0.22978,0.05943,-0.97143,0.10474,0.11322,-0.98803,5.923,5.716
821268441,2024/04/07,1651.0,353.0,1631.0,286.0,1670.0,421.0,0.23227,0.06316,-0.9706,0.11184,0.109,-0.98773,5.818,5.787
821285096,2024/04/07,1629.0,318.0,1612.0,274.0,1646.0,363.0,0.2261,0.05946,-0.97229,0.10404,0.08948,-0.99054,5.795,5.959
821301751,2024/04/07,1635.0,293.0,1623.0,277.0,1646.0,310.0,0.22995,0.05944,-0.97139,0.10437,0.0707,-0.99202,5.825,5.987
821318404,2024/04/07,1637.0,285.0,1627.0,280.0,1647.0,289.0,0.2315,0.06078,-0.97093,0.10496,0.06379,-0.99243,5.812,6.033
