,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area_1,left_gaze_point_on_display_area_2,left_gaze_point_in_user_coordinate_system_1,left_gaze_point_in_user_coordinate_system_2,left_gaze_point_in_user_coordinate_system_3,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system_1,left_gaze_origin_in_user_coordinate_system_2,left_gaze_origin_in_user_coordinate_system_3,left_gaze_origin_in_trackbox_coordinate_system_1,left_gaze_origin_in_trackbox_coordinate_system_2,left_gaze_origin_in_trackbox_coordinate_system_3,left_gaze_origin_validity,right_gaze_point_on_display_area_1,right_gaze_point_on_display_area_2,right_gaze_point_in_user_coordinate_system_1,right_gaze_point_in_user_coordinate_system_2,right_gaze_point_in_user_coordinate_system_3,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system_1,right_gaze_origin_in_user_coordinate_system_2,right_gaze_origin_in_user_coordinate_system_3,right_gaze_origin_in_trackbox_coordinate_system_1,right_gaze_origin_in_trackbox_coordinate_system_2,right_gaze_origin_in_trackbox_coordinate_system_3,right_gaze_origin_validity
7,7394068609,106513601696,0.8695905208587646,-0.183683380484581,204.01400756835935,365.032958984375,126.02408599853516,1,7.55816650390625,1,-46.66901397705078,-144.99398803710938,585.364990234375,0.6059430241584778,0.8296200633049011,0.4097163081169128,1,0.914351522922516,0.0220926702022552,228.72203063964844,304.9927673339844,104.17124938964844,1,7.50653076171875,1,34.31360626220703,-145.69577026367188,586.0499877929688,0.4218088686466217,0.8308292031288147,0.409726083278656,1
10,7394118732,106513651837,0.8669248819351196,-0.1521447151899337,202.54254150390625,355.830810546875,122.67475128173828,1,7.544525146484375,1,-45.18634796142578,-145.2314453125,585.4229736328125,0.6025599837303162,0.8301275372505188,0.4097174108028412,1,0.9172672033309937,0.0351083055138587,230.3314971923828,301.1950988769531,102.78903198242188,1,7.493728637695312,1,35.654502868652344,-146.08480834960938,585.8717041015625,0.4187374114990234,0.8318141102790833,0.4097234010696411,1
13,7394168652,106513701769,0.8682217001914978,-0.1529170423746109,203.2583770751953,356.05615234375,122.75678253173828,1,7.529403686523437,1,-44.10499572753906,-144.9518585205078,585.57568359375,0.6000741124153137,0.829405665397644,0.4097192287445068,1,0.9187456369400024,0.019046252593398,231.14761352539065,305.881591796875,104.49480438232422,1,7.475692749023437,1,36.6017951965332,-145.99102783203125,585.83642578125,0.4165792763233185,0.831620991230011,0.4097228944301605,1
16,7394218567,106513751694,0.8613198399543762,-0.152284100651741,199.44857788085935,355.8714294433594,122.68963623046876,1,7.5021820068359375,1,-43.53732299804688,-146.26773071289062,585.2888793945312,0.5988317131996155,0.8325610160827637,0.409715324640274,1,0.9243959188461304,0.0459135249257087,234.26657104492188,298.0424194335937,101.64153289794922,1,7.418365478515625,1,36.99200820922852,-147.4759521484375,585.4370727539062,0.4156349599361419,0.835224986076355,0.4097175300121307,1
19,7394268482,106513801614,0.8569562435150146,-0.1362906396389007,197.03985595703125,351.2049560546875,120.99112701416016,1,7.467376708984375,1,-43.537696838378906,-146.4742431640625,585.2369995117188,0.5988413095474243,0.8330603241920471,0.4097149670124054,1,0.9075416326522828,0.0409888476133346,224.96299743652344,299.47930908203125,102.1645278930664,1,7.434463500976562,1,36.75537490844727,-147.83303833007812,585.3614501953125,0.416162371635437,0.8360806107521057,0.4097166657447815,1
22,7394318402,106513851547,0.858794629573822,-0.1424200534820556,198.0546417236328,352.9933776855469,121.6421127319336,1,7.43121337890625,1,-44.10569763183594,-148.50062561035156,584.679443359375,0.6002294421195984,0.837993323802948,0.4097071588039398,1,0.9160407185554504,0.0643380582332611,229.6544952392578,292.6666259765625,99.68492889404295,1,7.323074340820312,1,35.95173645019531,-149.80091857910156,584.9076538085938,0.4179271161556244,0.8408217430114746,0.4097104370594024,1
25,7394368322,106513901467,0.8479125499725342,-0.1353322267532348,192.0477600097656,350.92535400390625,120.88932037353516,1,7.39678955078125,1,-45.27408218383789,-149.74916076660156,584.2686767578125,0.6029629707336426,0.8410767912864685,0.4097015261650085,1,0.9023016691207886,0.0610132068395614,222.07052612304688,293.6367492675781,100.03797912597656,1,7.347763061523437,1,34.49631118774414,-150.78848266601562,584.740234375,0.4212181270122528,0.8431683778762817,0.4097078740596771,1
28,7394418252,106513951390,0.8290022611618042,-0.1069505140185356,181.60923767089844,342.644287109375,117.87528228759766,1,7.3215789794921875,1,-46.95845031738281,-153.36776733398438,583.1884155273438,0.6070001125335693,0.8499715328216553,0.4096867740154266,1,0.9012163877487184,0.0412763692438602,221.47146606445312,299.3954162597656,102.13399505615234,1,7.344451904296875,1,32.62015914916992,-154.14370727539062,583.9672241210938,0.4253923892974853,0.8512738943099976,0.4096976220607757,1
46,7394754666,106514287708,0.1608603447675705,1.312428593635559,-187.20510864257807,-71.4944839477539,-32.85890579223633,1,5.648712158203125,1,-52.85811233520508,-145.23187255859375,468.5603332519531,0.6499978303909302,0.912520945072174,0.1867827773094177,1,0.2079591453075409,1.3400391340255735,-161.20657348632812,-79.55054473876953,-35.791038513183594,1,5.7304229736328125,1,11.44045352935791,-143.79901123046875,471.75537109375,0.467483639717102,0.9056809544563292,0.1866350024938583,1
49,7394804586,106514337623,0.1642409861087799,1.2628902196884155,-185.33897399902344,-57.040435791015625,-27.59806632995605,1,5.556076049804688,1,-52.68698120117188,-144.71923828125,465.3698120117188,0.6505379676818848,0.9138837456703186,0.1803848892450332,1,0.2160502970218658,1.3487272262573242,-156.74024963378906,-82.08550262451172,-36.71367263793945,1,5.704635620117188,1,10.981279373168944,-143.29373168945312,468.3276062011719,0.4685528874397278,0.9072151184082032,0.1797641664743423,1
58,7394954346,106514487382,0.6841655969619751,0.3477219045162201,101.659423828125,209.9824066162109,69.59027862548828,1,5.606613159179688,1,-44.75891876220703,-139.79124450683594,470.0266723632813,0.6265833377838135,0.8958194255828857,0.1848249584436416,1,0.7826342582702637,0.4038188457489013,156.0141143798828,193.61476135253903,63.632938385009766,1,5.62713623046875,1,18.48317527770996,-139.57785034179688,471.2488708496094,0.4475479423999786,0.8941892385482788,0.1836647987365722,1
61,7395004266,106514537298,0.7168712019920349,0.3287038207054138,119.71294403076172,215.53140258789065,71.60997772216797,1,5.7501068115234375,1,-42.33697128295898,-140.86900329589844,481.3198852539063,0.6169074177742004,0.889508843421936,0.2065889239311218,1,0.8080382347106934,0.3795316219329834,170.0371551513672,200.7011566162109,66.21219635009766,1,5.7418212890625,1,22.003149032592773,-141.48841857910156,482.61566162109375,0.4390657544136047,0.890171468257904,0.2068187296390533,1
64,7395054186,106514587221,0.7286940217018127,0.3224324584007263,126.2391128540039,217.3612060546875,72.2759780883789,1,5.806854248046875,1,-39.94908905029297,-141.37429809570312,489.0152587890625,0.6085618138313293,0.8847517371177673,0.2212121039628982,1,0.7989957928657532,0.3261801898479461,165.0457000732422,216.2677154541016,71.8779296875,1,5.8173370361328125,1,24.994367599487305,-142.82762145996094,490.0220947265625,0.4318547248840332,0.8879101276397705,0.222049131989479,1
67,7395104106,106514637153,0.7372371554374695,0.3068344593048095,130.95492553710938,221.91232299804688,73.93244934082031,1,5.861587524414063,1,-38.33786010742188,-141.13702392578125,494.6725463867188,0.6029803156852722,0.8797102570533752,0.2316789478063583,1,0.811923086643219,0.3491546213626861,172.1815185546875,209.5643768310547,69.43817138671875,1,5.8997344970703125,1,27.262889862060547,-143.10252380371094,495.59027099609375,0.426522433757782,0.8842878937721252,0.2331143766641616,1
68,7395120783,106514653834,0.7433261871337891,0.3156920373439789,134.3160858154297,219.32791137695312,72.9918212890625,1,5.791793823242188,1,-38.1915397644043,-141.09046936035156,495.2243041992188,0.6024719476699829,0.8791618347167969,0.2326900660991668,1,0.7961702942848206,0.3049466609954834,163.48597717285156,222.46316528320312,74.13294219970703,1,5.8940277099609375,1,27.38949966430664,-143.1193084716797,496.0193786621094,0.4262459278106689,0.8840004205703735,0.2339604496955871,1
70,7395154026,106514687085,0.752819299697876,0.2457590401172638,139.55630493164062,239.73260498046875,80.41845703125,1,5.9261627197265625,1,-37.72264099121094,-141.57505798339844,500.3013610839844,0.6001816987991333,0.8766016364097595,0.2426273226737976,1,0.785186767578125,0.2527912557125091,157.4231414794922,237.6807556152344,79.67168426513672,1,5.9952545166015625,1,28.72413825988769,-143.9287872314453,501.4154052734375,0.4234927594661712,0.8820152878761292,0.2449075877666473,1
