device_time_stamp,system_time_stamp,left_gaze_point_on_display_area_1,left_gaze_point_on_display_area_2,left_gaze_point_in_user_coordinate_system_1,left_gaze_point_in_user_coordinate_system_2,left_gaze_point_in_user_coordinate_system_3,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system_1,left_gaze_origin_in_user_coordinate_system_2,left_gaze_origin_in_user_coordinate_system_3,left_gaze_origin_in_trackbox_coordinate_system_1,left_gaze_origin_in_trackbox_coordinate_system_2,left_gaze_origin_in_trackbox_coordinate_system_3,left_gaze_origin_validity,right_gaze_point_on_display_area_1,right_gaze_point_on_display_area_2,right_gaze_point_in_user_coordinate_system_1,right_gaze_point_in_user_coordinate_system_2,right_gaze_point_in_user_coordinate_system_3,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system_1,right_gaze_origin_in_user_coordinate_system_2,right_gaze_origin_in_user_coordinate_system_3,right_gaze_origin_in_trackbox_coordinate_system_1,right_gaze_origin_in_trackbox_coordinate_system_2,right_gaze_origin_in_trackbox_coordinate_system_3,right_gaze_origin_validity
7437907485,106557440182,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
7437938775,106557471520,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
7437955417,106557488166,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
7437972094,106557504846,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
7437988891,106557521647,0.8631840944290161,-0.1087169498205185,200.47760009765625,343.15966796875,118.06292724609375,1,7.135498046875,1,-40.15205383300781,-155.5341339111328,583.12255859375,0.5914690494537354,0.8549582362174988,0.4096859097480774,1,0.8768827319145203,0.0067264786921441555,208.03924560546875,309.4762268066406,105.80310821533203,1,7.1335601806640625,1,38.29255294799805,-158.91610717773438,582.3296508789062,0.41221195459365845,0.8631755113601685,0.4096751809120178,1
7438005374,106557538126,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
7438021983,106557554716,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
7438038811,106557571522,0.848371148109436,-0.10848462581634521,192.30091857910156,343.0918884277344,118.03823852539062,1,7.1284027099609375,1,-40.01705551147461,-155.88612365722656,583.0372924804688,0.5911741256713867,0.8558141589164734,0.40968480706214905,1,0.8805900812149048,0.011748687364161015,210.08575439453125,308.0108947753906,105.26970672607422,1,7.1771087646484375,1,38.32075500488281,-159.3115997314453,582.2189331054688,0.41213080286979675,0.864149272441864,0.4096735715866089,1
7438055244,106557587940,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
7438071842,106557604538,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
7438088606,106557621303,0.8648664355278015,-0.10549303889274597,201.40628051757812,342.2190246582031,117.72052764892578,1,7.1331634521484375,1,-39.96027755737305,-155.2113037109375,583.2224731445312,0.5910153985023499,0.8541603088378906,0.40968725085258484,1,0.8786464929580688,0.040319304913282394,209.01287841796875,299.6746520996094,102.23566436767578,1,7.1566009521484375,1,38.355655670166016,-158.72100830078125,582.3790893554688,0.41207510232925415,0.8626985549926758,0.4096757769584656,1
7438105122,106557637819,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
7438121762,106557654459,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
