device_time_stamp,system_time_stamp,left_gaze_point_on_display_area_1,left_gaze_point_on_display_area_2,left_gaze_point_in_user_coordinate_system_1,left_gaze_point_in_user_coordinate_system_2,left_gaze_point_in_user_coordinate_system_3,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system_1,left_gaze_origin_in_user_coordinate_system_2,left_gaze_origin_in_user_coordinate_system_3,left_gaze_origin_in_trackbox_coordinate_system_1,left_gaze_origin_in_trackbox_coordinate_system_2,left_gaze_origin_in_trackbox_coordinate_system_3,left_gaze_origin_validity,right_gaze_point_on_display_area_1,right_gaze_point_on_display_area_2,right_gaze_point_in_user_coordinate_system_1,right_gaze_point_in_user_coordinate_system_2,right_gaze_point_in_user_coordinate_system_3,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system_1,right_gaze_origin_in_user_coordinate_system_2,right_gaze_origin_in_user_coordinate_system_3,right_gaze_origin_in_trackbox_coordinate_system_1,right_gaze_origin_in_trackbox_coordinate_system_2,right_gaze_origin_in_trackbox_coordinate_system_3,right_gaze_origin_validity
12588554708,12578658597,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
12588586612,12578690417,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
12588603255,12578707051,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
12588619941,12578723729,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
12588636728,12578740507,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
12588653212,12578757003,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.7148120403289795,0.14974060654640198,118.57627868652344,267.748291015625,90.61534881591797,1,5.2769622802734375,1,37.03132247924805,-181.2371063232422,575.8093872070312,0.4141371548175812,0.9189107418060303,0.4095860719680786,1
12588669820,12578773649,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
12588686648,12578790519,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.7638152241706848,0.10281433910131454,145.6259765625,281.4402160644531,95.598876953125,1,5.26409912109375,1,37.03106689453125,-179.0894012451172,576.4852294921875,0.4142381250858307,0.9134583473205566,0.40959423780441284,1
12588703178,12578807073,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.7616432309150696,0.09258652478456497,144.4270477294922,284.4244384765625,96.68504333496094,1,5.219970703125,1,37.034278869628906,-179.13861083984375,576.469482421875,0.4142283797264099,0.9135833382606506,0.40959376096725464,1
12588719676,12578823570,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
12588736569,12578840462,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.787588357925415,0.1503559648990631,158.748779296875,267.56878662109375,90.55001831054688,1,5.130218505859375,1,37.10163497924805,-180.2353973388672,576.1216430664062,0.4140210449695587,0.9163681864738464,0.40959081053733826,1
12588753144,12578857036,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.7839316129684448,0.14772865176200867,156.7303009033203,268.3353271484375,90.82901763916016,1,5.126129150390625,1,37.08767318725586,-180.21119689941406,576.130126953125,0.41405460238456726,0.91630619764328,0.40959081053733826,1
12588769609,12578873496,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
12588786488,12578890369,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.8146610260009766,0.02518741600215435,173.69290161132812,304.0897521972656,103.84258270263672,1,5.491912841796875,1,39.21725845336914,-191.72518920898438,610.5452270507812,0.41424182057380676,0.9179399609565735,0.4822823405265808,1
12588803110,12578906984,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.8129653930664062,0.022646909579634666,172.75692749023438,304.8310241699219,104.11238861083984,1,5.4832916259765625,1,39.20414733886719,-191.70130920410156,610.5536499023438,0.41427159309387207,0.9178820848464966,0.4822825789451599,1
12588819571,12578923444,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
12588836408,12578940279,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.8232471346855164,0.02757202461361885,178.432373046875,303.39404296875,103.58934783935547,1,5.4483489990234375,1,38.90616989135742,-192.57211303710938,610.2965698242188,0.4148857593536377,0.9199582934379578,0.4822786748409271,1
12588853076,12578956946,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.8103742003440857,0.0560796782374382,171.32655334472656,295.0762023925781,100.5619125366211,1,5.335174560546875,1,38.842124938964844,-192.75827026367188,610.2415161132812,0.41501784324645996,0.9204024076461792,0.4822779595851898,1
12588869518,12578973387,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
12588886328,12578990200,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
12588903042,12579006916,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
12588942068,12579045942,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
12588958555,12579062428,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
12589022528,12579126380,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
