Recording timestamp,Recording date,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,label
2782623704,2024/04/08,1086.0,963.0,1055.0,954.0,1117.0,971.0,0.00459,0.24607,-0.96924,-0.10605,0.24779,-0.96299,6.109,6.191,drunk
2782640359,2024/04/08,1128.0,964.0,1092.0,958.0,1164.0,970.0,0.01767,0.24702,-0.96885,-0.09034,0.24776,-0.9646,6.11,6.194,drunk
2782657013,2024/04/08,1134.0,973.0,1097.0,966.0,1172.0,979.0,0.01935,0.24965,-0.96814,-0.08763,0.25066,-0.9641,6.11,6.199,drunk
2782673668,2024/04/08,1137.0,969.0,1101.0,966.0,1174.0,973.0,0.02095,0.24962,-0.96812,-0.08684,0.24866,-0.96469,6.117,6.201,drunk
2782690323,2024/04/08,1133.0,981.0,1091.0,989.0,1174.0,974.0,0.01699,0.25635,-0.96643,-0.08733,0.24879,-0.96461,6.041,6.2,drunk
2782706977,2024/04/08,1130.0,982.0,1086.0,991.0,1174.0,973.0,0.01633,0.25629,-0.96646,-0.08677,0.24848,-0.96474,6.055,6.208,drunk
2782723632,2024/04/08,1138.0,966.0,1100.0,967.0,1176.0,965.0,0.02038,0.24976,-0.96809,-0.08661,0.24674,-0.9652,6.142,6.224,drunk
2782740287,2024/04/08,1141.0,963.0,1103.0,963.0,1180.0,963.0,0.02203,0.24878,-0.96831,-0.08489,0.24632,-0.96546,6.145,6.224,drunk
2782756941,2024/04/08,1142.0,968.0,1106.0,963.0,1177.0,974.0,0.02327,0.2486,-0.96833,-0.0859,0.24923,-0.96463,6.147,6.225,drunk
2782773595,2024/04/08,1140.0,970.0,1105.0,964.0,1174.0,977.0,0.0229,0.24876,-0.9683,-0.0867,0.25005,-0.96434,6.152,6.228,drunk
2782790250,2024/04/08,1135.0,967.0,1098.0,962.0,1172.0,972.0,0.0204,0.24821,-0.96849,-0.08751,0.24832,-0.96472,6.161,6.247,drunk
2782806904,2024/04/08,1136.0,965.0,1096.0,960.0,1176.0,971.0,0.01977,0.24778,-0.96861,-0.08626,0.24809,-0.96489,6.171,6.257,drunk
2782823559,2024/04/08,1129.0,975.0,1085.0,982.0,1172.0,968.0,0.01568,0.25381,-0.96713,-0.08794,0.24703,-0.96501,6.091,6.252,drunk
2782840214,2024/04/08,1126.0,978.0,1085.0,986.0,1167.0,970.0,0.01516,0.25466,-0.96691,-0.08985,0.24717,-0.9648,6.093,6.252,drunk
2782856869,2024/04/08,1134.0,971.0,1098.0,971.0,1170.0,971.0,0.02018,0.2501,-0.96801,-0.08822,0.24799,-0.96474,6.174,6.254,drunk
2782873523,2024/04/08,1135.0,970.0,1097.0,966.0,1173.0,974.0,0.01998,0.24914,-0.96826,-0.0873,0.24942,-0.96445,6.174,6.254,drunk
