Recording timestamp,Recording date,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right
765950325,2024/04/08,541.0,553.0,542.0,575.0,539.0,531.0,-0.11591,0.16178,-0.98,-0.24697,0.14997,-0.95735,5.555,5.744
765966980,2024/04/08,543.0,549.0,545.0,568.0,541.0,530.0,-0.11528,0.1594,-0.98046,-0.24669,0.14942,-0.9575,5.554,5.753
765983635,2024/04/08,536.0,550.0,532.0,572.0,540.0,528.0,-0.11987,0.16061,-0.97971,-0.2474,0.14877,-0.95742,5.554,5.753
766000290,2024/04/08,534.0,551.0,527.0,574.0,541.0,528.0,-0.12144,0.16137,-0.97939,-0.24695,0.14882,-0.95753,5.554,5.741
766016944,2024/04/08,554.0,545.0,550.0,567.0,558.0,522.0,-0.11416,0.15951,-0.98057,-0.2419,0.14766,-0.959,5.561,5.747
766033599,2024/04/08,576.0,545.0,570.0,564.0,581.0,526.0,-0.108,0.15903,-0.98135,-0.23529,0.14894,-0.96045,5.579,5.764
766050253,2024/04/08,598.0,540.0,600.0,558.0,595.0,522.0,-0.09882,0.15677,-0.98268,-0.23167,0.14759,-0.96153,5.591,5.765
766066907,2024/04/08,595.0,530.0,602.0,556.0,588.0,503.0,-0.09875,0.15593,-0.98282,-0.23477,0.14088,-0.96179,5.586,5.759
766083562,2024/04/08,586.0,540.0,586.0,567.0,586.0,513.0,-0.10448,0.15902,-0.98173,-0.23588,0.14338,-0.96115,5.585,5.745
766100217,2024/04/08,593.0,543.0,590.0,563.0,597.0,523.0,-0.10364,0.15765,-0.98204,-0.23262,0.14675,-0.96143,5.586,5.732
766116871,2024/04/08,591.0,544.0,584.0,561.0,599.0,526.0,-0.10598,0.15714,-0.98187,-0.23191,0.14771,-0.96146,5.583,5.727
766133526,2024/04/08,593.0,550.0,586.0,567.0,601.0,534.0,-0.10545,0.15915,-0.98161,-0.23143,0.15025,-0.96118,5.583,5.731
766150181,2024/04/08,592.0,550.0,584.0,568.0,601.0,531.0,-0.1063,0.15995,-0.98138,-0.23167,0.14971,-0.96121,5.586,5.735
766166835,2024/04/08,596.0,548.0,585.0,565.0,606.0,531.0,-0.10588,0.15906,-0.98158,-0.23021,0.14999,-0.96151,5.589,5.745
766183489,2024/04/08,590.0,545.0,576.0,562.0,605.0,527.0,-0.1092,0.15841,-0.98132,-0.23056,0.14887,-0.9616,5.596,5.754
766200144,2024/04/08,587.0,542.0,577.0,560.0,598.0,524.0,-0.10889,0.15812,-0.9814,-0.2328,0.14802,-0.96119,5.624,5.747
766216798,2024/04/08,585.0,537.0,576.0,551.0,594.0,523.0,-0.10926,0.15556,-0.98177,-0.23405,0.14795,-0.9609,5.639,5.758
766233453,2024/04/08,588.0,538.0,578.0,553.0,598.0,522.0,-0.10868,0.15622,-0.98173,-0.23284,0.14779,-0.96122,5.632,5.776
766250108,2024/04/08,652.0,532.0,644.0,541.0,660.0,524.0,-0.08715,0.15357,-0.98429,-0.2138,0.14975,-0.96533,5.639,5.785
766266763,2024/04/08,695.0,527.0,678.0,540.0,712.0,514.0,-0.0764,0.15355,-0.98518,-0.19823,0.14721,-0.96904,5.587,5.799
766283417,2024/04/08,720.0,540.0,719.0,571.0,722.0,510.0,-0.06281,0.1632,-0.98459,-0.19529,0.14566,-0.96987,5.64,5.812
766300072,2024/04/08,716.0,525.0,715.0,542.0,716.0,507.0,-0.06638,0.154,-0.98584,-0.19841,0.14472,-0.96938,5.687,5.81
766316726,2024/04/08,716.0,521.0,718.0,532.0,714.0,510.0,-0.06429,0.15084,-0.98647,-0.1982,0.14541,-0.96931,5.682,5.806
766333380,2024/04/08,713.0,522.0,712.0,539.0,714.0,505.0,-0.06661,0.15282,-0.98601,-0.19869,0.14357,-0.96949,5.678,5.808
766350035,2024/04/08,709.0,524.0,707.0,545.0,710.0,502.0,-0.06858,0.15452,-0.98561,-0.20055,0.14201,-0.96934,5.667,5.805
766366690,2024/04/08,711.0,527.0,711.0,546.0,711.0,509.0,-0.06773,0.15468,-0.98564,-0.20032,0.14394,-0.9691,5.665,5.797
766383344,2024/04/08,718.0,525.0,718.0,541.0,718.0,509.0,-0.06551,0.153,-0.98605,-0.1987,0.14369,-0.96947,5.664,5.791
766399999,2024/04/08,720.0,525.0,718.0,548.0,723.0,502.0,-0.06593,0.15516,-0.98569,-0.19734,0.14129,-0.9701,5.656,5.788
766416654,2024/04/08,721.0,528.0,717.0,551.0,725.0,505.0,-0.06635,0.15582,-0.98555,-0.19719,0.142,-0.97003,5.65,5.78
766433308,2024/04/08,725.0,535.0,722.0,545.0,728.0,525.0,-0.06507,0.15373,-0.98597,-0.19627,0.1482,-0.96929,5.648,5.773
766449962,2024/04/08,725.0,540.0,724.0,549.0,726.0,530.0,-0.06482,0.15499,-0.98579,-0.19697,0.14945,-0.96895,5.644,5.768
766466617,2024/04/08,723.0,537.0,719.0,549.0,726.0,524.0,-0.06644,0.15454,-0.98575,-0.19712,0.14713,-0.96928,5.634,5.766
766483271,2024/04/08,718.0,538.0,713.0,553.0,723.0,523.0,-0.06879,0.15554,-0.98543,-0.19848,0.14651,-0.96909,5.624,5.766
766499926,2024/04/08,719.0,544.0,708.0,563.0,731.0,525.0,-0.07049,0.15883,-0.98479,-0.19597,0.14727,-0.96949,5.639,5.763
766516581,2024/04/08,725.0,541.0,718.0,558.0,732.0,525.0,-0.06713,0.15695,-0.98532,-0.1957,0.14688,-0.9696,5.65,5.764
766533236,2024/04/08,709.0,540.0,703.0,550.0,715.0,529.0,-0.07214,0.15457,-0.98534,-0.2008,0.1483,-0.96834,5.648,5.765
766549890,2024/04/08,681.0,541.0,667.0,551.0,694.0,530.0,-0.08381,0.15475,-0.98439,-0.20714,0.14829,-0.96701,5.643,5.77
766566545,2024/04/08,677.0,545.0,673.0,558.0,680.0,532.0,-0.0819,0.15687,-0.98422,-0.21167,0.14844,-0.966,5.66,5.778
766583199,2024/04/08,678.0,544.0,673.0,556.0,682.0,532.0,-0.08183,0.15581,-0.98439,-0.21096,0.1484,-0.96616,5.665,5.782
766599853,2024/04/08,681.0,542.0,677.0,555.0,686.0,530.0,-0.08067,0.15547,-0.98454,-0.20958,0.14765,-0.96658,5.653,5.785
766616508,2024/04/08,677.0,544.0,671.0,553.0,684.0,535.0,-0.08256,0.15502,-0.98446,-0.21001,0.14936,-0.96622,5.658,5.79
766633163,2024/04/08,681.0,546.0,677.0,552.0,684.0,540.0,-0.08019,0.15471,-0.9847,-0.20968,0.15116,-0.96601,5.662,5.797
766649817,2024/04/08,682.0,547.0,680.0,559.0,684.0,536.0,-0.07898,0.15722,-0.9844,-0.20964,0.15004,-0.9662,5.671,5.812
766666472,2024/04/08,681.0,552.0,678.0,573.0,685.0,531.0,-0.07968,0.16177,-0.98361,-0.20928,0.14837,-0.96653,5.7,5.831
766683127,2024/04/08,683.0,552.0,680.0,572.0,686.0,532.0,-0.0789,0.16164,-0.98369,-0.20892,0.14897,-0.96652,5.721,5.841
766699781,2024/04/08,680.0,553.0,678.0,575.0,682.0,531.0,-0.07949,0.16268,-0.98347,-0.21003,0.14867,-0.96632,5.728,5.856
766716435,2024/04/08,678.0,555.0,680.0,575.0,676.0,535.0,-0.07895,0.16276,-0.9835,-0.21199,0.14973,-0.96573,5.735,5.866
766733090,2024/04/08,677.0,552.0,679.0,565.0,676.0,538.0,-0.07949,0.1595,-0.98399,-0.21215,0.15092,-0.96551,5.732,5.87
766749744,2024/04/08,677.0,549.0,675.0,567.0,678.0,532.0,-0.08067,0.16015,-0.98379,-0.21147,0.14881,-0.96599,5.744,5.882
766766399,2024/04/08,678.0,549.0,678.0,567.0,679.0,531.0,-0.0798,0.16031,-0.98384,-0.21108,0.14856,-0.96611,5.755,5.89
766783054,2024/04/08,680.0,550.0,686.0,567.0,674.0,533.0,-0.07713,0.16051,-0.98402,-0.21273,0.1493,-0.96564,5.769,5.905
766799709,2024/04/08,680.0,551.0,686.0,571.0,675.0,531.0,-0.07688,0.16209,-0.98378,-0.21232,0.14899,-0.96578,5.781,5.916
