device_time_stamp,system_time_stamp,left_gaze_point_on_display_area_x,left_gaze_point_on_display_area_y,left_gaze_point_in_user_coordinate_system_x,left_gaze_point_in_user_coordinate_system_y,left_gaze_point_in_user_coordinate_system_z,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system_x,left_gaze_origin_in_user_coordinate_system_y,left_gaze_origin_in_user_coordinate_system_z,left_gaze_origin_in_trackbox_coordinate_system_x,left_gaze_origin_in_trackbox_coordinate_system_y,left_gaze_origin_in_trackbox_coordinate_system_z,left_gaze_origin_validity,right_gaze_point_on_display_area_x,right_gaze_point_on_display_area_y,right_gaze_point_in_user_coordinate_system_x,right_gaze_point_in_user_coordinate_system_y,right_gaze_point_in_user_coordinate_system_z,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system_x,right_gaze_origin_in_user_coordinate_system_y,right_gaze_origin_in_user_coordinate_system_z,right_gaze_origin_in_trackbox_coordinate_system_x,right_gaze_origin_in_trackbox_coordinate_system_y,right_gaze_origin_in_trackbox_coordinate_system_z,right_gaze_origin_validity
9003006330,650222868595,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
9003036944,650222899204,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
9003053587,650222915847,0.05348894000053406,-0.16509124636650085,-246.47412109375,359.6082458496094,124.0496826171875,1,6.4486541748046875,1,-71.88358306884766,-56.16150665283203,598.0272216796875,0.6598405838012695,0.6248320937156677,0.4098891615867615,1,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
9003070186,650222932445,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.3788732588291168,0.18760564923286438,-66.86195373535156,256.70025634765625,86.59420776367188,1,4.2969512939453125,1,8.873673439025879,-40.01951599121094,469.7654113769531,0.47462278604507446,0.613219141960144,0.14310094714164734,1
9003086908,650222949167,0.11675925552845001,0.21010170876979828,-211.5489044189453,250.13648986816406,84.20520782470703,1,4.5735015869140625,1,-54.95612335205078,-43.72285079956055,464.1654968261719,0.6574390530586243,0.6252121329307556,0.1388961225748062,1,0.33773016929626465,0.10720733553171158,-89.57296752929688,280.158447265625,95.13231658935547,1,4.4945220947265625,1,8.90606689453125,-39.935550689697266,468.5924072265625,0.47446778416633606,0.6132645010948181,0.14075079560279846,1
9003103466,650222965725,0.11795271188020706,0.2683808207511902,-210.89012145996094,233.13214111328125,78.0161361694336,1,4.6658935546875,1,-54.84624481201172,-43.54576873779297,463.6878967285156,0.6572858691215515,0.624832808971405,0.13789300620555878,1,0.3413688540458679,0.10951951891183853,-87.56441497802734,279.48382568359375,94.88676452636719,1,4.4636077880859375,1,8.981202125549316,-39.82013702392578,466.823486328125,0.47415754199028015,0.6133653521537781,0.13720959424972534,1
9003120004,650222982265,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.3562592566013336,0.11645285785198212,-79.3448715209961,277.4608154296875,94.15043640136719,1,4.4814605712890625,1,9.061734199523926,-39.8000602722168,465.6286315917969,0.47386154532432556,0.613599419593811,0.13482867181301117,1
9003136704,650222998968,0.11730270087718964,0.29725807905197144,-211.24893188476562,224.7064666748047,74.94945526123047,1,4.63848876953125,1,-54.31894302368164,-43.233070373535156,461.0205078125,0.6566740870475769,0.624653160572052,0.13243670761585236,1,0.357536256313324,0.12083543837070465,-78.63997650146484,276.1820983886719,93.6850357055664,1,4.4729156494140625,1,9.137201309204102,-39.73519515991211,464.5144348144531,0.47358301281929016,0.6136865019798279,0.13260070979595184,1
9003153336,650223015602,0.11986662447452545,0.2954285740852356,-209.83364868164062,225.24029541015625,75.14373016357422,1,4.6251373291015625,1,-54.275001525878906,-43.17465591430664,460.801025390625,0.6566218733787537,0.6245438456535339,0.13198156654834747,1,0.3521685004234314,0.12013895809650421,-81.60299682617188,276.3853454589844,93.75900268554688,1,4.4384918212890625,1,9.163901329040527,-39.676692962646484,464.1126708984375,0.47348371148109436,0.6136172413825989,0.1317913830280304,1
9003169823,650223032089,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.3602426052093506,0.17383359372615814,-77.14603424072266,260.71856689453125,88.05674743652344,1,4.3370361328125,1,9.15335750579834,-39.48435592651367,463.2443542480469,0.4734647572040558,0.6132777333259583,0.13002820312976837,1
9003186371,650223048637,0.12574225664138794,0.32294517755508423,-206.5902557373047,217.2115936279297,72.22154235839844,1,4.6106719970703125,1,-54.04231262207031,-42.47782897949219,458.5775451660156,0.656706690788269,0.6231253147125244,0.12740130722522736,1,0.3597847521305084,0.16912993788719177,-77.39878845214844,262.0909729003906,88.55628967285156,1,4.3375396728515625,1,9.108465194702148,-39.090328216552734,461.9795837402344,0.4735221266746521,0.6124526858329773,0.12743982672691345,1
9003203204,650223065469,0.127467542886734,0.31811821460723877,-205.6378936767578,218.6199951171875,72.73412322998047,1,4.6494598388671875,1,-54.0623664855957,-42.212093353271484,458.441162109375,0.6568115949630737,0.62239009141922,0.12708771228790283,1,0.3827573359012604,0.2273566722869873,-64.71794891357422,245.1019287109375,82.3727798461914,1,4.1556549072265625,1,9.070245742797852,-38.79072570800781,461.75665283203125,0.47361961007118225,0.6116430759429932,0.12694378197193146,1
9003219642,650223081896,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.38832512497901917,0.24090558290481567,-61.644554138183594,241.148681640625,80.93391418457031,1,4.157958984375,1,9.045268058776855,-38.44947814941406,461.7017822265625,0.4736885726451874,0.6106721758842468,0.1267765462398529,1
9003236277,650223098512,0.11772975325584412,0.30388492345809937,-211.01316833496094,222.7729034423828,74.24568939208984,1,4.6342315673828125,1,-54.208370208740234,-41.61735153198242,458.16082763671875,0.6573320627212524,0.6207365393638611,0.12645971775054932,1,0.37379446625709534,0.16120830178260803,-69.66545104980469,264.40234375,89.39755249023438,1,4.3436737060546875,1,8.994235038757324,-38.17269515991211,461.5161437988281,0.4738253355026245,0.6099181175231934,0.12635888159275055,1
