device_time_stamp,system_time_stamp,left_gaze_point_on_display_area_x,left_gaze_point_on_display_area_y,left_gaze_point_in_user_coordinate_system_x,left_gaze_point_in_user_coordinate_system_y,left_gaze_point_in_user_coordinate_system_z,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system_x,left_gaze_origin_in_user_coordinate_system_y,left_gaze_origin_in_user_coordinate_system_z,left_gaze_origin_in_trackbox_coordinate_system_x,left_gaze_origin_in_trackbox_coordinate_system_y,left_gaze_origin_in_trackbox_coordinate_system_z,left_gaze_origin_validity,right_gaze_point_on_display_area_x,right_gaze_point_on_display_area_y,right_gaze_point_in_user_coordinate_system_x,right_gaze_point_in_user_coordinate_system_y,right_gaze_point_in_user_coordinate_system_z,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system_x,right_gaze_origin_in_user_coordinate_system_y,right_gaze_origin_in_user_coordinate_system_z,right_gaze_origin_in_trackbox_coordinate_system_x,right_gaze_origin_in_trackbox_coordinate_system_y,right_gaze_origin_in_trackbox_coordinate_system_z,right_gaze_origin_validity
14073780484,93961940551,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
14073811458,93961971424,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
14073828101,93961988059,0.03608570620417595,0.0214389655739069,-256.0807189941406,305.1834716796875,104.24066162109375,1,6.25665283203125,1,-56.41391372680664,-74.6393814086914,597.6636352539062,0.6254706382751465,0.6660780906677246,0.40988489985466003,1,0.0400383435189724,-0.014637744054198265,-253.89883422851562,315.7097473144531,108.07189178466797,1,6.009735107421875,1,14.532172203063965,-70.50984191894531,600.664306640625,0.46755993366241455,0.6560924053192139,0.40992626547813416,1
14073844700,93962004651,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
14073861528,93962021471,-0.09600067138671875,-0.06693630665540695,-328.9924011230469,330.9691467285156,113.6258316040039,1,6.056884765625,1,-56.64297866821289,-74.3749008178711,597.6746826171875,0.6259786486625671,0.665485680103302,0.40988439321517944,1,0.02089526690542698,-0.052154213190078735,-264.4658203125,326.65606689453125,112.05612182617188,1,5.8479461669921875,1,14.323485374450684,-70.25032043457031,600.6998901367188,0.46802443265914917,0.6555078029632568,0.4099266231060028,1
14073877980,93962037915,-0.033534012734889984,-0.024466220289468765,-294.51080322265625,318.5774841308594,109.11563110351562,1,6.15313720703125,1,-56.787662506103516,-74.32308197021484,597.66748046875,0.6263025403022766,0.6653722524642944,0.409884512424469,1,0.024780534207820892,-0.06342269480228424,-262.3211669921875,329.9439392089844,113.2528076171875,1,5.870574951171875,1,14.200624465942383,-70.15189361572266,600.71435546875,0.4682975709438324,0.6552858948707581,0.40992677211761475,1
14073894519,93962054469,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
14073911306,93962071294,-0.013827034272253513,-0.03192489221692085,-283.6325378417969,320.7536926269531,109.90779876708984,1,6.1436920166015625,1,-57.09114456176758,-74.15152740478516,597.659912109375,0.6269803047180176,0.6649921536445618,0.40988463163375854,1,-0.01209308858960867,-0.13427890837192535,-282.6754150390625,350.6180114746094,120.77742004394531,1,5.7260894775390625,1,14.001667976379395,-69.95437622070312,600.7423095703125,0.4687400758266449,0.6548408269882202,0.40992724895477295,1
14073927850,93962087881,-0.011167955584824085,-0.029191529378294945,-282.16473388671875,319.9561767578125,109.61749267578125,1,6.1299591064453125,1,-57.209266662597656,-74.11563873291016,597.653076171875,0.6272449493408203,0.664914071559906,0.40988463163375854,1,0.028321662917733192,-0.051659002900123596,-260.366455078125,326.5115966796875,112.0034408569336,1,5.8252410888671875,1,13.82966423034668,-69.85206604003906,600.7582397460938,0.46912214159965515,0.6546099781990051,0.4099273681640625,1
14073944337,93962104389,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
