device_time_stamp,system_time_stamp,left_gaze_point_on_display_area_x,left_gaze_point_on_display_area_y,left_gaze_point_in_user_coordinate_system_x,left_gaze_point_in_user_coordinate_system_y,left_gaze_point_in_user_coordinate_system_z,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system_x,left_gaze_origin_in_user_coordinate_system_y,left_gaze_origin_in_user_coordinate_system_z,left_gaze_origin_in_trackbox_coordinate_system_x,left_gaze_origin_in_trackbox_coordinate_system_y,left_gaze_origin_in_trackbox_coordinate_system_z,left_gaze_origin_validity,right_gaze_point_on_display_area_x,right_gaze_point_on_display_area_y,right_gaze_point_in_user_coordinate_system_x,right_gaze_point_in_user_coordinate_system_y,right_gaze_point_in_user_coordinate_system_z,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system_x,right_gaze_origin_in_user_coordinate_system_y,right_gaze_origin_in_user_coordinate_system_z,right_gaze_origin_in_trackbox_coordinate_system_x,right_gaze_origin_in_trackbox_coordinate_system_y,right_gaze_origin_in_trackbox_coordinate_system_z,right_gaze_origin_validity
21699312099,381122515979,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
21699342645,381122546607,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
21699359288,381122563256,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
21699375877,381122579851,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
21699392770,381122596750,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.2569058835506439,-0.06586592644453049,-134.1879425048828,330.6568298339844,113.51217651367188,1,4.1968841552734375,1,20.754375457763672,-105.62450408935547,595.2723999023438,0.45334896445274353,0.7360602021217346,0.4098537564277649,1
21699409157,381122613125,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
21699425696,381122629634,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
21699442690,381122646594,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.27129149436950684,-0.05957004055380821,-126.24708557128906,328.81982421875,112.84364318847656,1,4.1675872802734375,1,20.12375259399414,-104.65694427490234,595.4654541015625,0.45477429032325745,0.7338199019432068,0.4098547399044037,1
21699459027,381122662916,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
21699475515,381122679406,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
21699492610,381122696502,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
21699508896,381122712790,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.8113365173339844,-0.18438628315925598,171.8577880859375,365.238037109375,126.0987777709961,1,5.00787353515625,1,18.354787826538086,-104.57347869873047,595.5377197265625,0.4587351679801941,0.7336048483848572,0.4098557233810425,1
21699525334,381122729213,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
21699542530,381122746391,0.7171564102172852,-0.19461855292320251,119.87034606933594,368.22357177734375,127.1854019165039,1,5.056671142578125,1,-83.94959259033203,-101.30143737792969,590.4114990234375,0.6891193985939026,0.7282552719116211,0.40978550910949707,1,0.26112794876098633,0.06745096296072006,-131.8573760986328,291.7583312988281,99.35433197021484,1,4.117034912109375,1,19.125471115112305,-105.13684844970703,595.4146118164062,0.45700308680534363,0.734913170337677,0.40985631942749023,1
21699558766,381122762608,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
21699575249,381122779088,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
21699592450,381122796288,0.40200182795524597,-0.023902539163827896,-54.0949821472168,318.4129638671875,109.05582427978516,1,4.8455047607421875,1,-83.93019104003906,-100.06483459472656,590.6267700195312,0.6890065670013428,0.7253838777542114,0.4097888171672821,1,0.242390438914299,0.13823698461055756,-142.20046997070312,271.1047668457031,91.83705139160156,1,4.0582427978515625,1,18.995243072509766,-104.15504455566406,595.5916137695312,0.45730695128440857,0.7326481938362122,0.4098569452762604,1
21699608635,381122812472,0.4628310799598694,0.279838889837265,-20.51724624633789,229.78895568847656,76.79931640625,1,3.9218902587890625,1,-67.79476165771484,-80.85395812988281,477.48638916015625,0.6888455152511597,0.725265383720398,0.1780117154121399,1,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
21699625261,381122829096,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.501899242401123,0.5209733843803406,1.0484164953231812,159.43199157714844,51.19149398803711,1,2.9113006591796875,1,12.6240234375,-70.18559265136719,401.5548095703125,0.4579131007194519,0.732525646686554,0.015675537288188934,1
21699642370,381122846199,0.48480895161628723,0.517824113368988,-8.385466575622559,160.35089111328125,51.525936126708984,1,3.12152099609375,1,-56.57791519165039,-67.66071319580078,397.1832275390625,0.6894651055335999,0.7266222238540649,0.013716308400034904,1,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
21699658504,381122862327,0.4854700565338135,0.5134609341621399,-8.020502090454102,161.6239776611328,51.989280700683594,1,3.0521240234375,1,-56.5783805847168,-67.65805053710938,396.2419738769531,0.689917266368866,0.7271521687507629,0.011877868324518204,1,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
21699675177,381122878996,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.4722454249858856,0.5706725120544434,-15.320510864257812,144.93106079101562,45.9135627746582,1,2.6949462890625,1,12.27635383605957,-70.31997680664062,399.9032897949219,0.4588979482650757,0.7339343428611755,0.012448791414499283,1
21699692290,381122896107,0.47712376713752747,0.520095705986023,-12.627696990966797,159.6881103515625,51.28470993041992,1,2.9724273681640625,1,-56.78826141357422,-67.2930679321289,395.9732666015625,0.6907520890235901,0.726078987121582,0.011290588416159153,1,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
21699708374,381122912190,0.4817057251930237,0.5140784978866577,-10.098434448242188,161.44378662109375,51.9236946105957,1,2.9219818115234375,1,-56.9402961730957,-66.8966064453125,396.2964782714844,0.6911071538925171,0.7245622873306274,0.011833129450678825,1,0.50324946641922,0.5307328701019287,1.7937270402908325,156.58444213867188,50.15502166748047,1,2.735870361328125,1,12.161298751831055,-69.65868377685547,400.31573486328125,0.4593227803707123,0.7314932942390442,0.013026184402406216,1
21699725092,381122928907,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.5041943192481995,0.5398048162460327,2.315276622772217,153.9375,49.19163513183594,1,2.6896209716796875,1,12.126617431640625,-69.40196228027344,399.9930419921875,0.4594056308269501,0.7308256030082703,0.012300720438361168,1
21699742086,381122945898,0.4835602641105652,0.5213374495506287,-9.074719429016113,159.32577514648438,51.152801513671875,1,2.8340911865234375,1,-56.876068115234375,-66.3208236694336,395.0397644042969,0.6914993524551392,0.7233364582061768,0.009171813726425171,1,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
21699758243,381122962052,0.4827345311641693,0.5098541975021362,-9.530539512634277,162.67630004882812,52.37229919433594,1,2.7758941650390625,1,-56.819705963134766,-66.39949798583984,394.3038024902344,0.691666841506958,0.7240194082260132,0.00774468993768096,1,0.5078779458999634,0.5439847111701965,4.3486223220825195,152.7178955078125,48.74774169921875,1,2.612762451171875,1,12.039780616760254,-69.340576171875,398.65313720703125,0.45955994725227356,0.7313971519470215,0.009635437279939651,1
21699775007,381122978812,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.5095507502555847,0.5451400279998779,5.272024631500244,152.3807830810547,48.62504196166992,1,2.585357666015625,1,12.027113914489746,-69.51630401611328,398.39300537109375,0.4595760405063629,0.7321357727050781,0.009182678535580635,1
21699792130,381122995934,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
21699808113,381123011916,0.5177483558654785,0.4967068135738373,9.797106742858887,166.5123748779297,53.76850128173828,1,2.720977783203125,1,-56.85413360595703,-66.08467864990234,393.51129150390625,0.6921698451042175,0.723405659198761,0.006103515625,1,0.5089321136474609,0.5566539764404297,4.930545330047607,149.02134704589844,47.40229415893555,1,2.5318756103515625,1,12.048701286315918,-69.31273651123047,397.9215087890625,0.459456205368042,0.7317298054695129,0.008185485377907753,1
