date,type,subType,value
20240221-225108,slowHeadTilting,right,1
20240221-225108,slowHeadTilting,right,-1
20240221-225108,slowHeadTilting,right,1
20240221-225109,slowHeadTilting,right,-1
20240221-225131,slowHeadTilting,right,1
20240221-225131,slowHeadTilting,right,-1
20240221-225131,slowHeadTilting,right,1
20240221-225131,slowHeadTilting,right,-1
20240221-225152,slowHeadTilting,left,1
20240221-225153,slowHeadTilting,left,-1
20240221-225154,slowHeadTilting,left,1
20240221-225156,slowHeadTilting,left,-1
20240221-225158,slowHeadTilting,right,1

