date,type,subType,value
20240221-205715,slowHeadTilting,right,1
20240221-205718,slowHeadTilting,right,-1
20240221-205718,slowHeadTilting,right,1
20240221-205718,slowHeadTilting,right,-1
20240221-205723,slowHeadTilting,forward,1
20240221-205724,slowHeadTilting,forward,-1
20240221-205732,slowHeadTilting,right,1
20240221-205732,slowHeadTilting,right,-1
20240221-205732,slowHeadTilting,right,1
20240221-205733,slowHeadTilting,right,-1
20240221-205733,slowHeadTilting,right,1
20240221-205733,slowHeadTilting,right,-1
20240221-205734,slowHeadTilting,forward,1
20240221-205735,slowHeadTilting,forward,-1
20240221-205739,slowHeadTilting,forward,1
20240221-205740,slowHeadTilting,right,1
20240221-205741,slowHeadTilting,right,-1
20240221-205741,slowHeadTilting,right,1
20240221-205741,slowHeadTilting,right,-1
20240221-205741,slowHeadTilting,forward,-1

