date,type,subType,value
20240221-225200,slowHeadTilting,right,-1
20240221-225205,slowHeadTilting,forward,1
20240221-225205,slowHeadTilting,left,1
20240221-225206,slowHeadTilting,left,-1
20240221-225206,slowHeadTilting,forward,-1
20240221-225210,slowHeadTilting,left,1
20240221-225210,slowHeadTilting,forward,1
20240221-225211,slowHeadTilting,forward,-1
20240221-225213,slowHeadTilting,left,-1
20240221-225216,slowHeadTilting,left,1
20240221-225217,slowHeadTilting,left,-1
20240221-225243,slowHeadTilting,forward,1
20240221-225243,slowHeadTilting,right,1
20240221-225244,slowHeadTilting,forward,-1
20240221-225253,slowHeadTilting,right,-1
20240221-225256,slowHeadTilting,forward,1
20240221-225257,slowHeadTilting,forward,-1

