date,type,subType,value
20240221-204300,slowHeadTilting,backward,-1
20240221-204300,slowHeadTilting,backward,1
20240221-204301,slowHeadTilting,backward,-1
20240221-204308,slowHeadTilting,backward,1
20240221-204314,slowHeadTilting,backward,-1
20240221-204315,slowHeadTilting,right,1
20240221-204315,slowHeadTilting,right,-1
20240221-204315,slowHeadTilting,backward,1
20240221-204318,slowHeadTilting,right,1
20240221-204320,slowHeadTilting,right,-1
20240221-204320,slowHeadTilting,right,1
20240221-204321,slowHeadTilting,right,-1
20240221-204322,slowHeadTilting,backward,-1
20240221-204322,slowHeadTilting,right,1
20240221-204322,slowHeadTilting,right,-1
20240221-204323,slowHeadTilting,right,1
20240221-204323,slowHeadTilting,forward,1
20240221-204324,slowHeadTilting,forward,-1
20240221-204324,slowHeadTilting,right,-1

