id,date,eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,blinkSpeed,blinkStrength,walking,roll,pitch,yaw,accX,accY,accZ,fitError,powerLeft,noiseStatus,sequenceNumber
0,2024-02-21T22:57:59.882+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,4.4375,1.3125,-15.4375,0,5,false,144
1,2024-02-21T22:57:59.959+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,4.5,1.1875,-15.625,0,5,false,145
2,2024-02-21T22:57:59.995+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,4.625,1.125,-15.375,0,5,false,146
3,2024-02-21T22:58:00.035+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,5.0625,1.0,-15.75,0,5,false,147
4,2024-02-21T22:58:00.107+0900,0,0,2,0,0,0,false,0.0,0.0,0.0,4.9375,0.875,-15.625,0,5,false,148
5,2024-02-21T22:58:00.183+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,4.125,0.6875,-15.6875,0,5,false,149
6,2024-02-21T22:58:00.184+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,3.625,0.75,-15.3125,0,5,false,150
7,2024-02-21T22:58:00.257+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,3.0625,0.875,-15.625,0,5,false,151
8,2024-02-21T22:58:00.295+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,1.5,0.9375,-16.0,0,5,false,152
9,2024-02-21T22:58:00.334+0900,0,7,0,2,0,0,false,0.0,0.0,0.0,-0.75,2.0625,-16.6875,0,5,false,153
10,2024-02-21T22:58:00.534+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,0.5,2.75,-16.6875,0,5,false,154
11,2024-02-21T22:58:00.536+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,4.5625,1.5625,-15.625,0,5,false,156
12,2024-02-21T22:58:00.555+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,6.125,0.3125,-16.25,0,5,false,157
13,2024-02-21T22:58:00.636+0900,0,0,0,1,0,0,false,0.0,0.0,0.0,5.5625,0.0,-16.0,0,5,false,158
14,2024-02-21T22:58:00.638+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,3.9375,0.125,-15.375,0,5,false,159
15,2024-02-21T22:58:00.711+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,2.9375,0.1875,-15.6875,0,5,false,160
16,2024-02-21T22:58:00.746+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,2.625,0.25,-16.1875,0,5,false,161
17,2024-02-21T22:58:00.783+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,2.0,0.75,-16.625,0,5,false,162
18,2024-02-21T22:58:00.895+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,1.875,0.3125,-16.125,0,5,false,163
19,2024-02-21T22:58:00.897+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,1.6875,0.25,-16.1875,0,5,false,164
20,2024-02-21T22:58:00.936+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,2.3125,-0.1875,-16.0625,0,5,false,165
21,2024-02-21T22:58:01.009+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,3.0,0.0,-15.9375,0,5,false,166
22,2024-02-21T22:58:01.047+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,3.25,0.0625,-15.9375,0,5,false,167
23,2024-02-21T22:58:01.084+0900,7,0,0,7,0,0,false,0.0,0.0,0.0,2.75,-0.25,-15.9375,0,5,false,168
24,2024-02-21T22:58:01.159+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,3.125,-0.4375,-15.75,0,5,false,169
25,2024-02-21T22:58:01.195+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,3.875,-0.125,-15.875,0,5,false,170
26,2024-02-21T22:58:01.234+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,4.125,-0.375,-15.8125,0,5,false,171
27,2024-02-21T22:58:01.310+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,3.5625,-0.3125,-15.75,0,5,false,172
28,2024-02-21T22:58:01.348+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,2.625,-0.125,-15.8125,0,5,false,173
29,2024-02-21T22:58:01.383+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,2.0,0.1875,-16.0,0,5,false,174
30,2024-02-21T22:58:01.460+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,2.0625,0.3125,-15.9375,0,5,false,175
31,2024-02-21T22:58:01.496+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,2.1875,0.375,-15.9375,0,5,false,176
32,2024-02-21T22:58:01.533+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,2.5,0.6875,-15.25,0,5,false,177
33,2024-02-21T22:58:01.609+0900,0,0,5,0,0,0,false,0.0,0.0,0.0,2.6875,0.4375,-15.125,0,5,false,178
