device_time_stamp,system_time_stamp,left_gaze_point_on_display_area_x,left_gaze_point_on_display_area_y,left_gaze_point_in_user_coordinate_system_x,left_gaze_point_in_user_coordinate_system_y,left_gaze_point_in_user_coordinate_system_z,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system_x,left_gaze_origin_in_user_coordinate_system_y,left_gaze_origin_in_user_coordinate_system_z,left_gaze_origin_in_trackbox_coordinate_system_x,left_gaze_origin_in_trackbox_coordinate_system_y,left_gaze_origin_in_trackbox_coordinate_system_z,left_gaze_origin_validity,right_gaze_point_on_display_area_x,right_gaze_point_on_display_area_y,right_gaze_point_in_user_coordinate_system_x,right_gaze_point_in_user_coordinate_system_y,right_gaze_point_in_user_coordinate_system_z,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system_x,right_gaze_origin_in_user_coordinate_system_y,right_gaze_origin_in_user_coordinate_system_z,right_gaze_origin_in_trackbox_coordinate_system_x,right_gaze_origin_in_trackbox_coordinate_system_y,right_gaze_origin_in_trackbox_coordinate_system_z,right_gaze_origin_validity
257915243,70827166969,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
257946454,70827198173,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
257963096,70827214814,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
257979782,70827231500,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
257996579,70827248296,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258012966,70827264675,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258029794,70827281485,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258046499,70827298170,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258062836,70827314495,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258079806,70827331461,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258096419,70827348071,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258112705,70827364353,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258129722,70827381379,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258146339,70827398010,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258162575,70827414260,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258179638,70827431327,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258196259,70827447947,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258212443,70827464130,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258229553,70827481239,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258246179,70827497877,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258262313,70827514022,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258279469,70827531191,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258296099,70827547821,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258312183,70827563905,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258329383,70827581105,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258346019,70827597742,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258362052,70827613777,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258379299,70827631027,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
258395939,70827647668,0.7090273499488831,1.3427681922912598,115.38314056396484,-80.34680938720703,-36.08086013793945,1,3.7880706787109375,1,-68.68289184570312,-87.24835968017578,459.76361083984375,0.6987059712409973,0.7524778842926025,0.14596447348594666,1,0.7033160328865051,1.3375877141952515,112.23045349121094,-78.8353042602539,-35.53072738647461,1,3.97540283203125,1,-0.40013790130615234,-83.79817962646484,465.5143737792969,0.5009214282035828,0.7394866943359375,0.14599347114562988,1
258412018,70827663748,0.7005200386047363,1.3286594152450562,110.68711853027344,-76.23027038574219,-34.582557678222656,1,3.7705535888671875,1,-67.11073303222656,-85.64678192138672,450.86260986328125,0.6979898810386658,0.7527364492416382,0.1276126652956009,1,0.6724144816398621,1.311835765838623,95.17281341552734,-71.32154083251953,-32.79593276977539,1,3.963287353515625,1,0.1588274985551834,-83.1155014038086,460.12213134765625,0.4993171691894531,0.7403201460838318,0.1351376324892044,1
258429118,70827680848,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.6628881692886353,1.2787443399429321,89.91429138183594,-61.66630554199219,-29.2817325592041,1,3.7384490966796875,1,1.1122709512710571,-78.98471069335938,434.63482666015625,0.49636906385421753,0.7417698502540588,0.08350946009159088,1
258445859,70827697589,0.6774287819862366,1.2887241840362549,97.94074249267578,-64.57816314697266,-30.34153938293457,1,3.563232421875,1,-61.752723693847656,-81.25360107421875,426.2140197753906,0.6927126049995422,0.7536396980285645,0.07652483880519867,1,0.6575336456298828,1.2792125940322876,86.95860290527344,-61.802886962890625,-29.331432342529297,1,3.6880950927734375,1,1.9962482452392578,-78.52987670898438,430.4988708496094,0.4936019480228424,0.7426878809928894,0.07521472126245499,1
258461888,70827713610,0.6851595044136047,1.2883105278015137,102.20805358886719,-64.45745849609375,-30.29761505126953,1,3.5578460693359375,1,-61.40436553955078,-81.2052993774414,426.036376953125,0.6917042136192322,0.7535945773124695,0.07606347650289536,1,0.659473180770874,1.286920189857483,88.0291976928711,-64.05180358886719,-30.149978637695312,1,3.6866607666015625,1,2.5402252674102783,-78.55282592773438,429.9432373046875,0.4919091463088989,0.7430728673934937,0.0741354376077652,1
258479034,70827730745,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.6581993103027344,1.2694091796875,87.32603454589844,-58.942481994628906,-28.29033851623535,1,3.6663055419921875,1,3.283895492553711,-78.61369323730469,429.4599609375,0.48959437012672424,0.7435353994369507,0.07321649044752121,1
258495779,70827747479,0.6683237552642822,1.284403920173645,92.91475677490234,-63.31767272949219,-29.882774353027344,1,3.5440826416015625,1,-59.94072723388672,-80.78133392333984,424.5168151855469,0.6878000497817993,0.7531732320785522,0.07254351675510406,1,0.6529147028923035,1.2702997922897339,84.40892791748047,-59.20236587524414,-28.384952545166016,1,3.666259765625,1,3.8088343143463135,-78.49369812011719,428.3255310058594,0.4879354238510132,0.7438079714775085,0.07095013558864594,1
258511756,70827763455,0.6665973663330078,1.2866047620773315,91.96176147460938,-63.95974349975586,-30.116456985473633,1,3.5396270751953125,1,-59.702213287353516,-80.68135833740234,424.1669616699219,0.6872063875198364,0.7530683875083923,0.07176019251346588,1,0.6554460525512695,1.2696876525878906,85.80624389648438,-59.02376174926758,-28.319942474365234,1,3.644744873046875,1,4.096446990966797,-78.46166229248047,427.7953796386719,0.4870254397392273,0.7440106272697449,0.06990093737840652,1
258528939,70827780637,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,0.6573542356491089,1.2794320583343506,86.85953521728516,-61.86695861816406,-29.354734420776367,1,3.6416473388671875,1,4.396231651306152,-78.46859741210938,427.5688171386719,0.48608508706092834,0.7441616654396057,0.06946362555027008,1
