Recording timestamp,Recording date,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right
802124027,2024/04/08,1023.0,1036.0,1030.0,1065.0,1016.0,1007.0,0.02004,0.29992,-0.95375,-0.11319,0.27964,-0.95341,4.678,4.727
802140681,2024/04/08,1022.0,1045.0,1030.0,1078.0,1013.0,1011.0,0.02013,0.30395,-0.95248,-0.11424,0.28135,-0.95278,4.687,4.728
802157336,2024/04/08,1017.0,1042.0,1022.0,1073.0,1013.0,1011.0,0.01724,0.3031,-0.9528,-0.11426,0.2819,-0.95262,4.688,4.734
802173991,2024/04/08,1017.0,1028.0,1012.0,1055.0,1022.0,1000.0,0.01416,0.29813,-0.95442,-0.11156,0.27912,-0.95375,4.691,4.759
802190644,2024/04/08,1018.0,1025.0,1014.0,1048.0,1021.0,1001.0,0.01492,0.29624,-0.955,-0.11168,0.27933,-0.95368,4.695,4.766
802207299,2024/04/08,1018.0,1030.0,1022.0,1057.0,1014.0,1003.0,0.01736,0.29823,-0.95434,-0.11386,0.27946,-0.95338,4.697,4.761
802223954,2024/04/08,1016.0,1035.0,1022.0,1062.0,1011.0,1009.0,0.01732,0.2992,-0.95403,-0.11504,0.28068,-0.95288,4.701,4.772
802240609,2024/04/08,1021.0,1037.0,1026.0,1063.0,1017.0,1012.0,0.0185,0.29931,-0.95398,-0.11309,0.28145,-0.95289,4.715,4.771
802257263,2024/04/08,1024.0,1032.0,1029.0,1061.0,1018.0,1002.0,0.01945,0.29923,-0.95398,-0.11267,0.27891,-0.95368,4.728,4.777
802273918,2024/04/08,1017.0,1029.0,1025.0,1055.0,1009.0,1003.0,0.01824,0.29807,-0.95437,-0.11563,0.27952,-0.95315,4.74,4.789
802290573,2024/04/08,1015.0,1034.0,1021.0,1061.0,1010.0,1008.0,0.01674,0.30017,-0.95374,-0.11549,0.28137,-0.95262,4.759,4.795
802307227,2024/04/08,1019.0,1039.0,1018.0,1066.0,1020.0,1012.0,0.01579,0.30176,-0.95325,-0.11235,0.28287,-0.95256,4.772,4.81
802323881,2024/04/08,1024.0,1036.0,1030.0,1061.0,1019.0,1012.0,0.0194,0.30015,-0.95369,-0.11257,0.28245,-0.95265,4.779,4.817
802340536,2024/04/08,1017.0,1038.0,1033.0,1069.0,1001.0,1006.0,0.02057,0.30222,-0.95302,-0.11872,0.2803,-0.95254,4.797,4.814
802357190,2024/04/08,1136.0,1060.0,1027.0,1024.0,1244.0,1096.0,0.01757,0.28825,-0.95739,-0.04112,0.30786,-0.95054,4.801,4.772
802373845,2024/04/08,1250.0,1084.0,1028.0,988.0,1471.0,1180.0,0.01884,0.27927,-0.96003,0.0341,0.33422,-0.94188,4.704,4.708
802390500,2024/04/08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
802407154,2024/04/08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
802423809,2024/04/08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
802440464,2024/04/08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
802457117,2024/04/08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
802473772,2024/04/08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
802490427,2024/04/08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
802507081,2024/04/08,465.0,477.0,nan,nan,465.0,477.0,nan,nan,nan,-0.28546,0.10864,-0.95221,nan,3.78
802523735,2024/04/08,358.0,495.0,184.0,600.0,532.0,390.0,-0.25745,0.15123,-0.95438,-0.26947,0.08469,-0.95928,3.35,4.213
802540390,2024/04/08,402.0,457.0,184.0,600.0,620.0,313.0,-0.25453,0.15315,-0.95486,-0.24195,0.06117,-0.96836,3.35,4.835
802557045,2024/04/08,568.0,377.0,518.0,399.0,619.0,356.0,-0.14961,0.09053,-0.98459,-0.24227,0.07453,-0.96734,4.622,4.761
802573698,2024/04/08,577.0,357.0,531.0,390.0,623.0,324.0,-0.1446,0.0871,-0.98565,-0.24111,0.06338,-0.96843,4.732,4.843
802590353,2024/04/08,579.0,332.0,549.0,379.0,608.0,285.0,-0.13822,0.08345,-0.98688,-0.24574,0.05029,-0.96803,4.771,4.939
802607008,2024/04/08,584.0,296.0,565.0,345.0,603.0,247.0,-0.13254,0.07271,-0.98851,-0.2471,0.03815,-0.96824,4.843,4.996
802623662,2024/04/08,584.0,281.0,576.0,323.0,592.0,240.0,-0.12838,0.06617,-0.98951,-0.25035,0.03635,-0.96747,4.896,5.018
802640317,2024/04/08,584.0,287.0,580.0,292.0,587.0,281.0,-0.12614,0.05641,-0.99041,-0.25127,0.05067,-0.96659,4.925,4.978
802656972,2024/04/08,583.0,286.0,580.0,293.0,585.0,278.0,-0.12549,0.05701,-0.99046,-0.25136,0.05004,-0.9666,4.938,4.996
802673626,2024/04/08,575.0,307.0,573.0,335.0,577.0,279.0,-0.12717,0.0706,-0.98937,-0.25341,0.04984,-0.96607,4.893,5.017
802690281,2024/04/08,572.0,301.0,578.0,332.0,567.0,271.0,-0.12528,0.06893,-0.98972,-0.25615,0.0469,-0.9655,4.908,5.029
802706935,2024/04/08,569.0,290.0,579.0,318.0,560.0,262.0,-0.12474,0.06355,-0.99015,-0.25801,0.04308,-0.96518,4.952,5.037
802723589,2024/04/08,572.0,292.0,583.0,319.0,562.0,266.0,-0.12315,0.06374,-0.99034,-0.25731,0.04453,-0.9653,4.963,5.051
802740244,2024/04/08,582.0,301.0,600.0,328.0,565.0,274.0,-0.11735,0.06717,-0.99082,-0.25644,0.04758,-0.96539,4.998,5.069
802756899,2024/04/08,585.0,301.0,604.0,324.0,567.0,277.0,-0.11603,0.06691,-0.99099,-0.25559,0.04982,-0.9655,5.012,5.08
802773554,2024/04/08,582.0,299.0,597.0,320.0,567.0,278.0,-0.11844,0.06551,-0.9908,-0.25579,0.04996,-0.96544,5.007,5.094
802790208,2024/04/08,571.0,305.0,581.0,327.0,562.0,284.0,-0.12395,0.06779,-0.98997,-0.2575,0.0521,-0.96487,5.021,5.106
802806863,2024/04/08,564.0,317.0,572.0,334.0,556.0,300.0,-0.12704,0.0696,-0.98945,-0.25934,0.05672,-0.96412,5.042,5.133
802823518,2024/04/08,570.0,312.0,581.0,329.0,560.0,296.0,-0.12418,0.06746,-0.98996,-0.25821,0.05488,-0.96453,5.055,5.146
802840171,2024/04/08,571.0,311.0,578.0,325.0,565.0,298.0,-0.12524,0.06614,-0.98992,-0.25688,0.05579,-0.96483,5.057,5.17
802856826,2024/04/08,569.0,315.0,578.0,334.0,561.0,296.0,-0.12551,0.0696,-0.98965,-0.25837,0.05534,-0.96446,5.062,5.176
