Recording timestamp,Recording date,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right
319693827,2024/04/07,146.0,751.0,165.0,750.0,128.0,752.0,-0.21769,0.18525,-0.95828,-0.34923,0.1959,-0.91633,5.208,5.778
319710481,2024/04/07,145.0,755.0,160.0,754.0,130.0,756.0,-0.21923,0.18621,-0.95774,-0.34832,0.19729,-0.91638,5.205,5.776
319727136,2024/04/07,148.0,756.0,163.0,759.0,133.0,754.0,-0.21815,0.18781,-0.95767,-0.34741,0.19643,-0.91691,5.212,5.785
319743791,2024/04/07,149.0,754.0,164.0,754.0,134.0,753.0,-0.21778,0.18634,-0.95805,-0.3472,0.19644,-0.91699,5.215,5.785
319760445,2024/04/07,147.0,753.0,164.0,751.0,130.0,755.0,-0.21795,0.18542,-0.95818,-0.34838,0.19685,-0.91645,5.215,5.784
319777100,2024/04/07,145.0,755.0,159.0,759.0,130.0,751.0,-0.21948,0.18785,-0.95736,-0.34847,0.19561,-0.91668,5.218,5.789
319793755,2024/04/07,144.0,752.0,156.0,749.0,133.0,756.0,-0.22075,0.18456,-0.95771,-0.34779,0.19713,-0.91661,5.223,5.787
319810410,2024/04/07,144.0,751.0,161.0,741.0,128.0,761.0,-0.21937,0.182,-0.95852,-0.34905,0.19858,-0.91582,5.218,5.784
319827065,2024/04/07,145.0,754.0,165.0,751.0,124.0,757.0,-0.21799,0.18519,-0.95822,-0.35021,0.19722,-0.91568,5.217,5.777
319843720,2024/04/07,150.0,749.0,170.0,747.0,130.0,752.0,-0.2165,0.184,-0.95879,-0.34867,0.19578,-0.91657,5.216,5.776
319860375,2024/04/07,152.0,752.0,171.0,746.0,134.0,758.0,-0.21642,0.18385,-0.95883,-0.34769,0.19785,-0.9165,5.206,5.778
319877029,2024/04/07,153.0,752.0,173.0,747.0,134.0,757.0,-0.21569,0.18443,-0.95889,-0.34771,0.19763,-0.91654,5.209,5.778
319893684,2024/04/07,153.0,748.0,170.0,747.0,135.0,748.0,-0.21661,0.18448,-0.95867,-0.3477,0.19499,-0.91711,5.209,5.781
319910339,2024/04/07,151.0,747.0,168.0,748.0,133.0,746.0,-0.21735,0.18492,-0.95842,-0.34835,0.19431,-0.917,5.211,5.783
319926993,2024/04/07,150.0,752.0,175.0,749.0,125.0,755.0,-0.21529,0.18538,-0.95879,-0.35063,0.19708,-0.91554,5.223,5.796
319943648,2024/04/07,150.0,763.0,177.0,751.0,122.0,775.0,-0.21486,0.18591,-0.95879,-0.35126,0.20286,-0.91404,5.225,5.823
319960303,2024/04/07,158.0,755.0,169.0,746.0,146.0,764.0,-0.21785,0.18411,-0.95846,-0.34483,0.19988,-0.91714,5.213,5.811
319976957,2024/04/07,158.0,750.0,175.0,750.0,142.0,750.0,-0.21614,0.18553,-0.95857,-0.34672,0.19539,-0.91739,5.214,5.785
319993612,2024/04/07,160.0,749.0,181.0,752.0,139.0,747.0,-0.21429,0.18609,-0.95888,-0.34758,0.19453,-0.91725,5.221,5.768
320010267,2024/04/07,162.0,752.0,178.0,754.0,145.0,750.0,-0.21562,0.18683,-0.95844,-0.34613,0.19543,-0.91761,5.211,5.76
320026921,2024/04/07,162.0,754.0,178.0,752.0,146.0,755.0,-0.21587,0.1861,-0.95852,-0.34592,0.19702,-0.91735,5.184,5.757
320043576,2024/04/07,134.0,795.0,155.0,796.0,113.0,795.0,-0.2226,0.19966,-0.95425,-0.35431,0.20813,-0.91167,5.163,5.754
320060230,2024/04/07,130.0,875.0,152.0,873.0,109.0,878.0,-0.22288,0.2238,-0.94881,-0.35384,0.23278,-0.90588,5.179,5.752
320076885,2024/04/07,155.0,912.0,169.0,912.0,141.0,913.0,-0.21677,0.23623,-0.94721,-0.34397,0.24396,-0.90674,5.178,5.744
320093539,2024/04/07,164.0,909.0,182.0,909.0,147.0,910.0,-0.21294,0.23543,-0.94828,-0.34253,0.24336,-0.90744,5.165,5.737
320110194,2024/04/07,158.0,909.0,181.0,909.0,135.0,908.0,-0.21332,0.23559,-0.94815,-0.34599,0.24255,-0.90634,5.153,5.73
320126849,2024/04/07,153.0,904.0,175.0,906.0,131.0,902.0,-0.21518,0.23444,-0.94802,-0.34736,0.2405,-0.90636,5.143,5.73
320143503,2024/04/07,156.0,905.0,176.0,908.0,136.0,902.0,-0.21506,0.23507,-0.94789,-0.34587,0.24066,-0.9069,5.14,5.725
320160158,2024/04/07,157.0,907.0,177.0,912.0,137.0,902.0,-0.21473,0.23653,-0.9476,-0.34587,0.24053,-0.90693,5.137,5.714
320176813,2024/04/07,159.0,908.0,181.0,912.0,138.0,904.0,-0.21364,0.23642,-0.94787,-0.34566,0.24119,-0.90683,5.127,5.717
320193467,2024/04/07,162.0,902.0,184.0,904.0,140.0,900.0,-0.21283,0.23412,-0.94863,-0.34514,0.23998,-0.90735,5.127,5.714
320210122,2024/04/07,162.0,893.0,185.0,896.0,138.0,890.0,-0.21258,0.23172,-0.94927,-0.34596,0.23703,-0.90781,5.128,5.711
320226777,2024/04/07,156.0,892.0,182.0,896.0,130.0,889.0,-0.21354,0.2316,-0.94908,-0.34838,0.23645,-0.90704,5.127,5.706
320243431,2024/04/07,158.0,886.0,186.0,886.0,130.0,886.0,-0.21266,0.22861,-0.95001,-0.34842,0.23573,-0.90721,5.129,5.698
