Epoch,Real,Fake,Pulse
1000,36,0,478
1000,36,219,478
1000,36,51,479
1000,36,31,480
1000,35,31,481
1000,35,32,482
1000,35,32,486
1000,35,34,489
1000,34,34,492
1000,34,33,497
1000,34,35,500
1000,34,34,504
1000,34,35,508
1000,34,35,512
1000,34,35,516
1000,34,35,519
1000,34,35,522
1000,34,36,525
1000,34,36,528
1000,34,36,530
1000,34,36,532
1000,34,36,534
1000,34,36,536
1000,34,36,537
1000,34,35,538
1000,34,36,538
1000,34,35,539
1000,34,35,540
1000,34,36,539
1000,34,35,538
1000,34,34,539
1000,34,36,537
1000,34,34,537
1000,34,35,536
1000,34,34,535
1000,34,35,533
1000,34,33,533
1000,34,35,530
1000,34,33,530
1000,34,35,529
1000,34,34,529
1000,34,35,528
1000,34,34,527
1000,34,34,525
1000,34,34,524
1000,34,34,523
1000,34,34,522
1000,34,34,521
1000,34,34,520
1000,34,34,519
1000,34,34,518
1000,34,33,518
1000,34,34,517
1000,34,33,516
1000,34,34,515
1000,34,33,515
1000,34,34,514
1000,34,33,514
1000,34,34,514
1000,34,34,514
1000,34,34,513
1000,34,33,512
1000,34,33,512
1000,34,33,512
1000,34,34,511
1000,34,33,512
1000,34,34,511
1000,34,33,510
1000,34,33,510
1000,35,34,510
1000,35,33,511
1000,35,34,510
1000,36,33,510
1000,36,33,510
1000,36,34,510
1000,36,33,511
1000,36,34,510
1000,36,33,510
1000,36,33,510
1000,36,34,510
1000,36,33,511
1000,36,34,511
1000,36,33,510
1000,36,33,509
1000,35,33,509
1000,35,33,507
1000,35,32,506
1000,35,33,505
1000,34,33,503
1000,34,32,501
1000,34,32,499
1000,34,32,496
1000,34,31,494
1000,34,31,492
1000,34,32,488
1000,34,31,486
1000,34,31,485
1000,34,31,483
1000,34,31,482
1000,34,31,482
1000,34,31,480
1000,34,31,479
1000,34,31,481
1000,34,32,482
1000,34,32,484
1000,35,33,488
1000,35,34,492
1000,35,34,495
1000,35,33,500
1000,35,35,503
1000,35,35,507
1000,34,35,512
1000,34,36,515
1000,34,35,518
1000,34,35,522
1000,34,36,524
1000,34,35,527
1000,34,36,529
1000,34,35,531
1000,34,36,532
1000,34,35,534
1000,34,36,534
1000,34,35,536
1000,34,36,537
1000,34,36,537
1000,34,35,537
1000,34,35,538
1000,34,36,537
1000,34,35,537
1000,34,35,537
1000,34,35,536
1000,34,35,535
1000,34,34,536
1000,34,36,534
1000,34,34,533
1000,34,34,533
1000,34,35,531
