time,pulse
8e-06,374
0.00044,374
0.000872,373
0.001304,371
0.001784,370
0.002264,368
0.002736,367
0.003224,366
0.00702,357
0.013972,370
0.021616,387
0.02926,406
0.036904,426
0.044552,442
0.052196,457
0.05984,468
0.067484,480
0.075132,489
0.082776,502
0.09042,515
0.098064,531
0.105712,550
0.114052,575
0.122392,600
0.130732,628
0.139072,655
0.147412,686
0.155752,710
0.164092,734
0.172432,749
0.180772,762
0.189112,767
0.197452,768
0.205792,763
0.214132,753
0.222472,736
0.230812,716
0.239152,691
0.247492,667
0.255832,636
0.264172,608
0.272512,577
0.280852,550
0.289192,521
0.297532,497
0.305872,470
0.314212,451
0.322552,431
0.330892,417
0.339232,403
0.347572,397
0.355912,389
0.364252,388
0.372592,389
0.380936,394
0.389272,400
0.397612,411
0.405952,419
0.414292,433
0.422632,444
0.430972,458
0.439316,470
0.447652,485
0.455992,496
0.464332,509
0.472672,518
0.481012,530
0.489352,537
0.497692,546
0.506032,547
0.514372,551
0.522712,546
0.531052,544
0.539392,536
0.547732,531
0.556072,520
0.564412,513
0.572752,501
0.581092,495
0.589432,483
0.597772,477
0.606112,467
0.614452,461
0.622792,453
0.631132,451
0.639472,446
0.647812,447
0.656152,442
0.664492,440
0.672832,437
0.681172,439
0.689512,435
0.697852,436
0.706192,430
0.714532,431
0.722872,424
0.731212,425
0.739552,420
0.747892,423
0.756232,422
0.764572,430
0.772912,435
0.781252,450
0.789592,465
0.797932,493
0.806272,521
0.814612,563
0.822952,602
0.831292,650
0.839632,693
0.847972,743
0.856312,780
0.864652,816
0.872992,844
0.881332,865
0.889672,872
0.898012,875
0.906352,864
0.914692,850
0.923032,825
0.931372,801
0.939712,766
0.948052,736
0.956392,699
0.964732,667
0.973072,630
0.981412,598
0.989752,562
0.998092,532
1.006432,497
1.015464,469
1.0245,441
1.033536,420
1.042572,402
1.051604,390
1.06064,382
1.069676,376
1.078712,382
1.087744,388
1.09678,400
1.105816,411
1.114852,431
1.123884,445
1.13292,467
1.141956,485
1.150996,506
1.160024,521
1.16906,537
1.178096,550
1.187132,556
1.196164,564
1.2052,563
1.214236,567
1.223272,561
1.232304,559
1.24134,548
1.250376,544
1.259412,532
1.268444,522
1.27748,515
1.286516,507
1.295552,504
1.304592,496
1.31362,494
1.322656,489
1.331692,490
1.340724,484
1.34976,485
1.358796,481
1.367832,480
1.376864,477
1.3859,474
1.394936,473
1.403972,469
1.413004,471
1.42204,467
1.431076,468
1.440112,466
1.449144,471
1.458188,471
1.467216,476
1.476252,479
1.485284,486
1.49432,495
1.503356,504
1.512392,523
1.521424,540
1.53046,571
1.539496,600
1.548532,641
1.557564,678
1.5666,720
1.575636,756
1.584672,790
1.593704,815
1.60274,833
1.61178,844
1.620812,845
1.629844,843
1.63888,828
1.647916,814
1.656952,787
1.665984,764
1.67502,731
1.684056,701
1.693092,666
1.702124,631
1.71116,599
1.720196,563
1.729232,535
1.738264,504
1.7473,480
1.756336,455
1.765372,440
1.774404,424
1.78344,416
1.792476,409
1.801512,409
1.810544,410
1.81958,414
1.828616,425
1.837652,434
1.846684,451
1.85572,460
1.864756,477
1.873792,485
1.882824,500
1.89186,506
1.900896,516
1.909932,518
1.918964,522
1.928,524
1.937036,519
1.946072,519
1.955104,511
1.96414,508
1.973176,495
1.982212,491
1.991244,479
2.00028,475
2.009316,467
2.018352,462
2.027384,458
2.03642,454
2.045456,449
2.054492,443
2.063524,443
2.07256,437
2.081596,436
2.090632,435
2.099664,438
2.1087,442
2.117736,447
2.126772,457
2.135804,464
2.14484,476
2.153876,482
2.162912,490
2.171944,493
2.18098,497
2.190016,499
2.199052,506
2.208084,516
2.21712,530
2.226156,550
2.235192,571
2.244224,601
2.25326,628
2.262296,662
2.271332,690
2.280364,720
2.2894,742
2.298436,762
2.307472,771
2.316504,773
2.32554,766
2.334576,751
2.343612,731
2.352644,702
2.36168,674
2.370716,637
2.379752,606
2.388784,569
2.39782,538
2.406856,504
2.415892,476
2.424924,450
2.43396,427
2.442996,409
2.452032,391
2.461064,381
2.4701,370
2.479136,368
2.488172,365
2.497204,371
2.50624,375
2.515276,384
2.524312,393
2.533344,405
2.54238,418
2.551416,427
2.560452,442
2.569484,451
2.57852,465
2.587556,472
2.596592,483
2.605624,487
2.61466,496
2.623696,497
2.632732,500
2.641764,500
2.6508,499
2.659836,501
2.668872,499
2.677904,501
2.68694,496
2.695976,496
2.705012,491
2.714044,489
2.72308,483
2.732116,481
2.741152,477
2.750184,475
2.75922,473
2.768256,471
2.777292,472
2.786324,470
2.79536,472
2.804396,470
2.813432,474
2.822464,474
2.8315,477
2.840536,478
2.849572,482
2.858604,487
2.86764,494
2.876676,506
2.885712,518
2.894744,540
2.90378,562
2.912816,594
2.921852,627
2.930884,665
2.939924,699
2.948956,733
2.957992,761
2.967024,783
2.97606,796
2.985096,800
2.994132,797
3.003164,783
3.0122,766
3.021236,738
3.030272,710
3.039304,675
3.04834,642
3.057376,606
3.066412,574
3.075444,540
3.08448,510
3.09352,486
3.102552,462
3.111584,445
3.12062,428
3.129656,422
3.138692,414
3.147724,413
3.15676,412
3.165796,417
3.174832,421
3.183864,431
3.1929,442
3.201936,452
3.210972,467
3.220004,477
3.22904,492
3.238076,500
3.247116,512
3.256144,518
3.26518,528
3.274216,530
3.283252,533
3.292284,534
3.30132,531
3.310356,530
3.319392,524
3.328424,520
3.33746,513
3.346496,510
3.355532,500
3.364564,497
3.3736,489
3.382636,485
3.391672,480
3.400712,477
3.40974,472
3.418776,468
3.427812,467
3.436844,464
3.44588,465
3.454916,462
3.463952,464
3.472984,461
3.48202,460
3.491056,452
3.500092,445
3.509124,437
3.51816,428
3.527196,421
3.536232,414
3.545264,415
3.5543,416
3.563336,429
3.572372,443
3.581404,470
3.59044,500
3.599476,540
3.608512,582
3.617544,624
3.62658,667
3.635616,702
3.644652,733
3.653684,750
3.66272,763
