time,pulse
8e-06,671
0.016444,720
0.03298,761
0.049516,771
0.066052,751
0.0826,708
0.099132,654
0.115676,596
0.13226,543
0.148844,496
0.16542,459
0.182,430
0.198596,410
0.21518,403
0.231764,407
0.24834,420
0.264924,440
0.2815,462
0.298092,484
0.314676,498
0.33126,505
0.34784,504
0.36442,499
0.381004,489
0.397588,478
0.414172,466
0.430768,453
0.447348,444
0.46394,438
0.480524,435
0.497108,437
0.513704,440
0.530284,445
0.546868,451
0.563452,458
0.580036,463
0.596632,466
0.613212,468
0.629804,469
0.646388,469
0.662972,469
0.679568,469
0.696148,477
0.71274,501
0.729324,547
0.745908,610
0.762492,673
0.779076,721
0.795668,742
0.812252,735
0.828836,702
0.845412,654
0.862012,600
0.878604,548
0.895188,504
0.911772,470
0.928356,443
0.944952,424
0.961548,412
0.978124,410
0.994708,420
1.011292,440
1.027924,468
1.044564,497
1.061196,524
1.077828,541
1.094464,548
1.1111,547
1.127732,539
1.144364,527
1.161,513
1.177636,501
1.194268,491
1.2109,483
1.227536,478
1.244168,477
1.260804,477
1.277436,477
1.294072,478
1.3107,478
1.32734,477
1.343972,474
1.360608,471
1.377244,469
1.393884,467
1.410516,467
1.427152,467
1.443788,466
1.460428,466
1.47706,467
1.493696,469
1.510332,477
1.526964,501
1.543588,548
1.560228,616
1.57686,686
1.5935,741
1.610124,767
1.626764,761
1.643396,729
1.660036,679
1.676668,624
1.6933,568
1.709932,518
1.726572,478
1.743204,447
1.759836,425
1.77646,410
1.7931,405
1.809732,409
1.826364,423
1.843,442
1.859644,465
1.876276,484
1.892908,497
1.909544,504
1.926188,503
1.94282,496
1.959452,483
1.976088,469
1.992716,456
2.00934,446
2.025964,440
2.0426,439
2.059236,441
2.075876,446
2.092508,453
2.109144,460
2.12578,468
2.14242,473
2.159052,477
2.175688,480
2.192324,481
2.208964,480
2.225596,479
2.242236,477
2.258876,474
2.275516,473
2.29214,479
2.30878,498
2.325412,542
2.342052,602
2.358676,668
2.375312,719
2.391948,745
2.40858,742
2.425212,713
2.441844,667
2.458468,612
2.475108,559
2.49174,511
2.508364,475
2.524988,447
2.541628,428
2.55826,416
2.574884,413
2.59152,419
2.608148,432
2.624772,451
2.641404,471
2.65804,490
2.674668,502
2.691308,509
2.70794,510
2.72458,507
2.741216,499
2.757844,490
2.774468,480
2.791104,470
2.80774,464
2.82438,459
2.841012,457
2.857652,458
2.874292,461
2.890932,468
2.907564,474
2.924204,479
2.940836,480
2.957476,479
2.974108,477
2.990748,474
3.00738,473
3.02402,473
3.040652,472
3.057292,474
3.073924,487
3.090564,520
3.107196,576
3.123824,641
3.140444,699
3.157084,737
3.173708,745
3.190348,726
3.206972,685
3.223612,634
3.240244,580
3.256876,533
3.273516,494
3.290156,464
3.306788,442
3.32342,426
3.340056,416
3.356684,416
3.373316,424
3.389948,441
3.406584,461
3.423212,484
3.439852,504
3.456484,517
3.473124,522
3.489764,519
3.506404,511
3.523036,500
3.539672,490
3.556308,481
3.57294,473
3.589564,468
3.6062,465
3.622836,465
3.639476,465
3.6561,465
3.672736,467
3.689372,470
3.706012,473
3.722644,473
3.739284,473
3.755916,472
3.772548,470
3.789172,469
3.805796,469
3.822424,472
3.839052,486
3.855692,521
3.872324,577
3.888964,644
3.905604,703
3.922236,742
3.93886,750
3.9555,734
3.97214,695
3.988764,644
4.005388,588
4.022028,536
4.038668,493
4.0553,459
4.071932,433
4.088568,416
4.105196,409
4.121836,411
4.138468,425
4.155104,447
4.171744,470
4.188388,493
4.20502,511
4.22166,522
4.2383,524
4.25494,516
4.271572,504
4.288212,490
4.304852,476
4.321492,467
4.338124,460
4.35476,456
4.371396,455
4.388036,456
4.404668,459
4.421304,462
4.43794,466
4.45458,469
4.471212,473
4.487852,474
4.504484,475
4.521124,474
4.537756,473
4.554396,473
4.571028,477
4.58766,498
4.604284,543
4.620912,605
4.637536,674
4.654164,731
4.670788,761
4.687412,762
4.704048,734
4.720676,687
4.7373,633
4.753932,578
4.770568,530
4.787196,489
4.803836,457
4.82046,436
4.837096,423
4.85374,424
4.870372,436
4.887012,459
4.903648,489
4.920288,516
4.936932,538
4.953564,549
4.970212,550
4.986852,539
5.003492,523
5.020116,503
5.036752,483
5.053392,466
5.070036,455
5.08666,449
5.103304,449
5.119944,454
5.136588,461
5.15322,469
5.169856,477
5.186496,481
5.20314,485
5.219764,485
5.2364,485
5.253036,486
5.269676,501
5.286308,537
5.302948,595
5.31958,663
5.33622,725
5.352852,767
5.369492,778
5.386124,761
5.402764,721
5.419388,668
5.436012,610
5.452644,553
5.469284,503
5.485908,461
5.502532,426
5.519172,399
5.535804,385
5.552444,387
5.569068,401
5.585704,426
5.602332,456
5.618956,485
5.63558,509
5.652216,524
5.668848,531
5.685484,528
5.702116,517
5.718756,504
5.735396,488
5.752036,475
5.768668,463
5.785308,453
5.801948,449
5.818588,449
5.83522,453
5.851856,458
5.868496,464
5.88514,470
5.901764,476
5.9184,478
5.935036,479
5.951668,478
5.968308,484
5.984944,507
6.00158,555
6.01822,625
6.034844,702
6.051488,767
6.068124,803
6.084756,806
6.10138,778
6.118028,728
6.134652,667
6.151284,605
6.167908,549
6.184532,501
6.20116,463
6.217788,432
6.234412,411
6.251036,402
6.267672,405
6.2843,420
6.300924,444
6.317548,471
6.334196,497
6.350836,519
6.367476,531
6.384116,533
6.400756,527
6.417396,518
6.434036,506
6.450668,495
6.467304,484
6.48394,474
6.50058,468
6.517204,465
6.53384,462
6.550476,462
6.567108,463
6.58374,465
6.600376,468
6.617016,469
6.633652,470
6.650284,470
6.66692,471
6.683556,476
6.700196,493
6.71682,533
6.73346,601
6.750092,681
6.766732,756
6.783364,804
6.799988,817
6.816616,797
6.833252,753
6.849876,695
6.8665,633
6.88314,574
6.89978,525
6.916404,482
6.933028,447
6.949664,422
6.966308,408
6.98294,407
6.999564,418
7.0162,439
7.032828,467
7.04946,492
7.066084,513
7.082724,525
7.099364,526
7.116004,520
7.132628,509
7.149276,493
7.165916,476
7.182548,461
7.199172,449
7.215816,441
7.232456,435
7.2491,433
7.265724,432
7.282364,433
7.299004,436
7.315644,438
7.332268,441
7.348904,443
7.36554,444
7.38218,445
7.398812,445
7.415448,444
7.432084,448
7.448724,467
7.465348,513
7.481972,585
7.4986,664
7.515228,732
7.531868,772
7.548492,774
7.565132,745
7.581772,693
7.598396,630
7.615036,569
7.63168,514
7.648324,473
7.664948,439
7.681588,413
7.698224,393
7.714868,383
7.731492,386
7.748116,402
7.764752,426
7.781396,454
7.798036,482
7.81466,504
7.831296,517
7.847948,523
7.864572,520
7.881196,510
7.897836,498
7.914476,485
7.931116,473
7.94774,464
7.964376,457
7.98102,452
7.99766,449
8.014284,449
8.03092,449
8.047556,452
8.064196,453
8.080828,454
8.097464,456
8.1141,456
8.130732,457
8.147356,460
8.163992,473
8.180628,509
8.197268,569
8.2139,643
8.230536,716
8.247176,769
8.263812,790
8.280444,778
8.297076,738
8.313708,682
8.330348,621
8.34698,562
8.363612,512
8.380244,471
8.396884,437
8.413516,411
8.43014,394
8.44678,393
8.46342,402
8.480044,421
8.496676,444
8.513312,467
8.52994,485
8.546564,497
8.563188,502
8.579824,499
8.596468,491
8.6131,479
8.629724,467
8.64636,457
8.663004,449
8.679644,444
8.696268,443
8.712904,447
8.729544,453
8.746188,459
8.762812,463
8.779448,466
8.796092,466
8.812732,465
8.829356,463
8.846,461
8.86264,464
8.879284,483
8.895908,528
8.912552,596
8.929192,672
8.945836,739
8.96246,780
8.9791,789
8.995732,766
9.012364,719
9.028988,658
9.045612,595
9.06224,538
9.078868,489
9.095492,448
9.112116,416
9.12876,393
9.145404,383
9.162028,385
9.178668,400
9.195304,424
9.211948,452
9.228572,476
9.245196,495
9.261832,505
9.278476,507
9.2951,499
9.311724,487
9.328368,474
9.345,461
9.361636,451
9.378268,443
9.394904,438
9.411544,436
9.428188,437
9.44482,438
9.461456,440
9.478096,443
9.49474,448
9.511364,453
9.528,455
9.544636,456
9.561268,457
9.577908,462
9.594544,482
9.611184,523
9.627828,589
9.644452,666
9.661096,737
9.677732,783
9.694372,795
9.711012,775
9.72766,728
9.7443,667
9.760932,604
9.777556,545
9.794204,495
9.810828,453
9.82746,419
9.8441,395
9.860732,382
9.877356,382
9.893988,395
9.910628,419
9.927268,445
9.943896,472
9.960524,492
9.977148,504
9.993788,506
10.010428,501
10.027108,492
10.043788,480
10.060472,466
10.077152,453
10.093836,443
10.110516,437
10.127196,434
10.143884,433
10.160564,436
10.177252,441
10.193932,447
10.210608,451
10.227284,454
10.243964,458
10.260648,459
10.277324,461
10.294008,461
10.310692,463
10.327368,465
10.344044,475
10.36072,503
10.377404,558
10.39408,633
10.410764,713
10.427448,779
10.444124,817
10.460808,821
10.477484,798
10.494164,749
10.510844,680
10.527528,607
10.544212,537
10.560888,476
10.577568,425
10.594244,388
10.610924,367
10.6276,364
10.64428,377
10.660964,403
10.67764,434
10.69432,465
10.710996,492
10.72768,511
10.744356,520
10.761032,519
10.777716,508
10.794392,492
10.811076,474
10.827764,457
10.844444,445
10.86112,435
10.8778,430
10.89448,429
10.911156,431
10.927844,436
10.944524,444
10.9612,449
10.977876,455
10.994556,460
11.01124,463
11.027916,465
11.0446,466
11.061284,467
11.07796,466
11.09464,470
11.11132,489
11.128,532
11.144676,603
11.16136,685
11.178044,760
11.194724,808
11.211408,820
11.228088,797
11.244772,747
11.261452,681
11.27814,611
11.29482,548
11.3115,496
11.328184,453
11.34486,419
11.361544,395
11.37822,385
11.3949,387
11.411584,399
11.42826,421
11.444944,448
11.461628,473
11.478312,493
11.494988,505
11.511664,508
11.528348,503
11.545028,493
11.561708,479
11.578392,465
11.595068,453
11.611748,445
11.628428,440
11.645112,437
11.661792,438
11.678472,441
11.695156,444
11.711836,449
11.72852,454
11.745196,461
11.761884,467
11.77856,472
11.79524,480
11.811924,490
11.8286,505
11.84528,526
11.861956,549
11.87864,571
11.895316,592
11.912,620
11.928684,659
11.94536,708
11.962044,761
11.978728,801
11.995408,814
12.012084,797
12.028764,754
12.045448,696
12.062124,631
12.078808,568
12.0955,514
12.11218,471
12.12886,436
12.145536,406
12.16222,382
12.1789,367
12.195584,365
12.212268,374
12.228948,396
12.245624,425
12.2623,455
12.278988,481
12.295668,501
12.312352,511
12.329036,513
12.345716,506
12.3624,494
12.379076,480
12.39576,464
12.41244,450
12.42912,438
12.445804,429
12.462484,423
12.479168,418
12.495852,419
12.512536,420
12.529216,425
12.545892,429
12.562572,434
12.579252,440
12.595932,446
12.61262,453
12.6293,460
12.645976,466
12.662652,474
12.67934,487
12.696016,517
12.7127,570
12.729388,644
12.746064,722
12.762744,782
12.779424,809
12.796108,797
12.812788,752
12.829476,686
12.846156,612
12.862836,540
12.87952,478
12.896196,432
12.91288,398
12.929556,375
12.94624,366
12.962924,369
12.9796,385
12.99628,410
13.012956,438
13.02964,465
13.04632,487
13.062996,500
13.07968,504
13.096356,498
13.11304,485
13.12972,470
13.1464,454
13.163076,442
13.179752,433
13.196436,429
13.213112,426
13.229792,428
13.246476,432
13.263152,438
13.279832,443
13.296512,448
13.313196,452
13.329872,454
13.346552,457
13.363236,457
13.379912,458
13.396588,463
13.413264,480
13.429948,521
13.446624,585
13.463304,660
13.479988,729
13.496664,774
13.51334,784
13.530024,760
13.546704,709
13.563384,645
13.580064,578
13.596748,517
13.613428,467
13.630112,429
13.646792,401
13.663476,380
13.680152,372
13.696836,377
13.71352,393
13.730196,419
13.74688,447
13.76356,475
13.78024,496
13.796916,509
13.813596,511
13.830284,505
13.84696,494
13.86364,481
13.880332,466
13.897008,450
13.913684,438
13.930364,429
13.947048,425
13.963724,426
13.980412,428
13.997092,433
14.013772,438
14.030452,443
14.047132,448
14.063816,454
14.080492,460
14.097176,463
14.11386,463
14.130536,463
14.147216,465
14.163892,479
14.180572,517
14.197252,581
14.213936,660
14.23062,737
14.2473,791
14.263984,808
14.28066,788
14.297344,740
14.314024,671
14.330704,596
14.347388,528
14.364068,472
14.380752,430
14.397436,399
14.414124,378
14.4308,370
14.447476,375
14.46416,391
14.480836,417
14.49752,446
14.514204,477
14.530884,500
14.54756,514
14.564236,517
14.580924,510
14.5976,496
14.61428,481
14.630964,465
14.64764,452
14.664316,443
14.680996,436
14.69768,434
14.71436,435
14.731044,438
14.747728,444
14.764404,450
14.781088,455
14.797764,459
14.814444,462
14.831124,463
14.847808,462
14.864496,461
14.881172,459
14.897856,458
14.914532,465
14.931216,491
14.947896,545
14.964572,623
14.981256,707
14.997932,776
15.014616,811
15.031308,809
15.047988,772
15.064668,712
15.081348,642
15.098032,573
15.114712,512
15.1314,462
15.148084,424
15.164764,395
15.181452,374
15.198132,369
15.214816,379
15.231492,397
15.24818,425
15.264864,455
15.28154,483
15.298224,503
15.314904,514
15.331592,516
15.348272,507
15.364952,494
15.381636,477
15.398312,461
15.415,449
15.431692,441
15.448368,435
15.465044,433
15.48172,432
15.498404,434
15.515084,435
15.531768,439
15.548452,447
15.565132,454
15.581808,460
15.598488,467
15.615172,471
15.631852,472
15.648536,470
15.66522,468
15.6819,467
15.698584,478
15.71526,514
15.731944,578
15.74862,657
15.765304,732
15.781988,784
15.798668,799
15.815352,780
15.832032,732
15.848716,668
15.865396,601
15.882076,539
15.898764,487
15.915444,446
15.932128,414
