OSOYOO 1回目
2021/06/01 14:45:02,140,60
2021/06/01 14:47:28,140,65
2021/06/01 14:49:54,140,70
2021/06/01 14:52:27,140,75
2021/06/01 14:54:55,140,80
2021/06/01 14:57:21,140,85
2021/06/01 14:59:55,140,90
2021/06/01 15:02:25,140,95
2021/06/01 15:04:54,140,100
OSOYOO 2回目
2021/06/01 15:07:42,140,60
2021/06/01 15:10:16,140,65
2021/06/01 15:12:45,140,70
2021/06/01 15:15:14,140,75
2021/06/01 15:17:43,140,80
2021/06/01 15:20:10,140,85
2021/06/01 15:22:44,140,90
2021/06/01 15:25:14,140,95
2021/06/01 15:27:45,140,100
OSOYOO 3回目
2021/06/01 15:30:32,140,60
2021/06/01 15:33:02,140,65
2021/06/01 15:35:32,140,70
2021/06/01 15:38:02,140,75
2021/06/01 15:40:31,140,80
2021/06/01 15:43:02,140,85
2021/06/01 15:45:31,140,90
2021/06/01 15:48:02,140,95
2021/06/01 15:50:32,140,100
