Timestamp,HeartRate
430,74
1429,74
2420,74
3418,74
4258,74
5239,74
6233,74
7216,74
8219,74
9232,74
10231,74
11233,74
12044,74
13027,74
14021,74
15026,74
16037,74
17015,74
18025,74
18848,74
19831,74
20830,74
21821,74
22817,74
23822,74
24840,74
25655,74
26633,74
27623,74
28620,74
29625,74
30630,74
31641,74
32449,74
33428,74
34424,74
35427,74
36437,74
37430,74
38416,74
39254,74
40240,74
41231,74
42231,74
43217,74
44218,74
45233,72
46055,72
47039,72
48017,72
49034,72
50025,72
51031,72
52038,72
52859,72
53830,72
54827,72
55830,72
56833,72
57823,72
58819,72
59832,72
